"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Alnus"	"Amaranthaceae"	"Apiaceae"	"Araliaceae"	"Artemisia"	"Asteraceae"	"Betula"	"Boraginaceae"	"Brassicaceae"	"Cannabaceae"	"Caprifoliaceae"	"Caryophyllaceae"	"Cornus"	"Corylus"	"Crassulaceae"	"Crataegus"	"Cyperaceae"	"Ericales"	"Fabaceae"	"Fagus"	"Frangula"	"Fraxinus"	"Gentianaceae"	"Hypericaceae"	"Ilex"	"Juniperus"	"Lamiaceae"	"Montiaceae"	"Onagraceae"	"Orobanchaceae"	"Ostrya.Carpinus"	"Pinus"	"Plantaginaceae"	"Poaceae"	"Polemoniaceae"	"Polygonaceae"	"Primulaceae"	"Prunus"	"Quercus"	"Ranunculaceae"	"Rhamnus"	"Rosaceae"	"Rubiaceae"	"Rumex"	"Salix"	"Saxifragaceae"	"Scrophulariaceae"	"Sorbus"	"Tilia"	"Ulmus"	"Urticaceae"
23842	41326	"Middle North Coombe"	50.93389	-3.43333	88	"AWI"	88	472	1022	703	2	0	3	0	1	0	0	0	22	0	0	3	0	5	0	0	11	0	0	0	0	1	0	0	0	0	0	5	0	0	0	0	0	297	0	0	0	0	2	9	0	0	0	12	2	6	2	0	0	0	0
23842	41326	"Middle North Coombe"	50.93389	-3.43333	92	"AWI"	92	510	1076	736	1	0	6	1	1	0	1	2	31	0	0	5	0	10	0	0	26	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	276	0	0	0	0	5	9	0	0	2	17	2	8	2	0	0	0	0
23842	41326	"Middle North Coombe"	50.93389	-3.43333	96	"AWI"	96	555	1112	771	4	0	21	0	0	62	1	2	33	0	0	1	0	8	0	0	10	0	0	0	0	0	0	1	0	0	0	5	0	0	0	1	0	254	0	0	0	0	8	12	0	0	0	36	5	12	5	0	0	1	0
23842	41326	"Middle North Coombe"	50.93389	-3.43333	100	"AWI"	100	583	1162	804	6	0	13	0	0	0	0	0	31	0	0	8	0	7	0	0	18	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	261	0	0	0	0	9	9	0	0	1	30	1	5	1	0	0	0	0
23842	41326	"Middle North Coombe"	50.93389	-3.43333	104	"AWI"	104	612	1211	837	1	0	16	0	0	0	1	0	16	0	0	7	0	8	0	0	11	0	0	0	0	0	0	0	0	0	0	1	1	1	0	0	0	279	0	0	0	0	5	15	0	0	0	21	3	3	0	0	0	0	0
23842	41326	"Middle North Coombe"	50.93389	-3.43333	108	"AWI"	108	687	1257	880	0	0	16	1	0	0	1	0	23	0	0	8	0	12	0	0	5	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	270	0	0	0	0	4	10	0	0	1	28	1	0	0	0	0	0	0
23842	41326	"Middle North Coombe"	50.93389	-3.43333	112	"AWI"	112	739	1303	922	8	0	6	0	0	0	3	1	37	0	0	5	0	19	0	0	6	0	0	1	0	2	0	0	0	0	0	0	0	1	0	0	0	280	0	0	0	0	3	5	0	0	1	36	1	0	0	1	0	1	0
23842	41326	"Middle North Coombe"	50.93389	-3.43333	116	"AWI"	116	772	1377	970	59	1	6	0	0	53	0	0	2	0	0	5	3	9	0	0	34	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	238	0	0	0	0	13	9	0	0	5	0	7	0	3	0	0	1	0
23842	41326	"Middle North Coombe"	50.93389	-3.43333	120	"AWI"	120	961	1507	1141	47	3	3	0	0	0	2	4	2	1	0	5	0	14	0	0	37	0	0	0	0	2	0	0	0	1	0	0	0	0	0	0	0	256	0	0	0	1	16	3	0	0	4	0	11	0	2	0	0	0	0
23842	41326	"Middle North Coombe"	50.93389	-3.43333	124	"AWI"	124	1277	1686	1432	57	2	8	0	0	22	1	0	4	0	0	7	0	15	0	0	88	0	0	1	0	1	0	0	1	0	0	1	4	0	0	0	0	211	0	0	0	0	10	4	0	0	2	25	12	0	1	0	0	0	2
23842	41326	"Middle North Coombe"	50.93389	-3.43333	128	"AWI"	128	1539	1913	1716	47	3	4	0	0	23	1	2	4	0	0	10	0	12	1	0	83	0	0	0	0	0	0	0	1	0	0	1	0	0	1	2	0	0	0	0	0	0	18	4	0	0	3	0	14	0	1	0	0	0	0
23842	41326	"Middle North Coombe"	50.93389	-3.43333	132	"AWI"	132	1752	2244	1987	157	1	1	4	0	13	6	0	0	0	0	0	0	29	0	0	80	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	28	2	0	20	2	0	6	0	2	0	0	4	0
23842	41326	"Middle North Coombe"	50.93389	-3.43333	136	"AWI"	136	2025	2425	2222	241	0	1	0	0	6	8	0	0	0	0	4	0	41	0	2	22	0	0	0	0	3	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	67	3	2	0	0	0	1	0	2	0	1	1	0
23842	41326	"Middle North Coombe"	50.93389	-3.43333	140	"AWI"	140	2221	2653	2462	157	2	0	1	0	29	5	0	2	0	0	7	0	35	0	2	36	0	0	0	0	1	0	0	1	0	0	0	1	0	0	1	0	0	0	0	1	0	40	5	0	0	1	0	7	0	0	0	1	0	0
23842	41326	"Middle North Coombe"	50.93389	-3.43333	144	"AWI"	144	2371	2933	2701	251	1	0	0	0	0	4	1	1	0	0	2	0	38	1	0	36	0	0	0	0	0	0	0	2	0	0	0	1	0	0	2	0	0	0	0	2	0	50	1	0	0	0	0	0	0	0	0	1	0	0
23842	41326	"Middle North Coombe"	50.93389	-3.43333	148	"AWI"	148	2632	3123	2880	249	0	1	0	0	0	3	0	2	0	0	4	0	32	0	0	15	0	0	0	0	2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	2	0	51	3	1	0	1	0	5	1	0	0	0	1	0
23842	41326	"Middle North Coombe"	50.93389	-3.43333	152	"AWI"	152	2806	3290	3025	208	0	0	1	0	0	0	0	3	0	0	2	0	50	0	1	22	0	0	0	0	1	0	1	0	0	0	0	0	0	0	2	0	0	0	0	1	0	47	3	0	0	0	0	2	0	0	0	1	1	0
23842	41326	"Middle North Coombe"	50.93389	-3.43333	156	"AWI"	156	2856	3663	3148	216	1	0	1	0	0	4	0	0	0	0	3	0	61	0	0	22	0	0	0	0	1	0	1	3	0	0	0	1	0	0	1	0	0	0	0	0	0	80	0	0	0	0	0	1	0	0	0	2	2	0
23842	41326	"Middle North Coombe"	50.93389	-3.43333	160	"AWI"	160	2895	4089	3267	209	1	0	0	0	0	3	1	1	0	0	4	0	65	0	2	22	0	0	1	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	60	1	0	0	1	0	2	4	2	0	1	0	0
