"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Abies"	"Alnus"	"Amaranthaceae"	"Apiaceae"	"Artemisia"	"Asteraceae"	"Betula"	"Brassicaceae"	"Caryophyllaceae"	"Cistaceae"	"Corylus"	"Crassulaceae"	"Cyperaceae"	"Ephedraceae"	"Euphorbiaceae"	"Fagus"	"Fraxinus"	"Indeterminable"	"Juniperus"	"Lamiaceae"	"Liliaceae"	"Lythraceae"	"Ostrya.Carpinus"	"Pinus"	"Pistacia"	"Plantaginaceae"	"Platanus"	"Poaceae"	"Polygonaceae"	"Quercus"	"Quercus.evg.type"	"Ranunculaceae"	"Rosaceae"	"Rubiaceae"	"Rumex"	"Salix"	"Thalictrum"	"Tilia"	"Ulmus"	"Urticaceae"	"Vitaceae"
26022	45103	"Nisi Fen"	40.81667	21.91667	1230	"AWI"	1230	12711	13552	13138	0	1	23	1	65	0	2	3	0	0	0	1	78	0	0	1	0	0	9	0	0	0	0	16	0	0	0	0	0	7	0	0	0	4	0	4	0	0	0	0	0
26022	45103	"Nisi Fen"	40.81667	21.91667	1250	"AWI"	1250	13088	13827	13466	0	0	2	2	14	0	0	0	1	0	0	0	0	0	0	0	0	0	3	0	0	0	0	1	0	0	0	0	1	1	0	0	0	2	0	0	0	0	0	0	0
26022	45103	"Nisi Fen"	40.81667	21.91667	1270	"AWI"	1270	13487	14089	13788	0	2	15	0	27	0	0	2	0	0	0	0	17	0	0	1	0	0	3	0	0	0	0	22	0	0	0	0	0	6	0	0	0	1	0	0	0	0	0	0	0
26022	45103	"Nisi Fen"	40.81667	21.91667	1290	"AWI"	1290	13832	14643	14180	0	0	30	1	50	0	1	1	3	0	0	0	19	0	0	0	0	0	7	1	1	0	0	31	0	0	0	0	0	1	0	0	0	0	0	0	5	0	0	0	0
26022	45103	"Nisi Fen"	40.81667	21.91667	1330	"AWI"	1330	14528	15609	15033	0	0	24	3	42	0	8	0	0	1	0	0	29	0	0	0	0	0	17	0	0	0	0	14	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0
26022	45103	"Nisi Fen"	40.81667	21.91667	1350	"AWI"	1350	14915	16054	15460	0	1	25	2	43	0	9	0	0	0	0	0	27	0	0	0	0	0	14	0	0	0	0	15	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0
26022	45103	"Nisi Fen"	40.81667	21.91667	1370	"AWI"	1370	15244	16491	15843	0	0	23	1	49	0	7	1	0	0	0	0	0	0	0	0	0	0	11	1	0	0	0	3	0	0	0	0	0	6	0	0	0	1	0	0	0	0	0	0	0
26022	45103	"Nisi Fen"	40.81667	21.91667	1390	"AWI"	1390	15576	16917	16231	0	0	33	1	47	0	3	0	3	1	0	0	35	0	0	0	0	0	9	1	0	0	0	16	0	0	0	0	0	4	0	0	0	3	0	1	0	0	0	0	0
26022	45103	"Nisi Fen"	40.81667	21.91667	1460	"AWI"	1460	16823	18356	17588	0	0	34	1	55	0	4	0	0	0	0	0	38	0	0	0	0	0	8	1	0	0	0	6	0	0	0	0	1	0	0	0	0	2	0	2	0	0	0	0	0
26022	45103	"Nisi Fen"	40.81667	21.91667	1480	"AWI"	1480	17179	18779	17967	0	0	25	0	63	0	2	2	0	0	0	0	40	0	0	0	0	0	5	1	0	0	0	4	0	0	0	0	0	0	0	0	0	1	0	1	1	0	0	0	0
26022	45103	"Nisi Fen"	40.81667	21.91667	1500	"AWI"	1500	17491	19188	18334	3	1	14	1	26	0	4	2	1	1	1	0	0	0	0	0	3	0	8	0	0	0	0	21	0	0	0	0	1	12	0	0	0	2	0	1	0	0	1	0	0
26022	45103	"Nisi Fen"	40.81667	21.91667	1520	"AWI"	1520	17842	19613	18711	0	1	7	0	17	0	1	0	0	0	1	0	37	0	0	0	0	0	2	1	0	0	0	5	0	0	0	0	0	4	0	0	0	1	0	0	0	0	0	0	0
26022	45103	"Nisi Fen"	40.81667	21.91667	1540	"AWI"	1540	18170	20024	19078	0	1	12	1	22	0	3	1	0	0	1	1	55	0	0	0	0	0	5	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
26022	45103	"Nisi Fen"	40.81667	21.91667	1560	"AWI"	1560	18515	20467	19448	0	0	13	3	56	0	4	2	1	3	0	0	94	0	0	0	0	0	0	1	0	0	0	27	0	0	0	0	0	2	0	0	0	4	0	1	0	0	0	0	0
