"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Acer"	"Alnus"	"Amaranthaceae"	"Apiaceae"	"Araliaceae"	"Artemisia"	"Asteraceae"	"Betula"	"Brassicaceae"	"Caprifoliaceae"	"Caryophyllaceae"	"Cistaceae"	"Convolvulaceae"	"Corylus"	"Cyperaceae"	"Ericales"	"Fabaceae"	"Fagus"	"Fraxinus"	"Juglans"	"Juniperus"	"Lamiaceae"	"Lythraceae"	"Onagraceae"	"Ostrya.Carpinus"	"Pinus"	"Plantaginaceae"	"Poaceae"	"Polygonaceae"	"Populus"	"Quercus"	"Ranunculaceae"	"Rosaceae"	"Rubiaceae"	"Rumex"	"Salix"	"Thalictrum"	"Tilia"	"Ulmus"	"Viburnum"
23751	41102	"Vinderhoute-Kale"	51.07917	3.62278	190	"AWI"	190	10780	11449	11092	0	0	0	4	0	2	0	205	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	125	0	46	0	0	1	1	0	0	0	22	3	0	0	0
23751	41102	"Vinderhoute-Kale"	51.07917	3.62278	200	"AWI"	200	10843	11583	11192	0	0	0	3	0	9	0	275	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	137	0	41	0	1	0	2	0	0	0	22	2	0	1	1
23751	41102	"Vinderhoute-Kale"	51.07917	3.62278	210	"AWI"	210	10940	11681	11286	0	0	0	4	0	1	0	306	0	0	0	0	0	0	6	0	0	0	0	0	1	0	0	0	0	126	0	41	0	0	1	0	0	0	0	20	4	0	0	0
23751	41102	"Vinderhoute-Kale"	51.07917	3.62278	220	"AWI"	220	11023	11804	11381	0	0	0	1	0	1	0	141	2	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	62	0	0	0	0	0	0	0	0	0	7	1	0	2	0
23751	41102	"Vinderhoute-Kale"	51.07917	3.62278	230	"AWI"	230	11127	11904	11483	0	0	0	0	0	2	0	90	0	0	0	0	0	0	17	0	0	0	0	0	0	0	0	0	0	29	0	0	0	0	0	1	0	0	0	4	1	0	0	0
23751	41102	"Vinderhoute-Kale"	51.07917	3.62278	240	"AWI"	240	11240	12010	11579	0	0	0	3	0	6	0	155	0	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0	1	50	0	0	0	0	0	1	0	1	0	2	3	0	0	0
23751	41102	"Vinderhoute-Kale"	51.07917	3.62278	250	"AWI"	250	11347	12125	11679	0	0	1	2	0	5	0	435	0	0	0	0	0	0	27	0	0	0	0	0	0	0	0	1	1	48	0	0	0	0	0	0	0	2	0	14	1	0	0	0
23751	41102	"Vinderhoute-Kale"	51.07917	3.62278	260	"AWI"	260	11443	12287	11808	0	0	1	5	0	5	0	210	0	0	0	0	0	0	49	0	0	0	0	0	0	0	0	0	0	40	0	0	0	0	0	0	0	2	0	16	1	0	0	0
23751	41102	"Vinderhoute-Kale"	51.07917	3.62278	270	"AWI"	270	11518	12535	11931	0	0	0	10	0	4	0	120	0	0	0	0	0	0	87	3	0	0	0	0	5	0	0	0	0	42	1	0	0	0	0	4	0	1	0	8	1	0	0	1
23751	41102	"Vinderhoute-Kale"	51.07917	3.62278	280	"AWI"	280	11620	12692	12068	0	0	0	4	0	4	0	58	0	0	0	0	0	0	56	0	0	0	0	0	1	0	0	0	0	25	0	0	0	0	0	2	0	0	0	3	1	0	0	0
23751	41102	"Vinderhoute-Kale"	51.07917	3.62278	290	"AWI"	290	11720	12857	12197	0	1	0	2	0	3	0	43	0	0	0	0	0	0	41	0	0	0	0	0	0	0	0	0	0	17	1	0	0	0	0	0	0	2	0	5	0	0	0	0
23751	41102	"Vinderhoute-Kale"	51.07917	3.62278	300	"AWI"	300	11811	13032	12335	0	0	0	4	0	11	0	66	1	0	0	1	0	1	52	0	0	0	0	0	2	0	0	0	0	37	0	0	0	0	0	3	0	0	0	5	3	0	1	2
23751	41102	"Vinderhoute-Kale"	51.07917	3.62278	310	"AWI"	310	11923	13195	12475	0	0	0	8	0	7	0	73	1	0	0	1	0	0	42	0	0	0	0	0	1	0	0	0	0	25	0	0	0	0	0	1	0	3	0	10	1	0	0	0
23751	41102	"Vinderhoute-Kale"	51.07917	3.62278	320	"AWI"	320	12005	13373	12608	0	1	1	1	0	7	0	71	0	0	0	1	0	1	43	0	0	0	0	0	0	0	0	0	0	25	0	0	0	0	0	0	0	0	0	5	2	0	0	0
23751	41102	"Vinderhoute-Kale"	51.07917	3.62278	330	"AWI"	330	12129	13482	12746	0	0	0	8	0	3	0	56	0	0	0	0	0	1	59	0	0	0	0	0	4	1	0	0	0	29	2	0	0	0	2	2	0	1	0	8	2	0	2	1
23751	41102	"Vinderhoute-Kale"	51.07917	3.62278	340	"AWI"	340	12240	13635	12881	0	0	0	2	0	7	0	43	0	0	0	0	0	0	27	0	0	0	0	0	1	0	0	0	0	21	0	0	0	0	1	2	0	3	0	10	3	0	0	1
23751	41102	"Vinderhoute-Kale"	51.07917	3.62278	350	"AWI"	350	12344	13774	13012	0	0	3	2	0	4	0	55	1	0	0	0	0	0	80	0	0	0	0	0	2	0	0	0	0	35	0	0	0	0	0	2	0	2	0	11	0	0	0	0
23751	41102	"Vinderhoute-Kale"	51.07917	3.62278	360	"AWI"	360	12468	13889	13150	0	0	0	6	0	8	0	65	2	0	0	0	0	1	126	0	0	0	0	0	1	1	0	0	0	65	0	0	0	0	0	2	0	3	0	23	2	0	0	0
23751	41102	"Vinderhoute-Kale"	51.07917	3.62278	370	"AWI"	370	12560	14026	13284	0	0	0	2	0	16	0	125	0	0	0	0	0	1	140	0	0	0	0	0	0	0	0	0	0	48	0	0	0	0	0	2	0	1	0	20	4	0	0	0
23751	41102	"Vinderhoute-Kale"	51.07917	3.62278	380	"AWI"	380	12693	14149	13429	0	0	1	4	0	5	0	66	0	0	0	0	0	0	51	0	0	0	0	0	2	0	0	0	0	22	0	0	0	0	0	1	0	4	0	5	1	0	0	0
23751	41102	"Vinderhoute-Kale"	51.07917	3.62278	390	"AWI"	390	12819	14277	13567	0	0	0	3	0	4	0	145	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	18	0	0	0	0	0	1	0	2	0	4	4	0	0	1
23751	41102	"Vinderhoute-Kale"	51.07917	3.62278	400	"AWI"	400	12938	14394	13705	0	0	0	4	0	3	0	101	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	26	0	0	0	0	0	0	0	0	0	6	1	0	0	0
23751	41102	"Vinderhoute-Kale"	51.07917	3.62278	410	"AWI"	410	13088	14499	13841	0	0	0	6	0	2	0	160	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	35	0	0	0	0	0	0	0	1	0	6	1	0	0	0
23751	41102	"Vinderhoute-Kale"	51.07917	3.62278	420	"AWI"	420	13222	14637	13978	0	0	0	1	0	2	0	95	1	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	16	0	0	0	0	0	0	0	0	0	3	0	0	0	1
23751	41102	"Vinderhoute-Kale"	51.07917	3.62278	430	"AWI"	430	13388	14718	14122	0	0	0	1	0	5	0	150	0	0	0	0	0	0	21	0	0	0	0	0	2	0	0	0	0	26	0	0	0	0	0	0	0	2	0	3	1	0	0	0
23751	41102	"Vinderhoute-Kale"	51.07917	3.62278	440	"AWI"	440	13534	14832	14263	0	0	1	3	0	11	0	105	0	0	0	0	0	0	13	0	0	0	0	0	2	0	0	0	0	1	0	0	0	0	0	0	0	0	0	4	0	0	0	0
23751	41102	"Vinderhoute-Kale"	51.07917	3.62278	450	"AWI"	450	13699	14921	14405	0	0	0	4	0	13	0	90	0	0	0	0	0	0	15	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	3	0	8	0	6	4	0	0	0
23751	41102	"Vinderhoute-Kale"	51.07917	3.62278	460	"AWI"	460	13870	15000	14541	0	0	0	4	0	12	0	100	0	0	0	0	0	1	16	0	0	0	0	0	2	0	0	0	0	1	0	0	0	0	0	4	0	3	0	6	4	0	0	0
23751	41102	"Vinderhoute-Kale"	51.07917	3.62278	470	"AWI"	470	14000	15107	14685	0	0	0	3	0	13	0	125	0	0	0	0	0	0	18	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	4	0	0	0
23751	41102	"Vinderhoute-Kale"	51.07917	3.62278	480	"AWI"	480	14187	15175	14820	0	0	0	5	0	5	0	145	0	0	0	2	0	0	23	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	11	0	2	0	6	4	0	0	0
23751	41102	"Vinderhoute-Kale"	51.07917	3.62278	490	"AWI"	490	14337	15280	14959	0	0	0	3	0	10	0	115	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	4	0	3	0	6	4	0	0	0
23751	41102	"Vinderhoute-Kale"	51.07917	3.62278	500	"AWI"	500	14479	15407	15088	0	0	0	4	0	8	0	76	0	0	0	2	0	0	26	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	8	3	0	0	0
23751	41102	"Vinderhoute-Kale"	51.07917	3.62278	504	"AWI"	504	14515	15518	15134	0	0	0	0	0	9	0	72	0	0	0	5	0	1	79	0	0	0	0	0	0	0	0	0	0	1	3	0	0	0	0	0	0	3	0	6	0	0	0	0
