"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Abies"	"Acer"	"Alnus"	"Amaranthaceae"	"Apiaceae"	"Araliaceae"	"Artemisia"	"Asteraceae"	"Betula"	"Brassicaceae"	"Campanulaceae"	"Caprifoliaceae"	"Caryophyllaceae"	"Castanea"	"Cistaceae"	"Cornus"	"Corylus"	"Cyperaceae"	"Ephedraceae"	"Ericales"	"Fabaceae"	"Fagus"	"Fraxinus"	"Geraniaceae"	"Juglans"	"Juniperus"	"Lamiaceae"	"Liliaceae"	"Onagraceae"	"Ostrya.Carpinus"	"Paliurus"	"Picea"	"Pinus"	"Pistacia"	"Plantaginaceae"	"Poaceae"	"Polygonaceae"	"Populus"	"Quercus"	"Ranunculaceae"	"Rhamnus"	"Rosaceae"	"Rubiaceae"	"Rumex"	"Salix"	"Sambucus"	"Saxifragaceae"	"Thalictrum"	"Tilia"	"Ulmus"	"Urticaceae"	"Viburnum"	"Vitaceae"
15812	24325	"Elatia-Rhodopes"	41.47972	24.32583	100	"AWI"	100	1060	2435	1633	11	4	4	7	0	2	14	0	5	0	1	0	44	0	2	0	5	131	0	0	20	97	2	0	3	0	0	0	0	17	0	35	163	0	19	409	0	0	42	4	0	5	0	14	10	4	1	3	0	0	0	7	0
15812	24325	"Elatia-Rhodopes"	41.47972	24.32583	110	"AWI"	110	1219	2717	1876	4	5	1	1	0	0	7	0	1	0	1	0	15	0	0	0	2	163	1	0	4	108	2	0	5	11	0	0	0	17	0	19	153	0	19	313	0	0	41	9	2	0	0	10	6	1	0	3	0	0	0	4	0
15812	24325	"Elatia-Rhodopes"	41.47972	24.32583	120	"AWI"	120	1414	3007	2128	8	1	3	4	0	1	15	0	4	0	0	0	23	0	0	0	11	220	0	0	8	108	3	0	4	7	0	1	0	20	0	32	161	0	18	359	0	0	57	6	5	2	2	11	16	2	0	4	0	0	2	0	0
15812	24325	"Elatia-Rhodopes"	41.47972	24.32583	130	"AWI"	130	1630	3275	2380	44	0	4	4	0	1	0	0	6	0	0	0	130	0	0	0	3	76	0	1	4	37	2	0	2	0	0	0	0	0	0	106	132	0	8	179	0	0	32	0	0	0	4	10	5	0	0	1	0	0	0	0	0
15812	24325	"Elatia-Rhodopes"	41.47972	24.32583	140	"AWI"	140	1844	3518	2630	31	1	10	2	0	0	0	0	13	0	1	0	310	0	0	0	4	157	0	0	4	27	2	1	1	0	0	0	0	0	0	90	132	0	9	260	0	0	35	1	0	0	3	10	6	0	0	1	2	1	0	0	0
15812	24325	"Elatia-Rhodopes"	41.47972	24.32583	150	"AWI"	150	2067	3771	2870	2	0	11	3	0	2	4	0	132	0	8	0	353	0	0	0	22	322	0	4	6	20	3	0	1	0	0	0	1	48	0	12	0	0	30	695	0	0	105	0	0	0	13	13	18	0	0	0	0	0	0	0	0
15812	24325	"Elatia-Rhodopes"	41.47972	24.32583	160	"AWI"	160	2309	4038	3127	0	2	13	5	2	2	2	0	178	0	0	0	161	0	0	0	16	354	0	5	1	17	0	0	0	0	0	0	1	34	0	8	0	0	42	637	0	1	87	0	0	0	5	12	0	0	0	0	0	0	0	0	1
15812	24325	"Elatia-Rhodopes"	41.47972	24.32583	170	"AWI"	170	2569	4273	3363	2	1	15	3	3	0	5	0	173	0	2	0	272	0	1	0	17	326	0	2	2	23	1	2	2	0	0	0	0	35	0	7	0	0	127	899	0	0	63	1	0	0	4	4	9	0	0	0	5	0	0	0	0
15812	24325	"Elatia-Rhodopes"	41.47972	24.32583	180	"AWI"	180	2834	4495	3613	41	0	16	6	0	0	0	0	44	0	0	0	6	0	0	0	19	163	0	2	2	27	0	0	1	0	0	0	0	53	0	122	0	0	12	449	0	1	24	0	0	0	6	0	11	0	0	0	22	0	0	0	0
15812	24325	"Elatia-Rhodopes"	41.47972	24.32583	190	"AWI"	190	3015	4874	3847	48	3	12	6	0	2	3	0	65	0	1	0	17	0	0	0	20	114	0	6	2	25	0	0	1	0	0	0	5	34	0	104	0	0	7	308	0	0	36	0	0	0	7	1	14	0	0	0	29	3	0	0	0
