"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Acer"	"Alnus"	"Amaranthaceae"	"Apiaceae"	"Artemisia"	"Asteraceae"	"Betula"	"Boraginaceae"	"Campanulaceae"	"Cannabaceae"	"Caryophyllaceae"	"Celtis"	"Cistaceae"	"Cornus"	"Corylus"	"Crassulaceae"	"Cyperaceae"	"Ericales"	"Euphorbiaceae"	"Fabaceae"	"Fagus"	"Fraxinus"	"Gentianaceae"	"Iridaceae"	"Juglans"	"Juniperus"	"Lamiaceae"	"Liliaceae"	"Linaceae"	"Liquidambar"	"Malvaceae"	"Myrica"	"Nartheciaceae"	"Orobanchaceae"	"Ostrya.Carpinus"	"Picea"	"Pinus"	"Plantaginaceae"	"Poaceae"	"Polygonaceae"	"Populus"	"Primulaceae"	"Quercus"	"Ranunculaceae"	"Rosaceae"	"Rubiaceae"	"Rumex"	"Salix"	"Sambucus"	"Saxifragaceae"	"Solanaceae"	"Tamaricaceae"	"Thalictrum"	"Tilia"	"Tofieldiaceae"	"Ulmus"	"Urticaceae"
26596	46544	"Parika"	58.48888	25.77353	225	"AWI"	225	1375	1722	1514	0	118	0	0	0	0	0	0	0	0	0	0	0	0	22	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	104	165	0	0	1	0	0	9	0	0	0	0	4	0	0	0	0	0	1	0	6	0
26596	46544	"Parika"	58.48888	25.77353	245	"AWI"	245	1499	1931	1698	0	53	0	0	0	0	0	0	0	0	0	0	0	0	14	0	0	0	0	0	0	5	0	0	0	0	0	0	0	1	0	0	0	0	0	162	116	0	0	0	0	0	9	0	0	0	0	1	0	0	0	0	1	4	0	5	2
26596	46544	"Parika"	58.48888	25.77353	265	"AWI"	265	1655	2100	1879	0	124	0	1	1	0	0	0	0	0	0	0	0	0	30	0	0	0	0	0	0	2	0	1	0	0	0	0	0	0	0	0	0	0	0	141	150	0	0	0	0	0	5	0	0	0	0	1	1	0	0	0	0	5	0	4	2
26596	46544	"Parika"	58.48888	25.77353	285	"AWI"	285	1845	2242	2059	0	96	1	1	1	0	0	0	0	0	0	0	0	0	23	0	0	0	0	0	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	189	165	0	0	0	0	0	7	0	0	0	0	2	0	0	0	0	0	5	0	6	2
26596	46544	"Parika"	58.48888	25.77353	305	"AWI"	305	2074	2360	2243	0	149	0	0	1	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	70	154	0	0	0	1	0	9	0	0	0	0	1	0	0	3	0	0	5	0	5	1
26596	46544	"Parika"	58.48888	25.77353	325	"AWI"	325	2244	2711	2448	0	104	0	0	0	0	117	0	0	0	0	0	0	0	7	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	175	152	0	0	2	1	0	8	0	0	0	0	0	0	0	0	0	0	8	0	10	0
26596	46544	"Parika"	58.48888	25.77353	345	"AWI"	345	2408	2957	2668	0	153	0	0	0	0	0	0	0	0	0	0	0	0	54	0	0	0	0	0	1	6	0	0	0	0	0	0	0	0	0	0	0	0	0	123	137	0	0	0	0	0	19	0	0	0	0	1	3	0	1	0	0	11	0	6	1
26596	46544	"Parika"	58.48888	25.77353	365	"AWI"	365	2615	3172	2892	0	140	0	0	0	0	156	0	0	0	0	0	0	0	55	0	9	0	0	0	0	5	0	0	0	1	0	0	0	0	0	0	1	0	0	103	99	0	0	0	0	0	25	0	0	0	0	5	0	0	0	0	0	7	0	9	2
26596	46544	"Parika"	58.48888	25.77353	385	"AWI"	385	2852	3367	3119	0	92	0	0	0	0	0	0	0	0	0	0	0	0	46	0	0	0	0	0	1	3	0	0	0	0	0	0	0	0	0	0	0	0	0	169	76	0	0	0	0	0	5	0	0	0	0	1	0	0	0	0	0	8	0	24	0
26596	46544	"Parika"	58.48888	25.77353	405	"AWI"	405	3166	3571	3353	0	93	0	0	3	0	0	0	0	0	0	0	0	0	32	0	0	0	0	0	2	5	0	0	0	0	0	0	0	0	0	1	0	0	0	229	134	0	0	1	0	1	14	0	0	0	0	2	0	0	1	0	2	14	0	29	0
26596	46544	"Parika"	58.48888	25.77353	425	"AWI"	425	3366	4062	3649	0	122	0	0	2	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	188	65	0	0	1	2	0	19	0	0	0	0	1	0	0	0	0	0	13	0	23	0
26596	46544	"Parika"	58.48888	25.77353	445	"AWI"	445	3587	4469	3982	1	201	0	1	2	0	0	0	0	0	0	0	0	0	53	0	0	0	0	0	1	9	0	0	0	0	0	0	0	0	0	5	0	0	0	237	207	0	0	1	0	0	23	0	0	0	0	6	0	0	0	0	0	22	0	35	2
26596	46544	"Parika"	58.48888	25.77353	465	"AWI"	465	3854	4832	4320	0	232	0	0	0	0	181	0	0	0	0	0	0	0	37	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	155	158	0	0	0	0	0	34	0	0	0	0	1	0	1	0	0	0	17	0	33	0
26596	46544	"Parika"	58.48888	25.77353	485	"AWI"	485	4161	5149	4663	0	207	0	0	3	0	0	0	0	0	0	0	0	0	41	0	0	0	0	0	9	10	0	0	0	0	0	0	0	0	0	1	0	0	0	64	117	0	0	0	1	0	24	0	0	0	0	2	0	0	0	0	0	18	0	53	1
26596	46544	"Parika"	58.48888	25.77353	505	"AWI"	505	4494	5422	4992	0	218	0	0	2	0	173	0	0	0	0	0	0	0	40	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	69	107	0	0	0	1	0	18	0	0	0	0	0	0	0	0	0	0	49	0	41	0
26596	46544	"Parika"	58.48888	25.77353	525	"AWI"	525	4877	5677	5324	0	137	1	0	1	0	0	0	0	0	0	0	0	0	79	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	86	71	0	0	0	3	0	12	0	0	0	0	0	0	0	0	0	0	28	0	30	1
26596	46544	"Parika"	58.48888	25.77353	545	"AWI"	545	5358	5873	5637	0	192	0	0	2	0	124	0	0	0	0	0	0	0	34	0	0	0	0	0	1	4	1	0	0	0	0	0	0	0	0	0	0	0	0	95	274	0	0	1	0	0	22	0	0	0	0	4	0	0	0	0	0	24	0	47	0
26596	46544	"Parika"	58.48888	25.77353	565	"AWI"	565	5767	6343	6016	0	55	0	0	2	0	0	0	0	0	0	0	0	0	43	0	0	0	0	0	0	5	0	0	0	0	0	0	1	0	0	0	0	0	0	98	160	0	0	0	2	0	24	0	0	0	0	0	0	0	0	0	0	30	0	32	4
26596	46544	"Parika"	58.48888	25.77353	585	"AWI"	585	6076	6988	6520	0	158	0	0	0	0	0	0	0	0	0	0	0	0	74	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	72	253	0	0	0	2	0	4	0	0	0	0	1	1	0	0	0	0	38	0	37	0
26596	46544	"Parika"	58.48888	25.77353	605	"AWI"	605	6590	7385	7053	0	127	0	0	1	0	140	0	0	0	0	0	0	0	24	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17	188	0	0	0	1	0	7	0	0	0	0	0	0	0	1	0	0	22	0	19	0
26596	46544	"Parika"	58.48888	25.77353	625	"AWI"	625	7316	7641	7508	0	231	0	0	2	0	125	0	0	0	0	0	1	0	175	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	3	0	0	2	20	257	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	1	31	0	49	2
26596	46544	"Parika"	58.48888	25.77353	645	"AWI"	645	7527	8074	7772	0	55	0	1	0	0	203	0	0	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17	214	0	0	0	1	0	6	0	0	0	0	0	0	0	0	0	0	9	0	39	1
26596	46544	"Parika"	58.48888	25.77353	665	"AWI"	665	7729	8358	8027	0	222	0	1	2	0	240	0	0	0	0	0	0	0	50	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	14	153	0	0	0	0	0	7	0	0	0	0	0	1	0	0	0	0	4	0	51	5
26596	46544	"Parika"	58.48888	25.77353	685	"AWI"	685	7956	8608	8287	0	87	0	0	5	0	228	0	0	0	0	0	0	0	27	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	9	194	0	0	0	2	0	3	0	0	0	0	2	0	0	0	0	0	2	0	41	4
26596	46544	"Parika"	58.48888	25.77353	705	"AWI"	705	8245	8824	8543	0	51	0	0	1	0	155	0	0	0	0	0	0	0	30	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	33	462	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	12	0	15	1
26596	46544	"Parika"	58.48888	25.77353	725	"AWI"	725	8596	8993	8792	0	10	0	1	1	0	144	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	338	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	4	3
26596	46544	"Parika"	58.48888	25.77353	745	"AWI"	745	8775	9365	9053	0	15	0	0	0	0	84	0	0	0	0	1	0	1	29	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	420	0	0	0	0	0	1	0	0	0	0	0	1	0	3	0	0	0	1	7	0
26596	46544	"Parika"	58.48888	25.77353	765	"AWI"	765	8975	9660	9307	0	4	0	0	1	0	222	0	0	0	0	0	0	0	18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	351	0	0	3	2	0	2	0	0	0	0	3	0	0	0	2	0	0	0	13	0
26596	46544	"Parika"	58.48888	25.77353	785	"AWI"	785	9206	9924	9575	0	17	0	0	0	0	0	1	0	0	0	0	0	0	38	1	0	0	0	0	1	11	0	0	0	0	0	1	0	0	0	4	0	0	6	6	277	0	0	0	6	0	3	0	0	0	0	1	0	8	0	0	0	1	0	13	3
26596	46544	"Parika"	58.48888	25.77353	805	"AWI"	805	9488	10144	9834	0	38	0	1	1	0	246	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	249	0	0	1	1	0	5	0	0	0	0	2	0	0	0	0	0	2	0	8	2
26596	46544	"Parika"	58.48888	25.77353	825	"AWI"	825	9760	10378	10105	1	12	3	0	2	0	305	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	207	0	0	0	1	0	1	0	0	0	0	6	0	0	0	0	0	2	0	7	3
26596	46544	"Parika"	58.48888	25.77353	845	"AWI"	845	9958	10757	10344	2	4	1	0	1	0	412	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	1	0	0	0	0	1	120	0	0	1	3	0	0	0	0	1	0	11	0	0	0	0	0	1	0	3	1
26596	46544	"Parika"	58.48888	25.77353	865	"AWI"	865	10161	11127	10597	8	2	0	0	3	0	435	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	145	0	0	4	1	0	0	0	0	0	0	5	0	0	0	0	0	1	0	2	11
26596	46544	"Parika"	58.48888	25.77353	885	"AWI"	885	10347	11478	10854	1	5	3	1	0	0	250	0	0	0	0	0	0	0	1	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	12	163	0	0	2	4	0	2	0	0	1	0	9	0	2	0	0	0	1	0	5	0
26596	46544	"Parika"	58.48888	25.77353	905	"AWI"	905	10547	11820	11110	0	4	0	0	0	0	167	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	2	148	0	0	0	1	0	0	0	0	0	0	6	0	0	0	0	0	0	0	2	0
26596	46544	"Parika"	58.48888	25.77353	925	"AWI"	925	10751	12139	11372	3	1	4	0	5	0	321	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	155	0	0	1	6	0	0	0	0	0	0	3	0	0	0	0	1	1	0	4	2
