"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Abies"	"Acer"	"Alnus"	"Amaranthaceae"	"Apiaceae"	"Araliaceae"	"Artemisia"	"Asteraceae"	"Betula"	"Brassicaceae"	"Campanulaceae"	"Caprifoliaceae"	"Caryophyllaceae"	"Castanea"	"Cistaceae"	"Corylus"	"Cyperaceae"	"Ericales"	"Fabaceae"	"Fagus"	"Frangula"	"Fraxinus"	"Gentianaceae"	"Juglans"	"Larix"	"Liliaceae"	"Orobanchaceae"	"Ostrya.Carpinus"	"Picea"	"Pinus"	"Plantaginaceae"	"Poaceae"	"Populus"	"Quercus"	"Ranunculaceae"	"Rosaceae"	"Rubiaceae"	"Rumex"	"Salix"	"Sambucus"	"Saxifragaceae"	"Scrophulariaceae"	"Thalictrum"	"Tilia"	"Ulmus"	"Urticaceae"
16616	26319	"Dortmunder Hütte"	47.21091	11.00155	60	"AWI"	60	3834	4579	4272	67	0	163	0	0	0	3	0	19	0	2	0	0	0	0	12	179	4	1	19	0	0	0	0	1	0	0	0	452	293	0	0	0	7	0	0	0	0	1	0	0	0	1	4	11	0
16616	26319	"Dortmunder Hütte"	47.21091	11.00155	65	"AWI"	65	4007	4707	4402	33	0	113	0	1	0	0	0	19	0	0	0	0	0	0	16	53	0	2	18	0	0	0	0	0	0	0	0	334	203	0	0	0	3	0	0	0	0	0	0	0	0	0	0	7	0
16616	26319	"Dortmunder Hütte"	47.21091	11.00155	70	"AWI"	70	4189	4842	4531	35	0	102	0	0	0	1	0	14	0	0	0	0	0	0	4	43	0	0	22	0	1	0	0	0	0	0	1	248	198	0	0	1	7	0	0	0	1	1	0	0	0	1	1	3	2
16616	26319	"Dortmunder Hütte"	47.21091	11.00155	75	"AWI"	75	4387	5003	4667	34	0	150	0	0	0	1	0	11	0	0	0	0	0	0	5	142	0	0	15	0	0	0	0	0	0	0	0	242	242	0	0	0	10	0	0	0	0	0	0	0	1	2	4	7	0
16616	26319	"Dortmunder Hütte"	47.21091	11.00155	80	"AWI"	80	4525	5193	4818	31	0	115	0	0	0	3	0	20	0	2	0	0	0	0	6	46	0	0	14	0	0	0	0	0	0	0	0	286	320	0	0	0	4	0	0	0	1	0	0	0	1	0	3	3	0
16616	26319	"Dortmunder Hütte"	47.21091	11.00155	85	"AWI"	85	4646	5423	4991	34	0	225	0	1	0	1	0	18	0	0	0	0	0	3	12	90	0	2	7	0	0	0	0	0	0	0	0	273	255	0	0	5	12	0	0	0	2	0	0	0	0	0	2	1	0
16616	26319	"Dortmunder Hütte"	47.21091	11.00155	90	"AWI"	90	4801	5616	5185	42	0	114	0	0	1	2	0	19	0	0	0	0	0	0	7	93	0	0	10	0	0	0	0	2	0	0	0	394	274	0	0	0	9	0	0	0	0	0	0	0	0	0	3	2	0
16616	26319	"Dortmunder Hütte"	47.21091	11.00155	95	"AWI"	95	4952	5804	5375	40	1	117	2	4	0	1	0	22	0	2	0	0	0	0	15	102	0	0	8	0	0	0	0	2	0	0	0	343	267	0	0	0	5	0	0	0	5	1	0	0	0	0	2	7	0
16616	26319	"Dortmunder Hütte"	47.21091	11.00155	98	"AWI"	98	5033	5902	5496	37	1	0	0	0	0	1	0	26	0	0	0	3	0	0	17	65	0	0	11	0	1	0	0	0	0	0	0	294	248	0	0	0	11	0	0	0	1	1	0	0	0	1	4	1	1
16616	26319	"Dortmunder Hütte"	47.21091	11.00155	102	"AWI"	102	5220	6018	5643	28	0	131	0	4	0	1	0	32	0	0	0	1	0	0	6	152	0	0	10	0	0	0	0	1	0	0	0	367	270	0	0	0	7	0	0	0	0	0	0	0	0	0	6	5	0
16616	26319	"Dortmunder Hütte"	47.21091	11.00155	105	"AWI"	105	5335	6099	5764	22	1	154	0	1	0	1	0	31	0	0	0	0	0	0	13	70	0	0	0	0	0	0	0	0	0	0	0	395	312	0	0	0	5	0	0	0	1	0	0	2	0	0	3	3	0
16616	26319	"Dortmunder Hütte"	47.21091	11.00155	110	"AWI"	110	5618	6197	5940	24	1	175	0	2	0	1	0	22	0	0	0	2	0	0	6	122	0	0	8	1	0	0	0	0	0	0	0	319	269	0	0	0	9	0	0	0	0	0	0	0	0	0	3	12	2
16616	26319	"Dortmunder Hütte"	47.21091	11.00155	115	"AWI"	115	5784	6345	6108	35	0	108	0	17	0	1	0	24	0	1	0	2	0	0	10	51	0	0	1	0	0	0	0	0	0	0	0	380	315	0	0	0	6	0	0	0	1	0	0	0	0	1	4	15	0
16616	26319	"Dortmunder Hütte"	47.21091	11.00155	120	"AWI"	120	5889	6572	6235	30	0	125	1	2	0	1	0	36	0	0	0	1	0	0	6	39	0	0	3	0	1	1	0	0	0	0	0	354	313	0	0	0	8	0	0	0	0	0	1	0	2	1	4	7	0
16616	26319	"Dortmunder Hütte"	47.21091	11.00155	125	"AWI"	125	6007	6731	6374	12	1	93	0	1	0	3	0	22	0	0	0	0	0	0	16	27	0	0	3	0	0	0	0	0	0	0	0	316	243	0	0	0	13	0	0	0	1	0	0	0	0	0	7	8	0
16616	26319	"Dortmunder Hütte"	47.21091	11.00155	130	"AWI"	130	6169	6872	6513	21	1	123	0	0	0	0	0	43	0	0	0	1	0	0	15	99	0	0	5	0	1	0	0	1	0	0	0	323	247	0	0	0	16	0	0	0	0	0	0	0	1	0	2	14	0
16616	26319	"Dortmunder Hütte"	47.21091	11.00155	135	"AWI"	135	6312	6996	6653	17	0	125	0	0	0	3	0	13	0	0	0	1	0	0	16	43	0	0	3	0	0	0	0	0	0	0	0	331	213	0	0	1	5	0	0	0	0	0	0	0	0	0	3	5	0
16616	26319	"Dortmunder Hütte"	47.21091	11.00155	140	"AWI"	140	6450	7123	6793	4	0	130	0	5	0	4	0	24	0	0	1	0	0	0	3	50	0	0	1	0	2	0	0	1	0	0	0	285	265	0	0	0	11	0	0	0	2	0	0	0	0	1	4	10	0
16616	26319	"Dortmunder Hütte"	47.21091	11.00155	145	"AWI"	145	6640	7229	6928	5	0	102	0	1	0	1	0	36	0	0	0	0	0	0	16	8	0	0	1	0	0	0	0	0	0	0	0	398	261	0	0	0	6	0	0	0	0	0	0	0	0	0	4	6	0
16616	26319	"Dortmunder Hütte"	47.21091	11.00155	148	"AWI"	148	6764	7323	7031	0	0	99	0	1	0	6	0	33	0	3	0	0	0	0	27	30	43	0	1	1	0	0	0	0	0	0	0	455	317	0	0	0	17	0	0	0	0	0	0	0	0	2	3	23	0
16616	26319	"Dortmunder Hütte"	47.21091	11.00155	152	"AWI"	152	6851	7575	7181	0	0	74	0	2	0	1	0	18	0	0	0	0	0	0	12	15	0	0	2	0	4	0	0	0	0	0	0	458	356	0	0	0	12	0	0	0	0	0	0	0	0	0	3	9	0
16616	26319	"Dortmunder Hütte"	47.21091	11.00155	155	"AWI"	155	6953	7717	7301	1	0	63	0	0	0	0	0	482	0	0	0	0	0	0	3	27	0	0	0	0	0	0	0	0	0	0	0	211	166	0	0	0	4	0	0	0	0	0	0	0	0	0	0	2	0
16616	26319	"Dortmunder Hütte"	47.21091	11.00155	160	"AWI"	160	7074	8032	7500	2	0	82	0	4	0	1	0	37	0	0	0	0	0	0	15	241	17	0	1	0	2	0	0	2	0	0	0	344	216	0	0	0	10	0	0	0	0	0	0	0	1	0	6	7	0
16616	26319	"Dortmunder Hütte"	47.21091	11.00155	165	"AWI"	165	7241	8244	7718	2	0	48	0	0	0	0	0	73	0	1	0	0	0	0	11	8	0	0	0	0	0	0	0	0	0	0	0	378	238	0	0	0	6	0	0	0	0	2	0	0	0	0	7	11	0
16616	26319	"Dortmunder Hütte"	47.21091	11.00155	170	"AWI"	170	7449	8429	7927	0	0	38	0	1	0	0	0	32	0	0	0	0	0	0	10	0	0	0	0	0	1	0	0	0	0	0	0	336	599	0	0	0	1	0	0	0	0	0	0	0	0	1	1	2	0
16616	26319	"Dortmunder Hütte"	47.21091	11.00155	175	"AWI"	175	7695	8615	8132	0	1	86	0	5	0	0	0	153	0	0	0	0	0	0	18	9	0	0	0	0	1	0	0	0	0	0	1	356	396	0	0	0	9	0	0	0	0	2	0	0	1	0	3	9	1
16616	26319	"Dortmunder Hütte"	47.21091	11.00155	180	"AWI"	180	7968	8833	8346	2	0	89	0	3	0	1	0	37	0	1	0	0	0	0	56	0	166	1	1	0	0	0	0	0	0	0	0	302	375	0	0	0	5	0	0	0	0	1	0	0	0	2	10	10	0
16616	26319	"Dortmunder Hütte"	47.21091	11.00155	185	"AWI"	185	8261	9054	8602	1	0	54	0	4	0	0	0	111	0	1	0	3	0	0	33	0	0	0	0	0	0	0	0	0	0	0	0	150	693	0	0	0	1	0	0	0	0	2	0	0	1	5	9	2	0
16616	26319	"Dortmunder Hütte"	47.21091	11.00155	190	"AWI"	190	8508	9269	8928	0	0	17	0	14	0	1	0	43	0	1	0	0	0	0	26	0	0	0	0	0	0	0	0	1	0	0	0	2	617	0	0	0	0	0	0	0	0	0	0	0	0	1	9	3	0
16616	26319	"Dortmunder Hütte"	47.21091	11.00155	195	"AWI"	195	8669	9583	9172	0	0	0	0	3	0	4	0	5	0	0	0	3	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	1	0	0
16616	26319	"Dortmunder Hütte"	47.21091	11.00155	199	"AWI"	199	8737	9933	9297	0	0	0	4	0	0	6	0	3	0	2	1	32	0	0	5	8	0	0	0	0	0	0	0	0	0	4	0	1	0	0	0	1	0	0	0	0	0	0	0	0	3	0	0	0	0
