"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Acer"	"Alnus"	"Amaranthaceae"	"Apiaceae"	"Artemisia"	"Asteraceae"	"Betula"	"Brassicaceae"	"Campanulaceae"	"Cannabaceae"	"Caprifoliaceae"	"Caryophyllaceae"	"Cornus"	"Corylus"	"Crassulaceae"	"Cyperaceae"	"Elaeagnaceae"	"Ericales"	"Fabaceae"	"Fagus"	"Frangula"	"Fraxinus"	"Gentianaceae"	"Geraniaceae"	"Indeterminable"	"Juncaceae"	"Juniperus"	"Lentibulariaceae"	"Onagraceae"	"Orobanchaceae"	"Ostrya.Carpinus"	"Picea"	"Pinus"	"Plantaginaceae"	"Plumbaginaceae"	"Poaceae"	"Polygonaceae"	"Populus"	"Primulaceae"	"Prunus"	"Quercus"	"Ranunculaceae"	"Rosaceae"	"Rubiaceae"	"Rumex"	"Salix"	"Sorbus"	"Thalictrum"	"Tilia"	"Ulmus"	"Urticaceae"
26221	45731	"Isbenttjønn"	59.76475	7.433998	1046	"AWI"	1046	3272	4228	3637	0	30	0	0	0	0	0	0	0	0	0	0	0	14	0	24	0	0	0	0	0	4	0	0	3	0	0	0	0	0	0	0	0	0	0	19	0	0	0	0	10	0	0	0	0	2	0	0	1	7	2
26221	45731	"Isbenttjønn"	59.76475	7.433998	1050	"AWI"	1050	3355	4437	3835	0	36	0	0	2	0	0	0	0	0	0	0	0	8	0	34	0	0	0	1	0	1	0	0	1	0	0	0	0	8	0	0	296	0	0	0	0	1	0	0	15	0	0	0	0	0	0	0	0	6	4
26221	45731	"Isbenttjønn"	59.76475	7.433998	1054	"AWI"	1054	3513	4623	4022	0	35	0	0	0	0	0	0	1	0	0	0	0	15	0	21	0	0	0	0	0	3	0	0	3	0	0	0	1	0	1	0	198	1	0	0	0	1	0	0	18	0	0	0	0	0	0	0	1	6	6
26221	45731	"Isbenttjønn"	59.76475	7.433998	1058	"AWI"	1058	3626	4815	4207	0	31	0	0	0	0	0	0	0	0	0	0	0	5	0	35	0	0	0	1	0	1	0	0	3	0	0	1	0	0	0	0	263	2	0	0	0	0	0	0	21	0	0	0	0	2	1	0	0	6	2
26221	45731	"Isbenttjønn"	59.76475	7.433998	1062	"AWI"	1062	3834	4958	4395	0	23	1	0	0	0	144	0	0	0	1	0	0	9	0	18	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	228	1	0	0	0	0	0	0	13	0	0	0	0	1	1	0	0	3	0
26221	45731	"Isbenttjønn"	59.76475	7.433998	1066	"AWI"	1066	3953	5158	4589	0	29	0	0	0	0	132	0	0	0	0	0	0	7	0	22	0	0	0	0	0	2	0	1	4	1	0	0	0	0	0	0	255	0	0	0	0	0	0	0	15	0	0	1	0	0	0	0	0	8	0
26221	45731	"Isbenttjønn"	59.76475	7.433998	1070	"AWI"	1070	4184	5248	4794	0	39	0	0	0	0	206	0	0	0	0	0	0	16	0	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	291	2	0	0	0	1	0	0	12	0	0	0	0	0	0	0	1	6	3
26221	45731	"Isbenttjønn"	59.76475	7.433998	1074	"AWI"	1074	4408	5383	4989	0	14	0	0	0	0	0	0	0	0	0	0	1	7	0	12	0	0	0	0	0	1	0	0	7	1	0	0	0	0	0	0	275	0	0	0	1	0	0	1	11	0	0	0	0	0	0	0	4	8	1
26221	45731	"Isbenttjønn"	59.76475	7.433998	1078	"AWI"	1078	4739	5460	5167	0	33	0	0	0	0	151	0	0	0	0	0	0	14	0	11	0	0	0	0	0	7	0	0	1	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	27	0	0	0	0	1	0	0	1	4	1
26221	45731	"Isbenttjønn"	59.76475	7.433998	1082	"AWI"	1082	5013	5553	5340	0	21	0	0	1	0	0	0	0	0	0	0	0	11	0	12	0	0	0	0	0	3	0	0	1	0	0	0	0	0	0	0	293	0	0	0	0	0	0	0	13	0	0	0	0	0	1	0	1	3	0
