"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Abies"	"Acer"	"Alnus"	"Amaranthaceae"	"Apiaceae"	"Araliaceae"	"Artemisia"	"Asteraceae"	"Betula"	"Brassicaceae"	"Campanulaceae"	"Cannabaceae"	"Caryophyllaceae"	"Celastraceae"	"Cistaceae"	"Corylus"	"Cyperaceae"	"Elaeagnaceae"	"Ephedraceae"	"Ericales"	"Fabaceae"	"Fagus"	"Fraxinus"	"Gentianaceae"	"Geraniaceae"	"Juniperus"	"Lamiaceae"	"Larix"	"Liliaceae"	"Linaceae"	"Onagraceae"	"Orobanchaceae"	"Ostrya.Carpinus"	"Picea"	"Pinus"	"Plantaginaceae"	"Plumbaginaceae"	"Poaceae"	"Polygonaceae"	"Populus"	"Prunus"	"Quercus"	"Ranunculaceae"	"Rosaceae"	"Rubiaceae"	"Rumex"	"Salix"	"Saxifragaceae"	"Scrophulariaceae"	"Sorbus"	"Thalictrum"	"Thymelaeaceae"	"Tilia"	"Ulmus"	"Urticaceae"	"Viburnum"
14524	22757	"Plešné jezero"	48.775332	13.864648	3	"AWI"	3	-55	230	83	31.3008130081301	0.813008130081301	0	0.40650406504065	0	0	0.40650406504065	0	0	1.21951219512195	0	0	0	0	0	6.50406504065041	0	0	0	0	0	22.3577235772358	0	0	0	0	0	0	0	0	0	0	1.6260162601626	0	0	0	0	28.8617886178862	0	0	0	5.28455284552846	0	0	0	0	0	0	0	0	0	0.40650406504065	0.40650406504065	0.40650406504065	0	0
14524	22757	"Plešné jezero"	48.775332	13.864648	6	"AWI"	6	-35	477	199	48.4210526315789	0	0	0.526315789473684	0	0	0	0	0	1.05263157894737	0	0	0	0	0	7.89473684210526	3.15789473684211	0	0	3.15789473684211	0	24.2105263157895	1.05263157894737	0	0	0.526315789473684	0	0	0	0	0	0	2.63157894736842	0	0	0	0	0	0	0	0	3.68421052631579	0	0	0.526315789473684	0	0	0	1.57894736842105	0	0	0	0.526315789473684	0.526315789473684	0.526315789473684	0
14524	22757	"Plešné jezero"	48.775332	13.864648	9	"AWI"	9	-21	733	316	17.6190476190476	0	0	0.952380952380952	0	0	0.476190476190476	0	0	0	0	0	0	0	0	2.85714285714286	0	0	0	0	0	14.2857142857143	0	0	0	0.476190476190476	0	0	0	0	0	0	0	0	0	0	0	56.6666666666667	0	0	0	4.76190476190476	0	0	0.476190476190476	0	0	0	0	0	0	0	0	1.42857142857143	0	0
14524	22757	"Plešné jezero"	48.775332	13.864648	12	"AWI"	12	-10	992	434	24.2424242424242	0.757575757575758	0	0	0	0	0.757575757575758	0	0	0	0	0	0	0	0	3.78787878787879	0	0	0	0	0	23.4848484848485	0	0	0	0.757575757575758	0	0	0	0	0	0	1.51515151515152	0	0	0	0	44.6969696969697	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
14524	22757	"Plešné jezero"	48.775332	13.864648	15	"AWI"	15	-1	1254	552	22.3140495867769	0	0	0	0	0	0	0	0	0	0	2.47933884297521	0	0	0	5.78512396694215	0	0	0	0	0	44.6280991735537	0	0	0	5.78512396694215	0	0	0	0	0	0	1.65289256198347	0	0	0	0	0	0	0	0	14.8760330578512	0	0	0	0	0	0	0	0	0	0	0.826446280991736	0.826446280991736	0.826446280991736	0
14524	22757	"Plešné jezero"	48.775332	13.864648	18	"AWI"	18	7	1513	670	20.1793721973094	0	0	0	0	0	0	0	0	1.34529147982063	0	0.896860986547085	0	0	0	7.17488789237668	0	0	0	0	0	47.085201793722	0	0	0	2.69058295964126	0	0	0	0	0	0	2.24215246636771	0	0	0	0	0	0	0	0	15.695067264574	0	0	0	0	0	0	0	0	0	0	0	2.24215246636771	0	0.448430493273543
14524	22757	"Plešné jezero"	48.775332	13.864648	21	"AWI"	21	139	1583	773	16.3636363636364	0.909090909090909	0	0	0	0	0.606060606060606	0	24.2424242424242	0	0	0.909090909090909	0	0	0	6.66666666666667	0	0	0	0	0	43.9393939393939	0.303030303030303	0	0	0.606060606060606	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.15151515151515	0	0	0	0	0	0	0	0	0	0	0	0.303030303030303	0	0
14524	22757	"Plešné jezero"	48.775332	13.864648	24	"AWI"	24	229	1613	881	40.7894736842105	0	0	0.657894736842105	0	0	1.31578947368421	0	0	0	0	0.657894736842105	0	0	0	9.86842105263158	1.97368421052632	0	0	0	0	36.1842105263158	0	0	0	1.31578947368421	0	0	0	0	0	0	0.657894736842105	0	0	0	0	0	0	0	0	3.28947368421053	0	0	0	0	0	0	0	0	0.657894736842105	0	0	2.63157894736842	0	0
14524	22757	"Plešné jezero"	48.775332	13.864648	27	"AWI"	27	305	1661	1004	35.2657004830918	0	0	0	0	0	0.966183574879227	0	0	0.966183574879227	0	0.966183574879227	0	0	0	2.89855072463768	0.483091787439614	0	0	0	0	32.8502415458937	0	0	0	0.483091787439614	0	0.483091787439614	0	0	0	0	0.483091787439614	0	0	0	0	16.9082125603865	0	0.483091787439614	0	5.31400966183575	0	0	0	0	0	0	0	0	0	0	0	1.44927536231884	0	0
14524	22757	"Plešné jezero"	48.775332	13.864648	30	"AWI"	30	370	1718	1137	36.2204724409449	0.393700787401575	0	0	0	0	1.18110236220472	0	0	0.393700787401575	0	1.5748031496063	0	0	0	6.69291338582677	2.36220472440945	0	0	0	0	39.7637795275591	0	0	0	0	0	0	0	0	0	0	0.78740157480315	0	0	0	0	0	0	0	0	4.7244094488189	0	0	0	0	0	0	0	0	0	0	1.18110236220472	0.78740157480315	3.93700787401575	0
