"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Acer"	"Alnus"	"Amaranthaceae"	"Apiaceae"	"Araliaceae"	"Artemisia"	"Asteraceae"	"Betula"	"Brassicaceae"	"Campanulaceae"	"Caryophyllaceae"	"Corylus"	"Cyperaceae"	"Ericales"	"Fabaceae"	"Fagus"	"Ilex"	"Juglans"	"Lamiaceae"	"Linaceae"	"Malvaceae"	"Onagraceae"	"Ostrya.Carpinus"	"Papaveraceae"	"Pinus"	"Plantaginaceae"	"Poaceae"	"Polygonaceae"	"Quercus"	"Ranunculaceae"	"Rosaceae"	"Rubiaceae"	"Rumex"	"Salix"	"Saxifragaceae"	"Thalictrum"	"Tilia"	"Ulmus"	"Urticaceae"
3110	4047	"Mobeche Forest"	48.51667	-1	92	"AWI"	92	484	645	561	0	122	0	4	3	1	0	4	0	0	0	22	4	0	0	0	0	0	1	0	0	0	0	0	0	2	45	0	15	0	0	0	1	2	0	0	1	0	1
3110	4047	"Mobeche Forest"	48.51667	-1	95	"AWI"	95	508	660	579	0	185	0	7	2	1	0	5	0	0	1	29	7	0	0	1	0	0	1	0	0	0	0	0	0	2	52	1	21	0	2	0	2	3	0	0	0	0	0
3110	4047	"Mobeche Forest"	48.51667	-1	97	"AWI"	97	518	673	590	0	208	0	3	1	1	0	2	0	0	1	14	1	0	0	2	2	0	1	0	0	1	0	0	0	6	49	0	19	0	0	0	3	4	0	1	0	0	0
3110	4047	"Mobeche Forest"	48.51667	-1	100	"AWI"	100	529	685	601	1	101	0	8	0	2	0	1	0	0	0	16	4	0	0	3	1	0	0	0	0	0	0	0	0	4	49	0	17	0	2	0	1	1	0	0	0	0	0
3110	4047	"Mobeche Forest"	48.51667	-1	102	"AWI"	102	534	696	609	0	46	0	4	0	0	0	0	1	0	0	9	5	0	0	2	0	0	0	0	0	0	0	0	0	0	46	0	10	0	3	0	1	1	0	0	0	0	0
3110	4047	"Mobeche Forest"	48.51667	-1	105	"AWI"	105	540	714	620	0	156	0	3	2	1	0	1	0	0	3	23	7	0	0	1	1	0	0	0	0	0	0	0	1	4	90	0	28	0	0	0	3	2	0	0	0	0	0
3110	4047	"Mobeche Forest"	48.51667	-1	107	"AWI"	107	544	729	627	0	210	1	4	2	0	0	5	0	0	1	35	1	0	0	5	0	0	0	0	1	0	0	0	0	4	79	0	31	1	0	0	8	6	0	0	0	0	0
3110	4047	"Mobeche Forest"	48.51667	-1	110	"AWI"	110	549	753	638	0	170	0	4	1	0	0	1	0	0	0	34	7	0	0	2	0	0	0	0	0	0	0	0	1	4	50	2	11	0	0	0	2	7	0	1	1	0	0
3110	4047	"Mobeche Forest"	48.51667	-1	112	"AWI"	112	557	762	646	0	375	0	1	0	1	0	0	0	0	1	12	0	0	0	2	0	0	1	0	0	0	0	0	0	3	21	1	11	0	0	0	3	4	0	0	0	0	0
3110	4047	"Mobeche Forest"	48.51667	-1	115	"AWI"	115	566	772	657	0	183	0	7	2	0	0	1	1	0	1	17	4	0	0	4	2	0	0	0	0	0	0	0	0	3	66	0	18	0	0	0	1	6	0	1	0	0	0
