"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Abies"	"Acer"	"Alnus"	"Amaranthaceae"	"Apiaceae"	"Araliaceae"	"Artemisia"	"Asteraceae"	"Betula"	"Brassicaceae"	"Buxus"	"Campanulaceae"	"Cannabaceae"	"Caryophyllaceae"	"Castanea"	"Corylus"	"Crataegus"	"Cyperaceae"	"Ephedraceae"	"Ericales"	"Fagus"	"Fraxinus"	"Juglans"	"Juniperus"	"Ostrya.Carpinus"	"Picea"	"Pinus"	"Plantaginaceae"	"Poaceae"	"Populus"	"Quercus"	"Ranunculaceae"	"Rosaceae"	"Rubiaceae"	"Rumex"	"Salix"	"Santalaceae"	"Saxifragaceae"	"Thalictrum"	"Tilia"	"Ulmus"
3424	4437	"Moselotte"	48.03194	7	30	"AWI"	30	848	2260	1552	74	3	68	0	0	0	1	0	28	0	0	0	1	0	1	39	0	17	0	0	202	6	0	0	25	2	11	0	70	0	67	0	0	1	6	1	0	0	0	0	6
3424	4437	"Moselotte"	48.03194	7	33	"AWI"	33	1043	2376	1722	67	0	66	0	0	0	2	0	57	0	0	0	0	0	0	45	0	25	0	0	205	16	0	0	49	0	26	0	76	0	80	0	0	0	3	0	0	0	0	0	3
3424	4437	"Moselotte"	48.03194	7	35	"AWI"	35	1125	2497	1834	68	1	120	2	0	0	0	0	64	0	0	0	0	0	1	53	0	21	0	0	209	16	1	0	64	0	17	0	0	0	81	0	0	0	1	1	0	0	3	0	2
3424	4437	"Moselotte"	48.03194	7	38	"AWI"	38	1309	2595	2008	59	2	108	0	0	0	3	0	101	0	0	0	1	0	1	85	0	22	0	0	169	5	0	0	23	1	12	0	136	0	64	0	0	0	2	4	0	0	0	0	7
3424	4437	"Moselotte"	48.03194	7	40	"AWI"	40	1401	2701	2121	99	3	58	1	0	0	1	0	27	0	0	0	0	0	0	54	0	8	0	0	213	9	0	0	20	1	10	0	0	0	62	0	0	0	2	2	0	0	0	0	0
3424	4437	"Moselotte"	48.03194	7	43	"AWI"	43	1586	2782	2294	77	3	77	0	0	0	3	0	62	0	0	0	0	0	0	48	0	25	0	0	245	10	0	0	5	0	11	0	0	0	89	0	0	3	3	0	0	0	0	1	5
3424	4437	"Moselotte"	48.03194	7	45	"AWI"	45	1679	2881	2406	99	8	61	0	0	0	5	0	40	0	0	0	0	0	0	53	0	10	0	0	243	4	0	0	6	1	10	0	110	0	90	0	0	0	8	1	0	0	0	1	4
3424	4437	"Moselotte"	48.03194	7	48	"AWI"	48	1919	2950	2548	67	0	42	0	0	0	2	0	39	0	0	0	0	0	0	38	0	8	0	0	173	11	0	0	5	0	6	0	0	0	44	0	0	0	1	1	0	0	1	2	7
3424	4437	"Moselotte"	48.03194	7	50	"AWI"	50	2019	3034	2647	142	2	100	0	0	0	3	0	50	0	0	0	0	0	0	76	0	27	0	0	323	18	0	0	5	1	22	0	0	0	98	0	0	1	1	2	0	0	0	1	7
3424	4437	"Moselotte"	48.03194	7	53	"AWI"	53	2311	3099	2788	45	1	54	1	0	0	2	0	12	0	0	0	0	0	0	33	0	17	0	0	156	9	0	0	4	0	7	0	0	0	45	0	0	2	1	0	0	0	0	2	3
3424	4437	"Moselotte"	48.03194	7	55	"AWI"	55	2427	3173	2897	101	9	81	1	0	0	1	0	33	0	0	0	0	0	0	62	0	12	0	0	283	11	0	0	1	0	13	0	0	0	79	0	0	0	3	1	0	0	0	1	8
3424	4437	"Moselotte"	48.03194	7	58	"AWI"	58	2825	3276	3032	48	3	65	0	0	0	1	0	28	0	0	0	0	0	0	52	0	28	0	0	222	11	0	0	1	0	11	0	0	0	64	0	0	0	3	1	0	0	1	3	9
3424	4437	"Moselotte"	48.03194	7	60	"AWI"	60	2941	3381	3137	65	6	59	0	0	0	0	0	19	0	0	0	0	0	0	66	0	26	0	0	272	14	0	0	1	0	9	0	0	0	51	0	0	0	3	3	0	0	0	2	6
3424	4437	"Moselotte"	48.03194	7	63	"AWI"	63	3073	3730	3340	37	6	46	0	0	1	0	0	17	0	0	0	0	0	0	68	0	17	0	0	165	12	0	0	0	0	8	0	0	0	66	0	0	0	0	2	0	0	0	4	6
3424	4437	"Moselotte"	48.03194	7	65	"AWI"	65	3116	4059	3463	78	3	71	0	0	2	1	0	25	0	0	0	0	0	0	127	0	15	0	0	312	11	0	0	2	0	10	0	0	1	79	0	0	0	4	2	0	0	0	5	9
3424	4437	"Moselotte"	48.03194	7	68	"AWI"	68	3269	4250	3694	60	7	65	0	0	0	3	0	19	0	0	0	0	0	0	84	0	30	0	0	236	11	0	0	0	0	14	0	0	0	81	0	0	0	0	0	0	0	0	6	9
3424	4437	"Moselotte"	48.03194	7	70	"AWI"	70	3338	4468	3838	44	5	53	1	0	0	2	0	21	0	0	0	0	0	0	108	0	24	0	0	213	10	0	0	1	0	9	0	0	0	69	0	0	0	2	1	0	0	0	4	8
3424	4437	"Moselotte"	48.03194	7	73	"AWI"	73	3541	4618	4067	32	1	44	0	0	0	0	0	10	0	0	0	0	0	0	89	0	54	0	0	198	9	0	0	0	1	11	0	0	0	76	0	0	0	1	1	0	0	0	3	6
3424	4437	"Moselotte"	48.03194	7	75	"AWI"	75	3623	4795	4219	63	2	73	0	0	0	0	0	16	0	0	0	0	0	0	138	0	24	0	0	265	8	0	0	0	0	16	0	0	0	59	0	0	0	1	2	0	0	0	14	9
3424	4437	"Moselotte"	48.03194	7	77	"AWI"	77	3807	4848	4367	44	4	60	0	0	0	0	0	25	0	0	0	0	0	0	145	0	76	0	0	213	12	0	0	1	0	21	0	0	0	86	0	0	0	1	0	1	0	1	17	9
3424	4437	"Moselotte"	48.03194	7	79	"AWI"	79	3918	4935	4529	37	1	53	0	0	1	1	0	21	0	0	0	0	0	0	123	0	74	0	0	175	21	0	0	0	1	13	0	0	0	86	0	0	0	0	0	0	0	0	6	12
3424	4437	"Moselotte"	48.03194	7	80	"AWI"	80	3962	5019	4605	31	1	67	0	0	0	3	0	9	0	0	0	0	0	0	135	0	33	0	0	217	14	0	0	0	0	14	0	0	0	80	0	0	0	3	3	0	0	0	9	10
3424	4437	"Moselotte"	48.03194	7	82	"AWI"	82	4319	5082	4736	35	4	47	0	0	0	0	0	18	0	0	0	0	0	0	104	0	153	0	0	177	21	0	0	1	0	29	0	0	0	88	0	0	0	0	2	0	0	0	17	10
3424	4437	"Moselotte"	48.03194	7	84	"AWI"	84	4599	5164	4861	30	3	49	1	0	1	2	0	21	0	0	0	0	0	0	141	0	159	0	0	160	28	0	0	2	0	18	0	0	0	101	0	0	0	0	1	0	0	0	13	15
3424	4437	"Moselotte"	48.03194	7	85	"AWI"	85	4667	5237	4931	48	4	64	0	0	2	1	0	18	0	0	0	0	0	0	184	0	186	0	0	198	25	0	0	0	1	25	0	0	0	132	0	0	0	3	1	0	0	0	11	12
3424	4437	"Moselotte"	48.03194	7	87	"AWI"	87	4795	5304	5045	22	5	51	1	0	0	1	0	24	0	0	3	0	0	0	185	0	164	0	0	145	28	0	0	0	1	29	0	0	0	118	0	0	0	2	2	0	0	0	13	17
3424	4437	"Moselotte"	48.03194	7	89	"AWI"	89	4881	5434	5155	15	1	40	0	0	0	1	0	20	0	0	0	0	0	0	136	0	90	0	0	49	25	0	0	1	1	23	0	0	0	73	0	0	0	1	2	0	0	0	12	14
3424	4437	"Moselotte"	48.03194	7	90	"AWI"	90	4904	5529	5210	15	7	49	0	0	0	0	0	24	0	0	0	0	0	0	308	0	81	0	0	85	28	0	0	1	1	32	0	0	0	141	0	0	0	0	2	0	0	1	23	41
3424	4437	"Moselotte"	48.03194	7	92	"AWI"	92	5021	5574	5308	7	1	94	1	0	1	2	0	21	0	0	0	0	0	0	195	0	99	0	0	52	22	0	0	2	0	29	0	0	0	95	0	0	0	1	0	0	0	0	17	26
3424	4437	"Moselotte"	48.03194	7	95	"AWI"	95	5116	5706	5471	13	3	48	0	0	0	0	0	29	0	0	0	0	0	0	267	0	89	0	0	91	15	0	0	1	0	38	0	0	0	146	0	0	0	2	0	0	0	0	31	28
3424	4437	"Moselotte"	48.03194	7	97	"AWI"	97	5195	5755	5525	20	4	36	0	0	0	0	0	21	0	0	0	0	0	0	150	0	74	0	0	107	33	0	0	4	0	17	0	0	0	89	0	0	0	1	1	0	0	0	16	13
3424	4437	"Moselotte"	48.03194	7	100	"AWI"	100	5281	5872	5611	29	2	63	0	0	0	3	0	35	0	0	0	0	0	0	235	0	60	0	0	198	18	0	0	0	0	40	0	0	0	140	0	0	0	3	0	0	0	0	26	23
3424	4437	"Moselotte"	48.03194	7	102	"AWI"	102	5387	5910	5666	19	2	61	0	0	0	0	0	17	0	0	0	0	0	0	145	0	88	0	0	110	34	0	0	0	0	22	0	0	0	135	0	0	0	2	0	0	0	0	17	17
3424	4437	"Moselotte"	48.03194	7	104	"AWI"	104	5458	5961	5724	32	4	57	0	0	1	3	0	28	0	0	0	0	0	0	191	0	126	0	0	154	40	0	0	0	1	18	0	0	0	152	0	0	0	2	0	0	0	0	29	36
3424	4437	"Moselotte"	48.03194	7	105	"AWI"	105	5482	5993	5754	25	3	43	0	0	0	2	0	30	0	0	0	0	0	0	206	0	67	0	0	129	34	0	0	0	1	17	0	0	0	131	0	0	1	3	1	0	0	0	29	34
3424	4437	"Moselotte"	48.03194	7	106	"AWI"	106	5536	6013	5780	17	2	37	0	0	0	1	0	19	0	0	0	0	0	0	164	0	92	0	0	91	19	0	0	0	0	25	0	0	0	110	0	0	0	0	1	0	0	0	15	20
3424	4437	"Moselotte"	48.03194	7	109	"AWI"	109	5657	6088	5869	18	3	48	0	0	1	2	0	19	0	0	0	0	0	0	175	0	113	0	0	97	21	0	0	2	0	36	0	0	0	134	0	0	0	2	2	0	0	0	28	30
3424	4437	"Moselotte"	48.03194	7	110	"AWI"	110	5679	6120	5900	15	1	36	0	0	1	1	0	14	0	0	0	0	0	0	202	0	17	0	0	115	25	0	0	0	0	15	0	0	0	104	0	0	0	0	1	0	0	0	37	41
3424	4437	"Moselotte"	48.03194	7	112	"AWI"	112	5737	6185	5951	7	4	50	0	0	0	4	0	22	0	0	0	0	0	0	206	0	152	0	0	63	39	0	0	1	2	17	0	0	0	146	0	0	0	0	1	0	0	0	21	48
3424	4437	"Moselotte"	48.03194	7	114	"AWI"	114	5773	6267	6002	6	2	28	0	0	0	1	0	16	0	0	0	0	0	0	167	0	167	0	0	49	37	0	0	1	0	22	0	0	0	141	0	0	1	1	0	0	0	0	31	36
3424	4437	"Moselotte"	48.03194	7	115	"AWI"	115	5785	6322	6027	9	3	71	0	0	0	4	0	32	0	0	0	0	0	0	283	0	184	0	0	111	66	0	0	0	1	25	0	0	0	219	0	0	1	3	2	0	0	0	43	60
3424	4437	"Moselotte"	48.03194	7	117	"AWI"	117	5838	6374	6086	9	3	42	1	0	0	1	0	24	0	0	0	0	0	0	193	0	123	0	0	86	41	0	0	0	0	31	0	0	0	163	0	0	0	0	1	0	0	0	31	48
3424	4437	"Moselotte"	48.03194	7	119	"AWI"	119	5874	6439	6144	3	2	32	0	0	0	0	0	23	0	0	0	0	0	0	164	0	122	0	0	48	26	0	1	1	1	14	0	0	0	117	0	0	0	0	0	0	0	0	20	29
3424	4437	"Moselotte"	48.03194	7	120	"AWI"	120	5892	6482	6171	9	6	56	0	0	0	2	0	21	0	0	0	0	0	1	237	0	86	0	0	71	40	0	0	1	0	22	0	0	0	141	0	0	0	3	0	0	0	0	35	47
3424	4437	"Moselotte"	48.03194	7	122	"AWI"	122	5956	6523	6229	8	5	45	0	0	1	3	0	15	0	0	0	0	0	0	220	0	146	0	0	60	47	0	0	0	0	28	0	0	0	163	0	0	0	1	0	0	0	0	32	47
3424	4437	"Moselotte"	48.03194	7	124	"AWI"	124	5997	6579	6291	5	3	23	0	0	1	3	0	12	0	0	0	0	0	0	172	0	114	0	0	31	31	0	0	0	0	16	0	0	0	123	0	0	1	1	0	0	0	0	28	26
3424	4437	"Moselotte"	48.03194	7	125	"AWI"	125	6015	6618	6318	6	1	31	1	0	0	0	0	13	0	0	0	0	0	0	153	0	56	0	0	27	33	0	0	0	0	16	0	0	0	124	0	0	0	2	0	0	0	0	37	37
3424	4437	"Moselotte"	48.03194	7	127	"AWI"	127	6089	6661	6376	4	4	37	0	0	0	1	0	11	0	0	0	0	0	0	122	0	124	0	0	13	41	0	0	0	0	20	0	0	0	91	0	0	0	0	0	0	0	0	18	40
3424	4437	"Moselotte"	48.03194	7	129	"AWI"	129	6136	6713	6436	4	3	29	0	0	1	2	0	10	0	0	0	0	0	0	177	0	131	0	0	30	45	0	0	0	0	20	0	0	0	123	0	0	0	0	0	0	0	0	26	38
3424	4437	"Moselotte"	48.03194	7	130	"AWI"	130	6156	6746	6462	4	2	37	0	0	0	2	0	15	0	0	0	0	0	0	256	0	69	0	0	29	58	0	0	0	1	28	0	0	0	167	0	0	1	1	0	0	0	0	41	44
3424	4437	"Moselotte"	48.03194	7	134	"AWI"	134	6294	6817	6579	11	4	34	0	0	0	2	0	24	0	0	0	0	0	0	224	0	71	0	0	105	42	0	0	0	0	14	0	0	0	126	0	0	0	1	1	0	0	0	26	31
3424	4437	"Moselotte"	48.03194	7	135	"AWI"	135	6319	6855	6607	5	2	25	0	0	1	1	0	11	0	0	0	0	0	0	199	1	78	0	0	26	25	0	0	0	1	21	0	0	1	102	0	0	1	2	0	0	0	0	32	47
3424	4437	"Moselotte"	48.03194	7	137	"AWI"	137	6435	6879	6657	2	3	42	1	0	0	2	0	13	0	0	0	0	0	0	198	0	129	0	0	63	46	0	0	0	0	20	0	0	0	162	0	0	0	0	0	0	0	0	55	59
3424	4437	"Moselotte"	48.03194	7	139	"AWI"	139	6521	6916	6712	0	3	8	0	0	0	0	0	19	0	0	0	0	0	0	77	0	68	0	0	8	33	0	0	0	0	23	0	0	0	125	0	0	0	0	0	1	0	0	39	37
3424	4437	"Moselotte"	48.03194	7	140	"AWI"	140	6549	6944	6741	1	3	22	0	0	1	2	0	31	0	0	0	0	0	0	222	0	124	0	0	2	63	0	0	0	2	39	0	0	0	160	0	0	0	0	0	0	0	0	51	59
3424	4437	"Moselotte"	48.03194	7	141	"AWI"	141	6598	6967	6778	1	2	14	0	0	1	2	0	13	0	0	0	0	0	0	108	0	76	0	0	0	35	0	0	0	0	24	0	0	0	124	0	0	0	0	0	0	0	0	29	24
3424	4437	"Moselotte"	48.03194	7	143	"AWI"	143	6664	7037	6855	0	4	5	0	0	2	0	0	3	0	0	0	0	0	0	69	0	10	0	0	1	12	0	0	0	0	11	0	0	0	54	0	0	0	0	0	0	0	0	22	18
3424	4437	"Moselotte"	48.03194	7	145	"AWI"	145	6707	7142	6924	2	2	19	1	0	0	3	0	19	0	0	0	0	0	0	167	0	126	0	0	0	53	0	0	0	0	31	0	0	0	172	0	0	0	7	0	2	0	0	60	71
3424	4437	"Moselotte"	48.03194	7	146	"AWI"	146	6761	7160	6955	0	2	20	0	0	0	1	0	13	0	0	0	0	0	0	143	0	80	0	0	0	37	0	0	0	0	24	0	0	0	121	0	0	0	0	0	0	0	0	34	32
3424	4437	"Moselotte"	48.03194	7	147	"AWI"	147	6810	7179	6988	0	2	19	1	0	0	0	0	19	0	0	0	0	0	0	150	0	87	0	0	0	85	0	0	0	0	39	0	0	0	155	0	0	1	0	0	0	0	0	61	45
3424	4437	"Moselotte"	48.03194	7	150	"AWI"	150	6884	7292	7088	1	22	9	0	0	1	0	0	12	0	0	0	0	0	0	233	0	141	0	0	0	53	0	0	0	0	20	0	0	0	158	0	0	0	0	0	0	0	0	22	53
3424	4437	"Moselotte"	48.03194	7	151	"AWI"	151	6922	7307	7112	0	2	13	0	0	0	0	0	9	0	0	0	0	0	0	268	0	24	0	0	0	14	0	0	0	0	7	0	0	0	98	0	0	0	0	0	0	0	0	11	43
3424	4437	"Moselotte"	48.03194	7	153	"AWI"	153	6972	7353	7163	0	0	9	0	0	0	0	0	11	0	0	0	0	0	0	236	0	22	0	0	0	29	0	0	0	0	9	0	0	0	107	0	0	0	0	0	0	0	0	17	41
3424	4437	"Moselotte"	48.03194	7	154	"AWI"	154	6989	7384	7188	0	3	4	1	0	1	0	0	5	0	0	0	0	0	0	258	0	36	0	0	1	28	0	0	0	0	0	0	0	0	149	0	0	0	0	0	0	0	0	15	18
3424	4437	"Moselotte"	48.03194	7	155	"AWI"	155	7006	7426	7212	1	1	13	0	0	2	3	0	6	0	0	0	0	0	0	287	0	0	0	0	0	47	0	0	0	0	20	0	0	0	230	0	0	0	1	0	0	0	0	16	37
3424	4437	"Moselotte"	48.03194	7	156	"AWI"	156	7045	7440	7234	0	2	4	0	0	0	2	0	10	0	0	0	0	0	0	151	0	21	0	0	0	37	0	0	0	0	19	0	0	0	116	0	0	0	0	0	0	0	0	3	45
3424	4437	"Moselotte"	48.03194	7	158	"AWI"	158	7100	7481	7283	0	1	5	0	0	0	2	0	12	0	0	0	0	0	0	101	0	26	0	0	0	37	0	0	0	0	38	0	0	0	161	0	0	1	0	0	0	0	0	18	49
3424	4437	"Moselotte"	48.03194	7	159	"AWI"	159	7120	7505	7306	0	0	10	0	0	0	0	0	9	0	0	0	0	0	0	136	0	33	0	0	0	24	0	0	0	0	26	0	0	0	185	0	0	0	1	2	1	0	0	29	29
3424	4437	"Moselotte"	48.03194	7	161	"AWI"	161	7175	7562	7363	0	6	18	0	0	1	5	0	26	0	0	0	0	0	0	285	0	83	0	0	0	72	0	0	0	0	54	0	0	0	280	0	0	0	0	1	0	0	0	53	108
3424	4437	"Moselotte"	48.03194	7	162	"AWI"	162	7205	7612	7398	0	0	3	0	0	1	0	0	6	0	0	0	0	0	0	183	0	20	0	0	0	12	0	1	0	0	25	0	0	0	46	0	0	1	0	1	0	0	0	8	24
3424	4437	"Moselotte"	48.03194	7	163	"AWI"	163	7229	7672	7430	0	0	2	0	0	0	3	0	4	0	0	0	0	0	0	194	0	23	0	0	0	8	0	0	0	0	22	0	0	0	41	0	0	1	0	0	0	0	0	11	25
3424	4437	"Moselotte"	48.03194	7	164	"AWI"	164	7248	7751	7462	0	1	2	0	0	0	6	0	9	0	0	0	0	0	0	242	0	17	0	0	0	6	0	0	0	0	33	0	0	0	69	0	0	1	0	1	0	0	0	11	21
3424	4437	"Moselotte"	48.03194	7	165	"AWI"	165	7266	7830	7493	0	0	10	0	0	1	5	0	15	0	0	0	0	0	0	349	0	54	0	0	0	17	0	0	0	0	61	0	0	0	82	0	0	0	1	1	1	0	1	18	32
3424	4437	"Moselotte"	48.03194	7	166	"AWI"	166	7299	7877	7534	0	0	5	0	0	1	4	0	5	0	0	0	0	0	0	218	0	22	0	0	0	6	0	0	0	0	44	0	0	0	61	0	0	0	2	0	0	0	0	8	20
3424	4437	"Moselotte"	48.03194	7	168	"AWI"	168	7340	8017	7610	0	0	4	0	0	0	2	0	7	0	0	0	0	0	0	228	0	16	0	0	0	3	0	0	0	0	32	0	0	0	46	0	0	1	0	0	0	0	0	17	12
3424	4437	"Moselotte"	48.03194	7	169	"AWI"	169	7359	8108	7645	0	1	3	0	0	1	2	0	14	0	0	0	0	0	0	302	0	23	0	0	0	10	0	0	0	0	60	0	0	0	43	0	0	1	0	1	1	0	0	11	29
3424	4437	"Moselotte"	48.03194	7	170	"AWI"	170	7368	8213	7679	0	0	6	0	0	1	10	0	36	0	0	0	0	0	0	555	0	74	0	0	0	24	0	0	0	0	142	0	0	0	108	0	0	2	1	2	2	0	0	31	54
3424	4437	"Moselotte"	48.03194	7	171	"AWI"	171	7404	8250	7720	0	0	1	0	0	0	12	0	19	0	0	3	0	0	0	216	0	20	0	0	0	2	0	0	0	0	67	0	0	0	33	0	0	1	1	2	0	0	0	8	14
