"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Abies"	"Alnus"	"Amaranthaceae"	"Apiaceae"	"Araliaceae"	"Artemisia"	"Asteraceae"	"Betula"	"Boraginaceae"	"Brassicaceae"	"Campanulaceae"	"Cannabaceae"	"Caprifoliaceae"	"Caryophyllaceae"	"Cistaceae"	"Corylus"	"Crassulaceae"	"Cyperaceae"	"Ephedraceae"	"Ericales"	"Fabaceae"	"Fagus"	"Fraxinus"	"Ilex"	"Iridaceae"	"Juglans"	"Lamiaceae"	"Liliaceae"	"Malvaceae"	"Onagraceae"	"Ostrya.Carpinus"	"Pinus"	"Plantaginaceae"	"Poaceae"	"Polygonaceae"	"Prunus"	"Quercus"	"Ranunculaceae"	"Rosaceae"	"Rumex"	"Salix"	"Scrophulariaceae"	"Solanaceae"	"Thalictrum"	"Tilia"	"Ulmus"	"Viburnum"	"Vitaceae"
15947	24578	"Bois-Jésus"	47.41333	0.63806	340	"AWI"	340	8439	9544	8928	0	2.23048327137546	0.371747211895911	2.97397769516729	0	7.0631970260223	2.23048327137546	0.743494423791822	0	0	0	0	0	0	0	10.0371747211896	0	22.3048327137546	0	0	0.371747211895911	0	0	0	0	0	4.83271375464684	0	0	0	0	42.0074349442379	0	0	0	0	2.23048327137546	0.371747211895911	0	0	1.48698884758364	0	0	0	0	0	0.743494423791822	0
15947	24578	"Bois-Jésus"	47.41333	0.63806	345	"AWI"	345	8500	9785	9039	0	1.15830115830116	0.386100386100386	2.31660231660232	0	22.007722007722	0	1.54440154440154	0	0	0.386100386100386	0	0	1.15830115830116	0	1.15830115830116	0	20.4633204633205	0	0	0	0	0	0	0	0	1.54440154440154	0	0	0	0	41.6988416988417	0.386100386100386	0	0	0	0	0.772200772200772	0	1.15830115830116	1.93050193050193	0.386100386100386	0	0.772200772200772	0.386100386100386	0.386100386100386	0	0
15947	24578	"Bois-Jésus"	47.41333	0.63806	350	"AWI"	350	8595	10026	9169	0	0	0	2.4	0	12	3.6	0.8	0.4	0	0	0	0	0	0	1.2	0	27.6	0	0	0	0	0	0	0	0	5.2	0	0	0	0	41.6	0.4	0	0	0	0	0	0	0.8	4	0	0	0	0	0	0	0
15947	24578	"Bois-Jésus"	47.41333	0.63806	355	"AWI"	355	8691	10287	9316	0	0.408163265306122	0.408163265306122	1.63265306122449	0	10.6122448979592	5.30612244897959	2.44897959183673	1.22448979591837	0	0	0	0	0	0	1.22448979591837	0	24.4897959183673	0	0	0	0	0	0	0	0	2.85714285714286	0	0	0	0	45.3061224489796	0.408163265306122	0	0	0	0	0.408163265306122	0	0.408163265306122	1.63265306122449	0	0	0.816326530612245	0.408163265306122	0	0	0
15947	24578	"Bois-Jésus"	47.41333	0.63806	357.5	"AWI"	357.5	8727.5	10446	9384	0	0.418410041841004	2.51046025104602	2.51046025104602	0	18.8284518828452	3.76569037656904	4.18410041841004	0.418410041841004	0	0.418410041841004	0	0	0.836820083682008	0	1.67364016736402	0	28.0334728033473	0	0	0	0	0	0	0	0	3.76569037656904	0	0	0	0	30.1255230125523	0	0	0.418410041841004	0	0	0.836820083682008	0	0.418410041841004	0.836820083682008	0	0	0	0	0	0	0
15947	24578	"Bois-Jésus"	47.41333	0.63806	360	"AWI"	360	8754	10617	9445	0	0	0.48780487804878	6.82926829268293	0	20.9756097560976	1.46341463414634	1.95121951219512	0.975609756097561	0	0.975609756097561	0	0	0.48780487804878	0	0	0	32.1951219512195	0	0	0.48780487804878	0	0	0	0	0	5.85365853658537	0	0	0	0	23.9024390243902	0	0	0	0	0.48780487804878	1.46341463414634	0	0	1.46341463414634	0	0	0	0	0	0	0
15947	24578	"Bois-Jésus"	47.41333	0.63806	363	"AWI"	363	8781	10824	9522	0	1.06382978723404	0	1.41843971631206	0	15.6028368794326	3.54609929078014	2.12765957446809	0.354609929078014	0.709219858156028	0	0	0	0.709219858156028	0	0	0	28.7234042553192	0	0	0	0	0	0	0	0	7.4468085106383	0	0	0	0	33.3333333333333	1.06382978723404	0	0	0	0.709219858156028	0.354609929078014	0	0	2.12765957446809	0	0	0.709219858156028	0	0	0	0
15947	24578	"Bois-Jésus"	47.41333	0.63806	365	"AWI"	365	8796	10985	9571	0	0	0.823045267489712	0.411522633744856	0	12.7572016460905	2.46913580246914	2.46913580246914	0	0	0	0	0	1.23456790123457	0	0.411522633744856	0	27.1604938271605	0	0	0	0.411522633744856	0	0	0	0	9.87654320987654	0	0	0	0	34.9794238683128	0	0	1.64609053497942	0	0.411522633744856	0.411522633744856	0	0	4.11522633744856	0.411522633744856	0	0	0	0	0	0
15947	24578	"Bois-Jésus"	47.41333	0.63806	370	"AWI"	370	8914	11175	9721	0	2.64900662251656	0.662251655629139	0	0	7.94701986754967	0	0	0	0	0	0	0	0	0	1.98675496688742	0	31.7880794701987	0	0	0.662251655629139	0	0	0	0	0	1.32450331125828	0	0	0	0	48.3443708609272	0	0	0	0	2.64900662251656	0	0	0	1.98675496688742	0	0	0	0	0	0	0
15947	24578	"Bois-Jésus"	47.41333	0.63806	375	"AWI"	375	9002	11397	9871	0	2.77777777777778	0	0	0	9.02777777777778	2.77777777777778	1.38888888888889	0	0	0	0	0	0	0	2.08333333333333	0	23.6111111111111	0	0	0	0	0	0	0	0	1.38888888888889	0	0	0	0	53.4722222222222	0	0	0	0	0.694444444444444	0.694444444444444	0	0.694444444444444	0.694444444444444	0.694444444444444	0	0	0	0	0	0
15947	24578	"Bois-Jésus"	47.41333	0.63806	385	"AWI"	385	9160	11954	10154	0	1.09489051094891	0	0.72992700729927	0	13.1386861313869	3.64963503649635	1.45985401459854	0	0	0	0.364963503649635	0	0.364963503649635	0	0.72992700729927	0	38.6861313868613	0	0	0	0	0	0	0	0	1.09489051094891	0	0	0	0	35.7664233576642	0.364963503649635	0	0	0	0	0.72992700729927	0	0.364963503649635	0.364963503649635	0	0	1.09489051094891	0	0	0	0
15947	24578	"Bois-Jésus"	47.41333	0.63806	390	"AWI"	390	9262	12119	10309	0	0	0	2.75590551181102	0	14.1732283464567	5.11811023622047	1.18110236220472	0	0.393700787401575	0	0	0	0.393700787401575	0	2.75590551181102	0	26.3779527559055	0.393700787401575	0	0	0	0	0	0	0	6.2992125984252	0	0	0	0	35.0393700787402	1.18110236220472	0	0	0	0	0.78740157480315	0	0.393700787401575	0.393700787401575	2.36220472440945	0	0	0	0	0	0
15947	24578	"Bois-Jésus"	47.41333	0.63806	395	"AWI"	395	9344	12313	10460	0	1.11524163568773	0	1.85873605947955	0	14.1263940520446	4.83271375464684	0	0	0	0	0	0	0.371747211895911	0	1.11524163568773	0	32.7137546468402	0	0	0.743494423791822	0	0	0	0	0	4.08921933085502	0.371747211895911	0	0	0	33.8289962825279	1.48698884758364	0	0	0	0.743494423791822	0.371747211895911	0	0	1.48698884758364	0.371747211895911	0	0.371747211895911	0	0	0	0
15947	24578	"Bois-Jésus"	47.41333	0.63806	400	"AWI"	400	9406	12572	10612	0	1.73913043478261	0	2.17391304347826	0	12.1739130434783	7.39130434782609	0.434782608695652	0	0.434782608695652	0	0	0	0	1.30434782608696	1.30434782608696	0.434782608695652	40.8695652173913	0	0	0	0	0	0	0	0	6.08695652173913	0.869565217391304	0	0	0	20.8695652173913	0	0	0	0	0.869565217391304	0	0	0	1.30434782608696	0	0.434782608695652	1.30434782608696	0	0	0	0
