"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Abies"	"Alnus"	"Amaranthaceae"	"Apiaceae"	"Arctostaphylos"	"Artemisia"	"Asteraceae"	"Betula"	"Boraginaceae"	"Brassicaceae"	"Campanulaceae"	"Cannabaceae"	"Caryophyllaceae"	"Cistaceae"	"Corylus"	"Cyperaceae"	"Elaeagnaceae"	"Ephedraceae"	"Ericales"	"Fabaceae"	"Fagus"	"Fraxinus"	"Gentianaceae"	"Grossulariaceae"	"Juniperus"	"Lamiaceae"	"Larix"	"Onagraceae"	"Orobanchaceae"	"Papaveraceae"	"Picea"	"Pinus"	"Plantaginaceae"	"Poaceae"	"Polemoniaceae"	"Polygonaceae"	"Populus"	"Quercus"	"Ranunculaceae"	"Rosaceae"	"Rubiaceae"	"Rumex"	"Salix"	"Sambucus"	"Saxifragaceae"	"Scrophulariaceae"	"Sorbus"	"Thalictrum"	"Tilia"	"Ulmus"	"Urticaceae"
14454	22623	"Wolbrom"	50.38333	19.76667	349	"AWI"	349	11047	11554	11304	0	4	3	0	0	0	0	30	0	2	0	2	0	0	0	78	0	0	0	0	0	0	0	0	2	0	2	0	0	0	2	520	0	14	0	0	0	0	0	0	0	1	0	0	0	0	0	3	0	0	2
14454	22623	"Wolbrom"	50.38333	19.76667	351	"AWI"	351	11124	11576	11345	0	0	1	0	0	0	0	0	0	3	0	0	0	0	4	150	0	0	0	1	0	0	0	0	0	0	6	0	0	0	14	576	0	29	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	4	5
14454	22623	"Wolbrom"	50.38333	19.76667	355	"AWI"	355	11250	11641	11437	0	0	1	0	0	1	0	0	0	5	0	0	0	0	5	239	0	0	0	0	3	0	0	0	7	0	13	0	0	0	9	531	0	42	1	0	1	1	0	0	1	2	0	0	0	0	0	2	1	8	12
14454	22623	"Wolbrom"	50.38333	19.76667	360	"AWI"	360	11340	11783	11547	0	0	5	0	0	22	0	70	0	1	0	0	0	1	0	483	0	0	0	0	0	0	0	0	19	0	27	0	0	1	4	533	0	95	0	0	0	0	0	0	1	0	11	0	0	0	0	0	0	0	1
14454	22623	"Wolbrom"	50.38333	19.76667	365	"AWI"	365	11426	11899	11662	0	0	9	0	0	40	0	96	0	1	0	0	0	0	1	328	0	1	0	0	0	0	0	0	32	0	22	0	0	0	6	471	0	77	0	0	0	0	0	0	5	1	0	0	0	0	0	2	0	0	4
14454	22623	"Wolbrom"	50.38333	19.76667	370	"AWI"	370	11474	12069	11774	0	1	5	0	0	30	0	179	0	0	0	0	0	0	0	340	0	0	0	0	0	0	0	0	11	0	14	0	0	0	1	413	0	65	0	0	0	0	0	0	3	2	0	0	0	0	0	4	0	0	2
14454	22623	"Wolbrom"	50.38333	19.76667	375	"AWI"	375	11514	12275	11879	0	1	5	0	0	32	0	131	0	7	0	0	0	0	0	270	0	0	0	0	0	0	0	0	12	0	7	0	0	0	1	591	0	138	0	0	0	0	0	0	1	1	0	0	0	0	1	5	0	0	4
14454	22623	"Wolbrom"	50.38333	19.76667	380	"AWI"	380	11575	12481	11984	0	0	8	0	0	31	0	93	0	3	0	0	0	0	6	137	0	0	0	0	0	0	0	0	40	0	17	0	0	0	2	635	0	112	0	0	1	0	0	0	3	0	18	0	0	0	0	2	0	0	2
14454	22623	"Wolbrom"	50.38333	19.76667	385	"AWI"	385	11750	12540	12117	0	0	6	0	0	26	0	89	0	1	0	0	0	1	0	392	0	0	0	0	0	0	0	0	21	0	8	1	0	0	3	576	0	120	0	0	0	0	0	0	1	0	0	0	0	0	0	4	0	1	1
14454	22623	"Wolbrom"	50.38333	19.76667	390	"AWI"	390	11870	12619	12263	0	0	8	0	0	13	0	45	0	4	0	0	0	0	0	264	0	0	0	0	0	0	0	0	56	0	8	0	0	0	2	594	0	93	0	0	0	0	0	0	6	0	0	0	0	0	0	3	0	0	0
14454	22623	"Wolbrom"	50.38333	19.76667	395	"AWI"	395	11954	12779	12396	0	0	7	0	0	27	0	70	0	5	0	0	0	0	0	300	0	0	0	0	0	0	0	0	16	0	3	0	0	0	2	603	0	50	0	0	0	0	0	0	1	1	0	0	0	0	0	3	0	0	1
14454	22623	"Wolbrom"	50.38333	19.76667	399	"AWI"	399	11998	12989	12501	0	0	3	0	0	7	0	63	0	7	0	0	0	0	0	261	0	0	0	0	0	0	0	0	11	0	1	0	0	0	2	511	0	37	0	0	0	0	0	0	1	0	0	0	0	0	0	2	0	0	2
14454	22623	"Wolbrom"	50.38333	19.76667	401	"AWI"	401	12054	13041	12553	0	0	4	0	0	24	0	0	0	4	0	0	0	0	3	169	0	0	0	0	0	0	0	0	12	0	0	0	0	0	2	655	0	77	0	0	1	0	0	0	2	0	0	0	0	0	0	1	0	0	2
14454	22623	"Wolbrom"	50.38333	19.76667	405	"AWI"	405	12144	13171	12671	0	0	4	0	0	13	0	70	0	8	0	0	0	0	0	191	0	0	0	0	0	0	0	0	5	0	3	1	0	0	2	602	0	68	0	0	0	0	0	0	3	0	7	0	0	0	0	2	0	0	2
14454	22623	"Wolbrom"	50.38333	19.76667	410	"AWI"	410	12228	13405	12807	0	0	6	0	0	12	0	64	0	2	0	0	0	1	0	190	0	0	0	0	0	0	0	0	9	0	0	0	0	0	1	586	0	72	0	0	2	0	0	0	6	0	11	0	0	0	0	2	0	1	3
14454	22623	"Wolbrom"	50.38333	19.76667	415	"AWI"	415	12288	13689	12932	0	0	5	0	0	14	0	0	0	5	0	0	0	0	0	228	0	0	0	0	0	0	0	0	6	0	2	0	0	0	1	610	0	119	0	0	0	0	0	0	6	2	11	0	0	0	0	2	0	0	8
14454	22623	"Wolbrom"	50.38333	19.76667	420	"AWI"	420	12369	13964	13059	0	0	5	0	0	13	0	75	0	4	0	0	0	0	0	350	0	0	0	0	0	0	0	1	9	0	1	0	0	1	1	601	0	76	0	0	3	0	0	0	5	0	9	0	0	0	0	2	0	0	8
14454	22623	"Wolbrom"	50.38333	19.76667	425	"AWI"	425	12546	14048	13212	0	0	4	0	0	20	0	0	0	3	0	0	0	0	0	325	0	0	0	0	0	0	0	0	10	0	3	0	0	1	2	643	0	83	0	0	0	0	0	0	6	0	10	0	0	0	0	4	0	0	7
14454	22623	"Wolbrom"	50.38333	19.76667	430	"AWI"	430	12656	14175	13372	0	0	4	0	0	11	0	0	0	1	0	0	0	0	0	272	0	0	0	0	0	0	0	0	4	0	3	0	0	2	5	518	0	77	0	0	0	1	0	0	5	0	0	0	0	0	0	4	0	0	9
14454	22623	"Wolbrom"	50.38333	19.76667	435	"AWI"	435	12749	14367	13524	0	0	2	0	0	13	0	88	0	1	0	0	0	0	0	272	0	0	0	0	0	0	0	0	3	0	3	0	0	0	7	581	0	65	0	0	0	0	0	0	3	0	0	0	0	0	0	3	0	0	6
14454	22623	"Wolbrom"	50.38333	19.76667	440	"AWI"	440	12857	14579	13670	0	0	1	0	0	8	0	111	0	2	0	0	0	0	0	291	0	0	0	0	0	0	0	0	5	0	0	0	0	0	1	467	0	54	0	0	0	0	0	0	2	2	8	0	0	0	0	3	0	0	11
14454	22623	"Wolbrom"	50.38333	19.76667	445	"AWI"	445	13145	14638	13797	0	0	2	0	0	7	0	82	0	0	0	0	0	0	0	242	0	0	0	0	0	0	0	0	13	0	1	0	0	0	0	400	0	35	0	0	1	0	0	0	1	0	0	0	0	0	0	1	0	0	3
14454	22623	"Wolbrom"	50.38333	19.76667	449	"AWI"	449	13356	14701	13910	0	2	3	0	0	4	0	134	0	0	0	0	0	0	0	438	0	0	0	0	0	0	0	0	10	0	2	0	0	0	0	306	0	49	0	0	0	0	0	0	1	2	9	0	0	0	0	7	0	0	6
14454	22623	"Wolbrom"	50.38333	19.76667	451	"AWI"	451	13443	14733	13967	0	0	2	0	0	13	0	134	0	1	0	0	0	0	1	425	0	0	0	0	0	0	0	0	4	0	1	0	0	0	0	523	0	79	0	0	2	0	0	0	1	0	12	0	0	0	0	5	0	2	7
14454	22623	"Wolbrom"	50.38333	19.76667	455	"AWI"	455	13573	14825	14075	0	0	1	0	0	8	0	112	0	1	0	0	0	0	0	124	0	0	0	0	0	0	0	0	5	0	1	0	0	0	0	663	0	53	0	0	1	0	0	0	0	0	18	0	0	0	0	5	0	0	8
14454	22623	"Wolbrom"	50.38333	19.76667	460	"AWI"	460	13717	14962	14231	0	0	1	0	0	13	0	213	0	0	0	0	0	1	0	131	0	0	0	0	0	0	0	0	4	0	6	0	0	0	8	472	0	64	0	0	5	0	0	0	1	0	0	0	0	0	0	4	0	0	4
14454	22623	"Wolbrom"	50.38333	19.76667	465	"AWI"	465	13922	15055	14434	0	0	2	0	0	9	0	158	0	0	0	0	0	0	0	178	0	0	0	0	0	0	0	0	7	0	3	0	0	0	0	498	0	91	0	0	2	0	0	0	0	1	11	0	0	0	0	4	0	0	2
14454	22623	"Wolbrom"	50.38333	19.76667	470	"AWI"	470	14046	15182	14647	0	0	2	0	0	16	0	158	0	0	0	0	0	1	0	152	0	0	0	1	0	0	0	0	12	0	2	1	0	0	0	301	0	128	0	0	6	0	0	0	0	2	28	0	0	0	0	8	0	0	10
14454	22623	"Wolbrom"	50.38333	19.76667	475	"AWI"	475	14135	15348	14864	0	0	5	0	0	16	7	218	0	0	0	0	0	2	0	411	0	0	0	0	0	0	0	0	40	0	1	1	0	0	1	440	0	193	0	1	2	0	0	0	7	9	59	0	0	0	0	7	0	0	8
14454	22623	"Wolbrom"	50.38333	19.76667	480	"AWI"	480	14271	15552	15049	0	0	2	0	0	19	6	181	0	1	0	0	0	2	0	322	0	0	0	0	0	0	0	0	26	0	0	0	0	0	0	352	0	177	0	0	1	0	0	0	5	5	54	0	0	0	0	11	0	0	7
14454	22623	"Wolbrom"	50.38333	19.76667	485	"AWI"	485	14655	15597	15196	0	2	2	0	0	24	0	204	0	1	0	0	0	1	0	399	1	0	0	0	0	0	0	0	23	0	0	0	0	0	0	405	0	183	0	0	4	0	0	0	5	1	50	0	0	0	0	9	1	3	2
14454	22623	"Wolbrom"	50.38333	19.76667	490	"AWI"	490	14990	15665	15344	0	0	2	0	1	25	0	162	0	1	0	4	0	3	0	373	0	0	0	0	0	0	0	0	23	0	1	1	0	0	1	300	0	183	0	0	0	0	0	0	4	0	46	1	0	0	0	6	0	0	2
14454	22623	"Wolbrom"	50.38333	19.76667	495	"AWI"	495	15214	15786	15515	0	0	2	0	0	17	0	140	0	2	0	0	0	0	0	468	0	0	0	0	0	0	0	0	26	0	2	0	0	0	1	259	0	245	0	0	4	0	0	0	7	2	47	0	0	0	0	2	0	0	4
14454	22623	"Wolbrom"	50.38333	19.76667	499	"AWI"	499	15310	16006	15637	0	0	0	0	0	13	0	106	0	1	0	0	0	0	0	439	0	0	0	0	0	0	0	0	22	0	0	0	0	0	4	252	0	238	0	0	8	0	0	0	2	1	26	0	0	0	0	3	0	0	2
