"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Acer"	"Alnus"	"Amaranthaceae"	"Apiaceae"	"Araliaceae"	"Artemisia"	"Asteraceae"	"Betula"	"Boraginaceae"	"Brassicaceae"	"Campanulaceae"	"Caprifoliaceae"	"Caryophyllaceae"	"Cistaceae"	"Corylus"	"Crataegus"	"Cyperaceae"	"Ericales"	"Fabaceae"	"Fagus"	"Fraxinus"	"Hypericaceae"	"Ilex"	"Indeterminable"	"Juglans"	"Juniperus"	"Lamiaceae"	"Lythraceae"	"Nartheciaceae"	"Onagraceae"	"Orobanchaceae"	"Ostrya.Carpinus"	"Picea"	"Pinus"	"Plantaginaceae"	"Poaceae"	"Polygalaceae"	"Prunus"	"Quercus"	"Ranunculaceae"	"Rosaceae"	"Rubiaceae"	"Rumex"	"Salix"	"Sambucus"	"Saxifragaceae"	"Sorbus"	"Taxus"	"Thalictrum"	"Tilia"	"Ulmus"	"Urticaceae"
9591	14110	"Kelly's Lough"	52.958352	-6.426246	140	"AWI"	140	867	1192	1043	0	60	1	1	0	2	0	20	0	0	0	0	0	0	147	0	48	0	0	0	3	2	1	125	0	0	0	0	5	0	0	1	0	5.5	24	161	0	0	23	7	0	4	5	2	0	0	1	5	0	0	6	0
9591	14110	"Kelly's Lough"	52.958352	-6.426246	145	"AWI"	145	932	1220	1095	0	40	0	0	0	0	0	15	0	0	2	0	0	0	142	0	21	0	0	0	7	0	1	97	0	0	0	0	1	0	0	0	0	5	13	155	0	0	41	3	0	1	0	5	0	0	0	2	0	0	4	0
9591	14110	"Kelly's Lough"	52.958352	-6.426246	150	"AWI"	150	973	1276	1145	0	38	2	0	0	3	0	34	0	0	1	0	0	0	177	0	33	0	0	0	5	0	0	102	0	0	1	0	2	0	0	0	0	7.5	12	155	0	0	26	7	25	6	0	3	0	0	0	5	0	0	7	0
9591	14110	"Kelly's Lough"	52.958352	-6.426246	155	"AWI"	155	1046	1305	1190	0	48	0	0	2	0	0	18	0	0	0	0	0	0	153	0	23	0	0	0	3	0	1	77	0	0	0	0	1	0	0	0	0	7.5	0	0	0	0	26	3	8	2	0	8	0	0	0	1	0	0	12	1
9591	14110	"Kelly's Lough"	52.958352	-6.426246	160	"AWI"	160	1092	1345	1239	0	40	0	1	0	0	0	21	0	0	0	0	0	0	135	0	33	0	0	0	4	0	0	98	0	0	0	1	2	0	0	0	0	10	13	153	0	0	26	0	24	1	10	4	0	0	0	5	0	0	7	1
9591	14110	"Kelly's Lough"	52.958352	-6.426246	165	"AWI"	165	1187	1391	1297	0	37	0	0	1	1	0	16	0	0	0	0	0	0	125	0	20	0	0	1	4	0	0	67	0	0	0	0	0	0	0	0	1	8	14	173	0	0	21	5	0	6	0	5	0	0	0	2	0	0	10	0
9591	14110	"Kelly's Lough"	52.958352	-6.426246	170	"AWI"	170	1213	1553	1350	0	57	0	0	1	1	0	45	0	0	0	0	2	0	186	0	20	114	0	0	15	0	0	124	0	0	1	1	0	0	0	0	0	8.5	16	0	0	0	49	4	0	1	0	5	0	0	0	6	0	0	11	0
9591	14110	"Kelly's Lough"	52.958352	-6.426246	175	"AWI"	175	1266	1647	1432	0	33	0	1	0	1	0	24	0	0	2	0	0	0	180	0	20	0	0	0	10	0	0	82	0	0	0	0	0	0	0	0	0	6.5	19	0	0	0	62	3	0	4	0	0	0	0	0	3	0	0	8	0
9591	14110	"Kelly's Lough"	52.958352	-6.426246	180	"AWI"	180	1299	1837	1504	0	51	0	1	0	1	0	30	0	3	0	0	1	0	206	0	46	0	0	1	14	0	0	91	0	0	0	0	0	0	0	1	0	16	11	0	0	0	64	0	0	1	8	5	2	0	0	4	0	0	21	0
9591	14110	"Kelly's Lough"	52.958352	-6.426246	185	"AWI"	185	1367	1911	1594	0	39	0	3	0	2	0	19	0	0	2	0	0	0	193	1	23	0	0	0	5	0	1	86	0	0	0	0	0	0	0	0	0	4.5	15	0	0	0	68	2	0	2	0	9	0	0	0	1	0	0	11	0
