"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Abies"	"Acer"	"Alnus"	"Amaranthaceae"	"Apiaceae"	"Araliaceae"	"Artemisia"	"Asphodelaceae"	"Asteraceae"	"Betula"	"Boraginaceae"	"Brassicaceae"	"Buxus"	"Campanulaceae"	"Caprifoliaceae"	"Caryophyllaceae"	"Castanea"	"Cedrus"	"Cistaceae"	"Corylus"	"Cyperaceae"	"Elaeagnaceae"	"Ephedraceae"	"Ericales"	"Euphorbiaceae"	"Fabaceae"	"Fagus"	"Fraxinus"	"Gentianaceae"	"Iridaceae"	"Juglans"	"Juniperus"	"Lamiaceae"	"Lythraceae"	"Olea"	"Ostrya.Carpinus"	"Picea"	"Pinus"	"Pistacia"	"Plantaginaceae"	"Platanus"	"Poaceae"	"Polygonaceae"	"Primulaceae"	"Quercus"	"Quercus.evg.type"	"Ranunculaceae"	"Rhamnus"	"Rosaceae"	"Rubiaceae"	"Rumex"	"Salix"	"Sambucus"	"Saxifragaceae"	"Scrophulariaceae"	"Solanaceae"	"Thalictrum"	"Tilia"	"Ulmus"	"Urticaceae"	"Vitaceae"
15709	24106	"Lake Maliq"	40.76667	20.78333	300	"AWI"	300	3920	4217	4045	40	0	0	2	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	109	0	0	0	0	0	9	0	0	0	0	0	0	3	0	0	0	92	0	0	0	0	0	0	85	1	0	0	0	5	0	0	0	0	0	0	0	1	0	0	0
15709	24106	"Lake Maliq"	40.76667	20.78333	305	"AWI"	305	3998	4348	4178	23	0	1	4	1	0	1	0	0	1	0	0	0	0	0	1	0	0	0	1	211	0	0	0	0	0	19	0	0	0	0	0	0	0	1	0	0	114	1	0	0	0	0	0	95	1	0	0	0	2	0	0	0	0	0	0	0	3	2	0	0
15709	24106	"Lake Maliq"	40.76667	20.78333	310	"AWI"	310	4035	4568	4288	28	0	1	0	1	0	0	0	0	1	0	0	1	0	0	0	0	0	0	1	200	0	0	0	0	0	10	0	0	0	0	1	0	0	0	0	0	100	0	0	0	0	0	0	106	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
15709	24106	"Lake Maliq"	40.76667	20.78333	315	"AWI"	315	4125	4620	4374	32	0	1	2	1	0	2	0	0	1	0	0	0	0	0	0	0	0	0	1	216	0	0	0	0	0	17	0	0	0	0	2	0	0	2	2	0	60	0	0	0	0	0	0	101	2	0	0	0	2	0	0	0	0	0	0	0	1	0	0	0
15709	24106	"Lake Maliq"	40.76667	20.78333	320	"AWI"	320	4172	4698	4458	30	0	1	2	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	2	208	0	0	0	0	0	8	0	0	0	0	1	0	0	0	7	0	61	0	0	0	0	0	0	107	0	0	0	0	1	0	0	0	0	0	0	0	1	2	0	0
15709	24106	"Lake Maliq"	40.76667	20.78333	325	"AWI"	325	4205	4840	4546	37	0	4	1	0	0	1	0	0	1	1	1	0	0	0	0	0	0	0	1	558	0	0	0	0	0	17	4	0	0	0	1	0	1	0	0	0	115	0	0	0	0	0	0	101	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0
15709	24106	"Lake Maliq"	40.76667	20.78333	330	"AWI"	330	4262	4880	4592	31	0	5	0	0	0	1	0	0	0	0	2	0	0	0	0	0	0	0	1	148	0	0	0	0	0	8	3	0	0	0	0	0	0	0	3	0	84	0	1	0	0	0	0	49	0	0	0	0	2	0	3	0	0	0	0	0	2	1	0	0
15709	24106	"Lake Maliq"	40.76667	20.78333	335	"AWI"	335	4304	4923	4634	40	0	2	5	1	0	3	0	0	1	0	0	0	0	0	1	0	0	0	2	57	0	0	0	0	0	9	0	0	0	0	1	0	0	0	3	0	82	0	1	0	0	0	0	94	0	2	0	0	0	0	1	0	0	0	0	0	0	0	0	0
15709	24106	"Lake Maliq"	40.76667	20.78333	340	"AWI"	340	4335	4991	4668	6	0	3	6	0	0	3	0	0	1	0	5	0	0	0	0	0	0	0	4	325	0	0	0	0	0	16	0	0	0	0	1	0	1	1	10	0	63	1	0	0	0	0	0	116	0	1	0	0	1	0	0	0	0	0	0	0	0	1	0	1
15709	24106	"Lake Maliq"	40.76667	20.78333	345	"AWI"	345	4391	5027	4706	39	0	5	1	0	0	1	0	0	0	1	3	0	0	0	0	0	0	0	0	282	0	1	0	0	0	13	0	0	0	0	0	0	0	0	2	0	74	1	0	0	0	0	0	78	0	1	0	0	2	0	0	0	0	0	0	0	3	1	0	0
15709	24106	"Lake Maliq"	40.76667	20.78333	350	"AWI"	350	4437	5072	4747	32	0	5	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	2	366	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	165	0	2	0	0	0	0	117	0	0	0	0	0	0	0	0	0	0	0	0	1	2	0	0
15709	24106	"Lake Maliq"	40.76667	20.78333	355	"AWI"	355	4478	5128	4787	20	1	0	2	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	1	189	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	1	98	0	0	0	0	0	0	59	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0
15709	24106	"Lake Maliq"	40.76667	20.78333	360	"AWI"	360	4509	5176	4825	36	0	2	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	2	177	0	0	0	0	0	2	0	0	0	0	4	0	0	0	0	0	123	0	0	0	0	0	0	88	0	0	0	0	1	0	2	0	0	0	0	0	4	1	0	0
15709	24106	"Lake Maliq"	40.76667	20.78333	365	"AWI"	365	4540	5218	4868	23	0	3	1	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	2	183	0	1	0	0	0	10	0	0	1	0	1	0	3	0	0	0	51	0	0	0	0	0	0	62	0	0	0	0	0	0	0	0	0	0	0	0	4	2	0	0
15709	24106	"Lake Maliq"	40.76667	20.78333	370	"AWI"	370	4571	5267	4907	39	0	0	2	1	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	134	0	0	0	0	0	8	0	0	0	0	1	0	3	0	0	0	95	0	0	0	0	0	0	37	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1
15709	24106	"Lake Maliq"	40.76667	20.78333	375	"AWI"	375	4610	5300	4945	65	1	3	3	3	0	1	0	0	1	0	2	0	0	0	0	0	0	0	1	209	0	1	0	0	0	6	0	0	0	0	0	0	1	0	2	0	159	0	0	0	0	0	0	52	0	0	0	0	0	0	0	0	0	0	0	0	3	1	0	0
15709	24106	"Lake Maliq"	40.76667	20.78333	380	"AWI"	380	4651	5327	4981	30	0	3	2	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0	1	115	0	1	0	0	0	3	0	0	0	0	0	1	0	0	3	0	112	0	0	0	0	0	0	51	1	1	0	0	0	0	0	0	0	0	0	1	4	2	0	0
15709	24106	"Lake Maliq"	40.76667	20.78333	385	"AWI"	385	4680	5354	5020	23	0	7	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	424	0	2	0	0	0	9	0	0	0	0	1	0	3	0	0	0	150	0	2	0	0	0	0	76	1	1	0	0	0	0	0	0	0	0	0	1	1	2	0	0
15709	24106	"Lake Maliq"	40.76667	20.78333	388	"AWI"	388	4702	5377	5040	36	0	1	1	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	164	0	0	0	0	0	2	0	0	0	0	1	0	1	0	2	0	106	0	0	0	0	0	0	48	0	0	0	0	0	0	1	0	0	0	0	0	2	0	0	0
15709	24106	"Lake Maliq"	40.76667	20.78333	395	"AWI"	395	4780	5420	5097	27	0	0	1	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	225	0	0	0	0	0	7	0	0	0	0	0	0	3	0	0	0	87	0	0	0	0	0	0	36	1	0	0	0	3	0	1	0	0	0	0	0	7	0	0	0
15709	24106	"Lake Maliq"	40.76667	20.78333	400	"AWI"	400	4825	5453	5138	32	0	1	1	0	0	1	0	0	0	0	7	0	0	0	0	0	0	0	1	225	0	0	0	0	0	5	0	0	0	0	0	0	0	0	6	0	114	0	0	0	0	0	0	58	1	0	0	0	1	0	1	0	0	0	0	0	3	0	0	0
15709	24106	"Lake Maliq"	40.76667	20.78333	405	"AWI"	405	4901	5499	5183	41	0	1	0	1	0	1	0	0	0	0	6	0	0	0	0	0	0	0	2	89	0	0	0	0	0	2	3	0	0	0	1	0	2	0	0	0	131	0	0	0	0	0	0	50	0	0	0	0	2	0	0	0	0	0	0	0	3	0	0	0
15709	24106	"Lake Maliq"	40.76667	20.78333	410	"AWI"	410	5001	5546	5233	49	0	3	1	0	1	0	0	0	1	0	20	0	0	0	0	0	0	0	1	62	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	92	0	0	0	0	0	0	32	0	0	0	0	2	0	0	0	0	0	0	0	2	0	0	0
15709	24106	"Lake Maliq"	40.76667	20.78333	415	"AWI"	415	5058	5602	5294	25	0	1	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	1	37	0	0	0	0	0	4	0	0	0	0	0	0	0	0	2	1	122	1	0	0	0	0	0	84	0	0	0	0	5	0	5	0	0	0	0	0	7	3	0	0
15709	24106	"Lake Maliq"	40.76667	20.78333	420	"AWI"	420	5181	5717	5406	36	0	4	4	0	0	1	0	0	1	0	7	0	0	0	0	0	0	0	1	44	0	0	0	0	0	6	0	0	0	0	1	0	0	0	0	0	121	1	1	0	0	0	0	70	0	0	0	0	2	0	0	0	0	0	0	0	5	1	0	0
15709	24106	"Lake Maliq"	40.76667	20.78333	425	"AWI"	425	5470	5862	5650	21	1	0	0	0	0	1	0	0	0	0	10	0	0	0	0	0	0	0	1	217	0	1	0	0	0	4	0	0	0	0	0	0	0	0	0	0	65	1	1	0	0	0	0	49	1	0	0	0	6	0	2	0	0	0	0	0	3	1	0	0
15709	24106	"Lake Maliq"	40.76667	20.78333	430	"AWI"	430	5686	6040	5893	35	0	1	1	1	0	0	0	0	1	0	3	0	0	0	0	0	0	0	0	356	0	0	0	0	0	4	0	0	0	0	0	0	1	0	0	0	190	1	0	0	0	0	0	57	0	1	0	0	0	0	1	0	0	0	0	0	2	0	0	0
15709	24106	"Lake Maliq"	40.76667	20.78333	435	"AWI"	435	5859	6244	6098	36	0	1	0	0	0	5	0	0	0	0	3	0	0	0	0	0	0	0	0	240	0	0	0	0	0	1	3	0	0	0	1	0	0	0	0	0	184	0	0	0	0	0	0	34	0	0	0	0	1	0	2	0	0	0	0	0	1	0	0	0
15709	24106	"Lake Maliq"	40.76667	20.78333	440	"AWI"	440	6007	6279	6192	9	0	2	0	0	0	1	0	0	0	0	6	0	0	0	0	0	0	0	1	792	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	143	0	0	0	0	0	0	44	0	1	0	0	2	0	2	0	0	0	0	0	5	2	0	0
15709	24106	"Lake Maliq"	40.76667	20.78333	445	"AWI"	445	6038	6420	6248	18	1	1	0	0	0	2	0	0	0	1	30	0	0	0	1	0	0	0	1	89	0	1	0	0	0	1	0	0	0	0	1	0	0	0	6	0	116	0	0	0	0	0	0	33	0	0	0	0	7	0	1	0	0	0	0	0	3	1	0	0
