"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Alnus"	"Amaranthaceae"	"Apiaceae"	"Araliaceae"	"Artemisia"	"Asteraceae"	"Betula"	"Brassicaceae"	"Campanulaceae"	"Cannabaceae"	"Caprifoliaceae"	"Caryophyllaceae"	"Corylus"	"Crassulaceae"	"Crataegus"	"Cyperaceae"	"Elaeagnaceae"	"Ericales"	"Euphorbiaceae"	"Fabaceae"	"Fagus"	"Frangula"	"Fraxinus"	"Genista"	"Gentianaceae"	"Hypericaceae"	"Ilex"	"Juniperus"	"Lamiaceae"	"Lythraceae"	"Myrica"	"Orobanchaceae"	"Ostrya.Carpinus"	"Picea"	"Pinus"	"Plantaginaceae"	"Poaceae"	"Polygonaceae"	"Populus"	"Primulaceae"	"Prunus"	"Quercus"	"Ranunculaceae"	"Rosaceae"	"Rubiaceae"	"Rumex"	"Salix"	"Sambucus"	"Scrophulariaceae"	"Sorbus"	"Thalictrum"	"Tilia"	"Ulmus"	"Urticaceae"
3432	4446	"Lake Solsø"	56.12833	8.613126	482	"AWI"	482	4482	5088	4767	151	1	0	1	2	0	273	0	0	0	0	0	147	0	0	27	0	0	0	0	0	0	15	1	0	0	0	0	0	0	1	0	2	1	37	0	0	0	1	0	0	206	1	0	0	0	2	0	0	1	0	6	10	3
3432	4446	"Lake Solsø"	56.12833	8.613126	492	"AWI"	492	4652	5205	4902	168	1	0	0	2	0	206	0	0	0	0	0	148	0	0	15	0	0	0	0	0	0	15	1	0	0	0	0	0	0	0	0	0	0	34	0	0	0	0	0	0	208	1	0	0	0	0	0	0	1	0	7	13	0
3432	4446	"Lake Solsø"	56.12833	8.613126	498	"AWI"	498	4783	5292	5008	164	0	0	0	1	0	197	0	0	0	0	0	124	1	0	14	0	0	0	0	0	0	15	2	0	0	0	0	0	0	0	0	0	0	17	0	0	0	0	0	0	140	0	0	0	0	0	3	0	1	0	7	9	1
3432	4446	"Lake Solsø"	56.12833	8.613126	500	"AWI"	500	4847	5329	5064	210	1	0	0	1	0	211	0	0	0	0	0	160	0	0	15	0	0	0	0	2	0	18	1	1	0	0	0	0	0	0	0	0	0	23	0	0	0	1	0	0	189	0	0	0	0	3	0	0	0	0	11	10	1
3432	4446	"Lake Solsø"	56.12833	8.613126	502	"AWI"	502	4886	5375	5122	191	0	0	0	1	0	242	0	0	1	0	0	174	0	0	23	0	0	0	0	0	0	17	0	0	0	0	0	0	0	0	0	0	0	17	0	0	0	0	0	0	201	1	0	0	0	2	0	0	0	0	13	18	1
3432	4446	"Lake Solsø"	56.12833	8.613126	504	"AWI"	504	4914	5442	5183	175	1	0	0	0	0	267	1	0	0	0	0	155	1	0	17	0	0	0	0	0	1	19	2	0	2	0	0	0	0	0	0	0	0	25	0	0	0	2	0	0	175	0	0	1	0	0	1	0	1	2	11	21	1
3432	4446	"Lake Solsø"	56.12833	8.613126	506	"AWI"	506	4942	5539	5234	186	1	0	1	0	0	295	0	0	0	2	0	128	0	0	15	0	57	0	0	0	1	12	0	0	0	0	0	0	0	0	0	0	0	29	0	0	0	1	0	1	205	1	0	1	0	2	0	0	1	0	11	20	1
3432	4446	"Lake Solsø"	56.12833	8.613126	508	"AWI"	508	5320	5786	5544	172	0	0	0	0	0	305	0	0	0	1	0	138	0	0	11	0	0	0	0	0	0	11	6	0	0	0	1	0	0	0	0	0	0	26	0	0	0	0	0	0	118	1	0	0	0	0	0	0	0	0	11	17	1
3432	4446	"Lake Solsø"	56.12833	8.613126	510	"AWI"	510	5677	6050	5852	174	0	0	0	1	0	342	0	0	0	1	0	136	0	0	16	0	0	0	0	0	0	11	3	1	1	0	0	0	0	0	0	0	0	39	0	0	0	1	0	0	185	2	0	0	0	1	0	0	0	0	9	10	0
3432	4446	"Lake Solsø"	56.12833	8.613126	512	"AWI"	512	6005	6348	6164	203	1	0	0	1	0	314	0	0	0	0	0	160	0	0	15	0	0	1	0	0	0	10	1	0	1	0	0	0	1	0	0	0	0	45	0	0	0	2	0	0	195	0	0	0	0	3	0	0	1	0	5	24	1
3432	4446	"Lake Solsø"	56.12833	8.613126	514	"AWI"	514	6304	6698	6474	182	0	0	1	0	0	269	0	0	0	0	0	140	0	0	13	0	0	0	0	0	0	13	1	0	0	0	0	0	0	0	0	0	0	49	0	0	0	0	0	0	136	1	0	0	0	2	0	0	0	0	6	23	1
3432	4446	"Lake Solsø"	56.12833	8.613126	516	"AWI"	516	6556	7063	6787	156	1	0	0	3	0	299	0	0	0	0	0	166	1	0	27	0	0	0	0	0	0	10	0	0	1	0	1	0	0	0	0	0	0	50	0	0	0	4	0	0	133	2	0	0	0	3	0	0	0	0	14	30	0
3432	4446	"Lake Solsø"	56.12833	8.613126	518	"AWI"	518	6769	7180	6963	205	1	0	1	1	0	347	0	0	0	0	0	184	0	0	26	0	0	0	0	0	0	16	0	0	0	0	0	0	0	0	0	1	1	77	0	0	0	1	0	0	133	0	0	0	0	6	0	0	0	0	22	48	0
3432	4446	"Lake Solsø"	56.12833	8.613126	520	"AWI"	520	6945	7317	7142	161	0	0	0	1	0	292	0	4	0	0	0	182	0	0	12	0	0	0	0	0	0	7	0	1	0	0	0	0	0	0	0	0	1	74	0	0	0	4	0	0	125	0	0	0	0	3	0	0	1	0	18	35	0
3432	4446	"Lake Solsø"	56.12833	8.613126	530	"AWI"	530	7576	8031	7825	246	1	0	0	0	0	283	0	0	0	0	0	300	0	0	13	0	0	0	0	0	1	4	1	0	0	0	0	0	0	0	0	0	1	103	0	0	0	3	0	0	121	0	0	0	0	2	0	0	0	0	30	56	0
3432	4446	"Lake Solsø"	56.12833	8.613126	570	"AWI"	570	8471	10684	9264	140	1	0	0	2	0	267	0	0	0	0	0	313	0	0	16	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	1	172	0	0	0	12	0	0	63	0	0	0	0	2	0	0	1	0	5	24	3
