"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Alnus"	"Amaranthaceae"	"Artemisia"	"Asteraceae"	"Betula"	"Caryophyllaceae"	"Corylus"	"Cyperaceae"	"Ericales"	"Picea"	"Pinus"	"Poaceae"	"Quercus"	"Rosaceae"	"Rumex"	"Salix"	"Saxifragaceae"	"Thalictrum"	"Tilia"	"Ulmus"
3451	4468	"Suovalampi"	69.603	28.83694	110	"AWI"	110	6519	7742	7098	14	0	0	0	197	0	0	6	1	0	400	2	0	0	0	1	0	0	0	1
3451	4468	"Suovalampi"	69.603	28.83694	115	"AWI"	115	6771	8037	7419	10	0	2	0	145	0	1	7	0	0	731	1	0	0	1	0	0	0	0	0
3451	4468	"Suovalampi"	69.603	28.83694	120	"AWI"	120	7120	8267	7739	12	0	1	0	400	0	2	7	3	0	340	6	0	0	0	0	0	0	0	0
3451	4468	"Suovalampi"	69.603	28.83694	125	"AWI"	125	7597	8502	8050	12	0	4	1	314	0	1	6	1	0	295	10	0	0	0	0	0	0	0	1
3451	4468	"Suovalampi"	69.603	28.83694	130	"AWI"	130	7829	8958	8343	6	0	0	2	332	0	1	4	1	1	114	8	0	0	0	3	1	0	0	0
3451	4468	"Suovalampi"	69.603	28.83694	135	"AWI"	135	8051	9336	8635	4	0	0	1	620	0	3	8	3	1	65	10	0	0	0	3	0	0	0	1
3451	4468	"Suovalampi"	69.603	28.83694	140	"AWI"	140	8288	9647	8935	2	0	0	0	324	0	1	5	1	0	23	1	0	0	1	2	0	0	0	0
3451	4468	"Suovalampi"	69.603	28.83694	145	"AWI"	145	8560	9936	9243	0	0	2	0	255	1	0	4	0	0	14	4	0	0	0	2	0	0	0	1
3451	4468	"Suovalampi"	69.603	28.83694	150	"AWI"	150	8883	10166	9543	1	0	1	0	300	0	0	4	4	0	7	7	0	0	1	0	0	1	0	0
3451	4468	"Suovalampi"	69.603	28.83694	155	"AWI"	155	9125	10556	9834	0	0	0	0	210	0	0	10	38	3	12	6	0	0	6	3	2	0	0	0
3451	4468	"Suovalampi"	69.603	28.83694	160	"AWI"	160	9325	11031	10109	0	0	3	0	87	0	0	5	45	0	8	3	0	0	1	1	0	0	0	0
3451	4468	"Suovalampi"	69.603	28.83694	165	"AWI"	165	9508	11454	10383	0	0	0	0	7	0	0	1	5	0	3	1	0	0	0	0	0	0	0	0
