"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Abies"	"Acer"	"Alnus"	"Amaranthaceae"	"Apiaceae"	"Araliaceae"	"Artemisia"	"Asteraceae"	"Betula"	"Brassicaceae"	"Caprifoliaceae"	"Caryophyllaceae"	"Corylus"	"Cyperaceae"	"Ericales"	"Fagus"	"Frangula"	"Fraxinus"	"Hypericaceae"	"Orobanchaceae"	"Ostrya.Carpinus"	"Picea"	"Pinus"	"Plantaginaceae"	"Poaceae"	"Polygonaceae"	"Quercus"	"Ranunculaceae"	"Rosaceae"	"Rubiaceae"	"Rumex"	"Salix"	"Santalaceae"	"Thalictrum"	"Tilia"	"Ulmus"	"Urticaceae"
14584	22862	"Georgenfelder Hochmoor"	50.72794	13.74448	165	"AWI"	165	2283	2666	2448	86	1	38	1	2	0	8	0	51	0	0	0	18	2	6	150	0	2	0	0	14	36	70	0	0	0	40	1	0	0	0	0	0	0	1	4	0
14584	22862	"Georgenfelder Hochmoor"	50.72794	13.74448	170	"AWI"	170	2349	2708	2510	105	0	88	1	0	0	6	0	72	0	0	0	22	1	7	57	0	10	0	0	29	53	100	2	0	0	62	0	0	0	0	0	0	1	2	2	0
14584	22862	"Georgenfelder Hochmoor"	50.72794	13.74448	175	"AWI"	175	2387	2774	2569	51	0	73	2	0	0	7	0	71	0	0	0	48	0	24	119	0	3	0	0	34	23	87	0	0	0	29	0	0	0	0	0	0	0	2	1	0
14584	22862	"Georgenfelder Hochmoor"	50.72794	13.74448	180	"AWI"	180	2434	2845	2625	60	0	111	2	0	0	6	0	91	0	0	0	43	0	19	129	0	5	0	0	16	55	150	0	0	0	41	0	0	0	0	0	1	0	3	5	0
14584	22862	"Georgenfelder Hochmoor"	50.72794	13.74448	185	"AWI"	185	2463	2940	2679	24	0	37	1	0	0	4	0	48	0	0	0	36	3	17	93	0	2	0	5	2	73	150	0	0	0	30	0	0	0	0	0	0	0	7	3	1
14584	22862	"Georgenfelder Hochmoor"	50.72794	13.74448	190	"AWI"	190	2488	3053	2728	0	0	51	1	0	0	8	0	48	0	0	0	213	7	74	22	0	15	0	0	1	105	56	0	0	0	39	0	0	0	0	0	0	0	39	47	0
14584	22862	"Georgenfelder Hochmoor"	50.72794	13.74448	195	"AWI"	195	2540	3115	2781	0	0	31	0	0	1	3	0	24	0	0	0	106	11	153	0	0	2	0	0	0	50	40	0	0	0	34	0	0	0	0	1	1	0	19	29	0
14584	22862	"Georgenfelder Hochmoor"	50.72794	13.74448	200	"AWI"	200	2574	3183	2833	0	0	39	0	0	0	7	0	80	0	0	0	103	1	195	0	0	7	0	0	3	88	67	0	0	0	32	0	0	0	0	0	0	3	41	41	0
14584	22862	"Georgenfelder Hochmoor"	50.72794	13.74448	205	"AWI"	205	2597	3280	2882	4	0	30	0	0	0	5	0	83	0	1	0	110	20	30	3	0	3	0	0	1	62	122	0	0	0	41	1	0	0	0	0	0	0	22	53	0
14584	22862	"Georgenfelder Hochmoor"	50.72794	13.74448	210	"AWI"	210	2650	3332	2937	0	0	22	0	0	0	1	0	55	0	0	1	174	2	6	0	0	1	0	0	0	22	56	0	0	0	26	0	0	0	0	0	0	0	30	40	0
14584	22862	"Georgenfelder Hochmoor"	50.72794	13.74448	215	"AWI"	215	2695	3388	2996	0	0	37	0	1	0	1	0	50	0	1	0	162	18	5	0	0	1	0	0	0	14	93	0	0	4	19	0	0	0	0	1	0	1	17	37	0
14584	22862	"Georgenfelder Hochmoor"	50.72794	13.74448	220	"AWI"	220	2726	3463	3046	0	0	37	0	1	0	1	0	214	0	2	0	233	8	0	0	0	4	0	0	0	8	69	0	0	0	34	0	0	0	0	0	0	0	38	30	0
