"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Abies"	"Acer"	"Alnus"	"Amaranthaceae"	"Apiaceae"	"Araliaceae"	"Artemisia"	"Asteraceae"	"Betula"	"Brassicaceae"	"Cannabaceae"	"Caprifoliaceae"	"Caryophyllaceae"	"Cornus"	"Corylus"	"Cyperaceae"	"Ericales"	"Fabaceae"	"Fagus"	"Frangula"	"Fraxinus"	"Gentianaceae"	"Indeterminable"	"Juglans"	"Juniperus"	"Lamiaceae"	"Larix"	"Lythraceae"	"Onagraceae"	"Orobanchaceae"	"Ostrya.Carpinus"	"Papaveraceae"	"Picea"	"Pinus"	"Plantaginaceae"	"Poaceae"	"Polygonaceae"	"Populus"	"Primulaceae"	"Prunus"	"Quercus"	"Ranunculaceae"	"Rosaceae"	"Rubiaceae"	"Rumex"	"Salix"	"Sambucus"	"Santalaceae"	"Solanaceae"	"Thalictrum"	"Tilia"	"Ulmus"	"Urticaceae"
14557	22822	"Kružlová"	49.36417	21.58361	97.5	"AWI"	97.5	941.5	1521	1253	11.2433862433862	0	4.36507936507936	0.925925925925926	0.661375661375661	0	1.05820105820106	0	2.91005291005291	0.132275132275132	0	0.132275132275132	0	0	5.68783068783069	29.2328042328042	0	0	12.8306878306878	0	0	0	0	0	0	0	0	0	0	0	0.925925925925926	0	0.264550264550265	17.1957671957672	0	0	0	1.19047619047619	0	0	3.96825396825397	0	0	1.19047619047619	0	0.396825396825397	0	0	0	0.132275132275132	4.89417989417989	0.529100529100529	0.132275132275132
14557	22822	"Kružlová"	49.36417	21.58361	102.5	"AWI"	102.5	1086.5	1608	1364	16.4591977869986	0	6.50069156293223	0.829875518672199	0.138312586445367	0	1.38312586445367	0	4.01106500691563	0	0	0	0	0	2.9045643153527	11.7565698478562	0	0	26.6943291839557	0	0	0.138312586445367	0.829875518672199	0	0	0	0	0.138312586445367	0	0	4.149377593361	0	0.276625172890733	13.6929460580913	0	0	0	0.276625172890733	0	0	7.46887966804979	0	0	0.4149377593361	0	0.276625172890733	0.138312586445367	0	0	0.138312586445367	0.691562932226833	0.691562932226833	0
14557	22822	"Kružlová"	49.36417	21.58361	107.5	"AWI"	107.5	1275	1662	1476	25.4237288135593	0	6.99152542372881	0.741525423728814	0.953389830508475	0.105932203389831	1.48305084745763	0	3.70762711864407	0.105932203389831	0	0.105932203389831	0	0.105932203389831	4.55508474576271	11.1228813559322	0	0	21.6101694915254	0	0.211864406779661	0	0.423728813559322	0	0.211864406779661	0	0	0	0	0	2.4364406779661	0	0	8.6864406779661	0	0	0	0	0	0	5.19067796610169	0	0	0.741525423728814	0	1.0593220338983	0.105932203389831	0.105932203389831	0	0.105932203389831	2.4364406779661	1.27118644067797	0
14557	22822	"Kružlová"	49.36417	21.58361	112.5	"AWI"	112.5	1356	1734	1564.5	17.1070931849791	0	9.17941585535466	0.556328233657858	0.278164116828929	0	1.80806675938804	0	3.33796940194715	0.139082058414465	0	0	0	0	2.50347705146036	11.5438108484006	0	0	26.4255910987483	0	0.139082058414465	0	0.139082058414465	0	0.139082058414465	0	0	0	0	0	3.19888734353268	0.139082058414465	0.139082058414465	12.3783031988873	0	0	0	1.25173852573018	0	0	6.6759388038943	0	0	0.417246175243394	0	1.39082058414465	0	0.139082058414465	0	0	0.417246175243394	0.278164116828929	0.278164116828929
14557	22822	"Kružlová"	49.36417	21.58361	117.5	"AWI"	117.5	1397	1817	1610.5	15.1624548736462	0	4.57280385078219	0.240673886883273	0.120336943441637	0	1.323706377858	0	4.69314079422383	0.36101083032491	0	0	0	0	2.647412755716	18.4115523465704	0	0	29.1215403128761	0.120336943441637	0.481347773766546	0	0	0	0.120336943441637	0	0.120336943441637	0.240673886883273	0	0	2.88808664259928	0	0.481347773766546	8.5439229843562	0	0	0	0	0	0	6.01684717208183	0	0	2.16606498194946	0	0.481347773766546	0	0	0	0	0.36101083032491	0.962695547533093	0.36101083032491
14557	22822	"Kružlová"	49.36417	21.58361	122.5	"AWI"	122.5	1438.5	1896	1659	10.6232294617564	0	4.95750708215297	0	0	0	0.708215297450425	0	9.77337110481587	0	0	0	0	0	1.69971671388102	12.7478753541076	0	0	30.7365439093484	0	0.141643059490085	0	0	0	0	0	0	0.56657223796034	0.141643059490085	0	2.97450424929179	0	0.424929178470255	9.34844192634561	0	0	0	0.84985835694051	0	0	10.056657223796	0	0	0.991501416430595	0	0.424929178470255	0.28328611898017	0	0	0	1.98300283286119	0.56657223796034	0
14557	22822	"Kružlová"	49.36417	21.58361	127.5	"AWI"	127.5	1471.5	1949.5	1709	6.87593423019432	0	5.38116591928251	0.298953662182362	0	0	0.896860986547085	0	4.63378176382661	0.149476831091181	0	0	0	0	1.79372197309417	7.7727952167414	0	0	41.1061285500747	0	0	0	2.84005979073244	0	0.747384155455904	0	0	0	0	0	6.12855007473842	0	0	5.97907324364723	0	0	0	1.79372197309417	0	0	10.6128550074738	0	0	0	0	0.448430493273543	0	0	0	0	1.19581464872945	1.04633781763827	0.298953662182362
14557	22822	"Kružlová"	49.36417	21.58361	132.5	"AWI"	132.5	1510	2014	1757.5	9.24214417744917	0	4.62107208872458	0	0	0	0.184842883548983	0	4.62107208872458	0.369685767097967	0	0	0	0	1.66358595194085	3.69685767097967	0	0	41.9593345656192	0	0	0	0.739371534195933	0	0.184842883548983	0	0	0	0	0	10.90573012939	0	0.184842883548983	10.3512014787431	0	0	0	0	0	0	4.80591497227357	0	0	0	0	0	0	0	0	0	5.91497227356747	0.55452865064695	0
14557	22822	"Kružlová"	49.36417	21.58361	137.5	"AWI"	137.5	1551	2064	1809	3.38266384778013	0.422832980972516	4.0169133192389	0	0	0	0.634249471458774	0	8.24524312896406	0	0	0	0	0	3.80549682875264	2.32558139534884	0	0	40.5919661733615	0	0.634249471458774	0	0	0	0	0	0	0	0	0	8.24524312896406	0	0.211416490486258	8.87949260042283	0	0	0	1.47991543340381	0	0	5.70824524312896	0	0	0.211416490486258	0	0.422832980972516	0	0	0.211416490486258	0.211416490486258	9.51374207188161	0.845665961945032	0
14557	22822	"Kružlová"	49.36417	21.58361	142.5	"AWI"	142.5	1599	2125.5	1859	14.34034416826	0	4.58891013384321	0	0	0	0	0	6.11854684512428	0	0	0	0	0	2.29445506692161	3.25047801147228	0	0	31.1663479923518	0	0.764818355640535	0	0	0	0	0	0	0	0	0	10.1338432122371	0	0.382409177820268	16.8260038240918	0	0	0	0	0	0	3.05927342256214	0	0	0.191204588910134	0	0.382409177820268	0	0	0	0	5.54493307839388	0.956022944550669	0
