"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Abies"	"Acer"	"Alnus"	"Amaranthaceae"	"Apiaceae"	"Artemisia"	"Asteraceae"	"Betula"	"Brassicaceae"	"Campanulaceae"	"Cannabaceae"	"Caprifoliaceae"	"Caryophyllaceae"	"Castanea"	"Cistaceae"	"Corylus"	"Cyperaceae"	"Elaeagnaceae"	"Ericales"	"Fabaceae"	"Fagus"	"Fraxinus"	"Gentianaceae"	"Geraniaceae"	"Juglans"	"Juniperus"	"Lamiaceae"	"Larix"	"Liliaceae"	"Lythraceae"	"Olea"	"Ostrya.Carpinus"	"Papaveraceae"	"Picea"	"Pinus"	"Pistacia"	"Plantaginaceae"	"Poaceae"	"Polygonaceae"	"Populus"	"Primulaceae"	"Quercus"	"Quercus.evg.type"	"Ranunculaceae"	"Rosaceae"	"Rubiaceae"	"Rumex"	"Salix"	"Saxifragaceae"	"Scrophulariaceae"	"Thalictrum"	"Tilia"	"Ulmus"
14594	22876	"Lac de Lod"	45.8025	7.60972	370	"AWI"	370	521	1163	735	0	0	0	1	6	2	19	2	0	0	5	0	2	1	1	0	6	0	0	0	0	0	0	0	0	1	1	0	0	0	1	0	0	1	0	0	0	98	0	0	0	1	0	3	0	0	1	0	0	0	1	0	0
14594	22876	"Lac de Lod"	45.8025	7.60972	390	"AWI"	390	608	1210	780	2	0	0	0	10	2	14	1	0	0	50	0	2	0	0	2	14	1	2	0	3	1	0	1	9	7	0	2	0	0	0	0	0	6	26	0	5	120	0	0	0	16	1	2	0	0	6	0	0	3	0	0	0
14594	22876	"Lac de Lod"	45.8025	7.60972	400	"AWI"	400	642	1230	807	0	2	0	0	2	3	0	2	0	0	54	0	1	1	0	1	20	0	1	0	2	0	0	0	6	8	1	1	1	0	0	0	1	6	33	0	0	86	0	0	0	6	3	10	0	0	14	0	0	1	0	0	0
14594	22876	"Lac de Lod"	45.8025	7.60972	410	"AWI"	410	667	1256	835	0	0	7	0	2	5	6	6	0	1	76	0	2	3	0	0	26	0	2	0	4	0	0	0	7	37	1	2	0	1	0	0	0	3	43	1	14	144	0	2	0	15	0	2	0	0	13	0	0	1	0	0	0
14594	22876	"Lac de Lod"	45.8025	7.60972	420	"AWI"	420	722	1325	899	0	1	66	1	1	27	0	80	0	1	30	0	0	1	0	5	2	0	1	0	26	0	0	0	7	4	0	1	0	0	0	0	0	14	0	0	5	78	0	0	0	25	2	2	0	1	16	0	0	1	0	0	0
14594	22876	"Lac de Lod"	45.8025	7.60972	430	"AWI"	430	755	1445	977	4	0	66	1	0	10	0	17	0	0	2	0	0	3	0	3	7	0	0	0	24	0	0	0	4	29	0	0	0	0	0	0	0	24	41	0	7	69	0	0	0	52	4	3	0	0	24	1	0	0	0	1	0
14594	22876	"Lac de Lod"	45.8025	7.60972	440	"AWI"	440	779	1605	1064	4	0	70	0	0	6	2	39	0	1	12	0	0	2	0	12	9	0	1	0	15	1	0	0	10	1	0	8	1	0	0	0	0	40	80	0	2	17	0	0	0	54	1	1	0	1	2	0	1	1	0	0	0
14594	22876	"Lac de Lod"	45.8025	7.60972	450	"AWI"	450	798	1818	1147	7	0	24	0	2	3	0	32	0	0	6	0	0	0	0	2	22	0	0	0	4	0	0	0	6	9	1	4	0	0	0	2	0	46	207	0	4	42	0	0	0	30	1	2	0	0	6	0	0	1	0	0	0
14594	22876	"Lac de Lod"	45.8025	7.60972	460	"AWI"	460	868	1964	1248	12	0	77	1	0	5	0	66	0	2	5	0	0	0	0	2	14	0	1	0	1	0	0	0	0	1	1	2	5	0	0	0	0	26	0	0	0	38	0	0	0	35	1	2	0	0	2	3	0	0	0	0	0
14594	22876	"Lac de Lod"	45.8025	7.60972	470	"AWI"	470	941	2030	1363	32	1	60	0	0	5	0	5	0	0	2	1	1	0	0	3	21	0	1	0	1	0	1	0	0	0	0	8	0	0	0	0	0	38	0	0	0	0	0	1	0	14	0	1	0	0	0	0	0	0	0	1	4
14594	22876	"Lac de Lod"	45.8025	7.60972	480	"AWI"	480	989	2139	1483	39	2	0	0	1	2	0	9	0	0	1	0	1	0	0	3	20	0	0	0	1	0	0	0	0	0	0	13	1	0	0	0	0	63	0	0	0	0	0	0	0	10	4	1	0	0	3	0	0	0	0	0	4
14594	22876	"Lac de Lod"	45.8025	7.60972	490	"AWI"	490	1030	2307	1592	51	0	58	0	0	0	0	1	0	1	1	0	0	0	0	2	4	0	0	0	1	0	0	0	0	0	0	4	0	0	0	0	0	5	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	2
14594	22876	"Lac de Lod"	45.8025	7.60972	500	"AWI"	500	1112	2449	1702	53	0	75	0	0	4	0	4	0	0	0	0	1	0	0	7	15	0	0	0	0	0	0	0	0	0	0	17	0	0	0	0	0	12	0	0	0	0	0	0	0	1	0	1	0	0	0	2	0	0	0	0	0
14594	22876	"Lac de Lod"	45.8025	7.60972	510	"AWI"	510	1241	2493	1818	63	0	80	0	0	2	0	7	0	0	1	0	0	4	0	4	35	0	1	0	1	0	0	0	0	0	0	14	0	0	0	0	0	8	0	0	0	0	0	0	0	8	0	0	0	0	2	0	0	1	0	0	3
14594	22876	"Lac de Lod"	45.8025	7.60972	520	"AWI"	520	1328	2550	1939	64	3	64	1	2	8	5	16	1	0	0	0	0	0	0	1	96	0	1	0	0	0	0	0	0	2	1	6	0	0	0	0	0	4	167	0	0	48	0	0	0	18	0	1	0	1	11	0	0	1	1	0	0
14594	22876	"Lac de Lod"	45.8025	7.60972	530	"AWI"	530	1387	2632	2064	6	2	0	0	0	0	0	0	1	0	2	0	0	0	0	1	3	0	0	0	0	0	0	0	0	0	0	58	0	0	0	0	0	2	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0
14594	22876	"Lac de Lod"	45.8025	7.60972	540	"AWI"	540	1489	2749	2172	60	0	0	0	0	6	0	10	2	0	2	0	0	0	0	4	6	0	2	0	0	0	0	2	0	0	0	0	4	0	0	0	0	4	0	0	0	0	0	0	0	4	0	0	0	0	2	0	0	0	0	0	0
14594	22876	"Lac de Lod"	45.8025	7.60972	550	"AWI"	550	1697	2781	2282	32	4	0	0	0	0	0	16	0	2	0	0	2	0	0	8	26	0	2	0	0	0	0	0	0	0	2	6	0	0	0	0	0	14	0	0	0	0	0	0	0	12	2	0	0	0	0	0	0	0	0	0	4
14594	22876	"Lac de Lod"	45.8025	7.60972	570	"AWI"	570	1968	2877	2526	40	2	42	0	1	5	0	7	0	0	0	0	0	2	1	4	25	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	13	0	0	0	0	0	0	0	16	0	1	0	0	1	1	0	2	0	0	0
14594	22876	"Lac de Lod"	45.8025	7.60972	590	"AWI"	590	2368	3017	2733	84	2	0	0	0	4	0	24	0	2	2	0	2	0	0	6	28	0	0	0	0	0	0	0	0	2	0	2	0	0	0	0	0	8	183	0	0	0	0	0	0	28	0	2	0	0	0	0	0	0	0	0	2
14594	22876	"Lac de Lod"	45.8025	7.60972	600	"AWI"	600	2621	3087	2821	68	0	0	0	0	6	0	10	0	2	0	0	0	0	0	0	8	0	0	0	4	0	0	0	0	0	0	2	0	0	0	0	0	2	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	2	12
14594	22876	"Lac de Lod"	45.8025	7.60972	610	"AWI"	610	2761	3204	2928	90	2	0	0	2	6	8	6	2	0	0	0	0	0	0	0	28	0	0	0	0	0	0	0	0	4	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	8	0	4	0	0	0	0	0	0	0	0	2
14594	22876	"Lac de Lod"	45.8025	7.60972	615	"AWI"	615	2782	3301	2977	8	1	0	0	0	3	0	7	0	0	0	0	1	0	0	8	5	0	0	0	2	0	0	0	0	0	0	1	0	0	0	0	0	113	131	0	0	0	0	0	0	19	0	0	0	0	0	0	0	1	0	4	19
14594	22876	"Lac de Lod"	45.8025	7.60972	617	"AWI"	617	2786	3353	2997	8	1	0	0	0	0	0	3	0	0	0	0	0	0	0	3	2	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	15	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
14594	22876	"Lac de Lod"	45.8025	7.60972	620	"AWI"	620	2792	3429	3027	4	0	0	0	0	2	0	6	0	0	0	0	0	0	0	4	8	0	0	0	0	0	2	0	0	0	2	0	2	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	2	0	0	0	0	0	0
