"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Abies"	"Acer"	"Alnus"	"Amaranthaceae"	"Amaryllidaceae"	"Apiaceae"	"Araliaceae"	"Arctostaphylos"	"Artemisia"	"Asteraceae"	"Betula"	"Boraginaceae"	"Brassicaceae"	"Buxus"	"Campanulaceae"	"Cannabaceae"	"Caprifoliaceae"	"Caryophyllaceae"	"Castanea"	"Cedrus"	"Celastraceae"	"Cistaceae"	"Corylus"	"Crassulaceae"	"Cyperaceae"	"Elaeagnaceae"	"Ephedraceae"	"Ericales"	"Euphorbiaceae"	"Fabaceae"	"Fagus"	"Fraxinus"	"Genista"	"Gentianaceae"	"Geraniaceae"	"Hypericaceae"	"Iridaceae"	"Juglans"	"Juniperus"	"Lamiaceae"	"Larix"	"Ligustrum"	"Liliaceae"	"Melanthiaceae"	"Olea"	"Onagraceae"	"Orobanchaceae"	"Ostrya.Carpinus"	"Picea"	"Pinus"	"Pistacia"	"Plantaginaceae"	"Platanus"	"Plumbaginaceae"	"Poaceae"	"Polygonaceae"	"Populus"	"Primulaceae"	"Quercus"	"Ranunculaceae"	"Rhododendron"	"Rosaceae"	"Rubiaceae"	"Rumex"	"Salix"	"Sambucus"	"Saxifragaceae"	"Scrophulariaceae"	"Solanaceae"	"Sorbus"	"Thalictrum"	"Tilia"	"Ulmus"	"Urticaceae"	"Viburnum"	"Violaceae"	"Vitaceae"
15748	24188	"Hopschensee"	46.2525	8.02306	7.3	"AWI"	7.3	-35.9	73.9	17	0.256410256410256	0	17.9487179487179	0.256410256410256	0	0	0	0	0.512820512820513	0	3.33333333333333	0	0	0	0	0	0	0	2.30769230769231	0	0	0	1.02564102564103	0	17.9487179487179	0	0	0	0	0	1.02564102564103	0	0	0	0.256410256410256	0.256410256410256	0	0.769230769230769	3.58974358974359	0	1.53846153846154	0	0	0	1.28205128205128	0	0	0	9.23076923076923	27.6923076923077	0	0	0	0	0	0	0	0	3.33333333333333	0	3.58974358974359	0	0.512820512820513	0	0.256410256410256	0	0	0	0	0	0.769230769230769	0	0.256410256410256	1.79487179487179	0	0	0.256410256410256
15748	24188	"Hopschensee"	46.2525	8.02306	7.8	"AWI"	7.8	-32.4	80.4	22	0.671140939597315	0	17.2259507829978	0.223713646532438	0	0	0	0	0.447427293064877	0	3.35570469798658	0	0.671140939597315	0	0	2.68456375838926	0	0	1.34228187919463	0	0	0.223713646532438	1.11856823266219	0	16.1073825503356	0	0	0	0	0	0.671140939597315	0	0	0	0	0	0	1.34228187919463	4.25055928411633	0	2.68456375838926	0	0	0	0.447427293064877	0	0	0	13.1991051454139	28.4116331096197	0	0	0	0	0	0	0	0	2.23713646532438	0	1.11856823266219	0	0.447427293064877	0	0	0	0	0	0	0	0.223713646532438	0	0	0.894854586129754	0	0	0
15748	24188	"Hopschensee"	46.2525	8.02306	8.3	"AWI"	8.3	-29.8	87.5	26.7	0.657894736842105	0	17.4342105263158	0	0	0	0	0	0	0	5.26315789473684	0	0.986842105263158	0	0	0	0	0	0.657894736842105	0	0	0	0.986842105263158	0	21.3815789473684	0	0	0	0	0	2.30263157894737	0.657894736842105	0	0	0	0	0	0.657894736842105	3.61842105263158	0	1.64473684210526	0	0	0	0.986842105263158	0	0	0	9.53947368421053	25.9868421052632	0	0	0	0	0	0	0	0	3.61842105263158	0	2.30263157894737	0	0	0	0	0	0	0	0	0	0	0	0	1.31578947368421	0	0	0
15748	24188	"Hopschensee"	46.2525	8.02306	8.8	"AWI"	8.8	-27.8	95	31.2	0.576368876080692	0	17.8674351585014	0	0	0	0	0	0.864553314121038	0	3.7463976945245	0	0	0	0	0	0	0	2.59365994236311	0	0	0.576368876080692	1.72910662824208	0	13.8328530259366	0	0	2.59365994236311	0	0	0.288184438040346	0	0.288184438040346	0.576368876080692	0	0.288184438040346	0	2.30547550432277	3.45821325648415	0	2.30547550432277	0	0	0	0.864553314121038	0	0	0	12.3919308357349	28.2420749279539	0	0	0	0	0	0	0	0	0.576368876080692	0	2.01729106628242	0	0	0	0.288184438040346	0.288184438040346	0	0	0	0	0	0	0	0.864553314121038	0	0	0.576368876080692
15748	24188	"Hopschensee"	46.2525	8.02306	9.3	"AWI"	9.3	-25.5	102.8	35.7	0.842105263157895	0	17.6842105263158	0.421052631578947	0	0	0	0	1.05263157894737	0	3.15789473684211	0	0.631578947368421	0	0	2.10526315789474	0	0	1.68421052631579	0	0	0	1.68421052631579	0	14.7368421052632	0	0	0	0	0	1.26315789473684	0	0	1.05263157894737	0	0	0	0.631578947368421	5.26315789473684	0	0.842105263157895	0	0	0.210526315789474	0.421052631578947	0	0	0	9.68421052631579	30.5263157894737	0	0	0	0	0	0	0	0	2.52631578947368	0	1.68421052631579	0	0.631578947368421	0	0.631578947368421	0.210526315789474	0	0	0	0	0	0	0	0.421052631578947	0	0	0
15748	24188	"Hopschensee"	46.2525	8.02306	9.8	"AWI"	9.8	-23	110.8	40.2	0.967741935483871	0.32258064516129	21.2903225806452	0.32258064516129	0	0	0	0	0.32258064516129	0	3.87096774193548	0	0	0	0	0	0	0	1.61290322580645	0	0	0.32258064516129	2.58064516129032	0	20.6451612903226	0	0	0	0	0	1.93548387096774	0.645161290322581	0.32258064516129	0	0	0	0	0.645161290322581	4.19354838709677	0	3.54838709677419	0	0	0	0.967741935483871	0	0	0	8.06451612903226	22.258064516129	0	0	0	0	0	0	0	0	1.29032258064516	0	0.967741935483871	0	0	0	0.645161290322581	0	0	0	0	0.32258064516129	0	0	0	1.93548387096774	0	0	0
15748	24188	"Hopschensee"	46.2525	8.02306	10.3	"AWI"	10.3	-13.9	120.9	49.5	1.01010101010101	0	20.5387205387205	0	0	0	0	0	1.01010101010101	0	2.35690235690236	0	0	0	0	0	0	0	1.34680134680135	0	0	1.34680134680135	3.03030303030303	0	14.8148148148148	0	0	0	0	0	0.336700336700337	0	0	0	0.673400673400673	0.336700336700337	0	2.02020202020202	8.08080808080808	0	1.68350168350168	0	0	0	0.336700336700337	0	0	0	10.7744107744108	23.9057239057239	0	0	0	0	0	0	0	0	2.35690235690236	0	2.35690235690236	0	0	0	0	0	0	0	0	0	0	0	0	1.34680134680135	0	0	0.336700336700337
15748	24188	"Hopschensee"	46.2525	8.02306	10.8	"AWI"	10.8	-0.399999999999981	132.4	62	0.87719298245614	0.584795321637427	19.0058479532164	0	0	0	0	0	0.292397660818713	0	4.67836257309941	0	0.292397660818713	0	0	0	0	0	2.04678362573099	0	0	0	1.46198830409357	0	15.2046783625731	0	0	0	0	0	1.46198830409357	0	0	0	0	0.584795321637427	0	0.584795321637427	8.47953216374269	0	0.87719298245614	0	0	0	0	0	0	0	9.35672514619883	27.7777777777778	0	0	0	0	0	0	0	0	2.04678362573099	0	2.04678362573099	0	0.584795321637427	0	0.292397660818713	0	0	0	0	0	0.584795321637427	0	0	0.584795321637427	0	0	0.292397660818713
15748	24188	"Hopschensee"	46.2525	8.02306	11.3	"AWI"	11.3	8.90000000000001	149	74.2	0.909090909090909	0	16.969696969697	0	0	0	0	0	2.12121212121212	0	2.12121212121212	0	0.606060606060606	0	0	0	0	0	0.909090909090909	0	0	0.303030303030303	1.81818181818182	0	18.1818181818182	0	0	0	0	0	2.72727272727273	0	0	0	0	0	0	0.909090909090909	7.57575757575758	0	1.81818181818182	0	0	0	0.606060606060606	0	0	0	8.48484848484849	27.2727272727273	0	0	0	0	0	0	0	0	1.81818181818182	0	2.42424242424242	0	0	0	0	0	0	0	0	0	0.303030303030303	0.303030303030303	0	1.51515151515152	0	0	0.303030303030303
15748	24188	"Hopschensee"	46.2525	8.02306	11.8	"AWI"	11.8	15.4	169	86.2	1.10192837465565	0	15.9779614325069	0.550964187327824	0	0	0	0	0.826446280991736	0	2.75482093663912	0	0.275482093663912	0	0	0	0	0	2.47933884297521	0	0	0	1.92837465564738	0	12.6721763085399	0	0	2.75482093663912	0	0	1.37741046831956	0	0	0	0.275482093663912	0	0	1.10192837465565	8.81542699724518	0	1.92837465564738	0	0	0.275482093663912	0	0	0	0	10.1928374655647	28.9256198347107	0	0	0	0	0	0	0.275482093663912	0	1.37741046831956	0	2.47933884297521	0	0.275482093663912	0	0	0	0	0	0	0	0.275482093663912	0.275482093663912	0	0.826446280991736	0	0	0
