"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Alnus"	"Amaranthaceae"	"Apiaceae"	"Artemisia"	"Asteraceae"	"Betula"	"Brassicaceae"	"Caryophyllaceae"	"Corylus"	"Cyperaceae"	"Elaeagnaceae"	"Ephedraceae"	"Ericales"	"Lamiaceae"	"Picea"	"Pinus"	"Poaceae"	"Polemoniaceae"	"Ranunculaceae"	"Salix"	"Ulmus"
26567	46459	"Lake Medvedevskoye"	60.53071	29.90163	397	"AWI"	397	10788	11309	11088	0	28	0	41	1	55	0	0	0	30	0	0	0	0	7	34	3	0	2	3	0
26567	46459	"Lake Medvedevskoye"	60.53071	29.90163	400	"AWI"	400	10863	11526	11202	0	10	0	67	1	40	0	0	0	24	0	0	0	0	7	28	2	1	0	3	0
26567	46459	"Lake Medvedevskoye"	60.53071	29.90163	402	"AWI"	402	11067	11621	11349	0	14	1	171	0	97	0	0	0	63	0	0	0	0	12	78	6	0	0	1	0
26567	46459	"Lake Medvedevskoye"	60.53071	29.90163	405	"AWI"	405	11316	11787	11574	0	13	1	66	0	28	0	0	0	23	0	0	0	0	4	34	2	0	0	1	0
26567	46459	"Lake Medvedevskoye"	60.53071	29.90163	407	"AWI"	407	11416	11946	11727	0	34	0	159	0	63	0	2	0	25	0	0	0	0	6	56	5	2	0	4	0
26567	46459	"Lake Medvedevskoye"	60.53071	29.90163	410	"AWI"	410	11540	12241	11961	0	12	1	63	0	10	0	1	0	7	1	0	0	0	1	13	1	1	0	0	0
26567	46459	"Lake Medvedevskoye"	60.53071	29.90163	412	"AWI"	412	11612	12263	12003	0	18	0	86	0	19	0	2	0	5	0	0	0	0	2	15	3	1	0	0	0
26567	46459	"Lake Medvedevskoye"	60.53071	29.90163	415	"AWI"	415	11725	12314	12071	0	22	0	95	0	27	0	0	0	18	0	0	0	0	2	38	4	0	2	0	0
26567	46459	"Lake Medvedevskoye"	60.53071	29.90163	417	"AWI"	417	11772	12360	12113	0	15	0	68	1	18	0	2	0	17	0	1	0	0	1	19	6	1	0	0	0
26567	46459	"Lake Medvedevskoye"	60.53071	29.90163	420	"AWI"	420	11836	12469	12173	0	4	0	57	1	12	0	0	0	8	0	2	0	0	2	11	2	1	0	0	0
26567	46459	"Lake Medvedevskoye"	60.53071	29.90163	422	"AWI"	422	11892	12484	12207	0	34	0	84	0	24	0	1	0	15	0	1	0	0	3	19	8	1	0	1	0
26567	46459	"Lake Medvedevskoye"	60.53071	29.90163	425	"AWI"	425	11956	12518	12260	0	22	0	65	0	18	0	1	0	15	0	1	0	0	4	19	7	0	0	0	0
26567	46459	"Lake Medvedevskoye"	60.53071	29.90163	430	"AWI"	430	12026	12612	12346	0	27	0	159	0	22	1	1	0	24	0	1	0	0	9	37	8	0	1	7	0
26567	46459	"Lake Medvedevskoye"	60.53071	29.90163	435	"AWI"	435	12166	12654	12427	0	38	0	53	0	21	3	1	0	15	0	1	0	0	3	17	1	0	0	2	0
26567	46459	"Lake Medvedevskoye"	60.53071	29.90163	437	"AWI"	437	12203	12679	12463	0	37	0	135	0	30	0	0	0	26	0	1	0	0	12	33	1	0	1	2	0
26567	46459	"Lake Medvedevskoye"	60.53071	29.90163	440	"AWI"	440	12243	12733	12513	0	6	1	38	0	16	0	0	0	5	0	1	0	0	8	17	0	0	0	0	0
26567	46459	"Lake Medvedevskoye"	60.53071	29.90163	442	"AWI"	442	12267	12754	12533	0	29	0	42	0	49	1	0	0	18	0	0	1	0	19	73	8	0	0	0	0
26567	46459	"Lake Medvedevskoye"	60.53071	29.90163	445	"AWI"	445	12300	12790	12563	0	22	2	28	0	37	2	0	0	10	0	0	0	0	12	55	5	0	1	0	0
26567	46459	"Lake Medvedevskoye"	60.53071	29.90163	447	"AWI"	447	12317	12817	12583	0	24	0	43	0	41	0	1	0	6	0	0	0	0	22	120	12	1	1	1	0
26567	46459	"Lake Medvedevskoye"	60.53071	29.90163	450	"AWI"	450	12338	12869	12610	0	17	1	40	0	44	0	0	0	9	0	0	0	0	28	153	4	1	0	0	0
26567	46459	"Lake Medvedevskoye"	60.53071	29.90163	455	"AWI"	455	12393	12920	12654	0	3	0	10	0	27	0	1	0	2	0	0	0	0	9	36	0	0	0	0	0
26567	46459	"Lake Medvedevskoye"	60.53071	29.90163	460	"AWI"	460	12436	12993	12699	0	1	0	1	0	7	0	0	0	1	0	0	0	0	1	11	0	0	0	0	0
26567	46459	"Lake Medvedevskoye"	60.53071	29.90163	465	"AWI"	465	12498	13041	12745	0	3	0	6	0	28	0	0	0	1	0	0	1	0	1	36	0	0	0	0	0
26567	46459	"Lake Medvedevskoye"	60.53071	29.90163	470	"AWI"	470	12537	13106	12789	0	5	0	20	0	0	0	0	0	1	0	0	0	0	12	68	4	0	0	0	0
26567	46459	"Lake Medvedevskoye"	60.53071	29.90163	475	"AWI"	475	12616	13162	12838	0	1	0	2	0	15	0	0	0	5	0	0	0	0	0	18	0	0	0	0	0
26567	46459	"Lake Medvedevskoye"	60.53071	29.90163	480	"AWI"	480	12663	13231	12884	0	0	0	4	0	12	0	0	0	0	0	0	0	0	2	22	2	0	0	0	0
