"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Abies"	"Acer"	"Alnus"	"Amaranthaceae"	"Apiaceae"	"Artemisia"	"Asparagaceae"	"Asteraceae"	"Betula"	"Boraginaceae"	"Brassicaceae"	"Campanulaceae"	"Cannabaceae"	"Caprifoliaceae"	"Caryophyllaceae"	"Convolvulaceae"	"Cornus"	"Corylus"	"Cyperaceae"	"Fabaceae"	"Fagus"	"Frangula"	"Fraxinus"	"Geraniaceae"	"Indeterminable"	"Iridaceae"	"Juglans"	"Juniperus"	"Lamiaceae"	"Lythraceae"	"Melanthiaceae"	"Onagraceae"	"Ostrya.Carpinus"	"Papaveraceae"	"Picea"	"Pinus"	"Plantaginaceae"	"Poaceae"	"Polygalaceae"	"Polygonaceae"	"Populus"	"Quercus"	"Ranunculaceae"	"Rosaceae"	"Rubiaceae"	"Rumex"	"Salix"	"Sambucus"	"Santalaceae"	"Thalictrum"	"Tilia"	"Ulmus"	"Urticaceae"
3327	4319	"Olbramovice"	48.988224	16.392582	200	"AWI"	200	2223	2959	2634	6	0	9	10	2	25	0	0	2	0	0	0	1	0	0	0	0	2	59	0	17	0	5	0	9	0	0	0	0	0	1	0	1	0	12	22	0	0	0	0	0	23	0	0	1	0	1	0	0	4	2	1	0
3327	4319	"Olbramovice"	48.988224	16.392582	210	"AWI"	210	2420	3059	2760	4	0	9	17	11	20	0	0	2	0	11	0	0	0	0	0	0	6	98	0	3	0	2	0	5	0	0	1	0	0	0	0	0	0	7	24	10	193	0	0	0	28	0	0	0	0	0	0	0	0	1	3	0
3327	4319	"Olbramovice"	48.988224	16.392582	220	"AWI"	220	2694	3154	2874	12	0	11	29	6	27	0	0	6	0	17	4	0	0	0	0	0	4	99	0	11	0	2	0	25	0	0	2	0	0	0	0	3	0	20	28	0	0	0	0	0	18	0	0	2	7	7	0	0	2	4	3	0
3327	4319	"Olbramovice"	48.988224	16.392582	230	"AWI"	230	2801	3340	3041	9	0	11	14	2	20	0	0	1	0	0	0	0	0	0	0	0	10	60	0	3	0	6	0	10	0	0	0	0	1	0	0	9	0	3	19	0	0	0	0	0	11	0	0	0	0	2	0	0	0	4	2	0
3327	4319	"Olbramovice"	48.988224	16.392582	240	"AWI"	240	2930	3471	3203	8	3	14	25	12	27	0	0	4	0	20	0	0	0	0	0	0	11	135	0	5	0	1	0	16	0	0	0	0	0	0	0	6	0	12	28	5	0	0	18	0	23	0	0	0	0	8	0	1	3	2	7	0
3327	4319	"Olbramovice"	48.988224	16.392582	250	"AWI"	250	3101	3601	3365	12	2	7	34	8	30	0	0	2	12	2	0	0	0	0	0	0	4	85	0	7	0	0	0	12	0	0	0	0	0	0	0	5	0	13	12	13	0	0	0	0	19	0	0	2	0	2	2	0	0	10	5	5
3327	4319	"Olbramovice"	48.988224	16.392582	255	"AWI"	255	3281	3651	3443	18	0	10	6	2	26	0	0	8	1	0	0	0	0	0	0	0	0	128	0	26	0	2	0	11	0	3	0	0	0	0	0	10	1	25	21	20	0	0	0	0	15	0	0	1	0	2	0	0	1	3	1	0
3327	4319	"Olbramovice"	48.988224	16.392582	260	"AWI"	260	3362	3751	3531	18	2	11	5	3	18	0	0	4	0	0	0	0	0	0	0	0	8	65	0	10	0	0	0	13	0	0	3	0	1	0	0	7	0	16	7	0	0	0	0	0	7	0	0	0	3	4	1	0	0	2	5	0
3327	4319	"Olbramovice"	48.988224	16.392582	265	"AWI"	265	3441	3863	3627	23	2	16	3	7	7	0	0	6	0	12	0	0	0	0	0	0	4	95	0	9	2	1	0	11	0	0	0	0	0	0	0	14	0	12	22	0	85	0	0	0	6	0	0	2	0	3	0	0	0	4	2	0
3327	4319	"Olbramovice"	48.988224	16.392582	280	"AWI"	280	3613	4280	3922	21	0	25	11	2	18	0	0	6	0	0	0	0	0	0	0	0	3	62	0	24	1	0	0	3	0	0	0	0	0	0	0	6	0	21	24	0	0	0	0	0	11	0	0	2	0	0	0	0	0	6	4	0
3327	4319	"Olbramovice"	48.988224	16.392582	295	"AWI"	295	3903	4558	4221	27	0	92	8	3	25	0	0	9	0	0	0	0	0	0	0	0	7	47	0	8	0	0	0	25	0	0	0	0	1	0	0	5	0	36	49	0	0	0	0	0	16	0	0	2	0	3	0	0	1	2	4	0
