"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Abies"	"Acer"	"Alnus"	"Amaranthaceae"	"Apiaceae"	"Araliaceae"	"Arctostaphylos"	"Artemisia"	"Asteraceae"	"Betula"	"Boraginaceae"	"Brassicaceae"	"Campanulaceae"	"Cannabaceae"	"Caprifoliaceae"	"Caryophyllaceae"	"Cistaceae"	"Convolvulaceae"	"Cornus"	"Corylus"	"Cucurbitaceae"	"Cyperaceae"	"Elaeagnaceae"	"Ephedraceae"	"Ericales"	"Euonymus"	"Euphorbiaceae"	"Fabaceae"	"Fagus"	"Frangula"	"Fraxinus"	"Genista"	"Gentianaceae"	"Geraniaceae"	"Hypericaceae"	"Ilex"	"Iridaceae"	"Juglans"	"Juniperus"	"Lamiaceae"	"Liliaceae"	"Linaceae"	"Lythraceae"	"Onagraceae"	"Orobanchaceae"	"Ostrya.Carpinus"	"Oxalidaceae"	"Papaveraceae"	"Picea"	"Pinus"	"Plantaginaceae"	"Plumbaginaceae"	"Poaceae"	"Polygalaceae"	"Polygonaceae"	"Primulaceae"	"Quercus"	"Ranunculaceae"	"Rhamnus"	"Rosaceae"	"Rubiaceae"	"Rumex"	"Salix"	"Sambucus"	"Santalaceae"	"Saxifragaceae"	"Scrophulariaceae"	"Solanaceae"	"Sorbus"	"Thalictrum"	"Tilia"	"Ulmus"	"Urticaceae"	"Viburnum"	"Violaceae"
14556	22820	"Löddigsee"	53.43333	11.85	94	"AWI"	94	906	1093	1005	0	1	160	1	0	1	0	4	0	89	0	0	0	0	0	0	0	0	0	26	0	174	0	0	0	0	0	0	50	0	4	0	0	0	0	0	0	0	1	0	0	0	0	0	0	18	0	0	2	73	0	0	0	0	0	0	79	0	0	0	1	0	13	0	0	0	0	0	0	0	0	4	0	0	0
14556	22820	"Löddigsee"	53.43333	11.85	96	"AWI"	96	963	1144	1070	0	3	158	0	0	0	0	3	0	111	0	3	0	1	0	0	0	0	0	26	0	136	0	0	0	0	0	0	36	0	7	0	0	0	1	0	0	0	0	0	0	0	0	0	0	26	0	0	0	55	0	0	0	0	0	0	103	0	0	0	1	0	6	5	0	0	0	0	1	0	0	2	0	0	0
14556	22820	"Löddigsee"	53.43333	11.85	98	"AWI"	98	1020	1208	1139	0	2	150	2	0	0	0	6	0	107	0	3	2	4	0	0	0	0	0	21	0	169	0	0	0	0	0	0	37	0	3	0	0	0	0	1	0	0	0	0	0	0	0	0	0	23	0	0	1	78	0	0	0	0	0	0	74	0	0	0	2	0	2	0	0	0	1	0	1	0	0	5	3	0	0
14556	22820	"Löddigsee"	53.43333	11.85	100	"AWI"	100	1077	1279	1208	0	1	155	3	0	0	0	2	0	114	0	1	0	1	0	0	0	0	0	21	0	181	0	0	0	0	0	0	42	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	23	0	0	1	75	0	0	0	0	0	0	91	0	0	0	1	0	2	0	0	0	0	0	3	0	0	2	0	0	0
14556	22820	"Löddigsee"	53.43333	11.85	101	"AWI"	101	1106	1315	1242	0	0	164	2	0	0	0	3	0	94	0	1	0	2	0	0	0	0	0	20	0	170	0	0	0	0	0	0	59	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	22	0	0	2	75	0	0	0	0	0	0	89	0	0	0	4	0	2	0	0	0	0	0	1	0	0	3	0	0	0
14556	22820	"Löddigsee"	53.43333	11.85	103	"AWI"	103	1161	1389	1311	1	0	151	0	0	0	0	3	0	116	0	3	0	1	0	0	0	0	0	22	0	193	0	0	0	0	0	0	49	0	4	0	0	0	0	0	1	0	0	0	0	0	0	0	0	20	0	0	0	80	0	0	0	0	0	0	95	0	0	0	6	0	2	0	0	0	0	0	0	0	0	2	0	0	0
14556	22820	"Löddigsee"	53.43333	11.85	105	"AWI"	105	1213	1464	1381	0	0	160	3	0	0	0	6	0	116	0	1	3	0	0	0	0	0	0	11	0	163	0	0	0	0	0	0	49	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	22	0	0	0	82	0	0	0	0	0	0	83	0	0	0	2	0	4	4	0	0	0	0	2	0	0	3	1	0	0
14556	22820	"Löddigsee"	53.43333	11.85	107	"AWI"	107	1265	1533	1450	0	2	159	0	0	0	0	0	0	94	0	1	0	0	0	0	0	0	0	27	0	120	0	0	0	0	0	0	54	1	4	0	0	1	0	0	0	0	0	0	0	0	0	0	0	32	0	0	0	68	0	0	0	0	0	0	89	0	0	0	1	0	2	0	0	0	0	0	3	0	0	1	0	0	0
14556	22820	"Löddigsee"	53.43333	11.85	109	"AWI"	109	1304	1562	1483	1	2	146	1	0	0	0	3	0	118	0	2	0	5	0	0	0	0	0	20	0	206	0	0	0	0	0	0	43	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	27	0	0	1	80	0	0	0	0	0	0	91	0	0	0	2	0	1	0	0	0	0	0	2	0	0	2	0	0	0
14556	22820	"Löddigsee"	53.43333	11.85	111	"AWI"	111	1339	1572	1500	0	4	159	3	0	0	0	6	0	127	0	3	0	2	0	0	0	0	0	26	0	194	0	0	0	0	0	0	43	0	3	0	0	0	0	0	0	0	0	0	0	0	0	1	0	26	0	0	1	64	0	0	0	0	0	0	74	0	0	0	3	0	1	0	0	0	0	0	0	0	0	2	0	0	0
