"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Acer"	"Alnus"	"Amaranthaceae"	"Apiaceae"	"Artemisia"	"Asteraceae"	"Betula"	"Boraginaceae"	"Brassicaceae"	"Cannabaceae"	"Caprifoliaceae"	"Caryophyllaceae"	"Cistaceae"	"Corylus"	"Cyperaceae"	"Elaeagnaceae"	"Ephedraceae"	"Ericales"	"Fabaceae"	"Fagus"	"Frangula"	"Fraxinus"	"Juglans"	"Juniperus"	"Myrica"	"Orobanchaceae"	"Ostrya.Carpinus"	"Picea"	"Pinus"	"Plantaginaceae"	"Poaceae"	"Polygonaceae"	"Populus"	"Primulaceae"	"Prunus"	"Quercus"	"Ranunculaceae"	"Rhamnus"	"Rosaceae"	"Rubiaceae"	"Rumex"	"Salix"	"Saxifragaceae"	"Thalictrum"	"Tilia"	"Ulmus"	"Urticaceae"	"Viburnum"
26142	45377	"Mustjärve bog"	59.075	24.1	77.5	"AWI"	77.5	1122	1981.5	1674	0	185	0	0	4	0	332	0	0	0	0	0	0	27	21	0	0	39	0	0	0	10	0	0	0	0	3	123	279	0	0	0	0	0	0	36	0	0	0	0	0	3	0	1	4	3	2	0
26142	45377	"Mustjärve bog"	59.075	24.1	80	"AWI"	80	1205	1993	1703	0	259	1	0	8	0	353	0	0	0	0	0	0	37	14	0	0	0	0	0	0	7	0	0	0	0	3	149	184	0	0	0	0	0	0	14	0	0	0	0	0	2	0	0	5	3	1	0
26142	45377	"Mustjärve bog"	59.075	24.1	82.5	"AWI"	82.5	1286	2005	1730	0	187	0	0	3	0	287	0	0	0	0	0	0	22	4	0	0	39	0	0	0	7	0	1	0	0	8	217	250	0	0	0	0	0	0	19	0	0	0	0	0	2	0	0	4	5	1	0
26142	45377	"Mustjärve bog"	59.075	24.1	85	"AWI"	85	1372	2017	1757	0	277	0	1	0	0	342	0	0	0	0	0	0	29	8	0	0	33	0	0	0	2	0	1	0	0	1	144	185	0	0	0	1	0	0	16	0	0	0	0	0	1	0	0	1	3	1	0
26142	45377	"Mustjärve bog"	59.075	24.1	87.5	"AWI"	87.5	1450	2032	1786.5	0	176	1	1	3	0	283	0	0	0	0	0	0	26	6	0	0	32	0	1	0	7	0	0	0	0	5	229	244	0	0	0	1	0	0	27	0	0	0	0	0	2	0	1	6	7	0	0
26142	45377	"Mustjärve bog"	59.075	24.1	90	"AWI"	90	1517	2049	1818	0	132	0	2	5	0	357	0	0	0	0	0	0	23	6	0	0	0	0	0	0	3	0	1	0	0	6	237	225	0	0	0	0	0	0	10	0	0	0	1	0	3	0	0	7	1	0	0
26142	45377	"Mustjärve bog"	59.075	24.1	92.5	"AWI"	92.5	1568.5	2068	1848	0	206	2	0	6	0	261	0	0	0	0	0	0	24	10	0	0	0	0	0	0	6	0	0	0	0	5	226	253	0	0	0	0	0	0	14	0	0	0	0	0	4	0	0	3	5	1	0
26142	45377	"Mustjärve bog"	59.075	24.1	94	"AWI"	94	1599	2085	1868	0	90	0	0	3	0	261	0	0	0	0	0	0	7	7	0	0	0	0	0	0	2	0	0	0	0	2	169	162	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	1	3	1	0
26142	45377	"Mustjärve bog"	59.075	24.1	97.5	"AWI"	97.5	1652.5	2122.5	1916	0	125	0	0	4	0	347	0	0	0	0	0	0	17	8	0	0	11	0	1	0	3	0	1	0	0	8	199	293	0	0	0	1	0	0	6	0	0	0	1	0	4	0	0	2	4	2	0
26142	45377	"Mustjärve bog"	59.075	24.1	105	"AWI"	105	1725	2266	1996	0	250	1	1	0	0	401	0	0	0	0	0	0	15	1	0	0	0	0	0	0	3	0	1	0	0	2	119	193	0	0	0	0	0	0	8	0	0	0	0	0	3	0	0	2	4	0	0
26142	45377	"Mustjärve bog"	59.075	24.1	115	"AWI"	115	1806	2327	2067	0	173	0	0	4	0	228	0	0	0	0	0	0	17	11	0	0	0	0	0	0	4	0	1	0	0	3	210	345	0	0	0	0	0	0	8	0	0	0	0	0	4	0	0	5	2	2	0
