"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Abies"	"Acer"	"Alnus"	"Amaranthaceae"	"Amaryllidaceae"	"Apiaceae"	"Araliaceae"	"Artemisia"	"Asteraceae"	"Betula"	"Brassicaceae"	"Campanulaceae"	"Caprifoliaceae"	"Caryophyllaceae"	"Cistaceae"	"Corylus"	"Cyperaceae"	"Elaeagnaceae"	"Ephedraceae"	"Ericales"	"Fagus"	"Fraxinus"	"Geraniaceae"	"Juglans"	"Juniperus"	"Lythraceae"	"Onagraceae"	"Ostrya.Carpinus"	"Picea"	"Pinus"	"Plantaginaceae"	"Poaceae"	"Polygonaceae"	"Quercus"	"Ranunculaceae"	"Rosaceae"	"Rubiaceae"	"Rumex"	"Salix"	"Santalaceae"	"Thalictrum"	"Tilia"	"Ulmus"
14602	22890	"Linden"	46.85083	7.68611	770	"AWI"	770	8128	10071	8989	1	6	0	0	0	0	2	1	0	13	0	2	0	0	0	709	58	0	0	0	0	4	0	0	0	0	0	0	0	59	0	0	0	160	0	0	0	0	0	1	0	43	276
14602	22890	"Linden"	46.85083	7.68611	780	"AWI"	780	8217	10156	9097	0	7	0	0	0	3	5	0	0	20	0	0	0	0	0	628	18	0	0	0	0	5	0	0	0	0	0	0	0	85	0	0	0	164	0	0	0	0	1	0	0	45	192
14602	22890	"Linden"	46.85083	7.68611	790	"AWI"	790	8277	10234	9202	0	6	0	0	0	2	2	0	0	4	0	0	0	0	0	634	81	0	0	0	0	2	0	0	0	0	0	0	0	45	0	0	0	152	0	0	0	0	2	0	0	16	129
14602	22890	"Linden"	46.85083	7.68611	800	"AWI"	800	8327	10379	9312	0	3	0	0	0	0	1	1	0	10	0	1	0	0	0	372	60	0	0	0	0	1	0	0	0	0	0	0	0	94	0	0	0	80	0	0	1	0	0	1	0	34	183
14602	22890	"Linden"	46.85083	7.68611	810	"AWI"	810	8418	10483	9407	1	5	0	1	0	2	7	1	0	21	0	1	0	0	0	592	113	0	0	0	0	3	0	0	1	0	0	0	0	149	0	0	0	133	0	0	0	0	0	1	0	33	266
14602	22890	"Linden"	46.85083	7.68611	820	"AWI"	820	8522	10558	9509	2	5	0	0	0	1	2	2	0	16	0	1	0	0	0	560	43	0	0	0	0	1	0	0	0	0	0	0	0	160	0	0	0	120	0	0	0	0	4	1	0	59	336
14602	22890	"Linden"	46.85083	7.68611	830	"AWI"	830	8600	10645	9607	0	6	0	0	0	5	6	0	0	20	0	0	0	0	0	576	54	0	0	0	0	1	0	0	2	0	0	0	0	220	0	0	0	90	0	0	0	0	2	0	2	42	280
14602	22890	"Linden"	46.85083	7.68611	840	"AWI"	840	8662	10744	9712	1	3	0	0	0	1	3	2	0	27	0	0	0	1	0	516	30	0	0	0	0	1	0	0	1	0	0	0	0	168	0	0	0	110	0	0	0	0	4	0	0	35	264
14602	22890	"Linden"	46.85083	7.68611	850	"AWI"	850	8692	10865	9807	1	3	0	0	0	1	0	0	0	5	0	0	0	1	0	379	97	0	0	0	0	8	0	0	0	0	0	0	0	58	0	0	0	68	0	0	1	0	2	0	0	21	146
14602	22890	"Linden"	46.85083	7.68611	860	"AWI"	860	8854	10913	9901	0	8	0	0	0	0	0	3	0	33	0	0	0	0	0	520	29	0	0	0	0	0	0	0	0	0	0	0	0	134	0	0	0	73	0	0	0	0	3	2	0	33	299
