"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Alnus"	"Amaranthaceae"	"Apiaceae"	"Artemisia"	"Asteraceae"	"Betula"	"Brassicaceae"	"Caryophyllaceae"	"Corylus"	"Cyperaceae"	"Elaeagnaceae"	"Ephedraceae"	"Ericales"	"Fabaceae"	"Lamiaceae"	"Picea"	"Pinus"	"Poaceae"	"Polemoniaceae"	"Polygonaceae"	"Quercus"	"Ranunculaceae"	"Rosaceae"	"Salix"	"Saxifragaceae"	"Tilia"	"Ulmus"	"Urticaceae"
26569	46464	"Lake Pastorskoye"	60.22891	30.04151	960	"AWI"	960	12143	12802	12527	0	79	0	133	0	80	2	2	3	43	0	0	0	0	0	58	66	41	0	7	0	0	0	10	0	0	0	0
26569	46464	"Lake Pastorskoye"	60.22891	30.04151	964	"AWI"	964	12291	12843	12609	0	68	0	189	0	61	1	0	1	46	0	1	0	0	1	46	77	29	0	9	0	1	3	9	2	0	0	0
26569	46464	"Lake Pastorskoye"	60.22891	30.04151	966	"AWI"	966	12340	12881	12650	3	59	0	90	0	75	1	0	1	44	0	0	0	0	0	79	147	28	0	5	0	0	0	14	0	0	0	0
26569	46464	"Lake Pastorskoye"	60.22891	30.04151	970	"AWI"	970	12423	12994	12735	0	21	1	48	0	81	0	0	0	29	0	0	1	0	0	139	307	6	0	2	0	0	0	14	1	0	0	0
26569	46464	"Lake Pastorskoye"	60.22891	30.04151	974	"AWI"	974	12504	13117	12812	1	32	0	82	0	106	0	0	2	23	0	0	0	0	0	74	272	10	0	0	0	0	0	14	0	0	0	0
26569	46464	"Lake Pastorskoye"	60.22891	30.04151	978	"AWI"	978	12550	13323	12883	3	48	0	107	0	105	1	0	3	27	0	0	1	0	0	50	149	14	0	0	0	1	0	14	1	0	0	0
26569	46464	"Lake Pastorskoye"	60.22891	30.04151	980	"AWI"	980	12570	13441	12918	3	49	2	56	0	0	0	1	2	25	0	1	0	0	0	73	235	15	0	1	0	1	2	17	3	0	0	0
26569	46464	"Lake Pastorskoye"	60.22891	30.04151	984	"AWI"	984	12649	13530	13011	8	43	0	93	0	115	1	0	7	17	0	0	0	0	0	31	154	14	0	0	0	0	0	29	0	0	0	0
26569	46464	"Lake Pastorskoye"	60.22891	30.04151	988	"AWI"	988	12703	13660	13099	13	4	0	83	0	114	0	3	1	41	0	0	0	0	0	40	109	20	0	0	0	1	0	26	0	0	0	0
26569	46464	"Lake Pastorskoye"	60.22891	30.04151	992	"AWI"	992	12776	13790	13187	5	48	0	67	0	110	1	2	7	27	0	0	0	0	0	50	157	11	0	1	0	1	1	14	0	0	0	0
26569	46464	"Lake Pastorskoye"	60.22891	30.04151	994	"AWI"	994	12820	13829	13233	7	40	0	58	1	128	2	2	6	19	2	2	2	1	0	61	153	10	0	0	0	0	0	8	1	0	0	1
26569	46464	"Lake Pastorskoye"	60.22891	30.04151	998	"AWI"	998	12860	13940	13323	19	56	0	117	2	105	0	0	4	43	0	0	1	0	0	52	83	13	0	0	0	1	2	3	0	0	0	0
26569	46464	"Lake Pastorskoye"	60.22891	30.04151	1002	"AWI"	1002	12926	14057	13411	9	58	0	134	1	90	0	1	4	35	0	1	1	0	0	35	113	10	0	0	0	1	2	0	0	0	0	1
26569	46464	"Lake Pastorskoye"	60.22891	30.04151	1006	"AWI"	1006	12997	14165	13508	20	68	0	102	1	113	0	2	5	40	1	0	1	0	0	15	76	30	0	0	0	1	0	9	0	0	0	0
