"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Abies"	"Alnus"	"Amaranthaceae"	"Apiaceae"	"Artemisia"	"Asteraceae"	"Betula"	"Brassicaceae"	"Caryophyllaceae"	"Cistaceae"	"Convolvulaceae"	"Corylus"	"Crassulaceae"	"Cyperaceae"	"Ephedraceae"	"Ericales"	"Fabaceae"	"Fagus"	"Juglans"	"Lamiaceae"	"Liliaceae"	"Ostrya.Carpinus"	"Pinus"	"Plantaginaceae"	"Poaceae"	"Polygonaceae"	"Prunus"	"Quercus"	"Ranunculaceae"	"Rosaceae"	"Rumex"	"Salix"	"Scrophulariaceae"	"Thalictrum"	"Ulmus"	"Vitaceae"
15932	24547	"Pezou"	47.87083	1.15083	155.1	"AWI"	155.1	4713.3	7324.9	6078.7	0	1	0	0	15	0	2	0	1	0	0	0	0	22	0	0	1	0	0	1	0	0	82	0	0	0	0	1	0	0	0	0	0	0	0	0
15932	24547	"Pezou"	47.87083	1.15083	170	"AWI"	170	6241	8039	7356	0	1	0	0	2	0	0	0	0	0	0	2	0	7	0	0	0	0	0	0	0	0	20	0	0	0	0	0	0	0	0	0	0	0	0	0
15932	24547	"Pezou"	47.87083	1.15083	175	"AWI"	175	7224	8241	7860	0	0	1	0	9	0	4	0	0	0	0	4	0	72	0	0	0	0	0	1	0	0	107	0	0	0	0	0	0	0	0	0	0	0	0	0
15932	24547	"Pezou"	47.87083	1.15083	180	"AWI"	180	7817	9023	8400	0	0	0	0	1	0	0	0	1	0	0	0	0	7	0	0	0	0	0	1	0	0	17	0	0	0	0	0	0	0	0	0	0	0	1	0
15932	24547	"Pezou"	47.87083	1.15083	185	"AWI"	185	10932	11916	11521	0	3	3	3	14	0	2	2	1	0	0	4	0	64	0	0	0	0	0	11	0	0	52	0	0	0	0	0	0	0	0	0	0	0	0	0
15932	24547	"Pezou"	47.87083	1.15083	190	"AWI"	190	12982	13942	13610	0	0	1	2	3	0	0	0	1	0	0	1	0	21	0	0	0	0	0	1	0	0	29	0	0	0	0	0	0	0	0	0	0	0	0	0
15932	24547	"Pezou"	47.87083	1.15083	195	"AWI"	195	13645	14412	14024	0	2	0	0	3	0	0	0	0	0	0	1	0	49	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0
15932	24547	"Pezou"	47.87083	1.15083	200	"AWI"	200	13846	14695	14248	0	0	0	1	3	0	0	0	0	0	0	1	0	41	0	0	0	0	0	1	0	0	1	0	0	0	0	2	0	0	0	0	3	0	0	0
15932	24547	"Pezou"	47.87083	1.15083	205	"AWI"	205	14004	14891	14420	0	0	0	1	7	0	4	1	0	0	0	1	0	9	0	0	1	0	0	1	0	0	1	1	0	0	0	0	0	0	0	2	1	0	0	0
15932	24547	"Pezou"	47.87083	1.15083	210	"AWI"	210	14172	15013	14599	0	0	2	10	10	0	0	0	0	0	0	0	0	7	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
15932	24547	"Pezou"	47.87083	1.15083	215	"AWI"	215	14368	15178	14800	0	0	1	0	1	0	0	0	0	0	0	0	0	53	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0
15932	24547	"Pezou"	47.87083	1.15083	217.5	"AWI"	217.5	14426.5	15315.5	14909.5	0	0	2	11	23	0	2	0	1	1	1	0	1	79	0	0	1	0	0	13	0	0	1	1	0	0	4	0	0	0	1	5	2	0	0	0
15932	24547	"Pezou"	47.87083	1.15083	220	"AWI"	220	14507	15449	15005	0	1	0	8	10	0	1	0	2	4	0	4	0	14	1	0	1	0	0	9	0	0	2	3	0	0	0	0	5	0	1	0	1	1	0	0
15932	24547	"Pezou"	47.87083	1.15083	222.5	"AWI"	222.5	14616	15513	15095.5	0	2	2	7	36	0	6	0	1	7	0	2	0	27	0	0	2	0	0	11	0	0	2	5	0	0	3	0	6	0	3	1	0	1	0	0
15932	24547	"Pezou"	47.87083	1.15083	225	"AWI"	225	14691	15617	15191	0	2	0	2	14	0	1	1	6	12	0	0	0	46	0	0	1	0	0	9	0	0	11	4	0	0	0	0	5	0	1	3	1	0	0	0
15932	24547	"Pezou"	47.87083	1.15083	227.5	"AWI"	227.5	14779.5	15727.5	15287.5	0	1	3	5	36	0	2	1	6	24	0	2	0	26	0	0	0	0	0	7	1	0	15	5	0	0	2	0	3	0	1	6	1	1	0	0
15932	24547	"Pezou"	47.87083	1.15083	230	"AWI"	230	14984	15794	15370	0	0	0	1	7	0	0	0	1	8	0	0	0	4	0	0	0	0	0	3	0	0	6	0	0	0	0	0	0	0	0	0	1	0	1	0
15932	24547	"Pezou"	47.87083	1.15083	232.5	"AWI"	232.5	15121.5	15857.5	15457.5	0	0	2	3	48	0	8	0	0	32	0	3	0	16	0	0	1	0	0	10	0	0	13	1	0	0	0	3	4	0	0	5	4	6	0	0
15932	24547	"Pezou"	47.87083	1.15083	235	"AWI"	235	15206	15970	15547	0	1	1	5	69	0	5	3	3	32	0	2	1	23	0	0	1	0	0	9	0	0	8	3	0	0	0	2	3	0	1	11	1	3	0	3
