"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Abies"	"Alnus"	"Apiaceae"	"Araliaceae"	"Artemisia"	"Asteraceae"	"Betula"	"Campanulaceae"	"Caryophyllaceae"	"Castanea"	"Corylus"	"Cyperaceae"	"Fabaceae"	"Fagus"	"Fraxinus"	"Juglans"	"Juniperus"	"Larix"	"Ostrya.Carpinus"	"Picea"	"Pinus"	"Plantaginaceae"	"Poaceae"	"Quercus"	"Ranunculaceae"	"Rosaceae"	"Rubiaceae"	"Rumex"	"Salix"	"Tilia"	"Ulmus"	"Urticaceae"
16146	24956	"Tourbières des Granges des Chavants"	45.89306	6.76833	220	"AWI"	220	5794	7628	6654	77	0	7	0	0	0	3	0	0	0	11	32	0	0	0	0	0	0	0	0	21	0	0	4	0	0	0	0	1	5	2	0
16146	24956	"Tourbières des Granges des Chavants"	45.89306	6.76833	225	"AWI"	225	5906	7663	6742	121	0	0	0	1	0	0	0	0	0	32	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	1	0	0	0
16146	24956	"Tourbières des Granges des Chavants"	45.89306	6.76833	230	"AWI"	230	5991	7709	6830	102	0	0	0	0	0	6	0	0	0	35	18	0	0	0	0	0	0	0	0	8	0	0	12	4	0	0	1	6	6	18	0
16146	24956	"Tourbières des Granges des Chavants"	45.89306	6.76833	235	"AWI"	235	6056	7748	6914	166	0	0	0	0	0	0	0	0	0	7	6	0	0	1	0	0	0	0	0	23	0	0	20	13	0	0	0	0	1	29	0
16146	24956	"Tourbières des Granges des Chavants"	45.89306	6.76833	240	"AWI"	240	6116	7805	6999	216	0	0	0	0	0	0	0	0	0	21	14	0	0	0	0	0	0	0	0	4	0	0	12	5	0	0	0	0	8	9	0
16146	24956	"Tourbières des Granges des Chavants"	45.89306	6.76833	245	"AWI"	245	6174	7853	7085	224	0	0	0	0	0	3	0	0	0	8	6	0	0	1	0	0	0	0	0	11	0	0	15	3	0	0	0	5	1	8	0
16146	24956	"Tourbières des Granges des Chavants"	45.89306	6.76833	250	"AWI"	250	6215	7924	7171	149	0	1	0	0	0	0	0	0	0	17	10	0	0	0	0	0	0	0	0	12	0	0	32	0	0	0	0	3	5	8	0
16146	24956	"Tourbières des Granges des Chavants"	45.89306	6.76833	255	"AWI"	255	6249	7999	7254	150	74	0	0	0	0	1	0	0	0	16	0	0	0	0	0	0	0	0	0	9	0	0	17	1	0	0	0	1	6	9	0
16146	24956	"Tourbières des Granges des Chavants"	45.89306	6.76833	260	"AWI"	260	6361	8064	7345	140	70	0	0	0	0	5	0	0	0	19	14	0	0	0	0	0	0	3	0	0	0	0	20	5	0	0	0	3	3	13	0
16146	24956	"Tourbières des Granges des Chavants"	45.89306	6.76833	265	"AWI"	265	6604	8087	7450	200	0	0	0	0	0	0	0	0	0	15	0	0	0	0	0	0	1	0	0	13	0	0	7	0	0	0	0	0	8	23	0
16146	24956	"Tourbières des Granges des Chavants"	45.89306	6.76833	270	"AWI"	270	6845	8108	7555	215	0	1	0	0	0	2	0	4	0	15	8	0	0	3	0	0	0	0	0	0	0	0	12	0	0	0	0	5	19	11	0
16146	24956	"Tourbières des Granges des Chavants"	45.89306	6.76833	275	"AWI"	275	7081	8139	7661	222	0	0	0	0	0	0	0	0	0	13	0	0	0	0	0	1	0	0	0	1	0	0	1	0	0	0	0	0	0	12	0
16146	24956	"Tourbières des Granges des Chavants"	45.89306	6.76833	280	"AWI"	280	7310	8180	7767	135	0	2	0	0	0	3	0	0	4	25	0	0	0	0	0	0	1	0	0	6	0	0	22	0	0	0	0	7	4	23	0
16146	24956	"Tourbières des Granges des Chavants"	45.89306	6.76833	285	"AWI"	285	7532	8222	7875	85	0	0	0	0	0	6	0	0	0	41	12	0	0	25	0	0	0	0	0	8	0	0	30	3	0	0	0	5	9	39	0
16146	24956	"Tourbières des Granges des Chavants"	45.89306	6.76833	290	"AWI"	290	7726	8276	7978	110	0	2	0	0	0	4	0	0	0	48	12	0	0	0	0	0	0	0	0	6	0	0	12	3	0	0	1	5	5	32	0
16146	24956	"Tourbières des Granges des Chavants"	45.89306	6.76833	295	"AWI"	295	7863	8349	8096	111	0	1	0	4	0	6	0	0	0	47	9	0	0	4	0	0	0	0	0	13	0	0	7	3	0	0	0	6	21	26	0
16146	24956	"Tourbières des Granges des Chavants"	45.89306	6.76833	300	"AWI"	300	7948	8493	8201	45	0	0	0	0	0	0	0	0	0	28	3	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	2	3	15	0
16146	24956	"Tourbières des Granges des Chavants"	45.89306	6.76833	305	"AWI"	305	8104	8597	8331	0	0	1	0	1	0	1	0	0	0	42	1	0	0	1	0	1	0	0	0	36	0	0	8	3	0	0	0	0	27	13	11
16146	24956	"Tourbières des Granges des Chavants"	45.89306	6.76833	310	"AWI"	310	8269	8690	8468	4	0	0	0	0	0	0	0	0	0	35	0	0	0	0	0	0	0	0	0	20	0	0	2	0	0	0	0	0	18	30	0
16146	24956	"Tourbières des Granges des Chavants"	45.89306	6.76833	315	"AWI"	315	8391	8819	8602	0	0	0	0	0	0	26	0	0	0	91	9	0	0	0	0	1	0	0	0	11	0	0	4	6	0	0	0	0	38	25	28
16146	24956	"Tourbières des Granges des Chavants"	45.89306	6.76833	320	"AWI"	320	8481	8984	8736	0	57	0	0	0	0	5	0	0	0	67	3	0	0	0	0	0	0	0	0	25	0	0	0	3	0	0	1	3	14	43	0
16146	24956	"Tourbières des Granges des Chavants"	45.89306	6.76833	325	"AWI"	325	8557	9176	8872	0	51	0	0	0	0	8	0	0	0	43	1	0	0	0	0	0	0	0	0	45	0	0	14	1	0	0	0	0	34	40	0
16146	24956	"Tourbières des Granges des Chavants"	45.89306	6.76833	330	"AWI"	330	8626	9378	9006	0	0	0	0	0	0	4	0	0	0	35	5	0	0	0	0	0	0	4	0	52	0	0	5	3	0	0	0	5	16	36	0
16146	24956	"Tourbières des Granges des Chavants"	45.89306	6.76833	335	"AWI"	335	8686	9588	9143	0	0	1	0	0	0	8	0	0	0	65	1	0	0	0	0	0	0	0	0	48	0	0	6	1	0	0	0	0	8	34	16
16146	24956	"Tourbières des Granges des Chavants"	45.89306	6.76833	340	"AWI"	340	8745	9804	9280	0	0	0	0	0	0	7	0	0	0	60	15	0	0	0	0	0	0	9	0	45	0	0	13	0	0	0	0	0	37	38	0
16146	24956	"Tourbières des Granges des Chavants"	45.89306	6.76833	345	"AWI"	345	8810	9980	9401	0	22	1	0	1	0	4	0	0	0	67	13	0	0	0	0	0	0	0	0	47	0	0	0	0	0	0	0	8	1	42	8
16146	24956	"Tourbières des Granges des Chavants"	45.89306	6.76833	350	"AWI"	350	8875	10019	9456	0	0	0	0	0	0	11	4	0	0	92	34	0	0	0	0	0	0	0	0	58	0	0	3	5	0	0	0	0	23	34	0
16146	24956	"Tourbières des Granges des Chavants"	45.89306	6.76833	355	"AWI"	355	8943	10055	9512	1	40	0	0	0	0	5	0	0	0	73	16	0	0	0	0	0	0	0	0	47	0	0	26	0	0	0	0	1	10	34	0
16146	24956	"Tourbières des Granges des Chavants"	45.89306	6.76833	360	"AWI"	360	8987	10101	9572	0	0	5	0	0	0	17	0	0	3	63	19	0	0	2	0	0	0	5	0	38	0	0	19	0	0	0	0	5	11	30	0
16146	24956	"Tourbières des Granges des Chavants"	45.89306	6.76833	365	"AWI"	365	9022	10147	9627	0	0	0	0	1	0	50	0	0	0	25	0	0	0	0	0	1	0	1	0	32	0	0	4	6	0	0	0	0	1	17	8
16146	24956	"Tourbières des Granges des Chavants"	45.89306	6.76833	370	"AWI"	370	9056	10201	9684	0	0	0	0	2	0	34	0	0	0	54	20	0	0	0	0	0	0	0	0	39	0	0	40	0	0	0	1	2	9	41	0
16146	24956	"Tourbières des Granges des Chavants"	45.89306	6.76833	375	"AWI"	375	9092	10263	9746	0	0	0	0	0	0	55	0	0	0	50	25	0	0	0	0	0	1	0	0	40	0	0	20	1	0	0	0	0	0	70	15
16146	24956	"Tourbières des Granges des Chavants"	45.89306	6.76833	380	"AWI"	380	9126	10334	9803	0	0	1	0	0	0	32	0	1	5	35	20	1	0	0	0	0	0	0	0	53	0	0	24	0	5	0	0	1	12	28	0
16146	24956	"Tourbières des Granges des Chavants"	45.89306	6.76833	385	"AWI"	385	9151	10422	9857	0	0	0	0	0	0	30	0	0	0	37	4	0	0	0	0	1	6	0	0	62	0	0	23	3	0	0	0	1	11	49	0
16146	24956	"Tourbières des Granges des Chavants"	45.89306	6.76833	390	"AWI"	390	9236	10473	9909	0	0	2	0	0	0	25	2	0	0	33	24	0	0	0	0	0	0	0	0	85	0	0	19	0	0	0	0	1	5	55	0
16146	24956	"Tourbières des Granges des Chavants"	45.89306	6.76833	395	"AWI"	395	9351	10494	9961	0	0	0	0	0	0	7	0	0	0	61	11	0	0	0	0	1	0	0	0	72	0	0	18	0	0	0	0	0	6	79	7
16146	24956	"Tourbières des Granges des Chavants"	45.89306	6.76833	400	"AWI"	400	9458	10518	10010	0	61	0	0	0	0	16	0	0	0	25	75	2	0	0	0	0	4	0	0	73	0	0	9	0	0	0	0	0	2	35	0
16146	24956	"Tourbières des Granges des Chavants"	45.89306	6.76833	405	"AWI"	405	9549	10542	10059	0	77	0	0	0	0	14	0	0	0	32	0	0	0	0	0	0	0	0	0	95	0	0	18	0	0	0	0	1	0	23	1
16146	24956	"Tourbières des Granges des Chavants"	45.89306	6.76833	410	"AWI"	410	9641	10572	10108	0	68	0	0	0	0	18	0	0	0	36	39	0	0	0	0	0	0	0	0	81	0	0	10	0	4	0	3	3	18	27	0
