"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Abies"	"Acer"	"Alnus"	"Amaranthaceae"	"Apiaceae"	"Arctostaphylos"	"Artemisia"	"Asteraceae"	"Betula"	"Brassicaceae"	"Campanulaceae"	"Cannabaceae"	"Caprifoliaceae"	"Caryophyllaceae"	"Celastraceae"	"Cistaceae"	"Corylus"	"Crassulaceae"	"Cyperaceae"	"Elaeagnaceae"	"Ericales"	"Fabaceae"	"Fagus"	"Fraxinus"	"Gentianaceae"	"Geraniaceae"	"Juglans"	"Juniperus"	"Lamiaceae"	"Larix"	"Liliaceae"	"Onagraceae"	"Orobanchaceae"	"Ostrya.Carpinus"	"Picea"	"Pinus"	"Plantaginaceae"	"Poaceae"	"Polygalaceae"	"Polygonaceae"	"Populus"	"Quercus"	"Ranunculaceae"	"Rosaceae"	"Rubiaceae"	"Rumex"	"Salix"	"Sambucus"	"Santalaceae"	"Saxifragaceae"	"Thalictrum"	"Tilia"	"Ulmus"	"Urticaceae"	"Vitaceae"
15805	24300	"Greicheralp Riederalp"	46.37972	8.03028	180	"AWI"	180	4158	4784	4433	27	0	20	0	1	0	3	0	12	0	0	0	0	0	1	0	7	0	120	0	0	0	2	0	0	0	0	0	0	3	0	0	0	0	32	183	0	0	0	0	0	8	0	0	0	2	1	0	0	0	0	0	1	0	0
15805	24300	"Greicheralp Riederalp"	46.37972	8.03028	190	"AWI"	190	4242	4845	4533	6	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	2	0	35	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	9	32	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0
15805	24300	"Greicheralp Riederalp"	46.37972	8.03028	200	"AWI"	200	4298	4980	4624	7	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	24	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	3	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
15805	24300	"Greicheralp Riederalp"	46.37972	8.03028	210	"AWI"	210	4392	5103	4712	18	1	39	2	3	0	1	0	7	1	0	0	0	0	0	0	4	0	180	0	0	0	0	0	0	0	0	4	0	7	0	0	0	0	10	141	0	0	0	0	0	4	0	0	1	2	4	0	0	0	0	0	0	0	0
15805	24300	"Greicheralp Riederalp"	46.37972	8.03028	220	"AWI"	220	4508	5156	4807	50	1	57	0	1	0	4	0	9	0	0	0	0	0	0	0	8	0	189	0	0	0	0	0	0	0	0	0	0	15	0	0	0	0	4	280	0	0	0	0	0	5	0	0	1	0	1	0	0	0	1	0	2	0	0
15805	24300	"Greicheralp Riederalp"	46.37972	8.03028	230	"AWI"	230	4572	5233	4900	6	4	68	0	2	0	2	0	9	4	0	0	0	0	0	0	4	0	79	0	0	0	1	0	0	1	0	0	0	6	0	0	0	0	8	132	0	0	0	0	0	13	0	0	0	3	2	0	0	0	0	0	3	0	0
15805	24300	"Greicheralp Riederalp"	46.37972	8.03028	240	"AWI"	240	4664	5310	4995	34	0	28	0	1	0	2	0	7	0	0	0	0	0	0	0	6	0	193	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	5	125	0	0	0	0	0	1	0	0	1	1	2	0	0	0	0	0	0	0	0
15805	24300	"Greicheralp Riederalp"	46.37972	8.03028	250	"AWI"	250	4744	5438	5099	29	1	0	0	6	0	4	0	17	0	0	0	0	0	0	0	14	1	152	0	0	0	1	0	0	0	0	0	0	19	0	0	2	0	2	163	0	0	0	0	0	9	0	0	0	0	5	0	0	0	1	0	4	0	0
15805	24300	"Greicheralp Riederalp"	46.37972	8.03028	260	"AWI"	260	4797	5622	5200	20	4	43	0	0	0	0	0	12	0	0	0	0	0	0	0	9	0	46	0	0	0	1	1	0	0	0	0	0	9	0	0	0	0	7	0	0	0	0	0	0	3	0	0	0	3	0	0	0	0	0	0	0	0	0
15805	24300	"Greicheralp Riederalp"	46.37972	8.03028	270	"AWI"	270	4896	5747	5295	11	7	70	0	2	0	4	0	12	3	0	0	0	0	0	0	5	0	113	0	0	0	0	1	0	0	0	1	0	12	0	0	0	0	6	112	0	0	0	0	0	6	0	0	0	5	7	0	0	0	1	0	1	0	0
15805	24300	"Greicheralp Riederalp"	46.37972	8.03028	280	"AWI"	280	4978	5819	5398	19	3	41	0	2	0	2	0	6	0	0	0	0	0	0	0	5	0	42	0	0	0	0	0	0	0	0	1	0	11	0	0	0	0	5	0	0	0	0	0	0	2	0	0	0	0	1	0	0	0	0	0	1	0	0
15805	24300	"Greicheralp Riederalp"	46.37972	8.03028	290	"AWI"	290	5040	5936	5497	14	4	69	0	3	0	7	0	15	2	0	0	0	0	0	0	14	0	105	0	0	0	0	0	0	0	0	3	0	15	0	0	0	0	3	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	1	0	0
15805	24300	"Greicheralp Riederalp"	46.37972	8.03028	300	"AWI"	300	5154	6026	5594	17	0	28	0	1	0	1	0	12	0	0	0	0	0	0	0	8	0	28	0	0	0	0	0	0	0	0	0	0	14	0	0	0	0	5	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0
15805	24300	"Greicheralp Riederalp"	46.37972	8.03028	310	"AWI"	310	5268	6089	5696	1	1	0	0	1	0	3	0	5	1	0	0	0	0	0	0	5	0	28	0	0	0	0	0	0	0	0	2	0	9	0	0	0	0	2	103	0	0	0	0	0	4	0	0	0	0	3	0	0	0	0	0	0	0	0
15805	24300	"Greicheralp Riederalp"	46.37972	8.03028	320	"AWI"	320	5341	6188	5806	29	1	84	0	8	0	2	0	30	0	0	0	0	0	0	0	6	0	73	0	0	0	0	2	0	0	0	0	0	5	0	0	0	0	3	193	0	0	0	0	0	2	0	0	1	4	33	0	0	0	2	0	9	0	0
15805	24300	"Greicheralp Riederalp"	46.37972	8.03028	330	"AWI"	330	5465	6257	5890	8	0	23	0	0	0	0	0	7	0	0	0	0	0	0	0	0	1	22	0	0	0	1	0	0	0	0	0	0	3	0	0	0	0	2	37	0	0	0	0	0	2	0	0	0	1	8	0	0	0	0	0	1	0	0
15805	24300	"Greicheralp Riederalp"	46.37972	8.03028	340	"AWI"	340	5577	6312	5970	51	2	0	1	5	0	0	0	9	0	0	0	0	0	0	0	11	0	364	0	0	0	2	0	1	0	0	1	0	3	0	0	0	0	0	155	0	0	0	0	3	14	0	0	0	3	5	0	1	0	0	0	6	0	0
15805	24300	"Greicheralp Riederalp"	46.37972	8.03028	350	"AWI"	350	5640	6397	6055	20	0	80	0	2	0	0	0	13	0	0	0	0	0	0	0	4	0	287	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	161	0	0	0	0	0	6	0	0	0	0	0	0	0	0	1	0	6	0	0
15805	24300	"Greicheralp Riederalp"	46.37972	8.03028	360	"AWI"	360	5729	6448	6122	61	1	134	0	0	0	0	0	8	0	0	0	0	0	0	0	2	0	234	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	148	0	0	0	0	0	6	0	0	0	1	5	0	0	0	1	0	4	0	0
15805	24300	"Greicheralp Riederalp"	46.37972	8.03028	370	"AWI"	370	5810	6495	6183	72	0	33	0	0	0	2	0	3	0	0	0	0	0	0	0	1	0	7	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	56	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	2	0	0
15805	24300	"Greicheralp Riederalp"	46.37972	8.03028	380	"AWI"	380	5871	6572	6249	38	3	92	0	6	0	0	0	19	0	0	0	0	0	0	0	6	0	34	0	0	0	1	0	0	1	0	4	0	3	0	0	0	0	0	128	0	0	0	0	0	24	0	0	0	0	25	0	1	0	0	0	12	0	0
15805	24300	"Greicheralp Riederalp"	46.37972	8.03028	390	"AWI"	390	5989	6616	6304	28	1	19	0	7	0	2	0	19	0	0	0	0	0	0	0	8	0	104	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	319	0	0	0	0	0	3	0	0	0	1	2	0	0	0	0	0	1	0	0
15805	24300	"Greicheralp Riederalp"	46.37972	8.03028	400	"AWI"	400	6102	6666	6363	27	4	17	0	21	0	2	0	71	0	0	0	0	2	0	0	19	0	74	0	0	0	0	0	0	1	0	0	0	10	0	1	0	0	0	319	0	0	0	0	0	7	0	0	2	2	6	0	0	0	4	7	9	0	0
15805	24300	"Greicheralp Riederalp"	46.37972	8.03028	405	"AWI"	405	6147	6691	6393	20	0	0	1	6	1	0	0	18	0	0	0	0	0	0	0	6	0	30	0	0	0	0	0	0	1	0	0	0	6	0	0	0	0	0	130	0	0	0	0	0	5	0	0	0	0	2	0	0	0	0	0	4	0	0
15805	24300	"Greicheralp Riederalp"	46.37972	8.03028	415	"AWI"	415	6212	6767	6462	18	1	0	0	7	0	1	0	37	0	0	0	0	0	0	0	14	0	30	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	8	0	0
15805	24300	"Greicheralp Riederalp"	46.37972	8.03028	420	"AWI"	420	6237	6820	6501	13	0	20	1	13	0	1	0	54	0	0	0	0	0	0	0	15	0	22	0	0	0	0	0	0	1	0	0	0	3	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	1	0	2	0	0
15805	24300	"Greicheralp Riederalp"	46.37972	8.03028	425	"AWI"	425	6265	6894	6538	10	0	14	0	4	0	1	0	38	0	0	0	0	0	0	0	11	0	14	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	1	1	0	0	0	0	0	6	0	0
15805	24300	"Greicheralp Riederalp"	46.37972	8.03028	430	"AWI"	430	6289	6981	6575	5	0	0	0	2	0	1	0	15	0	0	0	0	0	0	0	14	0	12	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	5	0	0
15805	24300	"Greicheralp Riederalp"	46.37972	8.03028	435	"AWI"	435	6307	7088	6608	13	0	0	0	2	0	1	0	1	0	0	0	0	0	0	0	6	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	2	0	0	0	0	1	0	0	0	0	0	2	0	0
15805	24300	"Greicheralp Riederalp"	46.37972	8.03028	440	"AWI"	440	6317	7195	6641	8	0	0	0	2	0	0	0	7	0	0	0	0	0	0	0	4	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	3	0	0
