"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Abies"	"Acer"	"Alnus"	"Amaranthaceae"	"Apiaceae"	"Araliaceae"	"Artemisia"	"Asteraceae"	"Betula"	"Brassicaceae"	"Buxus"	"Caryophyllaceae"	"Castanea"	"Cistaceae"	"Corylus"	"Crassulaceae"	"Cyperaceae"	"Elaeagnaceae"	"Ephedraceae"	"Ericales"	"Euphorbiaceae"	"Fabaceae"	"Fagus"	"Fraxinus"	"Geraniaceae"	"Juglans"	"Juniperus"	"Lamiaceae"	"Linaceae"	"Olea"	"Ostrya.Carpinus"	"Picea"	"Pinus"	"Plantaginaceae"	"Poaceae"	"Populus"	"Primulaceae"	"Quercus"	"Ranunculaceae"	"Rosaceae"	"Rubiaceae"	"Rumex"	"Salix"	"Saxifragaceae"	"Thalictrum"	"Tilia"	"Ulmus"	"Urticaceae"	"Vitaceae"
16167	25400	"Lake of Annecy"	45.85667	6.17222	272	"AWI"	272	559	1093	839	5	0	8	0	3	0	0	12	2	0	4	0	2	0	20	0	1	0	0	0	0	0	7	2	0	32	17	0	0	0	1	11	18	17	58	0	0	26	4	0	2	0	2	0	0	0	1	27	0
16167	25400	"Lake of Annecy"	45.85667	6.17222	297	"AWI"	297	649	1161	917	2	0	12	2	6	0	0	0	0	1	0	0	1	0	32	0	2	0	0	0	0	1	26	1	0	45	17	1	0	0	0	9	6	9	29	0	0	33	1	0	0	6	0	0	7	0	8	27	0
16167	25400	"Lake of Annecy"	45.85667	6.17222	320	"AWI"	320	735	1231	990	2	0	4	2	2	0	0	0	1	0	1	0	0	0	22	0	2	1	1	0	1	0	1	0	1	72	4	0	0	0	0	28	36	2	0	0	0	3	3	0	1	0	0	0	0	1	6	34	0
16167	25400	"Lake of Annecy"	45.85667	6.17222	345	"AWI"	345	845	1304	1072	4	0	45	0	1	0	0	8	0	0	0	0	0	0	10	0	0	0	0	0	0	2	12	3	0	18	16	0	0	0	0	63	21	5	0	0	0	19	2	0	1	2	0	0	0	0	10	4	0
16167	25400	"Lake of Annecy"	45.85667	6.17222	370	"AWI"	370	954	1387	1154	0	0	35	0	1	0	3	0	36	0	1	0	0	1	110	0	4	0	0	3	2	0	37	0	0	19	3	0	0	0	0	3	12	15	22	0	0	24	3	0	0	8	0	0	0	0	0	23	0
16167	25400	"Lake of Annecy"	45.85667	6.17222	395	"AWI"	395	1078	1475	1236	1	0	180	0	0	0	2	0	16	0	0	0	1	0	102	0	1	0	0	1	0	0	70	1	0	16	0	0	0	0	1	1	8	3	10	0	0	12	1	0	0	1	0	0	0	1	0	6	0
16167	25400	"Lake of Annecy"	45.85667	6.17222	420	"AWI"	420	1201	1844	1464	1	1	168	2	1	0	2	0	14	0	0	1	0	0	157	0	0	0	0	2	0	0	42	0	0	17	3	0	0	0	9	5	9	5	0	0	0	2	2	0	0	2	0	0	0	0	2	4	0
16167	25400	"Lake of Annecy"	45.85667	6.17222	445	"AWI"	445	1361	2051	1722	0	0	107	1	1	0	0	0	9	0	0	0	0	0	91	0	2	1	0	1	1	0	64	0	0	4	0	0	0	0	0	7	3	4	0	0	0	33	1	3	1	0	1	0	0	1	2	0	0
16167	25400	"Lake of Annecy"	45.85667	6.17222	470	"AWI"	470	1678	2210	1974	1	0	48	1	2	0	2	0	8	0	0	0	0	0	78	0	0	0	0	1	0	0	49	0	0	3	2	0	0	0	0	0	5	9	16	0	0	34	1	0	0	6	1	0	0	1	4	2	0
16167	25400	"Lake of Annecy"	45.85667	6.17222	495	"AWI"	495	2027	2357	2223	5	0	126	0	0	0	8	0	8	0	0	1	0	0	147	0	1	0	0	0	0	2	64	0	0	0	0	0	0	0	0	2	6	11	0	0	0	89	1	0	0	6	0	0	0	1	6	3	0
16167	25400	"Lake of Annecy"	45.85667	6.17222	522	"AWI"	522	2233	2685	2466	27	0	14	0	1	0	4	0	8	0	0	2	0	0	41	0	0	0	0	0	0	0	31	0	0	1	5	0	0	0	0	22	20	1	17	0	0	136	0	0	0	0	6	0	1	2	3	0	0
16167	25400	"Lake of Annecy"	45.85667	6.17222	545	"AWI"	545	2442	2854	2665	3	0	134	1	0	0	0	0	32	0	0	0	0	0	146	0	2	0	0	1	0	0	15	0	0	0	0	0	0	0	0	2	6	4	0	0	0	2	1	0	1	2	0	0	0	1	10	2	0
16167	25400	"Lake of Annecy"	45.85667	6.17222	570	"AWI"	570	2681	3092	2901	12	0	418	0	3	0	4	0	158	1	0	0	0	0	141	1	2	0	0	1	1	0	356	0	0	0	0	0	0	0	0	1	14	0	0	0	0	180	0	0	1	2	12	0	0	0	30	0	0
16167	25400	"Lake of Annecy"	45.85667	6.17222	595	"AWI"	595	2875	3625	3191	8	0	147	0	0	0	0	0	17	0	0	0	0	0	207	0	1	0	0	0	0	0	24	0	0	0	0	1	0	0	0	7	18	8	0	0	0	1	0	0	0	0	0	0	0	2	9	1	1
16167	25400	"Lake of Annecy"	45.85667	6.17222	620	"AWI"	620	3093	3810	3526	5	0	159	0	1	0	4	0	20	0	0	1	0	0	100	0	0	0	0	0	0	0	49	0	0	0	0	0	0	0	0	4	10	14	0	0	0	29	3	0	0	1	0	0	0	1	4	0	0
16167	25400	"Lake of Annecy"	45.85667	6.17222	645	"AWI"	645	3618	3983	3805	11	0	270	1	3	0	4	0	66	0	0	0	0	0	224	0	0	0	0	0	0	0	101	0	0	0	0	0	0	0	0	8	23	9	0	0	0	105	0	0	0	1	2	0	0	2	8	0	0
16167	25400	"Lake of Annecy"	45.85667	6.17222	670	"AWI"	670	3808	4244	4038	9	1	109	1	0	0	1	0	21	0	0	0	0	0	117	0	1	0	0	0	0	2	107	0	0	0	1	0	0	0	0	2	11	2	0	0	0	55	1	2	0	1	0	1	0	4	1	0	0
16167	25400	"Lake of Annecy"	45.85667	6.17222	695	"AWI"	695	4083	4464	4277	16	1	183	0	0	1	1	0	25	0	0	0	0	0	160	0	2	0	0	0	0	0	157	1	0	0	0	0	0	0	0	4	11	2	0	0	0	90	1	0	0	3	0	0	0	6	19	0	0
16167	25400	"Lake of Annecy"	45.85667	6.17222	720	"AWI"	720	4339	4735	4538	2	0	163	0	2	0	6	0	57	0	0	1	0	0	148	1	0	1	0	0	0	0	58	0	0	0	0	0	0	0	0	0	6	0	0	0	0	99	0	0	0	3	0	0	0	7	10	0	0
16167	25400	"Lake of Annecy"	45.85667	6.17222	745	"AWI"	745	4522	5016	4772	107	0	14	1	0	1	0	0	1	0	0	0	0	0	69	0	1	0	0	0	0	0	6	0	0	0	0	0	0	0	0	6	28	0	7	0	0	2	4	0	0	1	1	0	0	10	36	1	0
16167	25400	"Lake of Annecy"	45.85667	6.17222	770	"AWI"	770	4702	5255	4958	70	0	54	0	1	1	0	0	18	0	0	2	0	0	54	0	1	0	0	0	0	0	23	0	0	0	0	1	0	0	0	3	38	0	0	0	0	15	1	0	1	0	0	0	0	7	20	2	0
16167	25400	"Lake of Annecy"	45.85667	6.17222	795	"AWI"	795	4916	5430	5160	39	0	104	1	1	0	1	0	32	0	0	2	0	0	142	0	2	1	0	0	0	0	17	0	0	0	1	0	0	0	0	1	30	0	0	0	0	14	4	0	1	2	0	0	0	6	18	1	0
16167	25400	"Lake of Annecy"	45.85667	6.17222	820	"AWI"	820	5067	5890	5387	8	0	88	0	1	0	5	0	105	1	0	0	0	0	57	1	1	0	0	0	3	0	8	0	0	0	0	0	0	0	0	0	5	0	0	0	0	18	1	0	0	4	0	0	0	11	8	0	1
16167	25400	"Lake of Annecy"	45.85667	6.17222	845	"AWI"	845	5193	6366	5618	24	1	72	0	2	2	2	0	46	1	0	0	0	0	76	0	2	0	0	0	1	0	25	1	0	0	4	0	1	0	0	0	26	1	0	0	0	74	2	0	0	3	3	0	0	13	20	1	1
16167	25400	"Lake of Annecy"	45.85667	6.17222	847	"AWI"	847	5196	6414	5634	10	1	49	1	0	3	0	0	46	0	0	0	0	0	57	0	3	0	0	0	0	0	19	6	0	0	2	0	0	0	0	0	13	0	0	0	0	47	1	0	2	0	4	0	3	13	19	1	2
