"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Abies"	"Acer"	"Alnus"	"Amaranthaceae"	"Apiaceae"	"Artemisia"	"Asteraceae"	"Betula"	"Boraginaceae"	"Brassicaceae"	"Campanulaceae"	"Cannabaceae"	"Caryophyllaceae"	"Castanea"	"Corylus"	"Cyperaceae"	"Ericales"	"Euonymus"	"Fabaceae"	"Fagus"	"Frangula"	"Fraxinus"	"Geraniaceae"	"Hypericaceae"	"Ilex"	"Juglans"	"Lamiaceae"	"Orobanchaceae"	"Ostrya.Carpinus"	"Picea"	"Pinus"	"Plantaginaceae"	"Poaceae"	"Polygonaceae"	"Quercus"	"Ranunculaceae"	"Rosaceae"	"Rubiaceae"	"Rumex"	"Rutaceae"	"Salix"	"Sambucus"	"Santalaceae"	"Scrophulariaceae"	"Sorbus"	"Tilia"	"Ulmus"	"Urticaceae"	"Viburnum"
14527	22761	"Nad Dolským mlýnem"	50.85178	14.33726	50	"AWI"	50	1987	6414	3973	1.75267770204479	0	8.37390457643622	0.0973709834469328	0	0.584225900681597	0	33.7877312560857	0	0.389483933787731	0	0	0.0973709834469328	0	6.91333982473223	1.26582278481013	0	0	0	20.8373904576436	0	0.68159688412853	0	0	0	0	0	0	0.389483933787731	0.584225900681597	0.389483933787731	0	0	0	12.7555988315482	0	0	0	0	0	0.584225900681597	0	0	0	0	5.6475170399221	4.86854917234664	0	0
14527	22761	"Nad Dolským mlýnem"	50.85178	14.33726	52.5	"AWI"	52.5	3293.5	6541.5	4747	2.13592233009709	0.194174757281553	7.96116504854369	0.194174757281553	0	0.388349514563107	0	24.2718446601942	0	0.194174757281553	0	0.194174757281553	0	0	11.0679611650485	0.58252427184466	0	0	0	14.368932038835	0	0.58252427184466	0	0	0	0	0	0	0	11.2621359223301	19.0291262135922	0	0	0	4.66019417475728	0	0	0	0	0	0	0	0	0	0	0.776699029126214	2.13592233009709	0	0
14527	22761	"Nad Dolským mlýnem"	50.85178	14.33726	55	"AWI"	55	4592	6653	5514	0.36563071297989	0.182815356489945	0.548446069469835	0.36563071297989	0	0	0	50.4570383912249	0	0	0	0	0	0	15.9049360146252	1.46252285191956	0	0	0	0.548446069469835	0	0	0	0	0	0	0	0	0.36563071297989	0	0.36563071297989	0	0	0	26.8738574040219	0	0	0	0	0	0	0	0	0	0	1.82815356489945	0.731261425959781	0	0
14527	22761	"Nad Dolským mlýnem"	50.85178	14.33726	57.5	"AWI"	57.5	5799	6786	6306	0	0	3.40264650283554	0	0	0	0	59.3572778827977	0	0	0	0	0	0	9.82986767485822	1.70132325141777	0	0	0	0.945179584120983	0	0.56710775047259	0	0	0	0	0	0	0	6.61625708884688	6.61625708884688	0	0	0	2.83553875236295	0	0	0	0	0	0	0	0	0	0	4.34782608695652	3.78071833648393	0	0
14527	22761	"Nad Dolským mlýnem"	50.85178	14.33726	60	"AWI"	60	6622	7395	7066	0.260756192959583	0.260756192959583	6.38852672750978	0	0	0	0	29.3350717079531	0	0	0	0	0	0	21.3820078226858	0.782268578878748	0	0	0	0	0	1.17340286831812	0	0	0	0	0	0	0.130378096479791	13.9504563233377	6.51890482398957	0	0	0	7.04041720990874	0	0	0	0	0	0.130378096479791	0	0	0	0	7.30117340286832	5.34550195567145	0	0
14527	22761	"Nad Dolským mlýnem"	50.85178	14.33726	62.5	"AWI"	62.5	7028.5	8752	7529	2.99065420560748	0	5.98130841121495	0	0	1.1214953271028	0	14.392523364486	0	0	0	0	0	0	18.5046728971963	0.934579439252336	0	0.373831775700935	0	2.05607476635514	0	0.934579439252336	0	0	0	0	0	0	0	15.7009345794393	18.1308411214953	0	0	0	5.04672897196262	0	0	0	0	0	0.186915887850467	0	0.186915887850467	0	0	5.79439252336449	7.66355140186916	0	0
14527	22761	"Nad Dolským mlýnem"	50.85178	14.33726	65	"AWI"	65	7135	10416	7970	1.85643564356436	0.123762376237624	2.97029702970297	0.247524752475248	0	0	0	32.549504950495	0	0.247524752475248	0	0	0	0	3.34158415841584	2.72277227722772	0	0	0	8.04455445544554	0	1.11386138613861	0	0	0	0	0	0	0.247524752475248	13.3663366336634	15.470297029703	0	0	0	7.3019801980198	0	0	0.123762376237624	0	0	0.495049504950495	0	0	0	0	4.7029702970297	4.95049504950495	0.123762376237624	0
14527	22761	"Nad Dolským mlýnem"	50.85178	14.33726	67.5	"AWI"	67.5	7198	12116.5	8413.5	0.190114068441065	0	5.51330798479087	0	0	0	0	20.1520912547529	0	0.190114068441065	0	0	0	0	20.722433460076	3.42205323193916	0	0.380228136882129	0	0.190114068441065	0	0.760456273764259	0	0	0	0	0	0	0	6.65399239543726	24.7148288973384	0	0	0	4.18250950570342	0	0	0	0	0	0	0	0	0	0	7.03422053231939	5.893536121673	0	0
14527	22761	"Nad Dolským mlýnem"	50.85178	14.33726	70	"AWI"	70	7254	13871	8864	3.8109756097561	0	2.28658536585366	0	0	0	0	27.1341463414634	0	0.152439024390244	0	0	0	0	27.4390243902439	2.28658536585366	0	0	0	0.304878048780488	0	1.21951219512195	0	0	0	0	0	0	0	7.01219512195122	4.42073170731707	0	0	0	7.77439024390244	0	0	0.304878048780488	0	0	0.152439024390244	0	0	0	0	7.6219512195122	8.07926829268293	0	0
14527	22761	"Nad Dolským mlýnem"	50.85178	14.33726	75	"AWI"	75	7840	15401	10063	0.609756097560976	0	3.96341463414634	0.304878048780488	0	0.304878048780488	0	26.5243902439024	0	0	0	0	0	0	16.1585365853659	3.96341463414634	0	0	0	1.21951219512195	0	1.21951219512195	0	0	0	0.304878048780488	0	0	0	5.48780487804878	7.01219512195122	0	0	0	17.6829268292683	0	0	0	0	0	0.304878048780488	0	0	0	0	9.45121951219512	5.48780487804878	0	0
