"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Alnus"	"Amaranthaceae"	"Apiaceae"	"Artemisia"	"Asteraceae"	"Betula"	"Brassicaceae"	"Caprifoliaceae"	"Corylus"	"Cyperaceae"	"Onagraceae"	"Ostrya.Carpinus"	"Picea"	"Pinus"	"Plantaginaceae"	"Poaceae"	"Polygonaceae"	"Quercus"	"Ranunculaceae"	"Rumex"	"Salix"	"Tilia"	"Ulmus"
3314	4304	"Lake Nero"	57.18333	39.45139	190	"AWI"	190	1916	4962	3492	14	0	0	1	0	33	0	0	5	0	0	0	221	35	0	3	0	11	0	0	5	7	4
3314	4304	"Lake Nero"	57.18333	39.45139	200	"AWI"	200	2058	5197	3697	14	1	0	2	0	12	0	0	3	0	0	0	223	26	0	0	0	14	0	0	0	7	8
3314	4304	"Lake Nero"	57.18333	39.45139	210	"AWI"	210	2330	5277	3885	3	0	0	0	0	5	0	0	0	0	0	0	169	24	0	1	0	2	0	0	0	3	5
3314	4304	"Lake Nero"	57.18333	39.45139	220	"AWI"	220	2551	5393	4082	18	0	0	2	0	35	0	0	0	0	0	0	95	26	0	5	0	37	0	0	0	21	25
3314	4304	"Lake Nero"	57.18333	39.45139	230	"AWI"	230	2707	5509	4293	6	0	0	0	1	11	0	0	0	0	0	1	130	42	0	0	0	20	0	0	0	12	16
3314	4304	"Lake Nero"	57.18333	39.45139	240	"AWI"	240	2865	5718	4489	9	0	0	1	0	9	0	0	15	0	0	0	122	62	0	0	0	17	0	0	0	13	22
3314	4304	"Lake Nero"	57.18333	39.45139	250	"AWI"	250	3182	5787	4674	24	0	0	1	0	35	0	0	15	0	0	0	44	43	0	5	0	33	0	0	0	20	34
3314	4304	"Lake Nero"	57.18333	39.45139	260	"AWI"	260	3434	5859	4868	32	0	0	0	0	31	0	0	22	0	0	2	88	42	0	0	0	33	0	0	0	13	33
3314	4304	"Lake Nero"	57.18333	39.45139	270	"AWI"	270	3624	5964	5071	4	0	0	3	1	16	0	0	9	0	0	0	194	17	0	0	0	14	0	0	0	5	12
3314	4304	"Lake Nero"	57.18333	39.45139	280	"AWI"	280	3811	6129	5274	25	0	0	1	0	44	0	0	21	0	0	2	62	33	0	1	0	43	0	0	0	14	35
3314	4304	"Lake Nero"	57.18333	39.45139	290	"AWI"	290	4220	6181	5431	9	0	0	3	0	30	0	0	13	0	0	0	105	46	0	0	0	32	0	0	0	8	20
3314	4304	"Lake Nero"	57.18333	39.45139	300	"AWI"	300	4609	6246	5595	10	0	0	0	0	58	0	0	13	0	0	0	46	33	0	9	0	42	0	0	0	18	22
3314	4304	"Lake Nero"	57.18333	39.45139	310	"AWI"	310	4889	6332	5773	19	0	0	0	0	52	0	0	20	0	0	2	50	49	0	8	0	62	0	0	0	26	36
3314	4304	"Lake Nero"	57.18333	39.45139	320	"AWI"	320	5063	6481	5958	8	0	0	0	0	55	0	0	13	0	0	0	20	28	0	5	0	49	0	0	0	19	35
3314	4304	"Lake Nero"	57.18333	39.45139	330	"AWI"	330	5177	6537	6035	15	0	0	4	0	45	0	0	16	0	0	1	39	53	0	1	0	37	0	0	0	14	35
3314	4304	"Lake Nero"	57.18333	39.45139	340	"AWI"	340	5295	6606	6108	25	0	0	7	0	82	0	0	18	0	0	0	15	35	0	1	0	45	0	0	0	21	40
3314	4304	"Lake Nero"	57.18333	39.45139	350	"AWI"	350	5367	6694	6186	25	0	0	5	0	68	0	0	12	1	0	0	27	48	0	2	0	36	1	0	0	10	20
3314	4304	"Lake Nero"	57.18333	39.45139	360	"AWI"	360	5441	6819	6260	8	0	0	0	0	49	0	0	7	0	0	0	41	51	0	1	0	43	0	0	0	10	30
3314	4304	"Lake Nero"	57.18333	39.45139	370	"AWI"	370	5580	6864	6334	9	0	0	2	0	99	0	0	4	0	0	0	17	40	0	0	0	33	0	0	0	14	36
3314	4304	"Lake Nero"	57.18333	39.45139	380	"AWI"	380	5689	6920	6412	33	0	0	2	0	77	0	0	15	0	0	0	21	20	0	3	0	21	0	0	0	4	19
3314	4304	"Lake Nero"	57.18333	39.45139	390	"AWI"	390	5777	6989	6491	19	0	0	2	0	105	0	0	14	0	0	0	22	30	0	3	0	19	0	0	0	19	24
3314	4304	"Lake Nero"	57.18333	39.45139	400	"AWI"	400	5857	7090	6571	20	0	0	1	0	115	0	0	13	0	0	0	17	30	0	1	0	29	0	0	0	12	30
3314	4304	"Lake Nero"	57.18333	39.45139	413	"AWI"	413	6038	7135	6670	14	0	0	2	0	58	0	0	13	0	0	1	58	41	0	5	0	44	0	0	0	16	28
3314	4304	"Lake Nero"	57.18333	39.45139	425	"AWI"	425	6177	7196	6763	29	0	1	1	0	85	0	0	4	4	0	0	24	47	0	2	0	21	0	0	0	16	19
3314	4304	"Lake Nero"	57.18333	39.45139	438	"AWI"	438	6279	7287	6867	20	0	0	1	0	62	0	0	7	3	0	0	32	44	0	3	0	40	0	0	0	12	27
3314	4304	"Lake Nero"	57.18333	39.45139	450	"AWI"	450	6469	7333	6955	20	0	0	4	0	89	0	0	8	1	0	0	27	52	0	3	0	25	0	0	0	8	16
3314	4304	"Lake Nero"	57.18333	39.45139	463	"AWI"	463	6661	7386	7053	26	0	0	2	0	95	0	0	12	1	0	0	24	50	0	5	0	24	0	0	0	18	29
3314	4304	"Lake Nero"	57.18333	39.45139	475	"AWI"	475	6769	7466	7151	21	2	0	5	0	61	0	0	4	5	0	0	55	66	0	8	0	40	0	0	0	10	32
3314	4304	"Lake Nero"	57.18333	39.45139	488	"AWI"	488	6880	7570	7249	18	0	0	2	0	76	0	0	2	10	0	0	27	50	0	3	0	26	0	0	3	15	21
3314	4304	"Lake Nero"	57.18333	39.45139	500	"AWI"	500	6955	7680	7337	14	2	0	3	0	62	0	0	11	0	0	0	60	45	0	4	0	18	0	0	0	13	18
3314	4304	"Lake Nero"	57.18333	39.45139	513	"AWI"	513	7013	7839	7435	30	0	0	4	1	91	0	0	13	6	0	0	26	47	0	7	0	24	0	0	0	10	29
3314	4304	"Lake Nero"	57.18333	39.45139	525	"AWI"	525	7106	7966	7522	25	0	0	5	0	68	0	0	4	6	0	0	26	32	0	5	0	31	0	0	0	8	29
3314	4304	"Lake Nero"	57.18333	39.45139	538	"AWI"	538	7243	8031	7624	21	3	0	3	0	94	0	0	0	1	0	0	19	26	0	7	0	39	4	0	1	15	27
3314	4304	"Lake Nero"	57.18333	39.45139	550	"AWI"	550	7327	8121	7720	17	5	0	6	0	83	0	0	7	11	0	0	15	28	0	1	0	34	0	0	0	9	30
3314	4304	"Lake Nero"	57.18333	39.45139	563	"AWI"	563	7424	8239	7817	23	0	0	3	0	75	0	0	4	3	0	0	36	47	0	6	0	26	0	0	0	11	27
3314	4304	"Lake Nero"	57.18333	39.45139	575	"AWI"	575	7546	8297	7907	24	2	0	3	0	106	0	0	1	6	0	0	57	74	0	2	0	25	0	0	0	16	29
3314	4304	"Lake Nero"	57.18333	39.45139	583	"AWI"	583	7598	8362	7971	25	0	0	6	0	81	0	0	4	0	0	0	42	40	0	1	0	28	0	0	0	6	26
3314	4304	"Lake Nero"	57.18333	39.45139	600	"AWI"	600	7672	8603	8091	8	0	0	0	0	56	0	0	2	0	0	0	138	108	0	0	0	17	0	0	0	19	26
