"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Acer"	"Alnus"	"Amaranthaceae"	"Apiaceae"	"Artemisia"	"Asteraceae"	"Balsaminaceae"	"Betula"	"Brassicaceae"	"Cannabaceae"	"Caryophyllaceae"	"Cistaceae"	"Corylus"	"Cyperaceae"	"Elaeagnaceae"	"Ericales"	"Euphorbiaceae"	"Fagus"	"Frangula"	"Fraxinus"	"Iridaceae"	"Lamiaceae"	"Ostrya.Carpinus"	"Picea"	"Pinus"	"Plantaginaceae"	"Poaceae"	"Polemoniaceae"	"Populus"	"Primulaceae"	"Quercus"	"Ranunculaceae"	"Rosaceae"	"Rubiaceae"	"Rumex"	"Salix"	"Saxifragaceae"	"Scrophulariaceae"	"Tilia"	"Ulmus"	"Urticaceae"
3096	4031	"Lake Ermistu"	58.36667	23.96667	209	"AWI"	209	3448	5725	4562	0	17.7570093457944	0	0	0.467289719626168	0	0	33.6448598130841	0	0	0	0	3.50467289719626	0	0	2.10280373831776	0	0.233644859813084	0	1.86915887850467	0	0	0.233644859813084	14.7196261682243	18.6915887850467	0	0	0	0.467289719626168	0	4.4392523364486	0	0	0	0	0.467289719626168	0	0	0.467289719626168	0.934579439252336	0
3096	4031	"Lake Ermistu"	58.36667	23.96667	214	"AWI"	214	3576	5838	4679	0	21.1849192100539	0	0	0.538599640933573	0.179533213644524	0	25.3141831238779	0	0	0	0	3.94973070017953	0.538599640933573	0	1.25673249551167	0	0.179533213644524	0	1.07719928186715	0	0	0.359066427289048	15.4398563734291	21.903052064632	0	0	0	0.538599640933573	0	3.77019748653501	0	0.359066427289048	0	0	0	0	0	0.538599640933573	2.87253141831239	0
3096	4031	"Lake Ermistu"	58.36667	23.96667	219	"AWI"	219	3662	5951	4791	0	21.1981566820277	0	0	0	0	0	24.4239631336406	0	0.230414746543779	0	0	2.99539170506912	0.460829493087558	0	1.15207373271889	0	0	0	0.921658986175115	0	0	0.460829493087558	16.3594470046083	23.2718894009217	0	1.38248847926267	0	0	0	4.14746543778802	0	0	0	0	0	0	0	1.15207373271889	1.84331797235023	0
3096	4031	"Lake Ermistu"	58.36667	23.96667	224	"AWI"	224	3777	6054	4902	0	19.8529411764706	0	0	0.735294117647059	0	0	27.6960784313726	0	0.245098039215686	0	0	3.43137254901961	0	0	1.96078431372549	0	0	0	0.245098039215686	0	0	0.490196078431373	24.2647058823529	16.6666666666667	0	0	0	0.735294117647059	0	2.69607843137255	0	0	0	0	0	0	0	0.735294117647059	0.245098039215686	0
3096	4031	"Lake Ermistu"	58.36667	23.96667	229	"AWI"	229	3880	6173	5021	0	17.4447174447174	0	0	0	0	0	28.5012285012285	0	0	0	0	1.96560196560197	0.491400491400491	0	0.982800982800983	0	0	0	0.737100737100737	0	0	0.245700245700246	21.8673218673219	20.1474201474201	0	0.982800982800983	0	0.245700245700246	0	4.17690417690418	0	0	0	0	0	0	0	0.982800982800983	1.22850122850123	0
3096	4031	"Lake Ermistu"	58.36667	23.96667	234	"AWI"	234	3986	6269	5135	0	15.0617283950617	0	0	0	0	0	24.1975308641975	0	0	0	0	2.22222222222222	0	0	0.493827160493827	0	0	0	0.740740740740741	0	0	0.246913580246914	22.7160493827161	26.4197530864197	0	0.493827160493827	0	0.246913580246914	0	3.95061728395062	0	0	0	0	0.493827160493827	0	0	1.72839506172839	0.987654320987654	0
3096	4031	"Lake Ermistu"	58.36667	23.96667	239	"AWI"	239	4068	6389	5241	0	18.1818181818182	0	0	0.717703349282297	0	0	29.6650717703349	0	0	0	0	2.63157894736842	0.239234449760766	0	0.478468899521531	0	0	0	0.717703349282297	0	0	0.239234449760766	19.377990430622	21.5311004784689	0	0.478468899521531	0	0.956937799043062	0	3.11004784688995	0	0	0	0	0.239234449760766	0	0	0.478468899521531	0.956937799043062	0
3096	4031	"Lake Ermistu"	58.36667	23.96667	244	"AWI"	244	4198	6480	5348	0.235294117647059	20.9411764705882	0	0	0.235294117647059	0.235294117647059	0	27.5294117647059	0	0	0	0	7.52941176470588	0.705882352941177	0	0.941176470588235	0.235294117647059	0	0	2.82352941176471	0	0	0.470588235294118	10.3529411764706	15.0588235294118	0	0	0.235294117647059	0.235294117647059	0	6.35294117647059	0	0	0	0	0	0	0	1.41176470588235	4.47058823529412	0
3096	4031	"Lake Ermistu"	58.36667	23.96667	249	"AWI"	249	4299	6585	5462	0	19.8433420365535	0	0	0.783289817232376	0	0	20.3655352480418	0	0	0	0	10.7049608355091	0	0	0.783289817232376	0	0	0	0.261096605744125	0	0	0	11.7493472584856	24.2819843342037	0	0	0	0	0	3.65535248041775	0	0	0	0	0	0	0	1.30548302872063	6.26631853785901	0
3096	4031	"Lake Ermistu"	58.36667	23.96667	254	"AWI"	254	4419	6682	5570	0	23.8095238095238	0	0	0	0	0	16.1375661375661	0	0	0	0	11.3756613756614	0	0	1.05820105820106	0	0	0	0	0	0	0	13.7566137566138	23.015873015873	0	0	0	0.529100529100529	0	3.7037037037037	0.264550264550265	0	0	0	0	0	0	2.11640211640212	4.23280423280423	0
