"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Abies"	"Acer"	"Aesculus"	"Alnus"	"Amaranthaceae"	"Apiaceae"	"Araliaceae"	"Artemisia"	"Asteraceae"	"Betula"	"Brassicaceae"	"Buxus"	"Campanulaceae"	"Cannabaceae"	"Caprifoliaceae"	"Caryophyllaceae"	"Castanea"	"Celastraceae"	"Corylus"	"Cyperaceae"	"Ericales"	"Euphorbiaceae"	"Fabaceae"	"Fagus"	"Frangula"	"Fraxinus"	"Gentianaceae"	"Geraniaceae"	"Hypericaceae"	"Indeterminable"	"Juglans"	"Juniperus"	"Lamiaceae"	"Liliaceae"	"Onagraceae"	"Orobanchaceae"	"Ostrya.Carpinus"	"Papaveraceae"	"Picea"	"Pinus"	"Plantaginaceae"	"Poaceae"	"Polygalaceae"	"Polygonaceae"	"Populus"	"Primulaceae"	"Prunus"	"Quercus"	"Ranunculaceae"	"Rhamnus"	"Rosaceae"	"Rubiaceae"	"Rumex"	"Salix"	"Santalaceae"	"Saxifragaceae"	"Scrophulariaceae"	"Solanaceae"	"Sorbus"	"Taxus"	"Thalictrum"	"Tilia"	"Ulmus"	"Urticaceae"	"Viburnum"	"Vitaceae"
16314	25308	"Sources de l'Yonne"	46.95639	4.01	80	"AWI"	80	1648	2055	1882	1	1	0	46	2	0	0	1	0	12	0	0	0	0	0	0	0	0	40	52	0	0	0	124	0	4	0	1	0	0	0	0	0	0	0	1	1	0	0	2	0	0	0	0	0	0	0	62	0	0	0	3	0	10	0	0	1	0	1	0	0	1	3	2	0	0
16314	25308	"Sources de l'Yonne"	46.95639	4.01	84	"AWI"	84	1775	2140	1981	0	0	0	73	2	2	1	3	0	16	1	0	0	0	0	0	0	0	37	147	3	0	0	149	0	4	0	0	0	0	0	3	0	0	0	0	1	0	0	4	0	0	0	0	0	0	0	133	0	0	0	2	0	1	0	1	0	0	0	0	1	1	0	25	0	0
16314	25308	"Sources de l'Yonne"	46.95639	4.01	88	"AWI"	88	1853	2249	2059	2	0	0	110	0	4	0	0	0	23	3	0	0	0	2	0	0	0	51	19	0	0	0	222	0	3	0	0	0	0	0	2	0	0	0	0	2	0	0	4	0	0	0	0	0	0	0	71	0	0	0	4	0	4	0	0	0	0	0	0	0	2	0	1	0	1
16314	25308	"Sources de l'Yonne"	46.95639	4.01	92	"AWI"	92	1921	2354	2129	1	0	0	90	2	0	0	1	0	10	3	0	0	0	0	0	0	0	21	13	0	0	0	141	0	1	0	0	1	0	0	1	0	0	0	0	1	0	2	1	0	0	0	0	1	0	0	57	0	0	0	7	0	1	0	0	1	0	0	0	0	1	1	4	0	0
16314	25308	"Sources de l'Yonne"	46.95639	4.01	96	"AWI"	96	1985	2453	2197	4	0	0	161	1	1	0	0	0	0	1	0	0	0	0	0	1	0	22	11	0	0	0	107	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	1	0	0	63	0	0	0	1	0	1	0	0	0	0	0	0	0	2	0	3	0	0
16314	25308	"Sources de l'Yonne"	46.95639	4.01	100	"AWI"	100	2051	2530	2265	2	0	0	285	1	0	0	1	0	2	1	0	0	0	0	0	0	0	42	36	0	0	0	257	0	5	0	0	0	0	0	0	0	0	0	0	1	0	0	3	0	0	0	0	0	0	0	91	0	0	0	3	0	5	0	0	0	0	0	1	0	2	1	5	0	0
16314	25308	"Sources de l'Yonne"	46.95639	4.01	104	"AWI"	104	2136	2595	2329	3	0	0	351	1	1	0	0	0	6	1	0	0	0	0	0	0	0	37	27	2	0	0	219	0	8	0	0	0	0	0	0	0	0	0	0	2	0	1	8	0	0	0	0	0	0	0	76	0	0	0	4	0	2	1	1	0	0	1	0	0	3	0	2	1	0
16314	25308	"Sources de l'Yonne"	46.95639	4.01	108	"AWI"	108	2223	2655	2394	4	0	0	406	0	0	0	3	0	4	0	0	0	0	0	0	0	0	36	20	0	0	0	336	0	5	0	0	1	3	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	105	0	0	0	6	0	2	0	0	0	0	0	0	0	6	1	0	0	0
16314	25308	"Sources de l'Yonne"	46.95639	4.01	112	"AWI"	112	2305	2765	2480	10	0	0	817	0	2	0	1	0	3	1	0	0	0	0	0	0	0	82	19	0	0	0	291	0	18	0	0	0	2	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	71	0	0	0	1	0	0	0	0	0	0	0	0	0	7	2	0	0	0
16314	25308	"Sources de l'Yonne"	46.95639	4.01	118	"AWI"	118	2400	3052	2642	2	0	0	652	1	4	0	2	0	8	0	0	0	0	0	0	0	0	74	16	0	0	0	280	0	28	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	64	0	0	0	4	0	1	0	0	0	0	0	0	0	7	1	1	0	0
16314	25308	"Sources de l'Yonne"	46.95639	4.01	120	"AWI"	120	2420	3150	2698	7	0	0	611	0	0	0	2	0	5	0	0	0	0	0	0	0	0	75	10	2	0	0	445	0	6	0	0	0	5	0	1	0	0	1	0	0	0	0	5	0	0	0	0	0	0	0	96	0	0	0	1	0	1	0	0	0	0	0	0	0	6	2	1	0	0
