"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Acer"	"Alnus"	"Amaranthaceae"	"Apiaceae"	"Araliaceae"	"Artemisia"	"Asteraceae"	"Betula"	"Brassicaceae"	"Campanulaceae"	"Cannabaceae"	"Caprifoliaceae"	"Caryophyllaceae"	"Cistaceae"	"Corylus"	"Cyperaceae"	"Ericales"	"Fabaceae"	"Fagus"	"Fraxinus"	"Grossulariaceae"	"Hypericaceae"	"Ilex"	"Juglans"	"Lamiaceae"	"Nartheciaceae"	"Orobanchaceae"	"Picea"	"Pinus"	"Plantaginaceae"	"Poaceae"	"Prunus"	"Quercus"	"Ranunculaceae"	"Rosaceae"	"Rubiaceae"	"Rumex"	"Salix"	"Saxifragaceae"	"Sorbus"	"Taxus"	"Thalictrum"	"Tilia"	"Ulmus"	"Urticaceae"
11582	17344	"Diheen"	52.369384	-8.170892	41	"AWI"	41	199	305	244	0	12.9589632829374	0	3.02375809935205	0	0.431965442764579	0	4.75161987041037	0	1.72786177105832	0	0	0	0	53.5637149028078	4.31965442764579	0	0	0	0.863930885529158	0.431965442764579	0	0	0.431965442764579	0	0.431965442764579	0	0	1.51187904967603	0	0	0	8.207343412527	1.29589632829374	0	3.45572354211663	0	0.431965442764579	0	0	1.29589632829374	0	0	0.863930885529158	0
11582	17344	"Diheen"	52.369384	-8.170892	44	"AWI"	44	209	319	257	0	4.58937198067633	0	0.966183574879227	0	0.241545893719807	0	3.38164251207729	0	0.966183574879227	0	0	0	0	28.743961352657	1.93236714975845	0	0	0	0.72463768115942	0	0	0	0	0	0.483091787439614	0	0	0.966183574879227	3.14009661835749	42.9951690821256	0	2.41545893719807	0.241545893719807	4.34782608695652	1.93236714975845	0	0.241545893719807	0	0	0.483091787439614	0	0	1.20772946859903	0
11582	17344	"Diheen"	52.369384	-8.170892	49	"AWI"	49	226	343	278	0	14.1263940520446	0	1.11524163568773	0.371747211895911	1.11524163568773	0	5.20446096654275	0	1.85873605947955	0	0	1.11524163568773	0	47.5836431226766	1.48698884758364	0	0	0	1.11524163568773	0	0	0.371747211895911	0	0	0	0	0	0.743494423791822	2.97397769516729	0	0	4.08921933085502	1.11524163568773	8.92193308550186	4.08921933085502	0	0	0	0	1.11524163568773	0	0	1.48698884758364	0
11582	17344	"Diheen"	52.369384	-8.170892	54	"AWI"	54	244	368	299	0	10.0371747211896	0	2.60223048327138	0	0.371747211895911	0	5.57620817843866	0	1.48698884758364	0	0	0.371747211895911	0	46.0966542750929	2.60223048327138	0	0	0	1.48698884758364	0	0	0	0	0	0	0	0	0.743494423791822	4.08921933085502	0	0	9.29368029739777	0.371747211895911	8.17843866171004	2.60223048327138	0	0	0	0.371747211895911	0.743494423791822	0	0	2.97397769516729	0
11582	17344	"Diheen"	52.369384	-8.170892	57	"AWI"	57	256	382	312	0	12.5541125541126	0	1.2987012987013	0.865800865800866	0.432900432900433	0	6.49350649350649	0	0.865800865800866	0	0	0	0	56.7099567099567	4.32900432900433	0	0	0	1.73160173160173	0	0	0.432900432900433	0	0	0.432900432900433	0	0	0.865800865800866	0	0	0	5.19480519480519	2.16450216450216	0	5.19480519480519	0	0.432900432900433	0	0	0	0	0	0	0
11582	17344	"Diheen"	52.369384	-8.170892	60	"AWI"	60	267	395	324	0	11.3861386138614	0	0.99009900990099	0	0.495049504950495	0	4.45544554455445	0	1.98019801980198	0	0	0	0	62.8712871287129	2.47524752475248	0	0	0	0	0	0	0	0	0	0.495049504950495	0	0	0.99009900990099	0	0	0	6.43564356435644	0.99009900990099	0	3.96039603960396	0	0	0	0	0.495049504950495	0	0	1.98019801980198	0
11582	17344	"Diheen"	52.369384	-8.170892	63	"AWI"	63	278	409	337	0	11.3851992409867	0	0.379506641366224	0.379506641366224	0	0	6.07210626185958	0	2.65654648956357	0	0	0	0	45.5407969639469	1.13851992409867	0	0	0.379506641366224	1.13851992409867	0	0	0	0	0	0.379506641366224	0	0	1.70777988614801	6.07210626185958	0	0.379506641366224	4.93358633776091	1.5180265654649	10.246679316888	2.65654648956357	0	1.13851992409867	0	0	0.379506641366224	0	0	1.5180265654649	0
11582	17344	"Diheen"	52.369384	-8.170892	66	"AWI"	66	290	422	350	0	6.8	0	0.8	0	0	0	2	0	0.6	0	0	0	0	24.6	2	0	0	0	1.2	0	0	0.2	0	0	0.2	0	0	0.4	2.4	46.2	0	3.8	0	4	3	0	0.2	0	0	0	0	0	1.6	0
11582	17344	"Diheen"	52.369384	-8.170892	71	"AWI"	71	309	444	371	0	6.3305978898007	0	0.468933177022274	0	0	0	2.11019929660023	0	0.703399765533412	0	0	0	0	26.2602579132474	2.11019929660023	0	0	0	0.703399765533412	0	0	0.234466588511137	0	0.703399765533412	0	0	0	0.351699882766706	1.17233294255569	48.5345838218054	0	3.51699882766706	0.468933177022274	3.75146541617819	1.64126611957796	0	0.234466588511137	0	0	0	0	0	0.703399765533412	0
11582	17344	"Diheen"	52.369384	-8.170892	76	"AWI"	76	330	469	392	0	11.2403100775194	0	1.55038759689922	0	0.387596899224806	0	6.2015503875969	0	2.71317829457364	0	0	0	0	43.7984496124031	5.03875968992248	0	0	0	1.55038759689922	0	0	0	0	0	0.775193798449612	0	0	0.775193798449612	4.65116279069767	0	0	3.10077519379845	0	10.077519379845	5.42635658914729	0	0.775193798449612	0	0	0	0	0	1.93798449612403	0
