"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Alnus"	"Amaranthaceae"	"Apiaceae"	"Araliaceae"	"Artemisia"	"Asteraceae"	"Betula"	"Brassicaceae"	"Caprifoliaceae"	"Caryophyllaceae"	"Corylus"	"Crassulaceae"	"Cyperaceae"	"Ericales"	"Fabaceae"	"Fagus"	"Fraxinus"	"Geraniaceae"	"Hypericaceae"	"Ilex"	"Indeterminable"	"Juniperus"	"Lamiaceae"	"Lentibulariaceae"	"Ligustrum"	"Onagraceae"	"Picea"	"Pinus"	"Plantaginaceae"	"Plumbaginaceae"	"Poaceae"	"Polygonaceae"	"Quercus"	"Ranunculaceae"	"Rosaceae"	"Rubiaceae"	"Rumex"	"Salix"	"Saxifragaceae"	"Scrophulariaceae"	"Sorbus"	"Thalictrum"	"Tilia"	"Ulmus"	"Urticaceae"
3396	4401	"Saksunarvatn"	62.24107	-7.15784	1420	"AWI"	1420	5827	6437	6175	3	0	10	0	1	0	19	3	0	0	16	27	131	7	0	0	0	0	0	0	0	46	0	0	0	0	0	8	0	0	0	0	4	0	0	0	0	1	0	2	0	9	0	1	0
3396	4401	"Saksunarvatn"	62.24107	-7.15784	1470	"AWI"	1470	6117	6851	6485	0	0	0	0	0	0	28	1	0	0	19	35	152	0	0	0	0	0	0	0	0	18	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	6	0	0	0	12	0	4	0
3396	4401	"Saksunarvatn"	62.24107	-7.15784	1500	"AWI"	1500	6279	7025	6669	0	0	0	0	0	0	37	0	0	0	16	49	150	0	0	0	0	0	0	0	0	25	0	0	0	0	0	20	0	0	0	0	0	0	0	0	0	3	0	0	0	1	0	4	0
3396	4401	"Saksunarvatn"	62.24107	-7.15784	1553	"AWI"	1553	6609	7290	7000	0	0	0	0	0	0	46	1	0	0	16	65	145	0	0	0	0	0	0	0	0	1	0	0	0	0	0	16	0	0	0	0	0	0	0	0	0	19	0	0	0	3	0	1	0
3396	4401	"Saksunarvatn"	62.24107	-7.15784	1595	"AWI"	1595	6927	7448	7231	0	0	0	0	0	0	40	2	0	0	9	69	109	0	0	0	0	0	0	0	0	5	0	0	0	0	0	14	0	0	0	0	1	3	0	0	0	4	0	0	0	0	0	1	0
3396	4401	"Saksunarvatn"	62.24107	-7.15784	1641	"AWI"	1641	7120	7612	7396	0	0	0	0	1	0	88	4	0	0	10	43	95	77	0	0	0	0	0	0	0	2	0	0	0	0	0	28	0	0	0	0	0	0	0	0	0	38	0	1	0	0	0	0	0
3396	4401	"Saksunarvatn"	62.24107	-7.15784	1691	"AWI"	1691	7286	7823	7543	2	0	0	0	0	0	132	4	0	0	23	49	102	0	0	0	0	0	0	0	1	5	0	0	0	0	0	21	0	0	0	0	0	0	0	0	0	48	0	1	0	0	0	1	0
3396	4401	"Saksunarvatn"	62.24107	-7.15784	1723	"AWI"	1723	7395	7962	7645	0	0	0	0	0	0	140	11	0	0	5	98	15	0	0	0	0	0	0	0	0	15	0	0	0	0	0	27	0	0	0	0	0	0	0	0	0	55	0	0	0	1	0	0	0
3396	4401	"Saksunarvatn"	62.24107	-7.15784	1792	"AWI"	1792	7596	8440	7939	0	0	0	0	2	0	108	5	0	0	2	139	149	0	0	0	0	0	1	0	4	3	0	0	0	0	0	10	0	0	0	0	0	7	0	0	0	52	0	1	0	0	0	0	1
3396	4401	"Saksunarvatn"	62.24107	-7.15784	1857	"AWI"	1857	7780	8823	8215	0	0	0	0	6	0	223	4	0	0	4	1	26	0	0	0	0	0	0	0	4	0	0	0	0	0	0	15	0	0	0	0	0	0	0	6	0	20	0	0	0	0	0	0	0
3396	4401	"Saksunarvatn"	62.24107	-7.15784	1907	"AWI"	1907	7935	9123	8425	6	0	0	0	1	0	46	0	0	0	10	0	42	0	0	3	0	0	0	0	0	1	0	0	0	0	5	9	0	45	44	0	1	0	0	1	0	0	0	1	1	0	0	0	0
