"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Abies"	"Acer"	"Alnus"	"Amaranthaceae"	"Apiaceae"	"Araliaceae"	"Artemisia"	"Asteraceae"	"Betula"	"Boraginaceae"	"Brassicaceae"	"Buxus"	"Campanulaceae"	"Cannabaceae"	"Caprifoliaceae"	"Caryophyllaceae"	"Castanea"	"Convolvulaceae"	"Cornus"	"Corylus"	"Crassulaceae"	"Cyperaceae"	"Ericales"	"Euonymus"	"Euphorbiaceae"	"Fabaceae"	"Fagus"	"Fraxinus"	"Gentianaceae"	"Geraniaceae"	"Ilex"	"Iridaceae"	"Juglans"	"Juniperus"	"Lamiaceae"	"Liliaceae"	"Linaceae"	"Lythraceae"	"Malvaceae"	"Onagraceae"	"Orobanchaceae"	"Ostrya.Carpinus"	"Papaveraceae"	"Pinus"	"Plantaginaceae"	"Plumbaginaceae"	"Poaceae"	"Polygonaceae"	"Populus"	"Primulaceae"	"Prunus"	"Quercus"	"Quercus.evg.type"	"Ranunculaceae"	"Rhamnus"	"Rosaceae"	"Rubiaceae"	"Rumex"	"Salix"	"Sambucus"	"Santalaceae"	"Saxifragaceae"	"Scrophulariaceae"	"Solanaceae"	"Thalictrum"	"Tilia"	"Ulmus"	"Urticaceae"	"Verbenaceae"	"Viburnum"	"Vitaceae"
15969	24622	"La Grange"	46.08972	-0.77528	139	"AWI"	139	5404	5859	5683	0	0	3	1	7	0	3	0	2	0	2	0	0	0	0	0	0	0	0	34	0	10	0	0	0	0	0	0	0	0	0	1	0	0	3	0	0	1	0	0	0	0	0	1	4	0	45	0	0	0	0	47	0	2	0	0	0	0	3	0	0	0	0	0	0	1	1	0	0	0	0
15969	24622	"La Grange"	46.08972	-0.77528	145	"AWI"	145	5437	5905	5707	0	0	5	2	16	0	0	0	1	0	1	0	0	0	0	0	0	0	0	49	0	20	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	1	0	0	0	1	0	1	9	0	129	0	0	0	0	60	3	1	1	0	0	0	16	0	0	1	1	0	0	1	0	0	0	0	2
15969	24622	"La Grange"	46.08972	-0.77528	151	"AWI"	151	5481	5933	5732	0	1	3	4	12	0	1	0	0	0	4	0	0	0	0	0	0	0	0	37	0	52	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	5	5	0	80	0	0	0	0	86	1	3	0	0	0	0	15	0	0	0	1	0	0	0	0	0	0	0	2
15969	24622	"La Grange"	46.08972	-0.77528	155	"AWI"	155	5509	5955	5749	0	1	6	1	16	1	0	0	1	0	1	0	0	0	0	0	0	0	0	16	0	89	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	8	1	0	75	0	0	0	0	76	0	3	0	0	4	0	4	0	0	1	1	0	0	1	0	0	0	0	3
15969	24622	"La Grange"	46.08972	-0.77528	159	"AWI"	159	5530	5976	5767	0	0	3	4	6	0	0	0	1	0	1	0	0	0	0	0	0	0	0	11	0	102	0	0	0	0	0	1	0	0	0	0	0	0	2	1	0	0	0	0	0	0	0	4	1	0	0	0	0	0	0	79	0	3	0	0	1	0	3	0	0	0	1	0	0	1	0	1	0	0	0
15969	24622	"La Grange"	46.08972	-0.77528	165	"AWI"	165	5576	6008	5792	0	0	2	4	11	0	1	18	2	1	9	0	0	0	0	0	1	0	0	27	0	36	1	0	0	0	0	1	0	0	0	0	0	0	3	0	0	0	0	1	1	0	0	4	10	0	90	0	1	0	0	78	0	1	0	0	4	1	7	0	0	0	2	3	0	1	1	0	0	1	1
15969	24622	"La Grange"	46.08972	-0.77528	171	"AWI"	171	5619	6042	5818	0	1	2	5	6	0	1	0	2	0	1	0	1	0	0	0	0	0	0	20	0	44	0	0	0	0	0	4	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	3	3	0	53	0	0	0	0	137	0	3	0	0	1	1	2	0	0	1	0	0	0	1	1	2	0	0	2
15969	24622	"La Grange"	46.08972	-0.77528	175	"AWI"	175	5638	6068	5835	0	1	4	1	5	0	1	0	1	0	2	0	0	0	0	0	0	0	0	19	1	82	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	8	6	0	68	0	1	0	0	107	1	2	0	0	0	0	6	0	0	1	0	0	0	1	1	0	0	1	0
15969	24622	"La Grange"	46.08972	-0.77528	182	"AWI"	182	5679	6106	5871	1	1	1	6	4	1	1	0	1	0	3	0	0	0	0	0	0	0	0	28	1	85	1	0	2	2	1	1	0	0	0	0	1	1	4	1	0	2	0	0	0	0	0	6	4	1	73	0	1	0	1	82	2	3	1	0	3	1	10	0	0	1	2	2	0	1	1	2	0	3	1
15969	24622	"La Grange"	46.08972	-0.77528	188	"AWI"	188	5722	6153	5906	0	1	8	1	9	1	1	0	2	0	6	0	0	1	0	0	0	0	0	32	0	53	1	0	0	0	1	1	0	0	0	0	0	0	2	0	0	2	0	0	0	0	0	6	9	0	72	0	2	0	0	78	1	0	0	0	1	0	4	0	0	0	0	0	1	1	1	0	0	1	0
15969	24622	"La Grange"	46.08972	-0.77528	194	"AWI"	194	5749	6202	5939	0	0	1	5	7	0	0	0	0	0	2	0	0	0	0	0	0	0	0	8	0	57	0	0	0	0	0	2	0	0	0	0	0	0	2	2	0	0	0	0	0	0	0	5	2	0	52	0	0	0	0	41	0	1	0	0	0	0	5	0	0	1	0	0	0	2	2	0	0	0	5
15969	24622	"La Grange"	46.08972	-0.77528	197	"AWI"	197	5767	6229	5956	0	1	3	3	7	1	2	0	1	0	1	0	0	0	0	2	0	0	0	24	0	85	0	0	0	0	0	4	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	10	1	0	90	0	0	0	0	84	1	0	1	0	2	1	2	0	0	0	1	0	0	1	1	1	0	0	5
15969	24622	"La Grange"	46.08972	-0.77528	199	"AWI"	199	5782	6246	5968	0	0	3	2	10	1	1	0	1	0	3	0	0	0	0	0	0	0	0	37	0	93	0	0	0	0	0	3	0	1	0	1	0	0	2	0	0	1	0	0	1	0	0	5	1	0	83	0	0	0	0	65	2	2	0	0	1	1	4	0	0	0	3	0	0	3	4	1	0	1	5
15969	24622	"La Grange"	46.08972	-0.77528	201	"AWI"	201	5794	6258	5980	0	0	3	1	6	0	1	0	1	0	2	0	0	1	0	0	0	0	0	14	0	123	0	0	0	0	0	2	0	0	0	0	0	0	3	1	0	1	0	0	0	0	0	5	3	0	78	0	0	0	0	65	2	2	1	0	0	1	5	0	0	0	0	0	0	2	3	0	0	0	7
15969	24622	"La Grange"	46.08972	-0.77528	207	"AWI"	207	5828	6325	6016	0	1	3	1	0	1	1	0	0	0	3	0	0	0	0	0	0	0	0	21	0	69	0	0	0	0	0	3	0	0	0	0	0	0	8	0	0	1	0	0	1	0	0	7	1	0	72	0	0	0	0	97	1	0	1	0	1	1	5	0	0	0	4	0	0	1	2	0	0	1	6
15969	24622	"La Grange"	46.08972	-0.77528	213	"AWI"	213	5859	6395	6054	0	2	5	1	19	1	2	0	1	1	4	0	0	0	0	0	0	0	0	27	0	61	0	1	0	0	0	3	0	0	0	0	0	0	1	1	0	1	0	0	0	0	0	12	1	0	65	0	1	0	0	109	1	1	3	0	1	2	10	0	0	0	1	0	1	1	6	0	0	1	7
15969	24622	"La Grange"	46.08972	-0.77528	219	"AWI"	219	5903	6452	6091	0	0	1	2	15	1	2	0	1	0	3	0	1	1	0	0	0	0	0	19	1	44	0	0	2	0	0	2	0	0	0	0	0	0	3	0	0	0	0	0	1	0	0	5	3	0	63	0	1	0	0	89	1	1	0	0	1	1	16	0	0	1	3	0	0	2	1	2	1	2	9
15969	24622	"La Grange"	46.08972	-0.77528	225	"AWI"	225	5933	6527	6127	0	0	1	1	11	1	2	0	1	0	4	0	0	0	0	0	1	0	0	14	0	67	0	0	0	0	0	5	0	0	0	0	0	0	2	3	0	1	0	0	0	0	0	10	2	0	70	0	0	0	0	69	0	1	0	0	1	0	11	0	0	1	5	0	0	3	1	1	0	2	3
15969	24622	"La Grange"	46.08972	-0.77528	232	"AWI"	232	6095	6648	6283	0	1	5	4	11	1	2	0	0	0	2	0	1	1	0	0	2	0	0	15	1	36	1	0	0	0	0	2	0	0	0	0	0	0	2	1	0	1	0	0	0	0	0	8	2	0	110	0	0	0	0	86	0	1	1	0	3	0	7	0	0	0	3	0	0	1	1	1	0	0	7
15969	24622	"La Grange"	46.08972	-0.77528	238	"AWI"	238	6233	6840	6528	0	1	5	1	19	1	1	0	1	0	2	0	0	0	0	0	0	0	0	23	0	52	0	0	2	0	1	1	0	0	0	0	0	0	3	4	0	1	0	0	1	0	0	6	1	0	85	0	1	0	0	106	1	1	0	0	1	1	1	0	0	0	1	0	1	1	5	1	0	3	3
15969	24622	"La Grange"	46.08972	-0.77528	244	"AWI"	244	6320	7147	6763	0	0	2	2	15	0	6	0	0	0	8	0	0	0	0	0	0	0	0	9	0	40	0	0	0	0	0	1	0	0	0	0	0	0	1	1	0	1	0	0	0	0	0	2	2	0	98	0	0	0	0	77	0	0	1	0	4	1	11	0	0	0	1	0	1	1	1	0	0	0	6
15969	24622	"La Grange"	46.08972	-0.77528	250	"AWI"	250	6546	7343	6987	0	1	2	1	26	0	5	0	0	0	13	0	0	0	0	0	0	0	0	12	1	28	0	0	0	0	0	1	0	0	0	0	0	0	6	1	0	1	0	0	1	0	0	6	1	0	109	0	0	0	0	83	1	0	0	0	2	1	2	0	0	0	5	0	0	4	4	1	0	0	8
15969	24622	"La Grange"	46.08972	-0.77528	256	"AWI"	256	6671	7740	7177	0	1	1	2	24	1	6	19	2	0	10	1	0	0	0	0	0	0	0	9	2	45	0	0	0	0	0	0	0	0	0	0	0	0	8	1	0	1	1	0	1	0	0	7	3	0	94	0	1	0	0	60	0	0	1	0	1	0	7	0	0	1	6	0	0	1	1	1	0	0	11
15969	24622	"La Grange"	46.08972	-0.77528	260	"AWI"	260	6725	8104	7298	0	1	6	1	36	1	2	35	1	0	11	0	1	0	0	0	0	0	0	29	0	14	0	1	0	3	1	0	0	0	0	0	0	0	1	3	0	1	0	0	1	1	0	2	1	0	123	0	0	0	1	66	0	1	1	0	2	1	4	0	0	0	0	0	0	5	2	0	0	2	8
15969	24622	"La Grange"	46.08972	-0.77528	262	"AWI"	262	6750	8298	7354	0	1	5	1	23	0	4	0	1	0	1	0	1	0	0	0	0	0	0	24	0	47	0	0	0	0	0	0	0	0	0	0	0	0	1	3	0	1	0	0	0	0	0	4	4	0	122	0	0	0	0	65	1	0	0	0	2	1	1	0	0	0	1	0	0	2	1	5	0	0	6
