"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Abies"	"Acer"	"Alnus"	"Amaranthaceae"	"Apiaceae"	"Araliaceae"	"Artemisia"	"Asparagaceae"	"Asteraceae"	"Betula"	"Brassicaceae"	"Campanulaceae"	"Cannabaceae"	"Caprifoliaceae"	"Caryophyllaceae"	"Castanea"	"Corylus"	"Cyperaceae"	"Ericales"	"Fabaceae"	"Fagus"	"Frangula"	"Fraxinus"	"Geraniaceae"	"Grossulariaceae"	"Lamiaceae"	"Onagraceae"	"Ostrya.Carpinus"	"Picea"	"Pinus"	"Plantaginaceae"	"Poaceae"	"Polygonaceae"	"Populus"	"Quercus"	"Ranunculaceae"	"Rosaceae"	"Rubiaceae"	"Rumex"	"Salix"	"Sambucus"	"Santalaceae"	"Solanaceae"	"Sorbus"	"Thalictrum"	"Tilia"	"Ulmus"	"Urticaceae"	"Viburnum"	"Vitaceae"
14266	22322	"Teplické údolí"	50.585	16.13167	310	"AWI"	310	4339	4810	4601	3	1	27	0	0	0	0	0	0	26	0	0	0	0	0	0	36	1	0	0	25	0	9	0	0	0	0	15	257	38	0	0	0	0	38	0	0	1	0	4	0	0	0	0	0	8	27	0	0	0
14266	22322	"Teplické údolí"	50.585	16.13167	315	"AWI"	315	4398	4844	4643	5	8	40	0	0	0	3	0	0	22	0	0	0	0	0	0	64	6	0	0	26	0	18	0	0	0	0	18	152	77	0	0	0	0	36	0	0	0	0	3	0	0	0	0	0	6	63	0	0	0
14266	22322	"Teplické údolí"	50.585	16.13167	320	"AWI"	320	4442	4892	4684	4	5	28	0	0	0	0	0	0	25	0	0	0	0	0	0	63	1	0	0	38	0	16	0	0	0	0	11	231	43	0	0	0	0	18	0	0	0	0	6	1	0	0	0	0	6	26	0	0	0
14266	22322	"Teplické údolí"	50.585	16.13167	330	"AWI"	330	4560	4980	4771	1	6	53	0	0	0	3	0	0	30	0	0	0	0	0	0	86	5	0	0	19	0	15	0	0	0	0	10	151	58	0	0	0	0	47	0	0	0	0	5	0	0	0	0	0	12	19	1	0	0
14266	22322	"Teplické údolí"	50.585	16.13167	340	"AWI"	340	4680	5060	4858	0	1	10	0	0	0	0	0	0	17	0	0	0	0	0	0	57	8	0	0	13	0	5	0	0	0	0	5	148	61	0	0	0	0	21	0	0	0	0	3	0	0	0	0	0	9	13	0	0	0
14266	22322	"Teplické údolí"	50.585	16.13167	350	"AWI"	350	4776	5279	4978	1	7	49	0	0	0	6	0	0	34	0	0	0	0	0	0	57	4	0	0	22	0	27	0	1	0	0	4	206	52	0	0	0	0	56	0	0	0	0	2	0	0	0	0	0	23	60	1	0	0
14266	22322	"Teplické údolí"	50.585	16.13167	360	"AWI"	360	4877	5432	5118	5	4	28	0	0	0	1	0	0	21	1	0	0	0	0	0	58	4	0	0	13	0	15	0	0	0	0	5	302	61	0	0	0	0	29	0	0	0	0	0	0	0	0	0	0	14	21	0	0	0
14266	22322	"Teplické údolí"	50.585	16.13167	370	"AWI"	370	4982	5568	5260	0	7	28	0	0	0	5	0	0	20	0	0	0	0	0	0	92	8	0	0	1	0	16	0	0	0	1	2	202	40	0	0	0	0	56	0	0	1	0	3	0	0	0	0	0	13	34	0	0	1
14266	22322	"Teplické údolí"	50.585	16.13167	380	"AWI"	380	5114	5695	5404	6	2	18	0	0	0	0	0	0	17	2	0	0	0	0	0	46	4	0	0	8	0	6	0	0	0	0	1	247	25	0	0	0	0	19	0	0	0	0	1	2	0	0	0	0	11	23	0	0	0
14266	22322	"Teplické údolí"	50.585	16.13167	390	"AWI"	390	5268	5806	5550	7	5	38	1	0	0	3	0	0	148	0	0	0	0	0	0	71	8	0	0	11	2	11	0	0	0	0	4	133	38	0	0	0	1	20	0	0	1	0	1	0	0	0	0	0	19	24	1	0	0
14266	22322	"Teplické údolí"	50.585	16.13167	400	"AWI"	400	5476	5874	5682	2	3	43	0	0	0	2	0	0	107	0	0	0	0	0	0	163	1	0	0	2	5	4	1	0	0	0	0	81	32	0	0	0	0	31	0	0	0	0	15	1	0	0	5	1	23	35	0	0	0
14266	22322	"Teplické údolí"	50.585	16.13167	405	"AWI"	405	5657	6154	5867	0	8	38	0	0	0	4	0	0	17	4	0	0	0	0	0	151	0	0	0	0	0	8	0	0	0	0	0	78	20	0	0	0	0	19	0	0	0	0	2	1	0	0	0	1	17	33	0	0	0
14266	22322	"Teplické údolí"	50.585	16.13167	410	"AWI"	410	5699	6634	6006	0	7	36	0	0	0	3	0	0	41	1	0	0	0	0	0	178	1	0	0	0	1	13	0	0	0	0	0	68	21	0	0	0	0	21	0	0	1	0	5	0	0	0	0	0	20	30	0	0	0
14266	22322	"Teplické údolí"	50.585	16.13167	415	"AWI"	415	5881	6911	6309	0	6	60	0	0	0	2	0	0	31	2	0	0	0	0	0	240	0	0	0	2	0	4	0	0	0	0	0	90	19	0	0	0	0	19	0	0	0	0	0	2	0	0	1	1	42	40	0	1	0
14266	22322	"Teplické údolí"	50.585	16.13167	425	"AWI"	425	6190	7639	6881	0	4	71	0	0	0	4	0	0	40	0	0	0	0	0	0	200	4	0	0	2	0	9	0	0	0	0	0	77	43	0	0	1	0	24	0	0	0	0	0	0	0	0	0	0	51	57	0	0	0
14266	22322	"Teplické údolí"	50.585	16.13167	430	"AWI"	430	6318	7939	7169	0	7	54	0	0	0	5	0	0	52	0	0	0	0	0	0	140	6	0	0	1	0	13	0	0	0	0	0	116	31	0	0	0	0	30	0	0	0	0	6	1	0	0	0	0	18	51	1	0	0
14266	22322	"Teplické údolí"	50.585	16.13167	435	"AWI"	435	6680	8050	7472	0	3	56	0	0	0	6	0	0	34	1	0	0	0	0	0	150	3	0	1	4	0	17	0	0	0	0	0	101	44	0	0	0	0	33	0	0	0	0	2	0	0	0	0	0	36	59	0	0	0
14266	22322	"Teplické údolí"	50.585	16.13167	440	"AWI"	440	6878	8270	7807	0	4	48	0	0	2	4	0	0	24	1	1	0	0	0	0	135	4	0	0	1	0	13	0	0	0	0	0	102	40	0	0	2	0	21	0	0	1	0	1	0	0	0	2	0	49	72	0	0	0
14266	22322	"Teplické údolí"	50.585	16.13167	445	"AWI"	445	7558	8313	8028	0	0	32	0	0	0	2	0	0	16	0	0	0	0	0	0	183	7	0	0	0	0	0	0	0	0	0	0	42	25	0	0	4	0	10	0	0	0	0	1	0	2	0	2	0	44	36	0	0	0
14266	22322	"Teplické údolí"	50.585	16.13167	453	"AWI"	453	8083	8501	8317	0	1	2	0	0	0	5	0	0	11	2	1	0	0	0	0	162	3	0	0	0	0	2	1	0	0	3	0	5	62	0	0	7	0	10	0	0	0	0	0	0	1	0	0	1	2	5	0	0	0
