"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Acer"	"Alnus"	"Amaranthaceae"	"Apiaceae"	"Artemisia"	"Asteraceae"	"Betula"	"Brassicaceae"	"Campanulaceae"	"Cannabaceae"	"Caprifoliaceae"	"Caryophyllaceae"	"Convolvulaceae"	"Corylus"	"Cyperaceae"	"Ephedraceae"	"Ericales"	"Euphorbiaceae"	"Fabaceae"	"Fagus"	"Fraxinus"	"Lamiaceae"	"Onagraceae"	"Ostrya.Carpinus"	"Picea"	"Pinus"	"Plantaginaceae"	"Poaceae"	"Polemoniaceae"	"Polygonaceae"	"Quercus"	"Ranunculaceae"	"Rhamnus"	"Rosaceae"	"Rubiaceae"	"Rumex"	"Salix"	"Sorbus"	"Thalictrum"	"Tilia"	"Ulmus"	"Urticaceae"	"Viburnum"
26577	46479	"Klukva peatland"	53.83472	36.2525	60	"AWI"	60	1709	2591	2228	0	17	0	0	15	0	300	0	0	0	0	0	0	5	1	0	0	0	0	0	0	1	0	0	1	30	0	0	0	0	126	0	0	2	0	0	0	0	1	127	34	0	0
26577	46479	"Klukva peatland"	53.83472	36.2525	65	"AWI"	65	2168	2711	2453	0	33	0	2	8	0	230	0	0	0	0	0	0	22	2	0	0	0	0	1	1	0	0	0	3	26	0	0	0	0	125	0	0	3	0	1	0	0	0	77	40	0	0
26577	46479	"Klukva peatland"	53.83472	36.2525	70	"AWI"	70	2326	3206	2709	0	34	3	4	12	0	300	0	0	0	0	1	0	43	0	0	5	0	0	0	2	0	0	0	2	10	0	0	0	0	117	0	0	4	0	0	0	0	0	96	51	0	0
26577	46479	"Klukva peatland"	53.83472	36.2525	75	"AWI"	75	2402	3843	2930	0	55	2	3	7	0	130	0	0	0	0	0	0	21	2	0	1	0	0	0	0	0	0	0	1	43	0	0	0	0	170	0	0	3	0	0	0	0	2	94	60	0	0
26577	46479	"Klukva peatland"	53.83472	36.2525	80	"AWI"	80	2567	4036	3164	2	33	1	1	8	0	300	0	0	0	0	0	0	74	0	0	24	0	0	0	3	0	0	0	4	15	0	0	1	0	146	0	0	2	0	0	0	0	0	0	43	0	0
26577	46479	"Klukva peatland"	53.83472	36.2525	85	"AWI"	85	2647	4330	3394	0	41	1	0	6	0	272	0	0	0	0	0	0	63	0	0	14	1	0	0	2	0	0	3	12	18	1	3	0	0	125	0	0	2	0	0	0	0	0	41	21	0	0
26577	46479	"Klukva peatland"	53.83472	36.2525	90	"AWI"	90	2722	4761	3614	0	13	1	1	6	0	230	0	0	0	0	0	0	43	7	0	2	0	0	0	0	0	0	0	11	24	0	5	0	0	127	0	0	0	0	1	0	0	1	36	46	0	0
26577	46479	"Klukva peatland"	53.83472	36.2525	95	"AWI"	95	2942	4875	3845	0	23	1	3	8	0	300	0	0	0	0	0	0	38	9	0	5	0	0	0	0	0	0	0	4	20	0	0	0	0	112	0	0	3	0	0	0	0	0	89	46	0	0
26577	46479	"Klukva peatland"	53.83472	36.2525	100	"AWI"	100	3086	5032	4097	1	18	1	1	15	0	170	0	0	0	0	0	1	25	2	0	2	0	0	0	0	1	0	1	17	48	0	23	0	0	86	0	2	4	0	3	0	0	1	58	35	0	0
26577	46479	"Klukva peatland"	53.83472	36.2525	105	"AWI"	105	3192	5287	4328	0	12	5	0	18	0	200	0	0	1	0	0	0	61	1	0	5	0	0	0	1	0	0	0	30	83	0	30	0	0	70	0	0	6	0	4	0	0	0	0	20	0	0
26577	46479	"Klukva peatland"	53.83472	36.2525	110	"AWI"	110	3505	5366	4548	1	21	4	0	18	0	262	0	0	0	0	2	0	40	5	0	6	0	0	0	0	0	0	0	29	67	1	35	0	0	58	0	1	3	0	6	1	0	0	34	19	1	0
26577	46479	"Klukva peatland"	53.83472	36.2525	115	"AWI"	115	3687	5457	4792	0	22	4	1	13	0	300	0	0	0	0	0	0	53	2	0	8	0	0	1	0	0	0	0	13	41	1	34	0	0	74	0	1	7	0	4	2	0	0	36	17	0	0
26577	46479	"Klukva peatland"	53.83472	36.2525	120	"AWI"	120	3803	5643	5025	0	24	2	1	10	0	263	0	0	0	0	1	0	35	0	0	8	0	0	0	0	0	0	1	12	41	0	33	0	0	91	1	0	2	0	8	0	0	1	0	26	1	0
26577	46479	"Klukva peatland"	53.83472	36.2525	125	"AWI"	125	4411	5692	5224	2	22	1	1	6	0	200	0	0	0	1	0	0	60	2	0	0	0	0	0	1	0	0	0	4	29	0	8	0	0	139	0	0	6	0	0	1	0	1	0	55	0	0
26577	46479	"Klukva peatland"	53.83472	36.2525	130	"AWI"	130	4980	5766	5421	0	16	2	1	10	0	200	0	0	0	0	1	0	25	1	0	1	0	0	0	1	0	0	0	10	44	0	0	0	0	132	0	0	3	0	0	0	0	1	0	28	0	0
26577	46479	"Klukva peatland"	53.83472	36.2525	135	"AWI"	135	5353	5893	5630	1	19	1	1	7	0	205	0	0	0	0	0	0	34	0	0	2	0	0	0	0	1	0	0	6	46	0	3	0	0	140	0	0	1	0	0	1	0	2	62	62	0	0
26577	46479	"Klukva peatland"	53.83472	36.2525	140	"AWI"	140	5546	6253	5912	1	15	3	0	8	0	170	0	0	0	0	0	0	45	0	0	2	0	0	0	3	0	0	1	2	14	1	4	0	0	158	0	0	5	0	0	0	0	1	59	64	0	0
26577	46479	"Klukva peatland"	53.83472	36.2525	145	"AWI"	145	5646	6754	6181	1	20	0	1	8	0	200	0	0	0	0	0	0	51	4	0	0	0	0	1	3	0	0	1	4	22	1	0	0	0	148	0	0	1	0	0	0	0	1	0	66	0	0
26577	46479	"Klukva peatland"	53.83472	36.2525	150	"AWI"	150	5700	7293	6453	1	31	2	1	11	0	220	0	0	0	0	0	0	39	5	0	1	0	0	0	0	0	0	2	2	17	0	0	0	0	122	0	0	0	0	0	1	0	0	57	49	0	1
26577	46479	"Klukva peatland"	53.83472	36.2525	155	"AWI"	155	6194	7356	6748	0	14	2	3	12	0	220	0	0	0	0	0	0	14	1	0	0	0	0	0	0	0	0	0	5	27	0	0	0	0	126	0	0	1	0	0	0	0	1	71	49	0	0
26577	46479	"Klukva peatland"	53.83472	36.2525	160	"AWI"	160	6527	7426	7061	0	16	0	3	17	0	230	0	0	0	0	0	0	14	3	0	0	0	0	0	0	1	0	0	0	44	0	5	0	0	77	0	0	7	0	0	0	0	5	0	35	1	0
26577	46479	"Klukva peatland"	53.83472	36.2525	165	"AWI"	165	6761	7572	7385	0	9	3	1	18	0	300	0	0	0	0	0	1	8	8	0	0	0	0	0	0	0	0	0	1	74	0	5	0	0	44	0	0	1	0	0	0	0	2	60	36	1	0
26577	46479	"Klukva peatland"	53.83472	36.2525	170	"AWI"	170	6871	7630	7439	2	10	3	1	13	0	300	0	0	0	0	0	0	6	3	0	0	0	0	0	2	0	0	0	3	78	0	0	0	0	47	0	0	3	0	0	0	0	4	62	26	0	0
26577	46479	"Klukva peatland"	53.83472	36.2525	175	"AWI"	175	6940	7720	7481	0	7	2	1	14	0	230	0	0	0	0	0	0	4	14	0	0	0	0	0	0	2	0	0	0	143	0	5	0	1	50	0	0	3	0	0	0	0	1	0	38	0	4
26577	46479	"Klukva peatland"	53.83472	36.2525	180	"AWI"	180	6994	7823	7520	0	8	1	2	21	0	300	0	0	0	0	0	0	6	3	0	0	0	0	0	1	0	0	0	3	71	0	0	0	0	35	0	0	2	0	0	0	0	2	96	38	0	2
26577	46479	"Klukva peatland"	53.83472	36.2525	185	"AWI"	185	7088	7860	7563	0	2	2	0	12	0	440	0	0	0	0	0	0	3	3	0	0	0	0	0	0	0	0	0	1	90	0	0	0	0	11	0	0	1	0	0	1	0	1	0	8	0	1
26577	46479	"Klukva peatland"	53.83472	36.2525	190	"AWI"	190	7163	7918	7608	0	2	3	0	10	0	370	1	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	125	0	0	0	0	7	0	0	1	0	0	0	0	0	0	16	0	0
26577	46479	"Klukva peatland"	53.83472	36.2525	195	"AWI"	195	7229	8001	7652	0	2	1	0	9	0	100	0	0	0	0	0	0	2	2	0	0	0	0	0	0	0	0	0	1	38	0	0	0	0	16	0	0	3	0	0	0	0	0	0	13	0	0
26577	46479	"Klukva peatland"	53.83472	36.2525	200	"AWI"	200	7329	8045	7694	1	15	0	1	9	0	300	0	0	0	0	0	0	34	1	0	5	1	0	0	0	0	0	0	4	64	0	0	0	0	74	0	1	7	0	0	0	0	2	65	45	0	0
26577	46479	"Klukva peatland"	53.83472	36.2525	205	"AWI"	205	7405	8094	7739	0	15	1	0	5	0	400	0	0	0	0	0	0	20	2	0	1	0	0	0	0	0	0	0	2	47	0	0	0	0	66	0	0	2	0	0	0	0	0	27	17	0	1
26577	46479	"Klukva peatland"	53.83472	36.2525	210	"AWI"	210	7468	8175	7782	0	6	2	0	12	0	330	0	0	0	0	1	0	12	2	0	1	0	0	0	1	0	0	0	1	75	0	0	0	0	69	0	0	0	0	0	0	0	1	0	32	0	3
26577	46479	"Klukva peatland"	53.83472	36.2525	215	"AWI"	215	7577	8227	7823	0	15	2	3	13	0	270	0	0	0	0	0	0	26	3	0	6	0	0	0	0	0	0	0	35	56	0	4	0	0	96	0	0	2	0	0	0	0	2	57	42	0	1
26577	46479	"Klukva peatland"	53.83472	36.2525	220	"AWI"	220	7660	8276	7868	0	20	4	0	9	0	320	0	0	2	0	1	0	32	1	0	2	0	0	0	1	1	0	0	3	49	0	0	0	0	90	0	0	2	0	0	2	1	1	0	30	0	1
26577	46479	"Klukva peatland"	53.83472	36.2525	225	"AWI"	225	7713	8333	7913	0	3	1	1	6	0	440	0	0	0	0	0	0	13	1	0	1	0	0	0	0	1	0	0	2	75	0	0	0	0	46	0	0	0	0	0	3	0	2	0	27	0	0
26577	46479	"Klukva peatland"	53.83472	36.2525	230	"AWI"	230	7990	8513	8203	0	3	2	0	4	0	500	0	0	0	0	0	0	8	0	0	1	0	0	0	0	0	0	0	1	51	0	3	0	0	20	0	0	1	0	0	1	2	0	0	5	0	0
26577	46479	"Klukva peatland"	53.83472	36.2525	235	"AWI"	235	8180	8791	8496	0	0	0	0	0	0	300	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	172	0	0	0	0	42	0	0	0	0	0	0	0	0	0	19	0	0
26577	46479	"Klukva peatland"	53.83472	36.2525	240	"AWI"	240	8327	9170	8771	1	5	0	1	20	0	200	0	0	0	0	1	0	8	6	0	0	0	0	0	4	3	0	0	2	396	0	4	0	0	32	0	0	3	0	2	1	1	8	0	22	0	0
26577	46479	"Klukva peatland"	53.83472	36.2525	245	"AWI"	245	8552	9223	8884	1	9	1	1	6	0	400	0	0	0	0	0	0	10	0	1	0	0	0	0	0	0	0	1	2	147	0	0	0	0	20	0	0	2	0	0	1	2	1	0	3	0	0
26577	46479	"Klukva peatland"	53.83472	36.2525	250	"AWI"	250	8678	9301	9017	1	5	6	2	29	0	330	0	0	0	0	0	0	3	0	0	0	0	0	0	3	0	0	0	2	160	0	0	0	0	8	0	1	8	0	0	1	1	6	0	12	1	1
26577	46479	"Klukva peatland"	53.83472	36.2525	255	"AWI"	255	8758	9449	9140	0	3	0	1	10	0	300	0	0	0	0	1	0	3	7	0	0	0	0	0	1	1	0	0	1	200	0	10	0	0	8	0	0	2	1	0	4	2	4	0	9	0	2
26577	46479	"Klukva peatland"	53.83472	36.2525	260	"AWI"	260	8927	9500	9227	0	7	1	2	12	0	400	0	0	0	0	0	0	4	2	0	1	0	0	0	1	0	0	0	1	152	0	8	0	0	23	1	0	0	0	0	2	2	0	0	12	0	2
26577	46479	"Klukva peatland"	53.83472	36.2525	265	"AWI"	265	9035	9588	9324	0	15	1	3	14	0	282	0	0	1	0	0	0	23	6	0	3	0	0	0	2	2	0	0	5	110	0	8	0	0	61	0	0	9	0	0	1	4	1	0	33	0	2
26577	46479	"Klukva peatland"	53.83472	36.2525	270	"AWI"	270	9108	9696	9419	3	14	2	0	16	0	400	0	1	0	0	0	0	7	4	0	0	0	0	0	2	1	0	0	0	89	0	0	0	0	32	0	2	12	0	0	3	3	8	0	8	0	2
26577	46479	"Klukva peatland"	53.83472	36.2525	275	"AWI"	275	9214	10071	9574	2	5	2	3	22	0	300	0	1	0	0	0	0	11	13	0	0	0	0	0	0	1	0	0	2	96	0	0	0	0	32	0	0	17	0	2	2	0	7	0	12	0	0
26577	46479	"Klukva peatland"	53.83472	36.2525	280	"AWI"	280	9271	10551	9708	0	3	4	0	7	0	220	0	0	0	0	1	0	3	87	1	1	0	0	0	0	2	0	0	2	195	0	0	0	0	10	0	0	2	0	0	4	1	2	0	8	0	0
