"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Acer"	"Alnus"	"Amaranthaceae"	"Araliaceae"	"Artemisia"	"Asteraceae"	"Betula"	"Brassicaceae"	"Campanulaceae"	"Caprifoliaceae"	"Corylus"	"Cyperaceae"	"Ericales"	"Fagus"	"Fraxinus"	"Hypericaceae"	"Ilex"	"Indeterminable"	"Juglans"	"Lamiaceae"	"Larix"	"Orobanchaceae"	"Ostrya.Carpinus"	"Pinus"	"Plantaginaceae"	"Poaceae"	"Polygalaceae"	"Quercus"	"Ranunculaceae"	"Rosaceae"	"Rubiaceae"	"Rumex"	"Salix"	"Sambucus"	"Saxifragaceae"	"Scrophulariaceae"	"Tilia"	"Ulmus"	"Urticaceae"
23848	41337	"Hangingstone Hill"	50.65472	-3.95694	156.5	"AWI"	156.5	2954.5	3328	3101.5	0	31	1	0	0	0	2	0	0	0	66	25	0	0	1	0	0	0	0	0	0	0	0	0	10	0	0	32	0	0	0	1	0	0	0	0	0	0	0
23848	41337	"Hangingstone Hill"	50.65472	-3.95694	160.5	"AWI"	160.5	3006	3496	3205.5	0	26	0	0	0	0	6	0	0	0	43	30	0	0	3	0	0	14	0	0	0	0	0	1	5	0	0	17	3	0	0	0	0	0	0	0	0	1	0
23848	41337	"Hangingstone Hill"	50.65472	-3.95694	164.5	"AWI"	164.5	3064	3611.5	3302	0	24	1	1	0	0	4	0	0	0	76	25	0	1	2	0	0	0	0	0	0	0	0	1	10	0	0	36	0	0	0	0	0	0	0	0	1	0	0
23848	41337	"Hangingstone Hill"	50.65472	-3.95694	168.5	"AWI"	168.5	3142.5	3708.5	3406.5	0	36	0	0	0	0	2	0	0	0	153	34	0	1	3	0	0	9	0	0	0	0	0	1	1	0	0	37	0	0	0	2	0	0	0	0	3	1	0
23848	41337	"Hangingstone Hill"	50.65472	-3.95694	172.5	"AWI"	172.5	3236.5	3820.5	3509	0	40	0	1	0	0	3	0	0	0	119	21	0	1	1	0	0	0	0	0	0	0	0	0	3	0	0	58	0	0	0	0	0	0	0	0	0	0	0
23848	41337	"Hangingstone Hill"	50.65472	-3.95694	176.5	"AWI"	176.5	3316.5	3917.5	3609.5	0	46	1	0	0	0	3	0	0	0	143	12	0	0	2	0	0	12	0	0	0	0	0	3	0	0	0	33	1	0	0	0	0	0	0	0	1	4	0
23848	41337	"Hangingstone Hill"	50.65472	-3.95694	180.5	"AWI"	180.5	3402	4011.5	3708	0	35	0	0	0	0	13	0	0	0	106	60	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	62	0	0	0	0	0	0	0	0	0	1	0
23848	41337	"Hangingstone Hill"	50.65472	-3.95694	184.5	"AWI"	184.5	3492	4095.5	3820	0	40	0	2	0	0	1	0	0	0	136	62	0	0	0	0	0	15	0	0	0	0	0	2	0	0	0	30	0	0	0	2	0	0	0	0	0	1	0
23848	41337	"Hangingstone Hill"	50.65472	-3.95694	188.5	"AWI"	188.5	3622.5	4173.5	3928.5	0	28	0	0	0	0	7	0	0	0	149	56	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	47	0	0	0	0	0	0	0	0	1	3	0
23848	41337	"Hangingstone Hill"	50.65472	-3.95694	192.5	"AWI"	192.5	3760	4246	4033	0	28	0	0	0	0	7	0	0	0	128	65	0	0	1	0	0	8	0	0	0	0	0	1	2	0	0	34	2	0	0	0	0	0	0	0	2	3	0
23848	41337	"Hangingstone Hill"	50.65472	-3.95694	196.5	"AWI"	196.5	3912	4319.5	4133	0	23	0	1	0	0	3	0	0	0	148	29	47	0	2	0	0	0	0	0	0	0	0	1	0	0	0	41	0	0	0	0	0	0	0	0	1	2	0
23848	41337	"Hangingstone Hill"	50.65472	-3.95694	200.5	"AWI"	200.5	4038	4381	4227.5	0	14	0	0	0	0	5	0	0	0	152	41	0	0	3	0	0	0	0	0	0	0	0	1	0	0	0	52	0	0	0	0	0	0	0	0	2	1	0
23848	41337	"Hangingstone Hill"	50.65472	-3.95694	204.5	"AWI"	204.5	4112.5	4462.5	4284	0	36	0	0	0	0	5	0	0	0	142	46	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	57	0	0	0	0	0	0	0	0	2	4	0
