"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Acer"	"Alnus"	"Amaranthaceae"	"Apiaceae"	"Araliaceae"	"Artemisia"	"Asphodelaceae"	"Asteraceae"	"Betula"	"Boraginaceae"	"Brassicaceae"	"Buxus"	"Campanulaceae"	"Cannabaceae"	"Caprifoliaceae"	"Caryophyllaceae"	"Castanea"	"Cistaceae"	"Convolvulaceae"	"Cornus"	"Corylus"	"Crassulaceae"	"Cyperaceae"	"Ericales"	"Euonymus"	"Euphorbiaceae"	"Fabaceae"	"Fagus"	"Fraxinus"	"Gentianaceae"	"Geraniaceae"	"Hypericaceae"	"Ilex"	"Iridaceae"	"Juglans"	"Juniperus"	"Lamiaceae"	"Ligustrum"	"Liliaceae"	"Linaceae"	"Lythraceae"	"Malvaceae"	"Myrica"	"Onagraceae"	"Ostrya.Carpinus"	"Pinus"	"Plantaginaceae"	"Poaceae"	"Polygonaceae"	"Populus"	"Primulaceae"	"Prunus"	"Quercus"	"Quercus.evg.type"	"Ranunculaceae"	"Rhamnus"	"Rosaceae"	"Rubiaceae"	"Rumex"	"Salix"	"Sambucus"	"Santalaceae"	"Saxifragaceae"	"Scrophulariaceae"	"Solanaceae"	"Thalictrum"	"Tilia"	"Ulmus"	"Urticaceae"	"Viburnum"	"Violaceae"	"Vitaceae"
16096	24852	"Marais de Méron"	47.38056	-1.12333	120	"AWI"	120	1145	1533	1317	0	3.17460317460317	3.17460317460317	4.76190476190476	0	0.529100529100529	0	0	1.58730158730159	0	2.64550264550265	0	0	0	0	0.529100529100529	0	0	0	0	10.0529100529101	0	39.1534391534392	0	0	0	0	2.11640211640212	0	0	0	0	0	0	0	0	1.58730158730159	1.58730158730159	0	0	0	0	0	0	1.05820105820106	0	0	0	0	0	0	0	11.1111111111111	0	2.64550264550265	0	0	0	10.0529100529101	0.529100529100529	0	0	0	2.11640211640212	0	0	0	0.529100529100529	0.529100529100529	0	0	0.529100529100529
16096	24852	"Marais de Méron"	47.38056	-1.12333	125	"AWI"	125	1227	1603	1387	0	1.85873605947955	0.743494423791822	3.71747211895911	0.743494423791822	1.11524163568773	0	0	0.743494423791822	0	4.46096654275093	0	0.371747211895911	1.11524163568773	0	1.11524163568773	0	0	0	0	4.46096654275093	0	48.3271375464684	2.23048327137546	0	0	0	1.85873605947955	0.743494423791822	0	0	0	0.371747211895911	0	0.743494423791822	0	2.23048327137546	1.11524163568773	0	0	0	0	0	0	0.743494423791822	0.371747211895911	0	0	0	0.371747211895911	0	0.371747211895911	9.66542750929368	0.743494423791822	3.71747211895911	0.743494423791822	0	0.743494423791822	0	0.371747211895911	0	0	0.371747211895911	0.743494423791822	0	0.371747211895911	0	0.743494423791822	0.743494423791822	0.371747211895911	0.371747211895911	0.371747211895911
16096	24852	"Marais de Méron"	47.38056	-1.12333	130	"AWI"	130	1277	1731	1457	0	2.21238938053097	2.21238938053097	4.42477876106195	0.884955752212389	0.884955752212389	0	0	2.65486725663717	0	0.884955752212389	0	0	0.442477876106195	0	0.884955752212389	0	0	0	0	5.30973451327434	0	44.2477876106195	1.76991150442478	0	0	0	2.65486725663717	0	0	0	0	0	0	1.32743362831858	0	0.884955752212389	0.884955752212389	0	0	0	0	0	0	1.32743362831858	0	0	0	0	0	0	0.442477876106195	7.9646017699115	0.442477876106195	7.07964601769912	0.442477876106195	0.884955752212389	0	4.42477876106195	0.442477876106195	0	0	0	0.884955752212389	0	0	0.442477876106195	0.884955752212389	0	0.884955752212389	0	0.884955752212389
16096	24852	"Marais de Méron"	47.38056	-1.12333	135	"AWI"	135	1345	1813	1542	0.738007380073801	7.01107011070111	1.4760147601476	18.450184501845	0.738007380073801	1.8450184501845	0	0	1.1070110701107	0	0.738007380073801	0	0	0.3690036900369	0	0.738007380073801	0	0	0	0	11.070110701107	0	10.3321033210332	2.2140221402214	0	0	0	3.690036900369	0.738007380073801	0	0	0.3690036900369	0.3690036900369	0	0.738007380073801	0	3.690036900369	0.738007380073801	0	0	1.1070110701107	0	0.738007380073801	0	1.1070110701107	0.738007380073801	0	0	5.53505535055351	0	0	0.3690036900369	8.48708487084871	0.3690036900369	4.4280442804428	0.3690036900369	1.8450184501845	0.3690036900369	1.8450184501845	0.738007380073801	0	0	0	0.3690036900369	0	0.738007380073801	0.738007380073801	1.8450184501845	0	0	0	1.1070110701107
16096	24852	"Marais de Méron"	47.38056	-1.12333	140	"AWI"	140	1381	1946	1621	0	6.92640692640693	0.865800865800866	25.974025974026	0	0.865800865800866	0	0	1.73160173160173	0	1.2987012987013	0	0	0	0	0	0	0	0	0	5.19480519480519	0	21.6450216450216	0	0	0	0	5.62770562770563	0	0	0	0	0	0	0	0	3.03030303030303	1.2987012987013	0	0	0.865800865800866	0	0	0	0.865800865800866	0.865800865800866	0	0	0	0.432900432900433	0	0.865800865800866	9.95670995670996	0.432900432900433	3.46320346320346	0	0	0.432900432900433	0	0.432900432900433	0	0	0	0.865800865800866	0	0.432900432900433	0.865800865800866	2.5974025974026	0.865800865800866	0.432900432900433	0	0.865800865800866
16096	24852	"Marais de Méron"	47.38056	-1.12333	145	"AWI"	145	1464	2000	1706	0	8.29268292682927	0.975609756097561	0	0.975609756097561	0.975609756097561	0	0	3.41463414634146	0	0	0	0	0	0	0	0.48780487804878	0	0	0	6.34146341463415	0	26.8292682926829	0	0	0	0	3.90243902439024	0	0	0	0	0.48780487804878	0	0	0	2.4390243902439	0.975609756097561	0	0	0.975609756097561	0	0.48780487804878	0	0.975609756097561	0.975609756097561	0	0	0	0	0	0.975609756097561	21.9512195121951	0.975609756097561	3.41463414634146	0.975609756097561	0	0.48780487804878	3.41463414634146	0.975609756097561	0	0	0	0.975609756097561	0	0.48780487804878	0.975609756097561	3.41463414634146	0	0.48780487804878	0	0.975609756097561
16096	24852	"Marais de Méron"	47.38056	-1.12333	150	"AWI"	150	1508	2096	1791	0	5.16605166051661	0.738007380073801	7.38007380073801	0.738007380073801	0.738007380073801	0	0	7.01107011070111	0	0.3690036900369	0	0	0.3690036900369	0	0	0.738007380073801	0	0	0	7.01107011070111	0	21.4022140221402	2.2140221402214	0	0	0	8.48708487084871	0.738007380073801	0	0	0	0.3690036900369	0	0	0	0.738007380073801	0.3690036900369	0	0	0.738007380073801	0	0	0	0	0.3690036900369	0	0	0	0	0	1.1070110701107	17.7121771217712	0.738007380073801	1.4760147601476	0.3690036900369	0	0.3690036900369	0	0	0	0	0	0.3690036900369	0	0	0.738007380073801	9.59409594095941	1.1070110701107	0	0	0.738007380073801
16096	24852	"Marais de Méron"	47.38056	-1.12333	153	"AWI"	153	1586	2121	1835	0.714285714285714	8.92857142857143	0.714285714285714	7.14285714285714	0.714285714285714	0.714285714285714	0	0	7.5	0	0.357142857142857	0	0	0.357142857142857	0	0.357142857142857	0	0	0	0	13.5714285714286	0	14.2857142857143	1.42857142857143	0	0	0	5	0.714285714285714	0	0	0	0	0	0.357142857142857	0	0.714285714285714	0.714285714285714	0	0	0	0	0	0	0.357142857142857	0	0	0	0	0	0	0	13.2142857142857	0.357142857142857	4.64285714285714	0	0	0	0	0.357142857142857	0	0	0.357142857142857	0	0	0.714285714285714	0.357142857142857	12.8571428571429	1.78571428571429	0	0	0.714285714285714
16096	24852	"Marais de Méron"	47.38056	-1.12333	156	"AWI"	156	1636	2162	1884	0.416666666666667	6.25	0.833333333333333	2.08333333333333	0	0.833333333333333	0	0	2.91666666666667	0	1.25	0	0	0	0	0.416666666666667	0	0	0	0	7.08333333333333	0	34.1666666666667	0	0	0	0	2.5	2.91666666666667	0	0	0	0	0	0.833333333333333	0	0.833333333333333	0.833333333333333	0	0	0	0	0	0.416666666666667	0.833333333333333	0	0	0	0	0	0	0.833333333333333	15.8333333333333	0	9.16666666666667	0	0	0.416666666666667	1.66666666666667	0.833333333333333	0	0	0	0.416666666666667	0	0	0.833333333333333	2.5	0.416666666666667	0.416666666666667	0.416666666666667	0.833333333333333
16096	24852	"Marais de Méron"	47.38056	-1.12333	160	"AWI"	160	1681	2240	1949	0	2.10970464135021	0.843881856540084	13.9240506329114	0	0.421940928270042	0	0	1.68776371308017	0	0	0	0	0.843881856540084	0	0	0	0	0	0	5.06329113924051	0	17.7215189873418	1.68776371308017	0	0	0	1.68776371308017	0.421940928270042	0	0	0	0	0	0	0	1.68776371308017	0.421940928270042	0	0	0	0	0	0	0	0.843881856540084	0	0	0	0	0	0.843881856540084	23.6286919831224	0	13.9240506329114	0	0	0.421940928270042	6.32911392405063	0	0	0	0	0.843881856540084	0	0	0.421940928270042	3.37552742616034	0	0	0	0.843881856540084
