"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Acer"	"Alnus"	"Amaranthaceae"	"Artemisia"	"Betula"	"Corylus"	"Cyperaceae"	"Ericales"	"Fagus"	"Fraxinus"	"Myrica"	"Ostrya.Carpinus"	"Pinus"	"Poaceae"	"Quercus"	"Rosaceae"	"Salix"	"Tilia"	"Ulmus"
3316	4308	"Nigula"	58.00009	24.68735	280	"AWI"	280	3419	3944	3692	0	84	0	0	135	37	4	38	0	0	0	0	64	9	10	0	3	10	26
3316	4308	"Nigula"	58.00009	24.68735	290	"AWI"	290	3598	4041	3828	0	145	0	4	96	36	6	37	0	0	0	0	69	1	8	0	0	9	18
3316	4308	"Nigula"	58.00009	24.68735	300	"AWI"	300	3669	4230	3961	0	102	1	2	68	64	5	41	0	0	0	0	42	8	25	0	0	8	10
3316	4308	"Nigula"	58.00009	24.68735	310	"AWI"	310	3845	4292	4077	0	166	0	0	96	80	5	0	0	0	0	0	27	15	11	0	2	26	36
3316	4308	"Nigula"	58.00009	24.68735	320	"AWI"	320	3935	4399	4200	0	94	0	0	127	30	6	0	0	0	0	0	50	0	19	0	1	16	19
3316	4308	"Nigula"	58.00009	24.68735	330	"AWI"	330	4071	4450	4274	0	114	0	0	90	78	4	0	0	0	0	0	46	0	16	0	0	19	18
3316	4308	"Nigula"	58.00009	24.68735	340	"AWI"	340	4133	4555	4350	0	112	0	0	128	27	4	0	0	0	0	0	54	6	13	0	0	16	14
3316	4308	"Nigula"	58.00009	24.68735	350	"AWI"	350	4196	4629	4418	0	86	0	0	77	22	6	0	0	0	0	0	44	4	6	0	0	13	17
3316	4308	"Nigula"	58.00009	24.68735	360	"AWI"	360	4226	4743	4481	0	117	0	0	86	66	7	46	0	0	0	0	56	6	24	0	0	7	15
3316	4308	"Nigula"	58.00009	24.68735	370	"AWI"	370	4294	4800	4546	0	87	1	0	85	38	7	20	0	0	0	0	42	3	8	0	0	23	22
3316	4308	"Nigula"	58.00009	24.68735	380	"AWI"	380	4334	4902	4610	0	104	0	0	79	76	6	0	0	0	0	0	49	2	25	0	2	19	15
3316	4308	"Nigula"	58.00009	24.68735	390	"AWI"	390	4403	4948	4677	0	177	0	0	125	44	8	42	0	0	0	0	48	1	14	0	0	14	11
3316	4308	"Nigula"	58.00009	24.68735	400	"AWI"	400	4447	5038	4750	0	119	0	0	108	31	8	0	0	0	0	0	48	1	4	0	3	5	23
3316	4308	"Nigula"	58.00009	24.68735	410	"AWI"	410	4524	5084	4817	0	102	0	7	93	88	8	27	0	0	0	0	75	1	18	0	0	16	32
3316	4308	"Nigula"	58.00009	24.68735	420	"AWI"	420	4570	5174	4884	0	142	2	0	94	85	6	0	0	0	0	0	73	6	16	0	0	17	30
3316	4308	"Nigula"	58.00009	24.68735	430	"AWI"	430	4642	5213	4954	0	135	0	2	82	57	6	26	0	0	0	0	62	8	6	0	0	9	38
3316	4308	"Nigula"	58.00009	24.68735	440	"AWI"	440	4695	5285	5021	0	74	0	3	69	72	5	0	0	0	0	0	71	4	17	0	4	18	17
3316	4308	"Nigula"	58.00009	24.68735	450	"AWI"	450	4773	5340	5082	0	106	0	0	72	77	7	0	0	0	0	0	50	8	14	0	0	16	20
3316	4308	"Nigula"	58.00009	24.68735	460	"AWI"	460	4824	5405	5145	0	152	0	3	104	56	7	0	0	0	0	0	36	6	23	0	0	24	21
3316	4308	"Nigula"	58.00009	24.68735	470	"AWI"	470	5084	5491	5319	0	150	2	0	94	68	6	0	0	0	1	0	83	7	19	0	0	18	19
3316	4308	"Nigula"	58.00009	24.68735	480	"AWI"	480	5204	5765	5490	0	149	0	0	58	68	6	0	0	0	1	0	67	18	10	0	3	17	23
3316	4308	"Nigula"	58.00009	24.68735	490	"AWI"	490	5409	6183	5742	0	173	0	2	92	118	5	0	0	0	2	0	65	15	14	0	1	32	37
3316	4308	"Nigula"	58.00009	24.68735	500	"AWI"	500	5490	6788	5958	0	136	0	0	82	120	8	0	0	0	3	0	64	38	2	0	0	45	38
3316	4308	"Nigula"	58.00009	24.68735	510	"AWI"	510	6564	7175	6799	0	183	0	2	112	104	8	0	0	0	2	0	80	13	4	0	0	41	60
3316	4308	"Nigula"	58.00009	24.68735	520	"AWI"	520	7356	7838	7632	0	139	3	0	123	98	9	0	0	0	3	0	92	13	5	0	1	8	34
3316	4308	"Nigula"	58.00009	24.68735	530	"AWI"	530	7597	8083	7855	0	150	0	4	142	84	6	0	0	0	3	0	87	17	0	0	0	7	41
3316	4308	"Nigula"	58.00009	24.68735	540	"AWI"	540	7713	8542	8064	0	164	1	0	104	94	9	0	0	0	1	0	91	13	2	0	0	1	36
3316	4308	"Nigula"	58.00009	24.68735	550	"AWI"	550	7856	8621	8204	0	152	0	0	146	111	12	0	0	0	0	0	94	14	1	0	0	3	22
3316	4308	"Nigula"	58.00009	24.68735	560	"AWI"	560	7942	8779	8350	0	140	0	1	141	78	10	0	0	0	0	0	104	12	0	0	0	3	34
3316	4308	"Nigula"	58.00009	24.68735	570	"AWI"	570	8178	8829	8468	0	148	0	3	137	81	10	0	0	0	1	0	143	10	0	0	1	0	53
3316	4308	"Nigula"	58.00009	24.68735	580	"AWI"	580	8327	8936	8594	0	23	0	0	203	104	9	0	0	0	0	0	142	17	0	0	3	0	30
3316	4308	"Nigula"	58.00009	24.68735	590	"AWI"	590	8484	9107	8751	0	12	3	0	322	0	10	0	0	0	0	0	116	39	0	0	8	0	0
3316	4308	"Nigula"	58.00009	24.68735	600	"AWI"	600	8537	9498	8899	0	0	8	75	439	0	20	0	0	0	0	0	24	45	0	0	8	0	0
