"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Acer"	"Alnus"	"Amaranthaceae"	"Apiaceae"	"Araliaceae"	"Artemisia"	"Asteraceae"	"Betula"	"Brassicaceae"	"Campanulaceae"	"Caprifoliaceae"	"Caryophyllaceae"	"Corylus"	"Crataegus"	"Cyperaceae"	"Ericales"	"Euphorbiaceae"	"Fabaceae"	"Fagus"	"Fraxinus"	"Gentianaceae"	"Geraniaceae"	"Hypericaceae"	"Ilex"	"Indeterminable"	"Lamiaceae"	"Myrica"	"Nartheciaceae"	"Orobanchaceae"	"Ostrya.Carpinus"	"Pinus"	"Plantaginaceae"	"Plumbaginaceae"	"Poaceae"	"Polygalaceae"	"Polygonaceae"	"Pterocarya"	"Quercus"	"Ranunculaceae"	"Rosaceae"	"Rubiaceae"	"Rumex"	"Salix"	"Sambucus"	"Saxifragaceae"	"Thalictrum"	"Tilia"	"Ulmus"	"Urticaceae"	"Verbenaceae"
9698	14289	"Lough Camclaun"	52.19429	-10.166208	220	"AWI"	220	1737	3614	2711	0	11	2	3	0	0	0	17	0	4	0	1	6	0	25	92	0	0	0	0	0	0	0	0	0	0	9	0	0	0	1	11	0	95	0	0	0	8	0	6	0	4	1	0	0	0	0	1	1	0
9698	14289	"Lough Camclaun"	52.19429	-10.166208	230	"AWI"	230	1864	3719	2842	0	8	0	3	1	0	0	5	1	2	0	0	1	0	24	120	0	0	0	3	0	0	0	0	2	0	8	0	0	0	3	10	0	0	0	1	0	10	1	11	0	1	3	0	0	0	0	0	0	0
9698	14289	"Lough Camclaun"	52.19429	-10.166208	240	"AWI"	240	1971	3872	2969	0	10	1	2	0	0	0	10	1	4	0	0	3	0	38	64	0	0	0	1	0	0	0	0	2	0	5	0	0	0	3	17	0	0	0	0	0	15	1	0	0	4	2	0	0	0	0	1	2	0
9698	14289	"Lough Camclaun"	52.19429	-10.166208	250	"AWI"	250	2132	3936	3096	0	9	0	1	1	0	0	8	0	2	0	0	2	1	44	70	0	0	0	0	0	0	0	0	1	0	8	0	0	0	3	12	0	0	0	0	0	13	4	7	0	10	1	0	0	0	0	3	1	0
9698	14289	"Lough Camclaun"	52.19429	-10.166208	260	"AWI"	260	2251	4031	3225	0	4	0	1	0	0	10	9	0	1	0	0	3	0	48	79	0	4	0	1	0	0	0	0	0	0	8	1	0	0	3	10	0	0	0	0	0	9	0	0	1	4	1	0	0	0	0	0	0	0
9698	14289	"Lough Camclaun"	52.19429	-10.166208	270	"AWI"	270	2386	4149	3350	0	9	0	0	1	0	0	10	1	1	0	1	5	0	41	74	0	0	0	0	0	0	0	0	0	0	9	0	0	0	4	23	0	91	0	0	0	6	4	0	0	3	0	0	0	0	0	1	3	0
9698	14289	"Lough Camclaun"	52.19429	-10.166208	280	"AWI"	280	2545	4232	3479	0	11	0	0	0	0	0	18	0	2	0	0	4	0	38	61	0	0	0	0	0	0	3	0	0	0	11	2	0	0	6	16	0	0	0	0	0	20	2	0	1	5	2	0	0	0	0	1	2	0
9698	14289	"Lough Camclaun"	52.19429	-10.166208	290	"AWI"	290	2656	4332	3603	0	3	0	0	0	0	0	9	0	5	0	0	4	0	54	66	0	0	1	1	0	0	0	0	1	0	6	0	0	0	3	17	0	0	0	0	0	9	2	6	2	11	0	0	0	0	0	1	0	1
9698	14289	"Lough Camclaun"	52.19429	-10.166208	300	"AWI"	300	2841	4415	3728	0	13	0	2	1	0	0	14	0	1	0	0	4	1	44	55	0	0	0	1	0	0	0	0	0	0	5	0	0	0	8	25	0	0	0	0	0	17	1	0	1	9	5	0	0	0	0	2	1	0
9698	14289	"Lough Camclaun"	52.19429	-10.166208	310	"AWI"	310	3001	4493	3855	0	10	0	0	3	0	0	26	0	0	0	0	2	0	50	43	0	0	0	4	0	0	0	0	1	0	7	0	0	0	13	21	0	0	0	0	0	43	1	0	0	8	0	0	0	0	0	3	1	1
9698	14289	"Lough Camclaun"	52.19429	-10.166208	320	"AWI"	320	3119	4602	3991	0	18	0	3	0	0	0	32	1	2	0	0	2	0	42	53	0	0	0	4	0	0	0	0	0	0	5	0	0	0	18	12	0	0	0	0	0	33	1	5	0	9	0	0	0	0	0	6	1	0
9698	14289	"Lough Camclaun"	52.19429	-10.166208	330	"AWI"	330	3352	4649	4104	0	5	0	1	1	0	0	42	0	1	0	1	2	1	28	47	0	0	0	1	0	0	0	1	0	0	1	0	0	0	28	18	0	0	0	0	0	54	0	0	0	2	0	0	0	0	0	2	0	0
9698	14289	"Lough Camclaun"	52.19429	-10.166208	340	"AWI"	340	3522	4720	4229	0	8	0	0	0	0	0	32	0	1	0	0	5	1	34	0	0	0	0	1	0	0	0	0	0	2	14	0	0	0	24	8	0	0	0	0	0	56	2	0	0	6	0	0	0	0	0	7	0	0
9698	14289	"Lough Camclaun"	52.19429	-10.166208	350	"AWI"	350	3720	4807	4351	0	20	0	0	2	0	0	46	0	1	0	0	5	0	26	42	0	0	0	1	0	0	0	0	0	0	13	0	0	0	31	6	0	0	0	0	0	52	0	7	0	1	1	0	0	0	0	8	1	0
9698	14289	"Lough Camclaun"	52.19429	-10.166208	360	"AWI"	360	3972	4886	4465	0	9	1	1	0	0	0	34	0	0	0	0	3	0	26	49	0	0	0	2	0	0	0	0	0	0	17	0	0	0	35	0	0	0	0	0	0	66	0	6	0	1	1	0	0	0	0	4	0	0
9698	14289	"Lough Camclaun"	52.19429	-10.166208	370	"AWI"	370	4114	5001	4592	0	8	0	1	0	0	0	34	0	0	0	0	3	0	36	44	0	0	0	4	0	0	0	2	2	0	11	0	0	0	37	0	0	0	0	1	0	52	1	0	0	2	1	0	0	0	0	3	0	0
9698	14289	"Lough Camclaun"	52.19429	-10.166208	375	"AWI"	375	4175	5082	4654	0	18	0	5	0	0	0	32	0	1	0	0	4	0	34	28	0	0	0	3	0	0	0	1	1	0	13	0	0	0	36	0	0	0	0	0	0	55	0	0	0	4	1	0	0	0	0	5	5	0
