"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Abies"	"Alnus"	"Amaranthaceae"	"Apiaceae"	"Arctostaphylos"	"Artemisia"	"Asteraceae"	"Betula"	"Boraginaceae"	"Brassicaceae"	"Campanulaceae"	"Cannabaceae"	"Caprifoliaceae"	"Caryophyllaceae"	"Corylus"	"Cyperaceae"	"Ephedraceae"	"Ericales"	"Fabaceae"	"Geraniaceae"	"Grossulariaceae"	"Juglans"	"Juniperus"	"Lamiaceae"	"Lentibulariaceae"	"Myrica"	"Onagraceae"	"Orobanchaceae"	"Ostrya.Carpinus"	"Picea"	"Pinus"	"Plantaginaceae"	"Poaceae"	"Polygonaceae"	"Primulaceae"	"Quercus"	"Ranunculaceae"	"Rhamnus"	"Rosaceae"	"Rubiaceae"	"Rumex"	"Salix"	"Scrophulariaceae"	"Sorbus"	"Thalictrum"	"Tilia"	"Ulmus"	"Urticaceae"	"Violaceae"
3105	4040	"Fjällnas"	62.615724	12.133112	3	"AWI"	3	-102	132	3	0.0960614793467819	1.72910662824208	0.576368876080692	0	0	0	0	34.9663784822286	0	0	0	0	0	0	0	1.34486071085495	0	0	0	0	0	0	4.13064361191162	0	0	0	0	0	0.0960614793467819	5.28338136407301	49.9519692603266	0	0	0	0	0.192122958693564	0	0	0	0	0.288184438040346	0.288184438040346	0.0960614793467819	0	0.96061479346782	0	0	0	0
3105	4040	"Fjällnas"	62.615724	12.133112	2	"AWI"	2	-115	78	-18	0	1.34228187919463	0	0.0958772770853308	0	0.191754554170662	0	55.6088207094918	0	0	0	0	0	0	0	1.72579098753595	0	0	0	0.0958772770853308	0	0	0.958772770853308	0	0	0	0	0	0.0958772770853308	5.36912751677852	33.2694151486098	0	0	0	0	0	0	0	0	0	1.2464046021093	0	0	0	0	0	0	0	0
3105	4040	"Fjällnas"	62.615724	12.133112	4	"AWI"	4	-92	184	23	0	2.99625468164794	0	0	0	0	0	43.8202247191011	0	0	0	0	0	0	0	6.74157303370786	0	0	0	0	0	0	0.749063670411985	0	0	0	0	0	0.749063670411985	4.49438202247191	39.3258426966292	0	0	0	0	0	0	0	0	0	0.749063670411985	0	0	0	0	0	0.374531835205993	0	0
3105	4040	"Fjällnas"	62.615724	12.133112	1	"AWI"	1	-133	39	-39	0	1.5311004784689	0	0.0956937799043062	0.191387559808612	0	0	65.5502392344498	0	0	0	0	0	0	0	1.33971291866029	0	0	0	0	0	0	0	0	0	0	0	0	0.0956937799043062	5.64593301435407	24.0191387559809	0	0	0	0	0.0956937799043062	0	0	0	0	1.43540669856459	0	0	0	0	0	0	0	0
3105	4040	"Fjällnas"	62.615724	12.133112	0	"AWI"	0	-156	12	-62	0.0955109837631328	2.57879656160458	0	0.191021967526266	0	0	0	51.3849092645654	0	0	0	0	0	0	0	2.29226361031519	0	0	0	0	0	0.0955109837631328	1.05062082139446	0	0	0	0	0	0	5.5396370582617	35.8166189111748	0	0	0	0	0.0955109837631328	0	0	0	0	0.573065902578797	0	0	0	0.191021967526266	0	0	0.0955109837631328	0
3105	4040	"Fjällnas"	62.615724	12.133112	5	"AWI"	5	-85	244	43	0	1.44927536231884	0	2.89855072463768	0	0	0	55.0724637681159	0	0	0	0	0	0	0	7.2463768115942	0	0	0	0	0	0	4.34782608695652	0	0	0	0	0	0	1.44927536231884	24.6376811594203	0	0	0	0	0	0	0	0	0	1.44927536231884	1.44927536231884	0	0	0	0	0	0	0
3105	4040	"Fjällnas"	62.615724	12.133112	6	"AWI"	6	-57	260	65	0.0896860986547085	1.97309417040359	0.269058295964126	0	0	0.179372197309417	0	57.1300448430493	0	0	0	0	0.0896860986547085	0	0.179372197309417	5.91928251121076	0	0	0	0	0	0.0896860986547085	3.40807174887892	0	0	0.0896860986547085	0	0	0	4.84304932735426	23.6771300448431	0	0	0	0	0	0	0	0	0	1.61434977578475	0.358744394618834	0.0896860986547085	0	0	0	0	0	0
3105	4040	"Fjällnas"	62.615724	12.133112	7	"AWI"	7	-33	278	89	0	2	0.5	0	0	0	0	40	0	0	0	0	0	0	0	3	0	0	0	0	0	0	3	0	0	0	0	0	0	9.5	38	0	0	0	0	0	0	0	0	0	1.5	2	0.5	0	0	0	0	0	0
3105	4040	"Fjällnas"	62.615724	12.133112	8	"AWI"	8	-18	307	112	0	1.29032258064516	0.184331797235023	0.0921658986175115	0	0	0	63.3179723502304	0	0	0	0	0	0	0	3.87096774193548	0	0	0	0	0	0	4.60829493087558	0	0	0.0921658986175115	0	0	0.0921658986175115	4.05529953917051	17.9723502304147	0	0	0	0	0	0	0	0	0	2.85714285714286	1.5668202764977	0	0	0	0	0	0	0
3105	4040	"Fjällnas"	62.615724	12.133112	9	"AWI"	9	-6	342	134	0	1.75953079178886	0.195503421309873	0	0	0.293255131964809	0	49.5601173020528	0	0	0	0	0	0	0.586510263929619	6.45161290322581	0	0	0	0	0	0.195503421309873	7.33137829912024	0	0	0	0	0	0	4.88758553274682	21.1143695014663	0	0	0	0	0.0977517106549365	0	0	0	0	5.0830889540567	2.24828934506354	0.0977517106549365	0	0.0977517106549365	0	0	0	0
