"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Abies"	"Acer"	"Alnus"	"Amaranthaceae"	"Apiaceae"	"Araliaceae"	"Artemisia"	"Asteraceae"	"Betula"	"Boraginaceae"	"Brassicaceae"	"Campanulaceae"	"Caprifoliaceae"	"Caryophyllaceae"	"Cistaceae"	"Convolvulaceae"	"Corylus"	"Cyperaceae"	"Ericales"	"Fabaceae"	"Fagus"	"Fraxinus"	"Indeterminable"	"Juglans"	"Juniperus"	"Lamiaceae"	"Onagraceae"	"Ostrya.Carpinus"	"Picea"	"Pinus"	"Plantaginaceae"	"Poaceae"	"Polygonaceae"	"Populus"	"Quercus"	"Ranunculaceae"	"Rosaceae"	"Rubiaceae"	"Rumex"	"Salix"	"Sambucus"	"Taxus"	"Thalictrum"	"Tilia"	"Ulmus"	"Viburnum"	"Vitaceae"
15813	24327	"Lailias"	41.27384	23.58353	100	"AWI"	100	415	886	644	9	0	9	6	1	0	12	0	0	0	2	1	0	27	0	1	9	47	1	17	30	0	3	1	8	0	0	0	8	179	3	390	0	0	77	11	0	8	14	5	0	0	0	9	1	3	1
15813	24327	"Lailias"	41.27384	23.58353	110	"AWI"	110	504	972	720	30	1	4	3	0	1	4	0	1	0	0	0	0	44	0	0	21	51	0	4	32	0	3	0	2	0	0	13	1	199	3	353	0	4	49	4	0	1	12	9	0	0	0	13	3	0	1
15813	24327	"Lailias"	41.27384	23.58353	120	"AWI"	120	579	1061	793	13	6	8	6	0	0	11	0	0	0	3	0	1	93	0	0	8	80	0	25	44	0	3	0	0	0	0	25	1	192	10	631	1	0	53	40	0	20	36	2	0	0	3	0	1	0	1
15813	24327	"Lailias"	41.27384	23.58353	130	"AWI"	130	725	1154	888	5	0	10	2	0	0	6	0	0	1	1	0	0	5	0	0	21	10	0	2	100	1	2	1	1	0	3	31	4	109	2	0	0	0	108	0	0	4	5	3	0	0	2	1	0	0	1
15813	24327	"Lailias"	41.27384	23.58353	140	"AWI"	140	821	1297	1014	5	0	6	1	0	0	15	0	7	0	0	0	0	13	1	1	17	80	0	24	78	2	10	2	1	2	2	18	3	179	7	290	1	0	87	2	0	2	15	14	0	0	0	0	1	1	1
15813	24327	"Lailias"	41.27384	23.58353	150	"AWI"	150	883	1577	1163	37	1	14	7	1	0	2	385	2	0	5	1	0	187	0	12	18	416	1	10	61	3	9	3	0	0	1	26	4	88	32	1442	0	0	109	2	0	19	27	18	0	0	1	9	1	0	0
15813	24327	"Lailias"	41.27384	23.58353	160	"AWI"	160	1020	1706	1332	100	0	2	2	0	0	0	0	3	0	1	1	0	12	0	12	12	13	0	1	46	0	6	1	0	0	1	13	2	132	4	142	0	0	37	0	0	0	3	5	0	0	0	25	1	0	0
15813	24327	"Lailias"	41.27384	23.58353	170	"AWI"	170	1171	1860	1490	112	2	10	1	0	0	3	0	1	0	2	0	0	15	0	8	44	21	0	0	22	1	5	4	1	0	1	10	2	101	7	299	0	2	63	0	0	3	3	9	0	0	18	22	1	0	0
15813	24327	"Lailias"	41.27384	23.58353	180	"AWI"	180	1298	2021	1651	116	0	6	1	0	0	0	0	0	0	0	0	0	1	0	0	10	10	1	0	58	0	4	0	0	0	0	10	0	101	0	175	0	0	41	0	0	0	1	1	0	0	1	4	1	0	0
15813	24327	"Lailias"	41.27384	23.58353	190	"AWI"	190	1496	2144	1814	49	4	12	9	1	0	13	0	0	0	1	0	0	113	0	15	37	111	3	6	41	4	6	2	0	13	1	21	2	96	24	537	1	0	94	6	0	11	17	22	2	1	9	9	11	0	0
15813	24327	"Lailias"	41.27384	23.58353	200	"AWI"	200	1626	2332	1968	229	0	2	1	0	0	1	0	0	0	0	0	0	2	0	0	26	2	1	1	2	0	0	0	0	0	0	10	0	81	1	22	0	0	19	0	0	0	0	1	0	0	2	17	1	0	0
15813	24327	"Lailias"	41.27384	23.58353	210	"AWI"	210	1716	2539	2117	189	0	11	1	0	0	1	0	0	0	0	0	0	2	0	0	45	5	1	0	6	0	2	0	0	0	0	12	0	91	0	0	0	0	18	0	0	1	0	1	0	0	0	30	3	0	0
15813	24327	"Lailias"	41.27384	23.58353	220	"AWI"	220	1867	2646	2273	23	1	12	1	2	0	1	0	9	0	0	0	0	5	0	0	174	12	0	1	8	0	10	0	0	0	0	27	0	58	0	0	0	4	28	1	0	0	0	4	0	0	0	189	4	0	0
15813	24327	"Lailias"	41.27384	23.58353	230	"AWI"	230	2038	2779	2426	48	1	13	0	0	0	2	0	1	0	0	0	0	4	0	1	186	7	0	0	12	2	7	0	0	0	0	28	0	45	1	46	0	6	34	0	0	0	0	6	0	0	0	150	10	0	0
15813	24327	"Lailias"	41.27384	23.58353	240	"AWI"	240	2165	2916	2583	12	0	2	0	0	0	1	0	0	0	0	0	0	2	0	0	213	2	0	0	2	0	2	0	0	0	0	6	0	17	0	0	1	3	16	0	0	1	0	5	0	0	0	253	6	0	0
15813	24327	"Lailias"	41.27384	23.58353	250	"AWI"	250	2430	2995	2728	12	0	7	4	2	0	1	0	0	0	0	0	0	11	0	0	174	7	0	0	1	0	8	0	0	0	1	0	1	25	1	100	0	0	39	0	0	1	1	18	0	0	1	231	20	0	0
15813	24327	"Lailias"	41.27384	23.58353	260	"AWI"	260	2593	3124	2872	75	6	9	2	0	0	2	0	5	0	0	1	0	39	0	1	84	1	1	0	18	1	14	0	0	0	1	21	0	35	4	260	0	0	34	1	0	0	2	13	0	0	3	131	3	0	0
