"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Acer"	"Amaranthaceae"	"Apiaceae"	"Araliaceae"	"Artemisia"	"Asteraceae"	"Betula"	"Brassicaceae"	"Campanulaceae"	"Cannabaceae"	"Caprifoliaceae"	"Caryophyllaceae"	"Cistaceae"	"Convolvulaceae"	"Corylus"	"Cyperaceae"	"Elaeagnaceae"	"Ericales"	"Euphorbiaceae"	"Fabaceae"	"Fagus"	"Frangula"	"Fraxinus"	"Juniperus"	"Lamiaceae"	"Lythraceae"	"Myrica"	"Onagraceae"	"Orobanchaceae"	"Ostrya.Carpinus"	"Picea"	"Pinus"	"Plantaginaceae"	"Poaceae"	"Polygonaceae"	"Populus"	"Quercus"	"Ranunculaceae"	"Rosaceae"	"Rubiaceae"	"Rumex"	"Salix"	"Santalaceae"	"Sorbus"	"Thalictrum"	"Tilia"	"Ulmus"	"Urticaceae"	"Viburnum"	"Zygophyllaceae"
3077	4011	"Dags Mosse"	58.32288	14.70652	375	"AWI"	375	5798	6092	5947	0	0	0	0	0.126422250316056	0	15.0442477876106	0	0	0	0	0	0	0	9.35524652338812	10.5562579013906	0	0	0	0	0	0	0.0632111251580278	0	0	0	0	0	0	0	0.0632111251580278	31.5423514538559	0	0	0	0	7.71175726927939	0	0	0.0632111251580278	0	0	0	0	0	9.60809102402023	5.05689001264223	0	0	10.8091024020228
3077	4011	"Dags Mosse"	58.32288	14.70652	380	"AWI"	380	5882	6157	6008	0	0.11037527593819	0	0	0.165562913907285	0	19.1501103752759	0	0	0	0	0	0	0	9.7682119205298	15.7836644591611	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0551876379690949	28.8631346578366	0	0	0	0	5.07726269315673	0	0	0.0551876379690949	0	0.0551876379690949	0	0	0	6.95364238410596	4.63576158940397	0	0	9.32671081677704
3077	4011	"Dags Mosse"	58.32288	14.70652	385	"AWI"	385	5956	6193	6053	0	0	0	0.0619962802231866	0	0	11.4073155610663	0	0	0	0	0	0	0	8.36949783013019	6.9435833849969	0	0	0	0	0	0	0.0619962802231866	0	0	0	0	0	0	0	0.0619962802231866	46.1252324860508	0	0	0	0	6.13763174209547	0	0	0	0	0.0619962802231866	0.0619962802231866	0	0	11.5933044017359	2.91382517048977	0	0	6.19962802231866
3077	4011	"Dags Mosse"	58.32288	14.70652	390	"AWI"	390	5996	6243	6103	0	0	0.0526315789473684	0	0.0526315789473684	0	19.9473684210526	0	0	0	0	0	0	0	11.4736842105263	17.4736842105263	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0526315789473684	27.5263157894737	0	0	0	0	3	0	0	0.105263157894737	0	0.0526315789473684	0	0	0	6.94736842105263	4.05263157894737	0	0	9.26315789473684
3077	4011	"Dags Mosse"	58.32288	14.70652	395	"AWI"	395	6037	6276	6145	0	0	0	0	0	0	9.43521594684385	0.0664451827242525	0	0	0	0	0	0	4.71760797342193	5.18272425249169	0	0	0	0	0	0	0.26578073089701	0	0	0	0	0	0	0	0.199335548172757	59.8671096345515	0	0	0	0	5.38205980066445	0	0	0.132890365448505	0	0	0	0.0664451827242525	0	5.58139534883721	3.9202657807309	0	0	5.18272425249169
3077	4011	"Dags Mosse"	58.32288	14.70652	400	"AWI"	400	6058	6326	6186	0	0	0	0	0.315706393054459	0	11.2865035516969	0.15785319652723	0	0	0	0	0	0	8.12943962115233	6.55090765588003	0	0	0	0	0	0	0.0789265982636148	0	0	0	0	0	0	0	0.0789265982636148	51.6969218626677	0	0	0	0	6.07734806629834	0	0	0.0789265982636148	0	0.0789265982636148	0	0	0	5.76164167324388	3.55169692186267	0	0	6.15627466456196
3077	4011	"Dags Mosse"	58.32288	14.70652	405	"AWI"	405	6129	6384	6259	0.0677966101694915	0	0	0	0.0677966101694915	0	10.3050847457627	0	0	0	0	0	0	0	8.06779661016949	5.22033898305085	0	0	0	0.0677966101694915	0	0	0.135593220338983	0	0	0	0	0.0677966101694915	0	0	0.203389830508475	57.4915254237288	0	0	0	0	6.10169491525424	0	0	0	0	0.0677966101694915	0	0	0	6.44067796610169	2.64406779661017	0	0	3.05084745762712
3077	4011	"Dags Mosse"	58.32288	14.70652	410	"AWI"	410	6160	6509	6318	0	0	0.155642023346304	0	0	0	15.9533073929961	0	0	0	0	0	0	0	11.8287937743191	0.0778210116731518	0	0	0	0	0	0	0.0778210116731518	0	0	0	0	0.0778210116731518	0	0	0	44.8249027237354	0	0	0	0	6.14785992217899	0	0	0.0778210116731518	0	0	0	0	0	8.8715953307393	5.21400778210117	0.0778210116731518	0	6.6147859922179
3077	4011	"Dags Mosse"	58.32288	14.70652	415	"AWI"	415	6267	6554	6402	0	0	0	0	0	0	9.29292929292929	0	0	0	0	0	0	0	10.9090909090909	2.02020202020202	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	48.2828282828283	0	0	0	0	4.24242424242424	0	0	0.202020202020202	0	0	0	0	0	12.7272727272727	4.24242424242424	0	0	8.08080808080808
3077	4011	"Dags Mosse"	58.32288	14.70652	420	"AWI"	420	6318	6648	6486	0	0	0.18034265103697	0	0.18034265103697	0	10.9107303877367	0	0	0	0	0	0	0	11.9927862939585	5.41027953110911	0	0	0	0	0	0	0.0901713255184851	0	0	0	0	0	0	0	0	39.4950405770965	0	0	0	0	7.21370604147881	0	0	0	0	0	0	0	0	10.6402164111812	5.77096483318305	0	0	8.11541929666366
3077	4011	"Dags Mosse"	58.32288	14.70652	425	"AWI"	425	6407	6698	6558	0	0.0933706816059757	0.186741363211951	0	0.280112044817927	0	10.6442577030812	0	0	0.0933706816059757	0	0	0	0	14.0056022408964	1.30718954248366	0	0	0	0	0	0	0.0933706816059757	0	0	0	0	0	0	0	0	36.1344537815126	0	0	0	0	6.34920634920635	0	0	0.186741363211951	0	0.0933706816059757	0	0	0	13.4453781512605	6.72268907563025	0	0	10.3641456582633
3077	4011	"Dags Mosse"	58.32288	14.70652	430	"AWI"	430	6452	6804	6627	0	0	0	0	0.123685837971552	0	8.10142238713667	0	0	0	0	0	0	0	17.8726035868893	6.30797773654917	0	0	0	0	0	0	0.0618429189857761	0	0	0	0	0	0	0	0	44.0940012368584	0	0	0	0	4.76190476190476	0	0	0.0618429189857761	0	0.0618429189857761	0	0	0	5.99876314162028	5.25664811379097	0	0	7.29746444032158
