"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Abies"	"Acer"	"Alnus"	"Amaranthaceae"	"Apiaceae"	"Artemisia"	"Asteraceae"	"Balsaminaceae"	"Betula"	"Boraginaceae"	"Brassicaceae"	"Campanulaceae"	"Caprifoliaceae"	"Caryophyllaceae"	"Cornaceae"	"Corylus"	"Crassulaceae"	"Cyperaceae"	"Ephedraceae"	"Ericales"	"Euonymus"	"Fabaceae"	"Fagus"	"Fraxinus"	"Juniperus"	"Lamiaceae"	"Ostrya.Carpinus"	"Oxalidaceae"	"Picea"	"Pinus"	"Plantaginaceae"	"Poaceae"	"Polygalaceae"	"Polygonaceae"	"Primulaceae"	"Quercus"	"Ranunculaceae"	"Rhamnus"	"Rosaceae"	"Rubiaceae"	"Rumex"	"Salix"	"Saxifragaceae"	"Tilia"	"Ulmus"	"Urticaceae"	"Violaceae"
517	531	"Starniki"	50.26667	26.01667	137.5	"AWI"	137.5	3195	3884.5	3536	0	1	16	2	0	1	0	0	27	0	1	0	1	1	0	6	0	31	0	0	0	1	0	1	0	0	2	0	3	185	0	0	0	0	1	9	0	1	0	0	0	2	0	0	1	0	0
517	531	"Starniki"	50.26667	26.01667	150	"AWI"	150	3566	4161	3841	0	1	14	1	0	3	0	0	27	0	1	0	0	0	0	7	0	19	0	0	0	1	0	0	0	1	2	0	5	179	0	0	0	0	0	14	0	0	1	2	1	3	0	0	6	0	0
517	531	"Starniki"	50.26667	26.01667	162.5	"AWI"	162.5	3843.5	4550	4172.5	0	0	8	1	0	3	0	0	17	0	3	0	0	0	0	6	0	17	0	0	0	0	0	0	0	0	0	0	7	200	2	0	0	0	0	13	0	0	2	0	0	2	0	0	4	0	0
517	531	"Starniki"	50.26667	26.01667	175	"AWI"	175	4116	4913	4511	0	2	6	2	0	4	0	0	27	0	3	0	0	0	0	10	0	21	0	0	0	0	1	2	1	0	0	0	8	194	0	0	0	0	0	9	0	0	1	1	0	1	0	0	0	0	0
517	531	"Starniki"	50.26667	26.01667	187.5	"AWI"	187.5	4486	5191.5	4851	1	0	6	0	0	2	0	0	20	0	2	0	0	0	0	11	0	17	1	0	0	2	0	1	0	1	1	0	6	203	0	0	0	0	0	8	2	0	0	1	0	1	0	0	1	0	0
517	531	"Starniki"	50.26667	26.01667	200	"AWI"	200	4894	5486	5193	0	1	14	2	0	1	0	0	16	0	2	0	0	0	0	6	0	11	0	0	0	0	0	0	1	0	0	0	6	203	0	0	0	0	0	7	3	0	1	0	0	2	0	0	1	0	0
517	531	"Starniki"	50.26667	26.01667	212.5	"AWI"	212.5	5256	6106	5643	0	0	17	3	0	3	0	0	27	0	2	0	0	0	0	17	0	28	0	0	0	1	0	0	0	0	2	0	10	176	0	0	0	0	0	10	2	0	0	1	0	2	0	0	5	2	0
517	531	"Starniki"	50.26667	26.01667	225	"AWI"	225	5633	6678	6141	0	1	16	0	0	0	0	0	24	0	4	0	1	0	0	9	0	18	0	0	1	1	0	0	1	2	0	0	5	176	0	6	0	0	1	17	3	0	0	1	2	8	0	0	7	1	0
517	531	"Starniki"	50.26667	26.01667	237.5	"AWI"	237.5	6134	7089	6662	0	0	17	4	0	5	0	0	24	0	2	0	0	0	0	2	0	13	1	0	0	1	0	0	0	2	1	0	4	177	0	4	0	0	0	18	0	0	0	3	0	3	0	0	8	1	0
517	531	"Starniki"	50.26667	26.01667	250	"AWI"	250	6785	7432	7163	0	1	11	1	0	2	0	0	24	0	5	0	0	0	0	6	0	11	0	1	1	1	0	2	0	0	2	1	11	171	0	0	0	0	0	18	3	0	1	1	1	2	0	6	5	1	0
517	531	"Starniki"	50.26667	26.01667	262.5	"AWI"	262.5	7136	7900	7516.5	0	0	0	3	0	2	0	0	21	0	4	0	0	0	0	8	1	10	0	0	0	0	0	0	0	0	0	0	9	195	0	0	0	0	0	12	3	0	0	0	0	1	0	0	2	0	0
517	531	"Starniki"	50.26667	26.01667	275	"AWI"	275	7457	8304	7874	0	1	16	2	0	3	0	0	23	0	2	0	1	0	0	12	0	40	0	0	1	1	0	0	0	3	4	0	3	180	0	0	0	0	0	10	0	0	2	2	0	0	0	7	6	0	0
517	531	"Starniki"	50.26667	26.01667	287.5	"AWI"	287.5	7839.5	8624.5	8230	0	1	0	2	0	4	0	0	22	0	0	0	0	1	0	5	0	35	0	0	0	0	0	0	0	0	3	0	10	194	2	0	0	0	0	5	0	0	1	0	1	0	0	0	6	1	0
517	531	"Starniki"	50.26667	26.01667	300	"AWI"	300	8278	8952	8566	0	0	10	1	0	3	0	0	15	0	0	0	0	1	0	1	0	20	0	0	0	2	0	0	0	0	1	0	7	207	0	0	0	0	1	6	0	0	1	1	2	1	0	0	2	0	0
517	531	"Starniki"	50.26667	26.01667	325	"AWI"	325	8945	9650	9283	0	1	0	2	0	7	0	0	20	0	2	0	0	1	0	1	0	18	0	0	1	0	0	0	0	0	0	0	2	217	0	0	0	0	0	3	0	1	1	0	0	0	0	0	4	0	0
517	531	"Starniki"	50.26667	26.01667	350	"AWI"	350	9666	10851	10214	0	0	11	2	0	5	0	0	29	0	1	0	0	1	0	3	0	23	1	0	0	0	0	0	0	0	0	0	5	200	0	0	0	0	0	1	0	0	1	2	0	1	2	0	3	0	0
517	531	"Starniki"	50.26667	26.01667	375	"AWI"	375	10605	11743	11200	0	0	0	10	1	32	0	0	46	0	0	0	0	0	0	1	0	23	0	0	0	2	0	0	0	0	0	0	0	197	0	0	0	0	0	2	0	0	1	0	0	3	0	0	1	0	0
517	531	"Starniki"	50.26667	26.01667	400	"AWI"	400	11325	12676	11976	0	0	0	0	1	75	0	0	54	0	0	0	1	27	0	2	0	37	0	0	0	0	0	0	0	0	0	0	2	190	0	0	0	0	0	1	0	0	1	0	0	0	1	0	0	0	1
517	531	"Starniki"	50.26667	26.01667	425	"AWI"	425	12096	13508	12787	0	0	0	23	1	32	0	0	29	0	1	0	0	0	0	0	0	48	2	0	0	0	0	0	0	0	0	0	4	210	0	0	0	0	0	1	0	0	1	0	0	0	0	0	1	0	0
517	531	"Starniki"	50.26667	26.01667	450	"AWI"	450	12939	14317	13575	0	1	0	12	0	23	0	0	0	0	0	0	0	0	0	1	0	32	0	0	0	0	0	1	0	0	1	0	10	214	0	0	0	0	0	4	0	0	1	1	0	2	1	0	1	0	0
