"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Alnus"	"Amaranthaceae"	"Apiaceae"	"Artemisia"	"Asteraceae"	"Betula"	"Brassicaceae"	"Cannabaceae"	"Caryophyllaceae"	"Corylus"	"Cyperaceae"	"Elaeagnaceae"	"Ephedraceae"	"Ericales"	"Fagus"	"Gentianaceae"	"Lamiaceae"	"Ostrya.Carpinus"	"Picea"	"Pinus"	"Plantaginaceae"	"Poaceae"	"Polygonaceae"	"Quercus"	"Ranunculaceae"	"Rhamnus"	"Rosaceae"	"Rubiaceae"	"Rumex"	"Salix"	"Tilia"	"Ulmus"
26576	46477	"Nikolsko-Lutinskoye bog"	58.089326	30.983034	620	"AWI"	620	12834	13790	13266	1	18	1	33	0	207	2	0	0	1	10	0	0	0	0	0	0	0	18	42	0	0	0	0	0	0	6	0	0	6	0	0
26576	46477	"Nikolsko-Lutinskoye bog"	58.089326	30.983034	630	"AWI"	630	13075	14135	13560	2	18	1	46	0	395	1	0	0	2	15	0	0	0	0	0	2	1	4	84	0	0	0	0	1	0	5	0	0	11	0	1
26576	46477	"Nikolsko-Lutinskoye bog"	58.089326	30.983034	640	"AWI"	640	13273	14442	13810	6	23	1	33	0	220	3	0	0	2	12	0	0	0	0	0	0	1	2	72	0	0	0	0	1	0	4	0	0	14	0	1
26576	46477	"Nikolsko-Lutinskoye bog"	58.089326	30.983034	650	"AWI"	650	13435	14780	14014	11	20	2	34	0	350	1	0	1	3	23	1	0	0	0	0	0	1	3	58	0	0	0	0	1	0	6	0	0	15	0	1
26576	46477	"Nikolsko-Lutinskoye bog"	58.089326	30.983034	660	"AWI"	660	13585	15085	14230	5	18	1	42	0	220	1	0	0	0	20	0	2	2	0	0	0	1	2	22	0	0	0	0	1	0	1	0	0	17	0	0
26576	46477	"Nikolsko-Lutinskoye bog"	58.089326	30.983034	670	"AWI"	670	13742	15431	14442	11	10	0	63	2	208	1	0	0	0	19	1	0	0	0	0	0	0	2	27	0	0	0	1	1	1	2	0	0	13	0	0
26576	46477	"Nikolsko-Lutinskoye bog"	58.089326	30.983034	680	"AWI"	680	13879	15728	14660	17	8	0	40	0	231	4	0	0	6	15	0	0	5	0	0	0	0	1	18	0	0	0	0	0	0	4	1	1	25	0	0
26576	46477	"Nikolsko-Lutinskoye bog"	58.089326	30.983034	690	"AWI"	690	14063	15988	14891	13	17	1	59	0	122	1	0	0	5	7	0	0	0	0	0	2	0	2	17	0	0	0	0	0	0	3	0	0	13	0	0
26576	46477	"Nikolsko-Lutinskoye bog"	58.089326	30.983034	695	"AWI"	695	14154	16106	14993	12	1	0	5	0	0	0	0	1	0	1	0	0	0	0	0	0	0	2	5	0	0	0	0	0	0	0	0	0	1	0	0
26576	46477	"Nikolsko-Lutinskoye bog"	58.089326	30.983034	700	"AWI"	700	14234	16262	15098	28	3	0	11	0	77	1	0	0	5	3	1	0	0	0	0	0	0	2	8	0	0	0	0	0	0	1	0	0	3	0	1
