"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Abies"	"Acer"	"Alnus"	"Amaranthaceae"	"Apiaceae"	"Araliaceae"	"Artemisia"	"Asteraceae"	"Betula"	"Boraginaceae"	"Brassicaceae"	"Campanulaceae"	"Caryophyllaceae"	"Convolvulaceae"	"Corylus"	"Crataegus"	"Cyperaceae"	"Ericales"	"Euphorbiaceae"	"Fagus"	"Frangula"	"Fraxinus"	"Hypericaceae"	"Lamiaceae"	"Ligustrum"	"Ostrya.Carpinus"	"Pinus"	"Plantaginaceae"	"Plumbaginaceae"	"Poaceae"	"Polygonaceae"	"Primulaceae"	"Quercus"	"Ranunculaceae"	"Rhamnus"	"Rosaceae"	"Rubiaceae"	"Rumex"	"Salix"	"Sambucus"	"Solanaceae"	"Taxus"	"Thalictrum"	"Tilia"	"Ulmus"	"Viburnum"
3506	4532	"Wiggenhall St. Germans"	52.69278	0.33944	222	"AWI"	222	1792	2509	2095	0	0	11	1	1	0	0	0	15	0	1	0	0	0	12	0	93	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	20	0	0	0	5	0	2	0	0	0	0	0	2	0
3506	4532	"Wiggenhall St. Germans"	52.69278	0.33944	224	"AWI"	224	1865	2705	2249	0	0	5	3	2	0	4	0	10	0	0	0	0	0	18	0	75	3	0	0	0	0	0	0	0	0	13	0	0	0	0	0	13	0	0	0	10	0	1	0	0	0	0	1	1	0
3506	4532	"Wiggenhall St. Germans"	52.69278	0.33944	226	"AWI"	226	1982	2871	2399	0	0	23	2	0	1	1	0	34	0	0	0	0	0	39	0	46	2	0	0	0	3	0	0	0	1	3	0	0	0	0	0	27	0	0	0	9	0	0	0	0	0	0	1	2	0
3506	4532	"Wiggenhall St. Germans"	52.69278	0.33944	228	"AWI"	228	2113	2946	2564	0	0	26	1	0	0	2	0	113	0	0	0	0	0	28	0	41	0	0	0	0	2	0	0	0	0	3	0	0	0	0	0	46	0	0	0	2	0	4	1	0	0	0	2	5	0
3506	4532	"Wiggenhall St. Germans"	52.69278	0.33944	230	"AWI"	230	2204	3088	2721	0	1	21	1	0	0	0	0	24	0	0	0	0	0	38	0	90	0	0	0	0	1	0	0	0	2	2	0	0	0	0	0	33	0	0	0	4	0	2	0	0	0	0	0	3	0
3506	4532	"Wiggenhall St. Germans"	52.69278	0.33944	232	"AWI"	232	2524	3141	2855	0	0	2	1	0	1	3	0	14	0	1	0	0	0	16	0	186	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	18	0	0	0	8	0	0	0	0	0	0	4	1	0
3506	4532	"Wiggenhall St. Germans"	52.69278	0.33944	234	"AWI"	234	2784	3222	2996	0	1	13	2	1	0	1	0	11	0	0	0	0	0	40	0	93	0	0	0	0	3	0	0	0	0	2	0	0	0	0	0	38	0	0	0	6	0	11	0	0	0	0	1	2	0
3506	4532	"Wiggenhall St. Germans"	52.69278	0.33944	236	"AWI"	236	2939	3348	3135	0	1	28	3	0	0	0	0	15	0	0	0	0	0	34	0	42	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	65	0	0	0	8	0	18	0	0	1	0	0	3	4
3506	4532	"Wiggenhall St. Germans"	52.69278	0.33944	238	"AWI"	238	3028	3531	3262	0	0	21	4	0	1	0	0	5	0	0	1	0	0	42	0	38	0	0	0	1	0	0	0	0	0	2	0	0	0	0	0	47	0	0	0	4	0	12	0	0	1	0	1	0	0
3506	4532	"Wiggenhall St. Germans"	52.69278	0.33944	240	"AWI"	240	3078	3811	3379	0	0	21	7	1	2	3	0	16	0	0	0	0	0	31	0	50	0	0	0	0	4	0	0	0	0	1	0	0	0	0	0	56	0	0	0	18	0	24	0	0	0	0	0	2	0
3506	4532	"Wiggenhall St. Germans"	52.69278	0.33944	242	"AWI"	242	3203	3892	3518	0	0	15	1	0	1	1	0	7	0	1	0	0	0	23	0	46	0	0	0	0	4	0	0	0	0	2	0	0	65	0	0	65	0	0	0	7	0	70	0	0	0	0	1	0	0
3506	4532	"Wiggenhall St. Germans"	52.69278	0.33944	244	"AWI"	244	3281	4020	3656	0	0	27	5	1	0	0	0	4	0	0	0	0	1	22	1	16	0	0	1	0	4	0	10	0	0	4	0	0	0	0	0	54	0	0	0	37	0	32	0	0	0	0	1	3	1
3506	4532	"Wiggenhall St. Germans"	52.69278	0.33944	246	"AWI"	246	3416	4142	3784	0	0	21	26	1	0	2	0	4	0	0	0	0	0	20	0	16	0	0	1	0	0	0	0	1	0	2	0	0	0	0	0	46	0	0	0	38	0	3	0	1	0	0	1	1	2
3506	4532	"Wiggenhall St. Germans"	52.69278	0.33944	248	"AWI"	248	3582	4210	3915	0	0	11	76	1	0	3	0	1	0	0	0	0	1	6	0	8	0	1	1	0	2	0	0	0	0	2	0	1	0	0	0	29	0	0	0	7	0	0	1	0	0	0	1	2	0
3506	4532	"Wiggenhall St. Germans"	52.69278	0.33944	250	"AWI"	250	3689	4330	4048	0	0	13	141	0	0	0	0	2	0	0	0	0	0	18	0	9	0	0	0	0	1	0	0	0	0	5	0	1	0	0	0	32	0	0	0	0	0	1	0	0	0	0	2	2	0
3506	4532	"Wiggenhall St. Germans"	52.69278	0.33944	252	"AWI"	252	3917	4399	4177	0	0	18	115	0	0	2	0	5	0	0	0	0	0	9	0	23	0	0	1	0	1	0	0	0	0	4	0	0	0	0	0	29	0	0	0	0	0	1	0	0	0	0	0	1	0
3506	4532	"Wiggenhall St. Germans"	52.69278	0.33944	256	"AWI"	256	4111	4877	4444	0	0	14	45	1	0	0	0	2	0	0	0	0	0	14	0	59	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	9	0	0	0	1	0	2	0	0	0	0	0	0	0
3506	4532	"Wiggenhall St. Germans"	52.69278	0.33944	260	"AWI"	260	4234	5502	4690	0	0	13	100	1	1	0	0	0	0	0	0	0	0	11	0	34	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	1	1	0
3506	4532	"Wiggenhall St. Germans"	52.69278	0.33944	264	"AWI"	264	4390	5949	4972	0	0	15	126	0	0	0	0	3	0	0	0	0	0	14	0	12	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0	28	0	0	0	2	0	1	0	0	0	1	5	3	0
3506	4532	"Wiggenhall St. Germans"	52.69278	0.33944	268	"AWI"	268	4552	6382	5246	0	0	11	113	0	0	1	0	7	1	0	0	0	0	13	0	8	0	0	1	0	0	1	0	0	0	6	0	0	0	0	0	56	0	0	0	0	0	1	0	0	0	0	0	4	0
