"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Acer"	"Alnus"	"Amaranthaceae"	"Apiaceae"	"Araliaceae"	"Artemisia"	"Asteraceae"	"Betula"	"Brassicaceae"	"Cannabaceae"	"Caryophyllaceae"	"Corylus"	"Cyperaceae"	"Elaeagnaceae"	"Ericales"	"Euphorbiaceae"	"Fabaceae"	"Fagus"	"Fraxinus"	"Geraniaceae"	"Juniperus"	"Lamiaceae"	"Malvaceae"	"Onagraceae"	"Ostrya.Carpinus"	"Picea"	"Pinus"	"Plantaginaceae"	"Poaceae"	"Polygonaceae"	"Populus"	"Quercus"	"Rhamnus"	"Rosaceae"	"Rubiaceae"	"Rumex"	"Salix"	"Santalaceae"	"Saxifragaceae"	"Thalictrum"	"Tilia"	"Ulmus"	"Urticaceae"	"Viburnum"
3107	4042	"Lake Flarken"	58.55679	13.67319	157.5	"AWI"	157.5	4614	5192	4898	0	27.9253815715093	0	0.0565291124929339	0	0.0565291124929339	0	0	0	0.0565291124929339	0	16.1107970604862	1.80893159977388	0	0	0	0	0	0.508762012436405	0	0.113058224985868	0	0	0	0	0	30.5822498586772	0	0	0	1.30016958733748	14.3018654607123	0.113058224985868	0	0	0	0.113058224985868	0	0	0	3.90050876201244	3.05257207461843	0	0
3107	4042	"Lake Flarken"	58.55679	13.67319	162.5	"AWI"	162.5	4667.5	5231	4952	0	23.6343366778149	0	0.111482720178372	0	0.0557413600891862	0	0	0	0	0	14.659977703456	2.22965440356745	0	0	0	0	0	1.00334448160535	0	0.167224080267559	0	0	0	0	0	30.7134894091416	0	0	0	1.44927536231884	18.6176142697882	0.0557413600891862	0	0	0.0557413600891862	0.111482720178372	0	0	0	4.29208472686734	2.84280936454849	0	0
3107	4042	"Lake Flarken"	58.55679	13.67319	167.5	"AWI"	167.5	4710	5297.5	5009	0	24.860956618465	0	0	0	0.222469410456062	0	0	0	0	0	16.6852057842047	2.66963292547275	0	0	0.0556173526140156	0	0	0.50055617352614	0	0.0556173526140156	0	0	0	0.0556173526140156	0	30.4226918798665	0	0	0	1.7797552836485	15.9621802002225	0.278086763070078	0	0	0	0.278086763070078	0.0556173526140156	0	0	3.72636262513904	2.39154616240267	0	0
3107	4042	"Lake Flarken"	58.55679	13.67319	172.5	"AWI"	172.5	4793.5	5359	5070	0	25.6974248927039	0.107296137339056	0.107296137339056	0	0.107296137339056	0	0	0	0	0	14.7532188841202	2.36051502145923	0	0	0	0	0.0536480686695279	0.643776824034335	0	0.268240343347639	0	0	0	0	0.321888412017167	29.5600858369099	0	0	0	0	18.2403433476395	0.214592274678112	0	0	0	0.482832618025751	0	0	0	4.45278969957082	2.62875536480687	0	0
3107	4042	"Lake Flarken"	58.55679	13.67319	177.5	"AWI"	177.5	4904.5	5399	5136.5	0	21.8512898330804	0	0	0	0.101163378856854	0	0	0	0	0	13.2018209408194	3.89479008598887	0	0	0	0	0	0.354071825998988	0	0.505816894284269	0	0	0	0.0505816894284269	0.151745068285281	40.2630247850278	0	0	0	0	13.9099645928174	0.101163378856854	0	0	0	0.202326757713708	0	0	0	3.1866464339909	2.22559433485078	0	0
3107	4042	"Lake Flarken"	58.55679	13.67319	182.5	"AWI"	182.5	4975.5	5447.5	5214	0	21.9031531531532	0	0	0	0.112612612612613	0	0	0	0	0	13.9076576576577	1.91441441441441	0	0	0	0	0.0563063063063063	0.506756756756757	0	0.0563063063063063	0	0	0	0.112612612612613	0.112612612612613	40.259009009009	0	0	0	0	14.4144144144144	0.225225225225225	0	0	0	0.394144144144144	0.112612612612613	0	0	3.26576576576577	2.6463963963964	0	0
3107	4042	"Lake Flarken"	58.55679	13.67319	187.5	"AWI"	187.5	5021.5	5566	5280	0	23.0138390568939	0	0	0	0	0	0	0	0	0	12.8139415684264	2.35776524859047	0	0	0	0	0	0.410046130189646	0	0.0512557662737058	0	0	0	0	0.153767298821117	38.9031266017427	0	0	0	0	15.2742183495643	0.410046130189646	0	0.0512557662737058	0.102511532547412	0.461301896463352	0	0	0	3.69041517170682	2.30650948231676	0	0
3107	4042	"Lake Flarken"	58.55679	13.67319	192.5	"AWI"	192.5	5094.5	5654	5358	0	25.775292323335	0	0.0508388408744281	0	0.0508388408744281	0	0	0	0	0	15.5058464667006	3.8129130655821	0	0	0	0	0.101677681748856	0.559227249618709	0	0.355871886120996	0	0	0	0	0	28.0630401626843	0	0	0	0	17.1835282155567	0.305033045246568	0	0	0.203355363497712	0.508388408744281	0	0	0	4.77885104219624	2.74529740721912	0	0
3107	4042	"Lake Flarken"	58.55679	13.67319	197.5	"AWI"	197.5	5156	5739	5450.5	0	24.3418013856813	0	0.184757505773672	0	0.046189376443418	0	0	0	0	0	12.4249422632794	3.51039260969977	0	0	0	0	0	0.415704387990762	0	0.092378752886836	0	0	0	0	0.092378752886836	38.3833718244804	0	0	0	0	14.3187066974596	0.092378752886836	0	0	0	0.277136258660508	0	0	0	3.55658198614319	2.26327944572748	0	0
3107	4042	"Lake Flarken"	58.55679	13.67319	202.5	"AWI"	202.5	5201	5869.5	5538.5	0	26.7077555213148	0	0.0513610683102209	0	0.154083204930663	0	0	0	0	0	11.9157678479712	3.28710837185413	0	0	0	0	0	0.513610683102208	0	0.410888546481767	0	0	0	0	0.0513610683102209	38.3153569594248	0	0	0	0	12.4807395993837	0.154083204930663	0	0	0	0.154083204930663	0	0	0	3.80071905495634	2.00308166409861	0	0
