"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Abies"	"Acer"	"Alnus"	"Amaranthaceae"	"Apiaceae"	"Araliaceae"	"Artemisia"	"Asteraceae"	"Betula"	"Boraginaceae"	"Brassicaceae"	"Buxus"	"Campanulaceae"	"Caryophyllaceae"	"Castanea"	"Celastraceae"	"Cistaceae"	"Convolvulaceae"	"Cornus"	"Corylus"	"Cupressaceae"	"Cyperaceae"	"Elaeagnaceae"	"Ephedraceae"	"Ericales"	"Euphorbiaceae"	"Fabaceae"	"Fagus"	"Fraxinus"	"Gentianaceae"	"Juglans"	"Juniperus"	"Lamiaceae"	"Larix"	"Liliaceae"	"Lythraceae"	"Orobanchaceae"	"Ostrya.Carpinus"	"Phillyrea"	"Picea"	"Pinus"	"Pistacia"	"Plantaginaceae"	"Poaceae"	"Polygonaceae"	"Quercus"	"Quercus.evg.type"	"Ranunculaceae"	"Rhamnus"	"Rosaceae"	"Rubiaceae"	"Rumex"	"Salix"	"Sambucus"	"Scrophulariaceae"	"Taxus"	"Thalictrum"	"Tilia"	"Ulmus"	"Urticaceae"	"Vitaceae"
3344	4340	"Pelléautier"	44.52222	6.18333	200	"AWI"	200	2544	4873	3784	68	4	9	0	1	0	1	0	3	0	1	0	0	0	0	0	0	0	0	10	0	38	1	0	0	0	0	6	2	0	0	0	0	0	0	0	1	0	0	0	78	0	3	0	0	61	0	0	0	0	0	0	1	0	0	1	0	0	1	0	1
3344	4340	"Pelléautier"	44.52222	6.18333	210	"AWI"	210	2842	5014	4031	182	1	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15	0	9	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	111	0	2	0	0	60	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
3344	4340	"Pelléautier"	44.52222	6.18333	220	"AWI"	220	3036	5242	4293	104	1	1	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	7	0	10	0	0	0	0	0	2	1	0	0	0	0	0	0	0	0	0	0	0	62	0	2	0	0	60	1	0	0	0	0	0	0	0	1	1	0	0	2	0	0
3344	4340	"Pelléautier"	44.52222	6.18333	230	"AWI"	230	3493	5344	4530	117	0	6	0	0	0	0	0	3	0	0	0	0	1	0	0	0	0	0	6	0	6	0	0	0	0	0	2	0	0	0	1	0	0	0	0	0	0	0	0	44	0	0	2	0	62	2	0	0	0	0	0	0	0	0	0	0	0	3	0	0
3344	4340	"Pelléautier"	44.52222	6.18333	240	"AWI"	240	3766	5518	4782	151	0	5	0	0	0	1	0	4	0	0	0	0	2	0	0	0	0	0	14	0	34	0	0	0	1	0	6	1	0	0	0	0	1	1	0	0	0	0	0	63	0	4	7	0	66	0	1	0	0	1	0	0	0	0	0	0	1	0	0	0
3344	4340	"Pelléautier"	44.52222	6.18333	250	"AWI"	250	4221	5665	5012	100	1	9	0	2	0	1	0	1	0	0	0	0	0	0	0	0	0	0	19	0	41	0	0	0	0	0	7	0	0	0	0	0	1	0	1	0	0	0	0	56	0	0	0	0	29	1	1	0	0	0	1	0	0	0	0	0	0	2	0	0
3344	4340	"Pelléautier"	44.52222	6.18333	260	"AWI"	260	4566	5870	5265	300	6	30	0	5	1	3	0	20	0	0	0	0	0	0	0	0	0	0	29	0	22	0	0	0	0	0	11	7	0	0	0	1	0	0	0	1	0	0	0	134	1	7	45	0	142	0	0	0	0	1	1	10	0	0	2	2	0	9	0	4
3344	4340	"Pelléautier"	44.52222	6.18333	270	"AWI"	270	4769	6214	5509	41	1	6	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	10	0	3	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	26	0	2	0	0	21	0	0	0	0	0	0	1	0	0	2	0	2	1	0	2
3344	4340	"Pelléautier"	44.52222	6.18333	280	"AWI"	280	4919	6775	5727	141	2	7	0	1	0	8	0	12	0	0	1	0	0	0	0	0	0	0	12	0	5	0	0	0	0	0	2	2	0	0	1	0	0	1	0	0	1	0	0	92	0	5	0	0	71	0	2	0	0	0	0	1	0	1	0	0	0	2	0	0
3344	4340	"Pelléautier"	44.52222	6.18333	290	"AWI"	290	5065	7299	5951	109	2	13	0	0	2	5	0	14	0	0	0	1	0	0	0	0	0	0	16	0	2	1	0	0	0	0	1	2	0	0	0	0	0	0	0	0	0	0	0	87	0	1	5	0	52	0	1	0	0	1	0	0	0	3	4	0	2	1	1	0
3344	4340	"Pelléautier"	44.52222	6.18333	295	"AWI"	295	5157	7472	6077	100	1	14	0	1	0	14	0	15	0	1	0	0	0	0	0	0	0	0	16	0	7	0	0	0	0	0	4	3	0	0	3	0	0	0	0	1	0	1	0	100	0	5	0	0	57	0	0	0	0	1	0	0	0	0	1	0	1	3	0	0
3344	4340	"Pelléautier"	44.52222	6.18333	300	"AWI"	300	5222	7710	6201	75	0	5	0	0	1	5	0	15	0	0	0	0	0	0	0	0	0	0	9	0	17	1	0	0	0	0	1	2	0	0	0	1	0	0	0	0	1	0	0	75	0	7	21	0	89	0	2	0	0	0	0	1	0	0	1	0	3	5	0	0
3344	4340	"Pelléautier"	44.52222	6.18333	305	"AWI"	305	5284	8005	6314	70	1	11	0	0	0	3	0	5	0	1	0	0	0	0	0	0	0	0	19	0	4	1	0	0	0	0	2	3	0	0	1	0	0	0	0	0	0	0	0	71	0	3	8	1	106	0	1	0	0	0	2	2	0	0	2	0	0	0	0	0
3344	4340	"Pelléautier"	44.52222	6.18333	310	"AWI"	310	5349	8209	6433	13	2	12	1	0	0	12	0	9	0	0	0	0	1	0	1	0	0	0	15	0	11	0	0	0	0	0	3	3	1	0	0	1	0	0	0	0	0	0	0	76	0	3	26	0	81	0	0	1	0	1	1	1	0	0	3	2	3	2	0	0
3344	4340	"Pelléautier"	44.52222	6.18333	315	"AWI"	315	5449	8357	6554	97	2	5	0	0	0	17	0	7	0	0	0	0	1	0	0	0	0	0	13	0	14	1	0	0	0	0	5	6	1	0	1	0	0	0	0	0	0	1	0	98	0	8	28	0	55	2	1	0	0	1	1	3	0	1	0	0	0	4	0	0
3344	4340	"Pelléautier"	44.52222	6.18333	320	"AWI"	320	5526	8521	6679	104	1	14	0	0	0	6	0	7	0	0	0	0	0	0	0	0	0	0	12	0	14	0	0	0	0	0	2	4	0	0	2	0	0	1	0	1	0	0	0	69	0	8	0	0	84	3	2	0	0	1	0	1	0	2	4	1	1	6	0	0
3344	4340	"Pelléautier"	44.52222	6.18333	327	"AWI"	327	5586	8803	6852	79	2	9	0	0	0	7	0	12	0	0	0	0	1	0	0	0	0	0	15	0	19	0	0	0	1	0	2	7	0	0	3	0	0	0	0	0	0	0	0	83	0	0	25	0	78	2	1	0	0	0	1	0	0	0	2	0	0	5	0	0
3344	4340	"Pelléautier"	44.52222	6.18333	330	"AWI"	330	5618	8951	6929	86	2	10	0	0	0	7	0	7	0	0	0	0	0	0	0	0	0	0	17	0	19	1	0	0	0	0	4	2	1	0	0	0	1	1	0	0	0	1	0	50	1	4	0	0	46	1	0	0	0	0	0	1	0	0	0	0	0	3	0	0
