"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Abies"	"Acer"	"Alnus"	"Amaranthaceae"	"Apiaceae"	"Araliaceae"	"Artemisia"	"Asteraceae"	"Betula"	"Boraginaceae"	"Brassicaceae"	"Campanulaceae"	"Cannabaceae"	"Caprifoliaceae"	"Caryophyllaceae"	"Cistaceae"	"Corylus"	"Crassulaceae"	"Cyperaceae"	"Ericales"	"Euphorbiaceae"	"Fabaceae"	"Fagus"	"Fraxinus"	"Geraniaceae"	"Ilex"	"Juglans"	"Lamiaceae"	"Ligustrum"	"Liliaceae"	"Lythraceae"	"Myrica"	"Ostrya.Carpinus"	"Pinus"	"Plantaginaceae"	"Plumbaginaceae"	"Poaceae"	"Polygonaceae"	"Primulaceae"	"Prunus"	"Quercus"	"Ranunculaceae"	"Rosaceae"	"Rumex"	"Salix"	"Sambucus"	"Saxifragaceae"	"Scrophulariaceae"	"Solanaceae"	"Thalictrum"	"Tilia"	"Ulmus"	"Urticaceae"	"Viburnum"	"Vitaceae"
16097	24854	"Rezé"	47.1925	-1.56694	180	"AWI"	180	847	1519	1236	21	1	45	2	3	1	0	0	6	0	0	0	2	0	2	0	10	0	20	8	0	0	4	0	0	0	3	2	0	0	1	0	1	7	10	0	104	0	0	2	23	11	0	5	1	0	0	4	1	0	1	0	0	7	1
16097	24854	"Rezé"	47.1925	-1.56694	185	"AWI"	185	893	1536	1270	12	0	36	1	13	0	0	0	10	0	0	0	2	0	0	0	21	0	4	9	0	0	1	0	0	0	3	0	0	0	1	1	0	3	17	0	110	0	0	0	21	8	0	3	0	0	0	2	0	0	1	0	0	0	1
16097	24854	"Rezé"	47.1925	-1.56694	190	"AWI"	190	938	1555	1308	7	0	38	4	1	0	2	19	7	1	1	0	16	0	0	0	18	0	14	6	0	0	6	0	1	1	8	2	0	0	0	1	1	9	9	0	90	0	0	0	74	3	0	5	7	0	0	6	0	1	1	7	0	0	2
16097	24854	"Rezé"	47.1925	-1.56694	195	"AWI"	195	963	1585	1344	28	0	69	5	2	0	3	0	16	0	1	0	6	0	0	0	26	0	0	0	0	0	0	0	0	0	6	2	0	0	0	1	0	4	15	0	69	0	0	3	13	7	0	3	0	0	0	2	0	0	6	3	0	0	1
16097	24854	"Rezé"	47.1925	-1.56694	197.5	"AWI"	197.5	976	1600	1362	14	0	42	6	4	1	2	18	14	0	1	0	1	0	0	0	14	0	13	9	0	0	1	0	0	0	1	0	0	0	0	0	1	6	13	0	115	0	0	0	28	3	0	2	1	0	0	3	0	0	0	7	0	0	1
16097	24854	"Rezé"	47.1925	-1.56694	200	"AWI"	200	1022	1606	1377	0	0	16	1	2	1	0	0	1	0	1	0	3	0	0	0	6	0	5	0	0	0	0	0	0	0	1	2	0	0	0	0	0	1	3	0	67	0	0	0	7	4	0	3	2	0	0	3	0	0	0	3	0	0	2
16097	24854	"Rezé"	47.1925	-1.56694	210	"AWI"	210	1155	1633	1442	3	1	24	3	15	0	1	0	2	0	2	1	6	0	0	0	7	0	7	0	0	0	2	0	0	0	2	2	0	0	1	0	0	3	9	0	140	0	0	0	23	9	0	5	3	0	0	0	0	0	0	1	0	0	0
16097	24854	"Rezé"	47.1925	-1.56694	225	"AWI"	225	1312	1696	1542	3	0	27	5	1	0	1	0	5	0	1	1	8	0	0	0	11	0	29	0	0	0	2	1	0	0	2	0	0	0	1	0	0	4	7	1	128	0	1	2	27	3	0	8	0	0	0	0	0	0	0	2	0	0	0
16097	24854	"Rezé"	47.1925	-1.56694	235	"AWI"	235	1483	1733	1608	0	0	12	0	0	0	1	0	0	0	0	0	0	0	0	0	3	0	2	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	7	1	0	1	1	0	0	0	0	0	105	0	0	0	0
16097	24854	"Rezé"	47.1925	-1.56694	245	"AWI"	245	1550	1838	1682	5	0	70	3	2	1	1	0	11	0	0	0	0	0	0	1	70	0	12	0	0	5	3	0	0	0	0	2	0	0	0	0	0	0	13	0	89	0	0	0	13	1	0	3	0	0	0	0	0	0	3	2	0	0	0
16097	24854	"Rezé"	47.1925	-1.56694	250	"AWI"	250	1583	1884	1717	1	0	36	3	0	0	0	0	0	0	0	0	0	0	0	0	7	0	9	0	0	0	6	1	0	0	0	0	0	0	0	0	0	2	5	0	47	0	0	0	18	1	0	1	0	0	0	0	0	0	0	1	0	0	0
16097	24854	"Rezé"	47.1925	-1.56694	255	"AWI"	255	1612	1920	1753	0	0	74	1	0	0	0	0	2	0	0	0	1	0	0	0	16	0	5	0	0	0	4	3	0	0	6	0	0	0	0	1	0	4	9	0	0	0	0	0	51	3	0	1	1	0	0	2	0	0	0	3	0	0	0
16097	24854	"Rezé"	47.1925	-1.56694	260	"AWI"	260	1632	1969	1790	4	0	15	2	0	1	0	0	2	0	1	0	0	0	0	0	8	0	3	0	0	0	3	1	0	0	2	0	0	0	0	0	0	2	4	0	67	0	0	1	29	0	0	4	0	0	0	0	0	1	1	0	0	0	0
16097	24854	"Rezé"	47.1925	-1.56694	265	"AWI"	265	1647	2033	1825	2	0	22	2	1	0	1	0	1	0	0	0	2	0	0	0	3	0	5	0	0	0	0	0	0	0	4	1	0	0	0	0	0	4	15	0	102	0	0	0	18	1	0	4	1	0	0	0	0	0	1	0	0	0	0
16097	24854	"Rezé"	47.1925	-1.56694	270	"AWI"	270	1658	2106	1859	0	0	38	2	1	0	1	0	1	0	2	0	4	0	0	1	4	0	9	0	0	0	4	0	0	0	3	0	0	0	0	0	0	5	4	0	91	0	0	1	17	1	0	4	0	0	0	0	0	0	5	3	0	0	0
16097	24854	"Rezé"	47.1925	-1.56694	305	"AWI"	305	2009	2348	2144	1	0	15	4	2	0	0	0	1	0	0	0	0	0	0	0	3	0	4	0	0	0	2	0	0	0	0	1	0	0	0	0	0	1	6	0	205	0	0	0	24	2	0	6	0	0	0	0	0	0	0	0	0	0	0
16097	24854	"Rezé"	47.1925	-1.56694	315	"AWI"	315	2057	2614	2279	0	0	40	0	8	0	0	0	0	0	0	0	0	0	0	0	5	0	4	0	0	0	0	0	0	0	1	1	0	0	0	0	0	3	8	0	81	0	0	0	10	0	0	3	4	0	0	2	0	0	0	0	0	0	0
16097	24854	"Rezé"	47.1925	-1.56694	325	"AWI"	325	2148	2832	2418	1	0	32	2	1	0	0	0	1	0	3	0	1	0	0	0	9	0	6	0	0	3	2	0	0	0	0	2	0	0	1	0	0	1	15	0	182	0	0	1	21	0	0	6	3	0	0	0	1	0	1	0	0	1	0
16097	24854	"Rezé"	47.1925	-1.56694	345	"AWI"	345	2297	3194	2746	1	0	29	3	3	1	0	0	3	0	3	0	0	0	0	0	9	0	4	0	0	0	6	1	0	0	0	2	0	0	0	0	1	4	5	0	82	0	0	0	32	2	0	4	0	0	0	1	0	0	0	4	0	0	0
16097	24854	"Rezé"	47.1925	-1.56694	365	"AWI"	365	2720	3379	3046	11	0	119	5	0	0	1	0	3	0	0	0	0	0	0	0	22	0	3	0	0	0	10	0	0	0	0	2	0	0	1	0	0	5	7	0	56	0	0	0	53	6	0	4	0	0	0	1	0	0	4	4	0	0	2
16097	24854	"Rezé"	47.1925	-1.56694	370	"AWI"	370	2772	3470	3120	1	0	117	12	4	1	4	0	7	0	0	0	1	0	0	0	32	0	3	0	0	0	17	0	0	0	0	1	0	0	3	0	0	8	5	0	67	0	0	0	23	2	0	7	0	0	0	0	0	0	3	1	0	2	0
