"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Alnus"	"Amaranthaceae"	"Apiaceae"	"Araliaceae"	"Artemisia"	"Asteraceae"	"Betula"	"Boraginaceae"	"Brassicaceae"	"Cannabaceae"	"Caprifoliaceae"	"Caryophyllaceae"	"Cornus"	"Corylus"	"Crassulaceae"	"Crataegus"	"Cyperaceae"	"Ericales"	"Fabaceae"	"Fagus"	"Frangula"	"Fraxinus"	"Gentianaceae"	"Hypericaceae"	"Ilex"	"Juniperus"	"Lamiaceae"	"Montiaceae"	"Onagraceae"	"Orobanchaceae"	"Ostrya.Carpinus"	"Pinus"	"Plantaginaceae"	"Poaceae"	"Polemoniaceae"	"Polygonaceae"	"Primulaceae"	"Prunus"	"Quercus"	"Ranunculaceae"	"Rhamnus"	"Rosaceae"	"Rubiaceae"	"Rumex"	"Salix"	"Saxifragaceae"	"Scrophulariaceae"	"Sorbus"	"Tilia"	"Ulmus"	"Urticaceae"
23842	41326	"Middle North Coombe"	50.93389	-3.43333	60	"AWI"	60	287	600	473	0.43956043956044	0	0.879120879120879	0	0	0	0.43956043956044	2.63736263736264	1.97802197802198	0	0	1.75824175824176	0	0.879120879120879	0	0	11.2087912087912	0	0	0	0	0.21978021978022	0	0	0	0.43956043956044	0	0.659340659340659	0.21978021978022	0.43956043956044	0	0	0	57.1428571428571	0	0	0	0	2.1978021978022	4.3956043956044	0	3.73626373626374	0.21978021978022	5.27472527472527	0.43956043956044	3.07692307692308	0.879120879120879	0	0	0.43956043956044	0
23842	41326	"Middle North Coombe"	50.93389	-3.43333	64	"AWI"	64	325	646	517	0.968523002421308	0.242130750605327	1.45278450363196	0	0	0	0	0.242130750605327	2.90556900726392	0	0	1.45278450363196	0	0.726392251815981	0	0	4.35835351089588	0	0	0	0	0.242130750605327	0	0	0	0.726392251815981	0	0.242130750605327	0.242130750605327	0.242130750605327	0	0	0	65.3753026634383	0	0	0	0	3.38983050847458	2.90556900726392	0	3.6319612590799	0.242130750605327	8.47457627118644	0	1.45278450363196	0.484261501210654	0	0	0	0
23842	41326	"Middle North Coombe"	50.93389	-3.43333	68	"AWI"	68	346	700	543	0.24330900243309	0	0.97323600973236	0	0	0	0	0	3.89294403892944	0	0	0.72992700729927	0	1.94647201946472	0	0	3.40632603406326	0	0	0	0	0.24330900243309	0	0	0	1.94647201946472	0	0	0	0	0	0	0	68.6131386861314	0	0	0.24330900243309	0	2.4330900243309	3.64963503649635	0	2.67639902676399	0.48661800486618	3.40632603406326	1.21654501216545	3.16301703163017	0	0	0	0	0.72992700729927
23842	41326	"Middle North Coombe"	50.93389	-3.43333	72	"AWI"	72	363	784	572	0.263157894736842	0	0.526315789473684	0	0	0	0.263157894736842	0	7.10526315789474	0	0	0.526315789473684	0	3.15789473684211	0	0	2.10526315789474	1.57894736842105	0	0	0	0	0	0	0	0.263157894736842	0	0.263157894736842	0	0	0	0	0	75.2631578947368	0	0	0	0	1.31578947368421	4.21052631578947	0	0	0.526315789473684	0	0.263157894736842	1.57894736842105	0.263157894736842	0.263157894736842	0	0	0.263157894736842
23842	41326	"Middle North Coombe"	50.93389	-3.43333	76	"AWI"	76	377	878	601	0.639658848614073	0	0.213219616204691	0	0.213219616204691	18.3368869936034	0.426439232409382	0.213219616204691	3.19829424307036	0	0	0.852878464818763	0	2.3454157782516	0	0	2.77185501066098	0	0	0	0	0.213219616204691	0	0	0	0	0	0.639658848614073	0	0	0.213219616204691	0	0	61.407249466951	0	0	0	0	1.70575692963753	2.3454157782516	0	0	0.213219616204691	2.98507462686567	0	0.852878464818763	0	0.213219616204691	0	0	0
23842	41326	"Middle North Coombe"	50.93389	-3.43333	80	"AWI"	80	420	908	634	1.46137787056367	0	0.208768267223382	0	0	18.580375782881	0	0.417536534446764	4.5929018789144	0	0	0	0	0.626304801670146	0	0	2.50521920668058	0	0	0	0.208768267223382	0	0	0.208768267223382	0	0	0	0.417536534446764	0	0	0	0	0	61.3778705636743	0	0	0	0	1.04384133611691	2.92275574112735	0	0	0.208768267223382	3.96659707724426	0.208768267223382	0.626304801670146	0.417536534446764	0	0	0	0
23842	41326	"Middle North Coombe"	50.93389	-3.43333	84	"AWI"	84	448	950	669	0	0.266666666666667	0.266666666666667	0	0	0	0	0	4.8	0	0	0.533333333333333	0.266666666666667	1.86666666666667	0	0	1.06666666666667	0	0	0	0	0	0	0	0	0	0	0.8	0	0	0	0	0	80.2666666666667	0	0	0	0	0.533333333333333	2.66666666666667	0	0	0	5.33333333333333	0	1.06666666666667	0	0.266666666666667	0	0	0
23842	41326	"Middle North Coombe"	50.93389	-3.43333	88	"AWI"	88	472	1022	703	0.522193211488251	0	0.783289817232376	0	0.261096605744125	0	0	0	5.74412532637076	0	0	0.783289817232376	0	1.30548302872063	0	0	2.87206266318538	0	0	0	0	0.261096605744125	0	0	0	0	0	1.30548302872063	0	0	0	0	0	77.5456919060052	0	0	0	0	0.522193211488251	2.34986945169713	0	0	0	3.1331592689295	0.522193211488251	1.56657963446475	0.522193211488251	0	0	0	0
23842	41326	"Middle North Coombe"	50.93389	-3.43333	92	"AWI"	92	510	1076	736	0.245700245700246	0	1.47420147420147	0.245700245700246	0.245700245700246	0	0.245700245700246	0.491400491400491	7.61670761670762	0	0	1.22850122850123	0	2.45700245700246	0	0	6.38820638820639	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.491400491400491	0	67.8132678132678	0	0	0	0	1.22850122850123	2.21130221130221	0	0	0.491400491400491	4.17690417690418	0.491400491400491	1.96560196560197	0.491400491400491	0	0	0	0
23842	41326	"Middle North Coombe"	50.93389	-3.43333	96	"AWI"	96	555	1112	771	0.829875518672199	0	4.35684647302905	0	0	12.8630705394191	0.20746887966805	0.4149377593361	6.84647302904564	0	0	0.20746887966805	0	1.6597510373444	0	0	2.0746887966805	0	0	0	0	0	0	0.20746887966805	0	0	0	1.03734439834025	0	0	0	0.20746887966805	0	52.6970954356847	0	0	0	0	1.6597510373444	2.4896265560166	0	0	0	7.46887966804979	1.03734439834025	2.4896265560166	1.03734439834025	0	0	0.20746887966805	0
