"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Abies"	"Acer"	"Alnus"	"Amaranthaceae"	"Amaryllidaceae"	"Apiaceae"	"Araliaceae"	"Artemisia"	"Asteraceae"	"Betula"	"Brassicaceae"	"Buxus"	"Campanulaceae"	"Cannabaceae"	"Caprifoliaceae"	"Caryophyllaceae"	"Cistaceae"	"Cornus"	"Corylus"	"Crassulaceae"	"Cyperaceae"	"Elaeagnaceae"	"Ephedraceae"	"Ericales"	"Euphorbiaceae"	"Fabaceae"	"Fagus"	"Frangula"	"Fraxinus"	"Gentianaceae"	"Hypericaceae"	"Ilex"	"Juniperus"	"Lamiaceae"	"Liliaceae"	"Linaceae"	"Lythraceae"	"Olea"	"Onagraceae"	"Orobanchaceae"	"Ostrya.Carpinus"	"Papaveraceae"	"Picea"	"Pinus"	"Plantaginaceae"	"Poaceae"	"Polygonaceae"	"Populus"	"Prunus"	"Quercus"	"Ranunculaceae"	"Rhamnus"	"Rosaceae"	"Rubiaceae"	"Rumex"	"Salix"	"Sambucus"	"Santalaceae"	"Sorbus"	"Taxus"	"Thalictrum"	"Tilia"	"Ulmus"	"Urticaceae"	"Viburnum"	"Vitaceae"
23669	40955	"Burgaschisee"	47.16969	7.66823	443.3	"AWI"	443.3	3940.9	4079.3	4040.6	46	1	0	0	0	0	0	1	0	87	0	0	0	0	0	0	0	0	55	0	4	0	0	0	0	1	154	0	38	0	0	0	3	0	0	0	0	0	0	0	0	0	6	6	0	0	0	0	0	58	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0
23669	40955	"Burgaschisee"	47.16969	7.66823	443.65	"AWI"	443.65	3948.95	4086.65	4048.3	38	1	0	0	0	0	0	0	0	82	0	0	0	0	0	0	0	0	64	0	4	0	0	0	0	0	119	0	40	0	0	0	2	0	0	0	0	0	0	0	0	0	12	5	0	0	0	0	0	37	0	0	0	0	0	1	0	0	0	0	0	1	1	0	0	0
23669	40955	"Burgaschisee"	47.16969	7.66823	444	"AWI"	444	3957	4094	4056	34	0	0	0	0	0	0	2	0	90	0	0	0	0	0	0	0	0	48	0	2	0	0	0	0	0	135	0	35	0	0	0	4	0	0	0	0	0	0	0	0	0	7	1	0	0	0	0	0	48	0	0	0	0	0	0	0	0	0	0	0	4	2	0	1	0
23669	40955	"Burgaschisee"	47.16969	7.66823	444.35	"AWI"	444.35	3965.05	4105.9	4062.3	48	1	113	0	0	0	0	1	0	95	0	0	0	0	0	0	0	0	55	0	3	0	0	0	2	0	112	0	24	0	0	0	2	0	0	0	0	0	0	0	0	0	1	5	0	0	0	1	0	35	0	0	0	0	0	0	0	0	0	0	0	1	4	1	0	1
23669	40955	"Burgaschisee"	47.16969	7.66823	444.65	"AWI"	444.65	3971.95	4116.1	4067.7	44	1	0	0	0	0	0	0	0	90	0	0	0	0	0	0	0	0	61	0	2	0	0	0	0	0	113	0	22	0	0	0	5	0	0	0	0	0	0	0	0	0	2	6	0	0	0	0	0	29	0	0	0	0	0	1	0	0	0	0	0	2	3	0	0	0
23669	40955	"Burgaschisee"	47.16969	7.66823	445	"AWI"	445	3980	4128	4074	38	0	0	0	0	0	0	1	0	91	0	0	0	0	0	0	0	0	45	0	2	0	0	0	0	0	128	0	21	0	0	0	4	0	0	0	0	0	0	0	0	0	6	3	0	0	0	0	0	38	0	0	0	0	0	0	0	0	0	1	0	0	3	1	0	0
23669	40955	"Burgaschisee"	47.16969	7.66823	445.4	"AWI"	445.4	3988	4140	4082.4	45	0	0	0	0	0	0	0	0	89	0	0	0	0	0	0	0	0	62	0	0	0	0	0	0	0	97	0	15	0	0	0	3	0	0	0	0	0	0	0	0	0	6	4	0	0	0	0	0	42	0	0	0	1	0	2	0	0	0	0	0	2	6	0	0	0
23669	40955	"Burgaschisee"	47.16969	7.66823	445.8	"AWI"	445.8	3996	4152	4090.8	46	0	0	0	0	0	0	0	0	64	0	0	0	0	0	0	0	0	66	0	4	0	0	0	0	0	115	0	31	0	1	0	0	0	0	0	0	0	0	0	0	0	1	2	0	0	0	0	0	26	0	0	0	0	0	2	0	0	0	1	0	0	4	0	0	0
23669	40955	"Burgaschisee"	47.16969	7.66823	446.2	"AWI"	446.2	4004.6	4163.4	4099.2	40	1	154	0	0	0	0	1	0	57	0	0	0	0	0	0	0	0	70	0	1	0	0	0	0	0	100	0	21	0	0	0	0	0	0	0	0	0	0	0	0	0	6	7	0	0	0	0	0	28	0	0	0	0	0	1	0	0	0	0	1	4	7	2	0	0
23669	40955	"Burgaschisee"	47.16969	7.66823	446.6	"AWI"	446.6	4013.8	4174.2	4107.6	55	0	0	0	0	0	0	0	0	49	0	0	0	0	0	0	0	0	59	0	3	0	0	0	0	0	79	0	31	0	0	0	3	0	0	0	0	0	0	0	0	0	4	7	0	0	0	0	0	39	0	0	0	0	0	2	0	0	1	0	0	0	6	0	0	0
23669	40955	"Burgaschisee"	47.16969	7.66823	446.95	"AWI"	446.95	4021.85	4183.65	4114.95	28	0	158	0	0	0	0	0	0	41	0	0	0	0	0	0	0	0	73	0	3	0	0	0	0	0	111	0	20	0	0	0	0	0	0	0	0	0	0	0	0	0	2	4	0	0	0	0	0	41	0	0	0	0	0	2	0	0	0	3	0	3	5	0	0	0
23669	40955	"Burgaschisee"	47.16969	7.66823	447.3	"AWI"	447.3	4031.1	4192.8	4122.9	32	1	0	0	0	0	0	1	0	29	0	0	0	0	0	0	0	0	79	0	4	0	0	0	0	0	118	0	25	0	0	0	7	0	0	0	0	0	0	0	0	0	4	2	0	0	0	0	0	42	0	0	0	0	0	1	0	0	0	0	0	4	3	0	0	0
23669	40955	"Burgaschisee"	47.16969	7.66823	447.65	"AWI"	447.65	4040.55	4201.9	4130.95	35	0	0	0	0	0	0	0	0	21	0	0	0	0	0	0	0	0	68	0	0	0	0	0	0	0	128	0	25	0	0	0	2	0	0	0	0	0	0	0	0	0	12	2	0	0	0	1	0	48	0	0	0	0	0	1	0	0	1	0	0	2	3	1	0	0
23669	40955	"Burgaschisee"	47.16969	7.66823	448	"AWI"	448	4050	4211	4139	27	0	0	0	0	0	0	0	0	27	0	0	0	0	0	0	0	0	91	0	2	0	0	0	0	0	114	0	31	0	0	0	2	0	0	0	0	0	0	0	0	0	7	7	0	0	0	0	0	53	0	0	0	0	0	1	0	0	0	0	0	0	9	0	0	0
23669	40955	"Burgaschisee"	47.16969	7.66823	448.35	"AWI"	448.35	4060.85	4218.7	4146.7	27	1	0	0	0	0	1	2	0	18	0	0	0	0	0	0	0	0	82	0	4	0	0	0	0	0	176	0	17	0	0	0	1	0	0	0	0	0	0	0	0	0	2	4	0	0	0	0	0	61	0	0	0	0	0	1	0	0	0	0	0	3	10	0	0	0
23669	40955	"Burgaschisee"	47.16969	7.66823	448.6	"AWI"	448.6	4068.6	4224.2	4152.2	36	0	0	0	0	0	0	1	0	20	0	0	0	0	0	0	0	0	76	0	3	0	0	0	0	0	179	0	25	0	0	0	3	1	0	0	0	0	0	0	0	0	5	1	0	0	0	0	0	34	0	0	0	0	0	0	0	0	0	1	0	2	2	1	0	0
23669	40955	"Burgaschisee"	47.16969	7.66823	448.85	"AWI"	448.85	4076.35	4229.7	4157.7	43	3	0	0	0	0	0	0	0	16	0	0	0	0	0	0	0	0	58	1	7	0	0	0	0	0	137	0	38	0	0	0	0	0	0	0	0	0	0	0	0	0	2	4	0	0	0	0	0	61	0	0	0	0	0	1	0	0	1	0	0	2	11	0	0	0
23669	40955	"Burgaschisee"	47.16969	7.66823	449.2	"AWI"	449.2	4087.4	4237.6	4165.8	31	1	0	0	0	0	0	1	0	21	0	0	0	0	0	0	0	0	54	0	5	0	0	0	0	0	112	0	16	0	0	0	1	0	0	0	0	0	0	0	0	0	3	2	0	0	0	0	0	82	0	0	0	0	0	1	0	0	1	0	0	5	7	0	0	0
