"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Abies"	"Acer"	"Alnus"	"Amaranthaceae"	"Amaryllidaceae"	"Apiaceae"	"Araliaceae"	"Artemisia"	"Asteraceae"	"Betula"	"Brassicaceae"	"Campanulaceae"	"Cannabaceae"	"Caprifoliaceae"	"Caryophyllaceae"	"Castanea"	"Cistaceae"	"Corylus"	"Crassulaceae"	"Cyperaceae"	"Elaeagnaceae"	"Ephedraceae"	"Ericales"	"Euphorbiaceae"	"Fabaceae"	"Fagus"	"Fraxinus"	"Geraniaceae"	"Juglans"	"Juniperus"	"Larix"	"Liliaceae"	"Melanthiaceae"	"Onagraceae"	"Ostrya.Carpinus"	"Picea"	"Pinus"	"Plantaginaceae"	"Poaceae"	"Polygonaceae"	"Populus"	"Quercus"	"Ranunculaceae"	"Rhododendron"	"Rosaceae"	"Rubiaceae"	"Rumex"	"Salix"	"Saxifragaceae"	"Thalictrum"	"Tilia"	"Ulmus"	"Urticaceae"	"Viburnum"	"Vitaceae"
14540	22786	"Alpi di Robièi Val Bavona"	46.445	8.51833	190	"AWI"	190	1327	2193	1468	2.23097112860892	0	22.0472440944882	0	0.131233595800525	0	0	0.131233595800525	0	0.5249343832021	0.26246719160105	0	0.131233595800525	0	0	0	0	1.70603674540682	0	59.0551181102362	0	0	0	0	0	0.131233595800525	0	0	0	0	0	0	0	0	0	4.06824146981627	6.56167979002625	0	0	0	0	0.393700787401575	0.393700787401575	0	0	0.131233595800525	1.0498687664042	0.131233595800525	0	0.5249343832021	0	0.393700787401575	0	0	0
14540	22786	"Alpi di Robièi Val Bavona"	46.445	8.51833	210	"AWI"	210	1869	3433	2785	1.7014694508894	0.0773395204949729	12.2969837587007	0	0.232018561484919	0	0	0.154679040989946	0	0.386697602474865	0.0773395204949729	0.232018561484919	0	0	0	0	0	1.62412993039443	0	69.9922660479505	0	0	0	0	0	0.232018561484919	0	0.0773395204949729	0	0	0.0773395204949729	0	0.0773395204949729	0	0	3.01624129930394	5.33642691415313	0	0	0	0	0.618716163959783	0.928074245939675	0	0	0	1.7014694508894	0.386697602474865	0	0.541376643464811	0	0.232018561484919	0	0	0
14540	22786	"Alpi di Robièi Val Bavona"	46.445	8.51833	230	"AWI"	230	3502	4931	4397	3.03265940902022	0	5.36547433903577	0.0777604976671851	0	0	0	0.233281493001555	0	0.699844479004666	0.0777604976671851	0	0	0	0	0	0	2.02177293934681	0	72.3950233281493	0	0	0	0	0	0.0777604976671851	0.0777604976671851	0.233281493001555	0	0	0.31104199066874	0	0	0	0	4.04354587869362	6.53188180404355	0	0	0	0	1.24416796267496	0.388802488335925	0	0	0	2.56609642301711	0.388802488335925	0	0.0777604976671851	0	0.15552099533437	0	0	0
14540	22786	"Alpi di Robièi Val Bavona"	46.445	8.51833	250	"AWI"	250	4454	5461	5074	10.1952277657267	0.216919739696312	9.11062906724512	0	0	0	0	0.433839479392625	0	2.16919739696312	0	0.433839479392625	0	0	0	0	0	12.7982646420824	0	22.3427331887202	0	0	0	0	0	0.216919739696312	0.216919739696312	0.433839479392625	0	0.216919739696312	0.216919739696312	0	0.216919739696312	0	0	3.25379609544469	21.0412147505423	0	0	0	0	2.81995661605206	1.30151843817787	0	0	0	3.25379609544469	4.33839479392625	0.867678958785249	1.08459869848156	0	2.81995661605206	0	0	0
14540	22786	"Alpi di Robièi Val Bavona"	46.445	8.51833	270	"AWI"	270	4759	5744	5307	5.80912863070539	0	8.92116182572614	0	0.4149377593361	0	0	0.4149377593361	0	1.2448132780083	0	0.20746887966805	0	0	0	0.20746887966805	0	7.26141078838174	0	43.7759336099585	0	0	0	0	0	0	0	0.4149377593361	0	0	1.2448132780083	0	0.4149377593361	0	0	3.3195020746888	14.3153526970954	0	0	0	0	0.829875518672199	1.6597510373444	0	0	0	4.9792531120332	1.6597510373444	0.20746887966805	1.86721991701245	0	0.829875518672199	0	0	0
14540	22786	"Alpi di Robièi Val Bavona"	46.445	8.51833	290	"AWI"	290	5041	5991	5551	9.45179584120983	0.189035916824197	9.45179584120983	0	0	0	0	0.56710775047259	0	2.83553875236295	0	0.378071833648393	0	0	0	0	0	9.26275992438563	0	15.5009451795841	0	0	0	0	0	0	0.189035916824197	0.378071833648393	0	0.189035916824197	0	0	0.189035916824197	0	0	2.83553875236295	26.0869565217391	0	0	0	0.189035916824197	1.32325141776938	2.64650283553875	0	0	0	9.45179584120983	1.89035916824197	0.378071833648393	1.13421550094518	0	5.4820415879017	0	0	0
14540	22786	"Alpi di Robièi Val Bavona"	46.445	8.51833	310	"AWI"	310	5321	6192	5786	7.12871287128713	0.396039603960396	7.92079207920792	0	0.198019801980198	0	0	0	0	2.97029702970297	0	0.396039603960396	0	0	0	0	0	6.93069306930693	0	26.1386138613861	0	0	0	0	0	0.396039603960396	0.198019801980198	0.198019801980198	0	0.198019801980198	0.792079207920792	0	0	0	0	3.16831683168317	17.029702970297	0	0	0	0	1.78217821782178	1.18811881188119	0	0	0.198019801980198	16.6336633663366	1.18811881188119	0.198019801980198	2.57425742574257	0	2.17821782178218	0	0	0
14540	22786	"Alpi di Robièi Val Bavona"	46.445	8.51833	330	"AWI"	330	5642	6369	5991	10.7594936708861	0.210970464135021	0	0	0	0	0	0	0	4.43037974683544	0	0.632911392405063	0	0	0	0	0	6.75105485232067	0	16.4556962025316	0	0	0	0	0	0.421940928270042	0.843881856540084	0.632911392405063	0	0.421940928270042	0.843881856540084	0	0	0	0	1.26582278481013	31.8565400843882	0	0	0	0	2.32067510548523	1.68776371308017	0	0	0	8.64978902953587	5.48523206751055	0	1.68776371308017	0	4.43037974683544	0.210970464135021	0	0
14540	22786	"Alpi di Robièi Val Bavona"	46.445	8.51833	350	"AWI"	350	5845	6533	6141	19.2825112107623	0	0	0	0.448430493273543	0	0	0.448430493273543	0	4.48430493273543	0	0.448430493273543	0	0	0	0	0	13.4529147982063	0	26.457399103139	0	0	0	0	0	0	0.448430493273543	1.34529147982063	0	0.448430493273543	1.34529147982063	0	0.448430493273543	0	0	1.79372197309417	0	0	0	0	0	4.48430493273543	3.58744394618834	0	0	0	6.2780269058296	4.48430493273543	0	2.24215246636771	0	8.07174887892377	0	0	0
14540	22786	"Alpi di Robièi Val Bavona"	46.445	8.51833	370	"AWI"	370	6021	6647	6248	9.82367758186398	0	0	0	0.251889168765743	0	0	0	0	2.77078085642317	0	0.755667506297229	0	0	0	0	0	4.78589420654912	0	32.2418136020151	0	0	0	0	0	0.251889168765743	0.251889168765743	0	0	0	1.00755667506297	0	0.503778337531486	0	0	2.01511335012594	23.9294710327456	0	0	0	0	3.5264483627204	1.7632241813602	0	0	0	7.05289672544081	1.7632241813602	0	2.26700251889169	0	5.03778337531486	0	0	0
14540	22786	"Alpi di Robièi Val Bavona"	46.445	8.51833	390	"AWI"	390	6238	6821	6396	12.3543123543124	0.233100233100233	0	0	0.233100233100233	0	0	0	0	4.1958041958042	0	1.3986013986014	0	0	0	0	0	10.4895104895105	0	19.3473193473193	0	0	0	0	0	0	0.466200466200466	0	0	0.699300699300699	1.86480186480186	0	0.699300699300699	0	0	0.233100233100233	21.9114219114219	0	0	0	0	3.26340326340326	3.26340326340326	0	0	0	8.85780885780886	2.33100233100233	0	1.63170163170163	0	6.52680652680653	0	0	0
