# Command file for Castanea
# Generated on Rstudio by user vandermeersch, on the 2023-10-09

# The filenames below are relative to the folder containing this command file
castaneaFileName	=	aalba_subset1_rep1.txt
inventoryFileName	=	C:/Users/vandermeersch/Documents/CEFE/phd/castanea/run/inventory.txt

climateBaseName	=	D:/climate/ERA5-Land/castanea_format/
climateExtension	=	.txt
simulationName	=	ind1_


#	siteId	gridName	latitude	longitude	soilHeight	stone	wfc	wilt	bulk	SOLCLAYtop	SOLCLAYsol	SOLFINtop	SOLFINsol	SOLSANDtop	SOLSANDsol	numberOfYears
66	58130	50.1	11.3	199.997767650877	0.171	0.31	0.15	1.512	0.207	0.225	0.646	0.636	0.353	0.364	30
67	58131	50.1	11.4	199.992873077151	0.172	0.308	0.154	1.511	0.202	0.219	0.638	0.628	0.362	0.372	30
68	58132	50.1	11.5	199.980388027443	0.18	0.307	0.151	1.509	0.198	0.214	0.631	0.618	0.369	0.382	30
69	58133	50.1	11.6	199.922824140581	0.191	0.303	0.147	1.501	0.184	0.198	0.611	0.592	0.389	0.408	30
70	58134	50.1	11.7	198.995019601966	0.203	0.298	0.132	1.473	0.165	0.174	0.58	0.551	0.42	0.449	30
71	58135	50.1	11.8	197.616044810782	0.216	0.298	0.122	1.43	0.145	0.15	0.537	0.503	0.463	0.497	30
72	58136	50.1	11.9	198.572458130542	0.204	0.293	0.119	1.435	0.141	0.15	0.522	0.491	0.478	0.509	30
73	58137	50.1	12	199.710259346613	0.19	0.291	0.125	1.465	0.149	0.162	0.535	0.505	0.465	0.495	30
74	58138	50.1	12.1	199.75792271505	0.186	0.288	0.127	1.482	0.149	0.163	0.538	0.51	0.462	0.49	30
75	58139	50.1	12.2	199.457550681635	0.19	0.289	0.126	1.479	0.147	0.159	0.53	0.501	0.47	0.499	30
76	58140	50.1	12.3	199.663064310286	0.18	0.292	0.131	1.49	0.156	0.17	0.545	0.52	0.455	0.48	30
77	58141	50.1	12.4	199.993698223477	0.149	0.303	0.152	1.51	0.175	0.193	0.593	0.578	0.407	0.422	30
78	58142	50.1	12.5	199.851296839025	0.162	0.296	0.143	1.508	0.173	0.19	0.588	0.567	0.412	0.432	30
79	58143	50.1	12.6	198.587465393629	0.193	0.291	0.122	1.446	0.154	0.163	0.547	0.513	0.453	0.488	30
80	58144	50.1	12.7	198.923466426178	0.198	0.294	0.117	1.422	0.141	0.148	0.523	0.487	0.477	0.513	30
81	58145	50.1	12.8	199.785872540849	0.201	0.29	0.117	1.427	0.141	0.149	0.517	0.483	0.483	0.517	30
82	58146	50.1	12.9	199.86412462651	0.186	0.291	0.123	1.457	0.147	0.157	0.52	0.492	0.48	0.508	30
83	58147	50.1	13	199.949719033675	0.181	0.293	0.128	1.472	0.161	0.172	0.545	0.521	0.454	0.479	30
84	58148	50.1	13.1	199.996603822605	0.181	0.293	0.132	1.488	0.166	0.18	0.566	0.545	0.434	0.454	30
85	58149	50.1	13.2	199.999721901071	0.179	0.299	0.145	1.501	0.178	0.196	0.6	0.583	0.4	0.417	30
86	58150	50.1	13.3	199.996317753301	0.189	0.29	0.134	1.501	0.172	0.188	0.58	0.56	0.419	0.44	30
87	58151	50.1	13.4	199.999284375746	0.172	0.29	0.143	1.522	0.181	0.199	0.599	0.586	0.4	0.414	30
88	58152	50.1	13.5	200	0.173	0.286	0.139	1.531	0.176	0.195	0.585	0.568	0.415	0.432	30
89	58153	50.1	13.6	200	0.156	0.291	0.152	1.538	0.187	0.209	0.631	0.622	0.369	0.378	30
90	58154	50.1	13.7	200	0.152	0.293	0.155	1.537	0.19	0.213	0.647	0.64	0.353	0.36	30
91	58155	50.1	13.8	200	0.174	0.286	0.142	1.535	0.17	0.187	0.595	0.576	0.405	0.424	30
92	58156	50.1	13.9	200	0.176	0.29	0.138	1.535	0.175	0.192	0.605	0.588	0.394	0.411	30
93	58157	50.1	14	200	0.168	0.287	0.142	1.54	0.175	0.195	0.611	0.596	0.389	0.404	30
94	58158	50.1	14.1	200	0.154	0.293	0.161	1.538	0.195	0.218	0.631	0.624	0.369	0.376	30
95	58159	50.1	14.2	200	0.123	0.311	0.186	1.535	0.238	0.269	0.733	0.732	0.268	0.267	30
96	58160	50.1	14.3	200	0.129	0.306	0.179	1.528	0.234	0.257	0.706	0.706	0.294	0.294	30
97	58161	50.1	14.4	200	0.153	0.296	0.162	1.509	0.221	0.237	0.645	0.64	0.355	0.36	30
98	58162	50.1	14.5	200	0.13	0.297	0.17	1.52	0.239	0.249	0.666	0.659	0.334	0.34	30
99	58163	50.1	14.6	200	0.108	0.301	0.176	1.535	0.236	0.254	0.684	0.682	0.316	0.318	30
100	58164	50.1	14.7	200	0.107	0.297	0.17	1.539	0.214	0.236	0.661	0.658	0.339	0.342	30
101	58165	50.1	14.8	200	0.104	0.307	0.185	1.535	0.227	0.247	0.673	0.668	0.327	0.332	30
102	58166	50.1	14.9	200	0.096	0.302	0.175	1.525	0.237	0.252	0.669	0.661	0.331	0.339	30
103	58167	50.1	15	200	0.085	0.3	0.17	1.527	0.246	0.261	0.674	0.667	0.326	0.333	30
104	58168	50.1	15.1	200	0.084	0.291	0.156	1.526	0.243	0.256	0.634	0.626	0.366	0.374	30
105	58169	50.1	15.2	200	0.09	0.294	0.162	1.523	0.248	0.268	0.636	0.631	0.364	0.369	30
106	58170	50.1	15.3	200	0.091	0.297	0.168	1.525	0.25	0.277	0.65	0.649	0.35	0.351	30
107	58171	50.1	15.4	200	0.083	0.278	0.148	1.529	0.223	0.246	0.588	0.585	0.412	0.415	30
108	58172	50.1	15.5	200	0.079	0.268	0.141	1.533	0.203	0.224	0.55	0.545	0.45	0.455	30
109	58173	50.1	15.6	200	0.081	0.282	0.154	1.537	0.217	0.242	0.601	0.596	0.399	0.404	30
110	58174	50.1	15.7	200	0.076	0.284	0.151	1.531	0.218	0.238	0.597	0.589	0.403	0.411	30
