# Command file for Castanea
# Generated on Rstudio by user vandermeersch, on the 2022-12-19

# The filenames below are relative to the folder containing this command file
castaneaFileName	=	CastaneaSpecies_08_2021.txt
inventoryFileName	=	C:/Users/vandermeersch/Documents/CEFE/thesis/castanea/run/inventory.txt

climateBaseName	=	D:/climate/ERA5-Land/castanea_format/
climateExtension	=	.txt
simulationName	=	ind1_


#	siteId	gridName	latitude	longitude	soilHeight	stone	wfc	wilt	bulk	SOLCLAYtop	SOLCLAYsol	SOLFINtop	SOLFINsol	SOLSANDtop	SOLSANDsol	numberOfYears
67	41104	54.2	18.7	199.999864534582	0.063	0.317	0.141	1.5	0.201	0.202	0.535	0.521	0.464	0.479	30
68	41105	54.2	18.8	200	0.058	0.338	0.164	1.501	0.284	0.271	0.643	0.616	0.357	0.385	30
69	41106	54.2	18.9	200	0.064	0.348	0.169	1.49	0.301	0.287	0.682	0.654	0.318	0.346	30
70	41107	54.2	19	200	0.062	0.355	0.176	1.489	0.319	0.302	0.717	0.682	0.283	0.318	30
71	41108	54.2	19.1	200	0.061	0.355	0.174	1.489	0.33	0.313	0.733	0.7	0.267	0.3	30
72	41109	54.2	19.2	199.99870677828	0.062	0.35	0.167	1.497	0.307	0.289	0.692	0.659	0.308	0.341	30
73	41110	54.2	19.3	199.958858270833	0.063	0.343	0.163	1.511	0.287	0.269	0.671	0.639	0.329	0.361	30
74	41111	54.2	19.4	199.714745212817	0.074	0.317	0.14	1.514	0.203	0.2	0.538	0.517	0.462	0.483	30
75	41112	54.2	19.5	199.577641503387	0.089	0.286	0.118	1.515	0.133	0.146	0.45	0.443	0.55	0.557	30
76	41113	54.2	19.6	199.699621612766	0.082	0.282	0.115	1.501	0.134	0.152	0.433	0.432	0.567	0.568	30
77	41114	54.2	19.7	199.983491834644	0.076	0.283	0.115	1.489	0.125	0.143	0.406	0.405	0.594	0.595	30
78	41115	54.2	19.8	199.999685672204	0.065	0.289	0.119	1.516	0.128	0.147	0.394	0.395	0.606	0.605	30
79	41116	54.2	19.9	199.999089561106	0.067	0.283	0.117	1.536	0.13	0.15	0.409	0.411	0.591	0.589	30
80	41117	54.2	20	199.996629675585	0.069	0.28	0.117	1.543	0.126	0.144	0.395	0.398	0.605	0.602	30
81	41118	54.2	20.1	199.989856528516	0.071	0.277	0.114	1.531	0.112	0.13	0.367	0.371	0.633	0.629	30
82	41119	54.2	20.2	199.999187814369	0.069	0.277	0.113	1.518	0.11	0.128	0.359	0.362	0.641	0.638	30
83	41120	54.2	20.3	199.99285558839	0.073	0.278	0.111	1.497	0.103	0.121	0.344	0.346	0.656	0.654	30
84	41121	54.2	20.4	199.988033489069	0.077	0.277	0.109	1.488	0.103	0.12	0.354	0.354	0.647	0.646	30
85	41122	54.2	20.5	200	0.074	0.281	0.113	1.501	0.12	0.137	0.39	0.391	0.61	0.609	30
