# Command file for Castanea
# Generated on Rstudio by user vandermeersch, on the 2023-10-26

# The filenames below are relative to the folder containing this command file
castaneaFileName	=	qpetraea_subset1_rep1.txt
inventoryFileName	=	C:/Users/vandermeersch/Documents/CEFE/phd/castanea/run/inventory.txt

climateBaseName	=	D:/climate/ERA5-Land/castanea_format/
climateExtension	=	.txt
simulationName	=	ind1_


#	siteId	gridName	latitude	longitude	soilHeight	stone	wfc	wilt	bulk	SOLCLAYtop	SOLCLAYsol	SOLFINtop	SOLFINsol	SOLSANDtop	SOLSANDsol	numberOfYears
107	79556	44.7	1.4	200	0.148	0.327	0.205	1.502	0.262	0.325	0.659	0.671	0.341	0.329	30
108	79557	44.7	1.5	200	0.151	0.329	0.208	1.503	0.273	0.335	0.678	0.688	0.322	0.312	30
109	79558	44.7	1.6	200	0.143	0.329	0.207	1.507	0.279	0.344	0.686	0.699	0.314	0.301	30
110	79559	44.7	1.7	200	0.133	0.329	0.209	1.506	0.274	0.343	0.685	0.699	0.315	0.301	30
111	79560	44.7	1.8	200	0.126	0.328	0.208	1.505	0.27	0.338	0.681	0.693	0.319	0.307	30
112	79561	44.7	1.9	200	0.124	0.325	0.198	1.495	0.261	0.318	0.668	0.674	0.332	0.326	30
113	79562	44.7	2	199.999696970789	0.13	0.317	0.176	1.49	0.235	0.28	0.624	0.623	0.376	0.377	30
114	79563	44.7	2.1	199.999588703219	0.131	0.313	0.167	1.494	0.222	0.264	0.594	0.595	0.406	0.405	30
115	79564	44.7	2.2	200	0.13	0.319	0.174	1.496	0.234	0.278	0.603	0.606	0.397	0.393	30
116	79565	44.7	2.3	199.94366096254	0.142	0.319	0.169	1.485	0.225	0.27	0.592	0.591	0.408	0.409	30
117	79566	44.7	2.4	199.600091715447	0.162	0.315	0.161	1.475	0.211	0.251	0.567	0.562	0.433	0.438	30
118	79567	44.7	2.5	199.300824604704	0.177	0.314	0.159	1.472	0.208	0.244	0.56	0.555	0.44	0.445	30
119	79568	44.7	2.6	199.120039030809	0.17	0.312	0.156	1.467	0.201	0.237	0.553	0.548	0.447	0.453	30
120	79569	44.7	2.7	199.538904147373	0.15	0.312	0.152	1.463	0.196	0.23	0.545	0.54	0.455	0.461	30
121	79570	44.7	2.8	199.97963247191	0.146	0.321	0.159	1.444	0.206	0.238	0.575	0.567	0.425	0.434	30
122	79571	44.7	2.9	199.518355763111	0.161	0.323	0.158	1.412	0.214	0.24	0.599	0.582	0.401	0.418	30
123	79572	44.7	3	198.745137661832	0.162	0.318	0.154	1.427	0.216	0.24	0.584	0.573	0.416	0.427	30
124	79573	44.7	3.1	196.930575184641	0.152	0.313	0.154	1.454	0.21	0.238	0.567	0.562	0.433	0.438	30
125	79574	44.7	3.2	198.052719795025	0.153	0.306	0.145	1.463	0.19	0.217	0.523	0.522	0.477	0.478	30
126	79575	44.7	3.3	198.920370797545	0.157	0.304	0.142	1.468	0.187	0.215	0.498	0.5	0.502	0.5	30
127	79576	44.7	3.4	199.124980380459	0.162	0.304	0.141	1.451	0.189	0.218	0.496	0.496	0.504	0.504	30
128	79577	44.7	3.5	197.158792052939	0.18	0.3	0.133	1.391	0.175	0.196	0.506	0.489	0.494	0.511	30
129	79578	44.7	3.6	196.92508302707	0.181	0.301	0.131	1.395	0.174	0.194	0.508	0.496	0.492	0.504	30
130	79579	44.7	3.7	198.025053084409	0.171	0.302	0.134	1.429	0.172	0.193	0.491	0.483	0.509	0.517	30
131	79580	44.7	3.8	197.984941990043	0.164	0.302	0.131	1.436	0.178	0.196	0.502	0.489	0.498	0.511	30
132	79581	44.7	3.9	197.650630357822	0.179	0.308	0.134	1.417	0.186	0.205	0.524	0.509	0.476	0.492	30
133	79582	44.7	4	193.18503126296	0.2	0.305	0.13	1.365	0.175	0.189	0.525	0.496	0.474	0.504	30
134	79583	44.7	4.1	189.945685251834	0.208	0.309	0.134	1.384	0.172	0.185	0.519	0.495	0.481	0.505	30
135	79584	44.7	4.2	193.060961949985	0.203	0.316	0.15	1.422	0.186	0.212	0.533	0.524	0.466	0.476	30
136	79585	44.7	4.3	197.018840061956	0.201	0.318	0.16	1.441	0.197	0.234	0.542	0.542	0.458	0.458	30
137	79586	44.7	4.4	199.367102208452	0.199	0.318	0.164	1.465	0.208	0.258	0.542	0.553	0.458	0.447	30
138	79587	44.7	4.5	199.525097511838	0.183	0.328	0.176	1.463	0.242	0.293	0.605	0.612	0.396	0.388	30
139	79588	44.7	4.6	199.683503472988	0.181	0.335	0.186	1.468	0.266	0.323	0.633	0.645	0.367	0.355	30
140	79589	44.7	4.7	198.6302433889	0.153	0.33	0.193	1.479	0.271	0.322	0.649	0.66	0.351	0.34	30
141	79590	44.7	4.8	198.502296304994	0.125	0.319	0.18	1.486	0.25	0.285	0.639	0.641	0.361	0.359	30
142	79591	44.7	4.9	199.402298722586	0.122	0.322	0.182	1.486	0.26	0.305	0.658	0.662	0.342	0.338	30
143	79592	44.7	5	199.93389925607	0.12	0.323	0.186	1.489	0.265	0.311	0.668	0.673	0.332	0.327	30
144	79593	44.7	5.1	198.56423163839	0.154	0.325	0.18	1.476	0.267	0.306	0.65	0.651	0.35	0.349	30
145	79594	44.7	5.2	195.209912882044	0.185	0.324	0.173	1.461	0.251	0.287	0.626	0.623	0.374	0.377	30
146	79595	44.7	5.3	195.466081204003	0.19	0.325	0.174	1.461	0.267	0.308	0.647	0.646	0.354	0.354	30
147	79596	44.7	5.4	195.423670505331	0.183	0.328	0.177	1.459	0.253	0.292	0.64	0.639	0.361	0.361	30
148	79597	44.7	5.5	185.852833650557	0.203	0.318	0.155	1.424	0.215	0.239	0.59	0.579	0.41	0.42	30
149	79598	44.7	5.6	183.198360389449	0.2	0.313	0.141	1.408	0.191	0.204	0.557	0.538	0.442	0.462	30
150	79599	44.7	5.7	183.689420973483	0.201	0.318	0.148	1.389	0.203	0.219	0.582	0.561	0.419	0.439	30
151	79600	44.7	5.8	163.01791642101	0.238	0.314	0.133	1.348	0.182	0.192	0.562	0.538	0.439	0.462	30
152	79601	44.7	5.9	162.624927387239	0.233	0.315	0.137	1.359	0.18	0.187	0.555	0.535	0.446	0.466	30
