"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Abies"	"Acer"	"Alnus"	"Amaranthaceae"	"Aquifoliaceae"	"Artemisia"	"Asteraceae"	"Betula"	"Carya"	"Corylus"	"Cupressaceae"	"Cyperaceae"	"Elaeagnaceae"	"Ephedraceae"	"Ericales"	"Fagus"	"Fraxinus"	"Indeterminable"	"Juglans"	"Larix"	"Myrica"	"Ostrya.Carpinus"	"Picea"	"Pinus"	"Poaceae"	"Populus"	"Quercus"	"Rosaceae"	"Salix"	"Sarcobataceae"	"Thalictrum"	"Tilia"	"Tsuga"	"Ulmus"
1533	1571	"Lac Louis"	47.2875	-79.11667	140	"AWI"	140	2166	3436	2786	1	7	10	0	1	0	0	80	0	3	0	1	0	0	0	1	1	0	0	0	0	0	24	124	0	1	2	0	1	0	0	0	1	2
1533	1571	"Lac Louis"	47.2875	-79.11667	150	"AWI"	150	2354	3643	2979	2	1	14	0	0	3	0	97	0	0	1	1	0	0	1	2	6	0	0	2	0	0	13	116	1	0	2	0	0	0	0	0	1	2
1533	1571	"Lac Louis"	47.2875	-79.11667	160	"AWI"	160	2544	3826	3180	2	2	15	0	1	2	2	79	0	0	0	0	0	0	1	0	5	0	0	2	0	0	15	139	1	1	2	0	0	0	0	0	1	0
1533	1571	"Lac Louis"	47.2875	-79.11667	170	"AWI"	170	2745	4020	3383	1	3	21	0	0	1	0	97	0	0	1	1	0	0	0	1	4	0	0	2	0	0	13	103	0	1	5	0	0	0	0	0	2	2
1533	1571	"Lac Louis"	47.2875	-79.11667	180	"AWI"	180	2950	4213	3582	0	0	8	0	0	2	0	69	0	2	1	1	0	0	0	1	4	1	0	0	0	1	7	108	0	3	8	0	1	0	0	1	0	4
1533	1571	"Lac Louis"	47.2875	-79.11667	190	"AWI"	190	3146	4400	3781	3	2	11	0	0	3	0	132	1	1	0	2	0	0	0	1	8	0	0	1	0	1	18	149	1	4	8	0	0	0	0	0	1	2
1533	1571	"Lac Louis"	47.2875	-79.11667	200	"AWI"	200	3343	4591	3975	1	2	8	1	0	0	0	135	0	0	0	0	0	0	0	2	5	0	0	3	0	0	7	138	1	2	10	0	1	0	1	0	0	1
1533	1571	"Lac Louis"	47.2875	-79.11667	210	"AWI"	210	3547	4772	4176	2	1	10	0	0	2	0	102	0	2	0	1	0	0	0	0	4	0	0	0	3	1	9	189	1	0	7	0	0	0	0	0	0	2
1533	1571	"Lac Louis"	47.2875	-79.11667	220	"AWI"	220	3770	4971	4376	1	1	7	1	0	0	0	68	0	1	1	0	0	0	1	0	2	0	0	0	1	0	8	102	1	1	6	0	0	0	0	0	0	0
1533	1571	"Lac Louis"	47.2875	-79.11667	230	"AWI"	230	3986	5139	4565	0	1	6	2	0	1	0	95	0	3	2	0	0	0	0	0	13	1	1	0	0	0	8	131	2	3	6	1	1	0	1	0	0	5
1533	1571	"Lac Louis"	47.2875	-79.11667	240	"AWI"	240	4189	5331	4761	2	3	12	0	0	1	0	82	0	0	0	0	0	0	1	0	3	0	0	1	0	0	8	191	0	3	6	0	0	0	1	0	1	3
1533	1571	"Lac Louis"	47.2875	-79.11667	250	"AWI"	250	4372	5523	4952	0	0	6	1	0	1	0	53	0	0	0	2	0	0	0	0	0	1	0	0	0	0	5	140	2	5	4	0	0	0	1	0	2	3
1533	1571	"Lac Louis"	47.2875	-79.11667	260	"AWI"	260	4554	5730	5138	1	1	10	1	1	0	0	83	0	2	0	1	0	0	1	0	2	0	0	1	0	0	9	271	0	2	5	0	0	0	1	1	0	2
1533	1571	"Lac Louis"	47.2875	-79.11667	270	"AWI"	270	4738	5929	5331	1	1	7	2	0	1	0	54	0	0	0	1	0	0	0	0	4	1	0	1	0	0	1	124	0	1	3	0	0	0	0	1	2	0
1533	1571	"Lac Louis"	47.2875	-79.11667	280	"AWI"	280	4914	6126	5519	1	1	13	1	1	0	0	35	0	0	0	1	0	0	0	1	4	0	0	3	0	4	24	158	2	0	7	0	4	0	0	0	2	4
1533	1571	"Lac Louis"	47.2875	-79.11667	290	"AWI"	290	5106	6308	5714	1	0	14	0	0	1	0	41	0	1	1	1	0	0	0	0	8	2	0	2	0	0	12	152	0	1	6	0	0	0	0	0	0	4
1533	1571	"Lac Louis"	47.2875	-79.11667	300	"AWI"	300	5291	6503	5907	0	0	7	0	1	0	0	20	0	1	0	1	0	0	0	0	3	1	1	1	0	0	4	262	0	0	1	0	0	0	0	0	2	2
1533	1571	"Lac Louis"	47.2875	-79.11667	310	"AWI"	310	5479	6690	6093	0	0	10	1	0	1	0	18	0	2	0	2	0	0	0	0	13	1	0	3	0	1	20	181	0	2	4	0	0	0	0	0	0	6
1533	1571	"Lac Louis"	47.2875	-79.11667	320	"AWI"	320	5677	6883	6284	0	1	12	0	0	0	2	21	0	0	0	0	0	0	0	0	2	0	0	0	0	0	3	192	2	0	2	0	0	0	0	0	2	2
1533	1571	"Lac Louis"	47.2875	-79.11667	330	"AWI"	330	5859	7067	6474	0	0	8	1	0	1	2	14	0	2	0	1	0	0	0	0	5	2	0	1	0	1	5	220	0	0	2	0	1	0	1	0	0	3
1533	1571	"Lac Louis"	47.2875	-79.11667	340	"AWI"	340	6072	7244	6663	0	1	4	0	0	0	0	20	0	1	0	0	0	0	0	0	1	2	0	0	0	0	5	195	3	0	8	0	0	0	0	0	0	1
1533	1571	"Lac Louis"	47.2875	-79.11667	350	"AWI"	350	6259	7406	6851	0	0	6	2	0	1	0	16	0	0	0	1	0	0	0	1	4	0	0	0	0	1	8	300	2	1	9	0	0	0	0	0	0	2
1533	1571	"Lac Louis"	47.2875	-79.11667	360	"AWI"	360	6467	7585	7045	2	0	10	2	0	2	0	36	0	2	0	1	0	0	0	1	3	0	0	0	0	2	10	164	0	1	5	0	1	0	0	0	0	2
1533	1571	"Lac Louis"	47.2875	-79.11667	370	"AWI"	370	6661	7767	7236	3	1	6	0	0	2	0	47	0	2	1	0	0	0	0	2	1	0	0	3	1	4	11	203	1	0	5	0	1	0	0	0	1	4
1533	1571	"Lac Louis"	47.2875	-79.11667	380	"AWI"	380	6876	7937	7424	0	0	5	0	0	2	0	36	0	2	0	1	0	0	0	0	2	1	0	0	0	3	15	154	4	0	3	0	0	0	0	0	2	5
1533	1571	"Lac Louis"	47.2875	-79.11667	390	"AWI"	390	7086	8109	7613	3	1	16	2	0	0	0	51	0	0	0	2	0	0	0	2	3	0	1	5	0	2	7	180	1	0	3	0	0	0	1	0	1	0
1533	1571	"Lac Louis"	47.2875	-79.11667	400	"AWI"	400	7303	8276	7804	3	0	21	2	0	1	0	56	0	1	1	3	0	0	0	1	3	0	0	3	0	1	19	180	7	0	3	0	1	0	0	0	0	7
1533	1571	"Lac Louis"	47.2875	-79.11667	410	"AWI"	410	7524	8440	7988	1	0	17	0	0	0	0	50	0	0	2	4	0	0	0	0	2	0	0	1	0	1	31	139	1	0	7	0	0	0	0	0	0	0
1533	1571	"Lac Louis"	47.2875	-79.11667	420	"AWI"	420	7688	8639	8170	3	0	8	0	0	1	0	32	0	0	1	2	0	0	0	1	2	0	0	1	0	1	30	164	0	0	2	0	0	0	0	0	1	3
1533	1571	"Lac Louis"	47.2875	-79.11667	430	"AWI"	430	7843	8848	8345	0	0	9	3	0	0	0	27	0	0	0	0	0	0	0	0	3	0	0	2	0	0	16	170	0	0	4	0	0	0	0	0	0	2
1533	1571	"Lac Louis"	47.2875	-79.11667	440	"AWI"	440	7998	9042	8528	4	1	19	0	0	1	0	34	0	0	3	2	0	0	0	0	3	0	0	1	0	2	23	243	0	0	2	0	1	0	0	0	1	2
1533	1571	"Lac Louis"	47.2875	-79.11667	450	"AWI"	450	8167	9253	8712	2	0	20	1	0	0	0	31	0	0	3	4	0	0	0	0	1	0	0	4	1	2	16	190	0	0	3	0	2	0	0	0	0	1
1533	1571	"Lac Louis"	47.2875	-79.11667	460	"AWI"	460	8335	9446	8887	3	0	17	0	0	1	6	23	0	0	4	2	0	0	0	0	1	0	0	3	0	3	18	158	0	0	7	0	3	0	0	0	0	2
1533	1571	"Lac Louis"	47.2875	-79.11667	470	"AWI"	470	8501	9632	9064	3	0	9	1	0	2	2	28	0	0	2	0	0	0	0	1	4	0	0	3	0	2	37	144	3	0	10	0	1	0	0	0	0	0
1533	1571	"Lac Louis"	47.2875	-79.11667	480	"AWI"	480	8677	9828	9244	1	0	6	2	0	3	6	25	0	0	5	5	0	0	0	0	3	0	1	6	3	5	42	104	1	0	6	0	1	0	0	0	0	4
1533	1571	"Lac Louis"	47.2875	-79.11667	490	"AWI"	490	8853	10022	9422	2	0	7	0	0	0	0	47	0	0	7	4	0	0	0	0	3	0	0	1	1	2	54	80	0	0	11	0	0	0	0	0	0	0
1533	1571	"Lac Louis"	47.2875	-79.11667	500	"AWI"	500	9021	10219	9603	0	2	5	2	0	3	0	43	1	0	8	9	0	0	0	0	9	0	0	13	3	3	47	44	2	6	14	0	3	0	18	0	0	3
1533	1571	"Lac Louis"	47.2875	-79.11667	510	"AWI"	510	9197	10404	9783	1	0	11	0	0	5	0	24	2	0	27	14	0	0	1	0	3	0	0	8	5	4	58	64	2	4	20	0	4	0	0	0	0	5
1533	1571	"Lac Louis"	47.2875	-79.11667	520	"AWI"	520	9375	10596	9961	0	0	10	0	0	9	0	33	1	1	31	23	0	0	0	0	3	0	0	13	9	1	55	70	3	4	20	0	5	0	0	0	0	2
1533	1571	"Lac Louis"	47.2875	-79.11667	530	"AWI"	530	9553	10771	10148	0	0	6	0	0	2	0	40	0	0	22	13	0	1	0	0	5	0	0	2	4	5	32	64	2	1	13	0	0	0	0	0	3	2
1533	1571	"Lac Louis"	47.2875	-79.11667	540	"AWI"	540	9709	10980	10326	2	1	5	2	0	3	9	57	1	2	37	38	0	0	0	0	12	0	4	0	11	1	97	133	4	2	22	0	6	0	0	0	0	9
1533	1571	"Lac Louis"	47.2875	-79.11667	550	"AWI"	550	9865	11190	10504	0	0	8	2	0	11	13	38	3	1	63	23	2	0	0	0	10	1	1	1	0	5	97	150	6	4	37	1	13	0	1	0	3	8
