"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Abies"	"Alnus"	"Amaranthaceae"	"Apiaceae"	"Artemisia"	"Asteraceae"	"Betula"	"Boraginaceae"	"Brassicaceae"	"Caprifoliaceae"	"Caryophyllaceae"	"Ceanothus"	"Cercocarpus"	"Cornus"	"Corylus"	"Cyperaceae"	"Elaeagnaceae"	"Ephedraceae"	"Ericales"	"Fabaceae"	"Geraniaceae"	"Indeterminable"	"Isoëtes"	"Juniperus"	"Lamiaceae"	"Liliaceae"	"Malvaceae"	"Onagraceae"	"Orobanchaceae"	"Picea"	"Pinus"	"Plantaginaceae"	"Poaceae"	"Polemoniaceae"	"Polygonaceae"	"Populus"	"Pseudotsuga"	"Quercus"	"Ranunculaceae"	"Rosaceae"	"Salix"	"Santalaceae"	"Sarcobataceae"	"Saxifragaceae"	"Scrophulariaceae"	"Thalictrum"	"Violaceae"
501	514	"Cottonwood Pass Pond"	38.828692	-106.410914	60	"AWI"	60	3086	5222	4056	1.32275132275132	0	2.64550264550265	0.132275132275132	10.7142857142857	0	0	0	0	0	0.264550264550265	0	0.132275132275132	0	0	2.64550264550265	0	0	0	0	0	1.85185185185185	15.0793650793651	3.7037037037037	0	0	0	0	0	13.3597883597884	36.2433862433862	0	6.34920634920635	0	0	2.24867724867725	1.19047619047619	0.661375661375661	0.264550264550265	0	0.661375661375661	0	0.132275132275132	0	0	0.264550264550265	0.132275132275132
501	514	"Cottonwood Pass Pond"	38.828692	-106.410914	64	"AWI"	64	3428	5558	4462	1.38888888888889	0.213675213675214	2.56410256410256	0.213675213675214	7.69230769230769	0	0	0	0	0	0.106837606837607	0	0	0	0.106837606837607	1.92307692307692	0	0	0	0	0	0.961538461538462	39.2094017094017	2.67094017094017	0	0	0	0	0	10.6837606837607	25.534188034188	0.106837606837607	3.95299145299145	0	0	0.641025641025641	0.641025641025641	0.32051282051282	0	0	0.427350427350427	0	0.641025641025641	0	0	0	0
501	514	"Cottonwood Pass Pond"	38.828692	-106.410914	68	"AWI"	68	3792	5865	4865	3.39506172839506	0.154320987654321	3.7037037037037	0.308641975308642	12.1913580246914	0	0	0	0	0	0	0	0	0	0	3.24074074074074	0	0.462962962962963	0	0	0	1.69753086419753	0.308641975308642	2.31481481481481	0	0	0	0	0	23.3024691358025	39.0432098765432	0	4.93827160493827	0	0	0.154320987654321	0.617283950617284	2.62345679012346	0	0	0.462962962962963	0	0.771604938271605	0	0	0.308641975308642	0
501	514	"Cottonwood Pass Pond"	38.828692	-106.410914	72	"AWI"	72	4193	6156	5261	4.80961923847695	0.200400801603206	2.80561122244489	0	11.4228456913828	0	0	0	0	0	0	0	0	0	0	2.60521042084168	0	1.00200400801603	0	0	0	0.400801603206413	0.400801603206413	4.40881763527054	0	0	0	0	0	26.25250501002	32.4649298597194	0	6.2124248496994	0	0	2.20440881763527	1.60320641282565	1.80360721442886	0.801603206412826	0	0.200400801603206	0	0.200400801603206	0	0	0	0.200400801603206
501	514	"Cottonwood Pass Pond"	38.828692	-106.410914	76	"AWI"	76	4616	6453	5666	3.48432055749129	0.348432055749129	6.79442508710801	0.174216027874564	11.3240418118467	0	0	0	0.174216027874564	0	0	0	0	0	0	6.44599303135888	0	0	0	0	0	1.04529616724739	2.26480836236934	4.18118466898955	0.174216027874564	0	0	0	0	27.3519163763066	24.5644599303136	0	5.57491289198606	0	0	1.21951219512195	0.696864111498258	1.74216027874564	0	0	0.348432055749129	0	1.21951219512195	0	0.348432055749129	0.348432055749129	0.174216027874564
501	514	"Cottonwood Pass Pond"	38.828692	-106.410914	80	"AWI"	80	5042	6737	6076	2.5	0.576923076923077	6.53846153846154	0.576923076923077	16.9230769230769	0	0.192307692307692	0	0	0	0	0	0	0	0	4.23076923076923	0	0	0	0	0.192307692307692	0.384615384615385	2.30769230769231	6.73076923076923	0	0.192307692307692	0	0	0.769230769230769	23.6538461538462	21.3461538461538	0	6.53846153846154	0	0	2.30769230769231	0.576923076923077	1.34615384615385	0.192307692307692	0	0.961538461538462	0	0.961538461538462	0	0	0	0
501	514	"Cottonwood Pass Pond"	38.828692	-106.410914	84	"AWI"	84	5844	6927	6424	3.42857142857143	0.761904761904762	5.90476190476191	0.380952380952381	13.1428571428571	0	0.380952380952381	0.19047619047619	0	0	0	0.19047619047619	0.19047619047619	0	0.19047619047619	4.76190476190476	0	0	0	0	0	0.952380952380952	0	5.14285714285714	0	0	0	0	0	29.1428571428571	24.952380952381	0	4.38095238095238	0	0	1.52380952380952	0.380952380952381	1.9047619047619	0.19047619047619	0	0.761904761904762	0	0.761904761904762	0	0.19047619047619	0.19047619047619	0
501	514	"Cottonwood Pass Pond"	38.828692	-106.410914	88	"AWI"	88	6125	7305	6710	6.45161290322581	1.13851992409867	3.98481973434535	0.759013282732448	11.0056925996205	0	0.189753320683112	0	0	0	0.189753320683112	0	0.189753320683112	0	0	5.50284629981025	0	0	0	0	0	1.13851992409867	0	5.50284629981025	0	0	0	0	0	24.2884250474383	27.134724857685	0	7.21062618595825	0	0	0.759013282732448	0.189753320683112	2.08728652751423	0.94876660341556	0	0	0	1.13851992409867	0	0	0.189753320683112	0
501	514	"Cottonwood Pass Pond"	38.828692	-106.410914	92	"AWI"	92	6332	7703	6961	3.6144578313253	0.344234079173838	5.33562822719449	1.03270223752151	11.7039586919105	0	0	0	0	0	0	0	0	0	0	4.64716006884682	0	0.344234079173838	0	0	0	1.89328743545611	0	5.33562822719449	0	0	0	0	0	26.3339070567986	25.473321858864	0	6.88468158347676	0	0	1.89328743545611	1.72117039586919	0.860585197934595	0.344234079173838	0	1.03270223752151	0	0.516351118760757	0	0	0.344234079173838	0.344234079173838
501	514	"Cottonwood Pass Pond"	38.828692	-106.410914	96	"AWI"	96	6533	8041	7229	5.09461426491994	0.436681222707424	4.65793304221252	0.291120815138282	10.6259097525473	0	0.291120815138282	0	0	0	0	0	0	0	0.145560407569141	2.91120815138282	0	0.436681222707424	0	0	0	0.873362445414847	0	4.9490538573508	0	0.145560407569141	0	0	0	26.2008733624454	33.1877729257642	0	3.93013100436681	0	0	0.291120815138282	0.291120815138282	2.76564774381368	0.727802037845706	0	0.145560407569141	0.145560407569141	1.16448326055313	0	0	0.291120815138282	0
501	514	"Cottonwood Pass Pond"	38.828692	-106.410914	100	"AWI"	100	6736	8372	7501	5.18358531317495	0.215982721382289	1.72786177105832	0.647948164146868	13.1749460043197	0	0	0	0	0	0	0	0	0	0	3.67170626349892	0	0	0	0	0	1.51187904967603	0	4.96760259179266	0	0	0	0	0	30.2375809935205	28.0777537796976	0	5.61555075593953	0	0	0.431965442764579	0.215982721382289	2.59179265658747	0	0	0.647948164146868	0	0.863930885529158	0	0	0.215982721382289	0
501	514	"Cottonwood Pass Pond"	38.828692	-106.410914	104	"AWI"	104	6978	8606	7770	4.42073170731707	0.76219512195122	4.11585365853659	0.304878048780488	10.5182926829268	0	0	0	0	0	0	0	0.152439024390244	0	0	7.16463414634146	0	0	0	0	0.304878048780488	1.52439024390244	0	3.96341463414634	0	0	0	0	0	27.2865853658537	28.8109756097561	0	5.33536585365854	0	0	1.67682926829268	1.3719512195122	1.3719512195122	0	0	0.152439024390244	0	0.76219512195122	0	0	0	0
501	514	"Cottonwood Pass Pond"	38.828692	-106.410914	108	"AWI"	108	7237	8861	8047	4.21393841166937	1.13452188006483	4.70016207455429	0.648298217179903	9.23824959481361	0	0	0	0	0	0	0.648298217179903	0.162074554294976	0	0	7.61750405186386	0	0	0	0	0	0.972447325769854	0.162074554294976	5.51053484602917	0	0	0	0	0	23.3387358184765	32.0907617504052	0.162074554294976	4.37601296596434	0	0	0.324149108589951	0.648298217179903	1.62074554294976	0.162074554294976	0	1.13452188006483	0	0.972447325769854	0	0	0.162074554294976	0
501	514	"Cottonwood Pass Pond"	38.828692	-106.410914	112	"AWI"	112	7515	9103	8328	3.32805071315372	0.792393026941363	5.07131537242472	0.63391442155309	9.50871632329635	0	0	0	0	0	0.158478605388273	0	0.475435816164818	0	0	6.3391442155309	0	0	0.316957210776545	0	0	0.792393026941363	0	3.64500792393027	0	0	0	0	0	23.7717908082409	33.7559429477021	0.158478605388273	6.3391442155309	0	0	0.316957210776545	1.10935023771791	1.743264659271	0	0	0.475435816164818	0	1.26782884310618	0	0	0	0
501	514	"Cottonwood Pass Pond"	38.828692	-106.410914	116	"AWI"	116	7797	9366	8600	2.78330019880716	0.198807157057654	5.16898608349901	0.99403578528827	10.5367793240557	0	0	0	0	0	0	0	0.198807157057654	0	0	5.36779324055666	0	0	0	0	0	1.98807157057654	0.198807157057654	3.57852882703777	0	0	0	0	0	27.2365805168986	33.5984095427435	0	2.98210735586481	0	0	1.19284294234592	0.99403578528827	0.99403578528827	0.198807157057654	0	0.198807157057654	0	1.19284294234592	0	0	0.397614314115308	0
501	514	"Cottonwood Pass Pond"	38.828692	-106.410914	120	"AWI"	120	8081	9613	8867	4.41176470588235	0.735294117647059	3.67647058823529	0.367647058823529	12.5	0	0.183823529411765	0	0.183823529411765	0	0	0.183823529411765	0	0	0	3.67647058823529	0	0	0	0	0	2.38970588235294	0	2.02205882352941	0	0	0	0	0	21.875	39.7058823529412	0	3.30882352941176	0	0	1.47058823529412	0.183823529411765	1.10294117647059	0.183823529411765	0	0.551470588235294	0	0.919117647058824	0	0.183823529411765	0.183823529411765	0
501	514	"Cottonwood Pass Pond"	38.828692	-106.410914	124	"AWI"	124	8522	9829	9132	5.88235294117647	1.47058823529412	5.14705882352941	0.919117647058824	12.8676470588235	0	0.183823529411765	0	0	0	0.183823529411765	0	0	0	0	2.57352941176471	0	0	0	0	0	2.57352941176471	0	3.30882352941176	0	0	0.367647058823529	0	0	21.6911764705882	34.0073529411765	0	4.41176470588235	0	0	0	0.367647058823529	1.28676470588235	1.10294117647059	0	0.183823529411765	0	1.47058823529412	0	0	0	0
501	514	"Cottonwood Pass Pond"	38.828692	-106.410914	128	"AWI"	128	8752	10253	9427	5.05952380952381	0.892857142857143	6.25	0.595238095238095	19.3452380952381	0	0.297619047619048	0	0	0	0	0.297619047619048	0	0	0	1.19047619047619	0	0	0.595238095238095	0	0	1.78571428571429	0	1.78571428571429	0	0.297619047619048	0	0	0	27.9761904761905	27.3809523809524	0	3.86904761904762	0	0	0.297619047619048	0.892857142857143	0.297619047619048	0	0	0.297619047619048	0	0.595238095238095	0	0	0	0
