"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Abies"	"Acer"	"Alnus"	"Amaranthaceae"	"Apiaceae"	"Artemisia"	"Asteraceae"	"Betula"	"Boraginaceae"	"Brassicaceae"	"Cannabaceae"	"Carya"	"Caryophyllaceae"	"Celtis"	"Cornus"	"Corylus"	"Cyperaceae"	"Elaeagnaceae"	"Ephedraceae"	"Ericales"	"Euphorbiaceae"	"Fabaceae"	"Fraxinus"	"Indeterminable"	"Juglans"	"Juniperus"	"Larix"	"Morus"	"Onagraceae"	"Ostrya.Carpinus"	"Picea"	"Pinus"	"Platanus"	"Poaceae"	"Polemoniaceae"	"Polygonaceae"	"Populus"	"Prosopis"	"Quercus"	"Ranunculaceae"	"Rhamnus"	"Rosaceae"	"Rubiaceae"	"Rumex"	"Salix"	"Sarcobataceae"	"Thalictrum"	"Tilia"	"Tsuga"	"Ulmus"	"Urticaceae"	"Viburnum"	"Vitaceae"	"Zanthoxylum"
344	352	"Cedar Bog"	45.41111	-93.19722	470	"AWI"	470	4225	5601	4977	0	0	2.99727520435967	0	0	9.80926430517711	0	2.99727520435967	0	0	0	0	0	0	0	0.544959128065395	31.6076294277929	0	0	0	0	0	0	0	0	0.817438692098093	0	0.272479564032698	0	1.63487738419619	0.272479564032698	18.2561307901907	0.272479564032698	0	0	0	0.272479564032698	0	19.3460490463215	0.272479564032698	0	0	0	0	1.90735694822888	0.544959128065395	0.272479564032698	0.544959128065395	0	2.99727520435967	4.08719346049046	0	0.272479564032698	0
344	352	"Cedar Bog"	45.41111	-93.19722	510	"AWI"	510	4511	6020	5292	0	0	1.67597765363128	0	0.558659217877095	11.1731843575419	0	3.35195530726257	0	0	0	0.558659217877095	0	2.23463687150838	0	1.67597765363128	18.9944134078212	0	0	0	0	0	0	0	0	3.91061452513966	0	0	0	3.91061452513966	0.558659217877095	14.5251396648045	0.558659217877095	0	0	0	0	0	29.608938547486	0	0	0.558659217877095	0	0	0.558659217877095	0	0.558659217877095	2.23463687150838	0	2.79329608938547	0	0	0	0
344	352	"Cedar Bog"	45.41111	-93.19722	550	"AWI"	550	4824	6371	5599	0	0	1.93798449612403	0	0	28.6821705426357	0	2.71317829457364	0	0	0	0	0	0.387596899224806	0	1.16279069767442	16.2790697674419	0	0	0	0	0	0	0	0	3.87596899224806	0	0.775193798449612	0	2.32558139534884	0.387596899224806	10.8527131782946	0	0	0	0	0	0	19.3798449612403	0	0	0	0	0	1.55038759689922	0.387596899224806	0	1.55038759689922	0	5.81395348837209	1.55038759689922	0	0.387596899224806	0
344	352	"Cedar Bog"	45.41111	-93.19722	590	"AWI"	590	5098	6743	5921	0	0	3.2967032967033	0	0	20.3296703296703	0	1.0989010989011	0	0	0	0	0	0.549450549450549	0	1.0989010989011	14.8351648351648	0	0	0	0	0	0	0	0	6.04395604395604	0.549450549450549	0	0	3.2967032967033	0	19.2307692307692	0	0	0	0	0	0	22.5274725274725	0	0	0	0	0	0	0	0	1.0989010989011	0	6.04395604395604	0	0	0	0
344	352	"Cedar Bog"	45.41111	-93.19722	630	"AWI"	630	5410	7040	6245	0	0	4.24710424710425	0	0	19.3050193050193	0	2.7027027027027	0.386100386100386	0	0	0	0	1.54440154440154	0	0.772200772200772	11.969111969112	0	0	0	0	0	0	0	0	0.386100386100386	0	0	0	5.01930501930502	0	0	0.386100386100386	0	0	0	1.15830115830116	0	35.5212355212355	0	0	0	0	0	1.54440154440154	0	0	3.86100386100386	0	10.8108108108108	0	0	0.386100386100386	0
344	352	"Cedar Bog"	45.41111	-93.19722	670	"AWI"	670	5729	7356	6559	0	0	3.24189526184539	0	0	24.1895261845387	0	3.74064837905237	0	0	0	0.249376558603491	0	0.249376558603491	0	0.498753117206983	10.4738154613466	0	0	0	0	0	0	0	0	0	0	0	0	6.73316708229426	0.249376558603491	0	0.249376558603491	0	0	0	1.24688279301746	0	30.6733167082294	0	0	0.498753117206983	0	0	1.24688279301746	0.498753117206983	0	6.23441396508728	0	9.72568578553616	0	0	0	0
344	352	"Cedar Bog"	45.41111	-93.19722	710	"AWI"	710	6048	7636	6880	0	0	0.671140939597315	0	0.671140939597315	26.8456375838926	0	3.35570469798658	0	0	0	0	0	0.671140939597315	0	0.671140939597315	9.39597315436242	0	0	0	0	0	0	0	0	0	0.671140939597315	0	0	2.01342281879195	0	0	0	0	0.671140939597315	0	0	0	36.9127516778523	0	0	0	0	1.34228187919463	0.671140939597315	0	0	9.39597315436242	0	6.04026845637584	0	0	0	0
344	352	"Cedar Bog"	45.41111	-93.19722	750	"AWI"	750	6385	7929	7197	0	0	3.65853658536585	0	0	17.6829268292683	0	4.8780487804878	0	0	0	0.609756097560976	0	0	0	0	17.6829268292683	0	0	0	0	0	0	0	0	0	0	0	0	3.65853658536585	0.609756097560976	0	0	0	0	0	0.609756097560976	0	41.4634146341463	0	0	0	0	0	0	0	0	4.26829268292683	0	4.26829268292683	0	0	0.609756097560976	0
344	352	"Cedar Bog"	45.41111	-93.19722	790	"AWI"	790	6736	8199	7525	0	0	1.07142857142857	0	0	17.8571428571429	0	2.14285714285714	0	0	0	0.357142857142857	0	0	0	0.714285714285714	16.0714285714286	0	0	0	0	0	0	0	0	0	0.357142857142857	0	0	3.57142857142857	0	0	0	0	0	0	3.57142857142857	0	42.5	0	0	0	0	0	0.714285714285714	0	0.357142857142857	3.92857142857143	0	6.07142857142857	0	0	0.714285714285714	0
344	352	"Cedar Bog"	45.41111	-93.19722	830	"AWI"	830	7109	8456	7854	0.16366612111293	0	1.96399345335516	0	0.327332242225859	32.4058919803601	0	1.96399345335516	0	0	0	0.654664484451719	0	0.16366612111293	0.16366612111293	0.818330605564648	13.7479541734861	0	0	0	0.16366612111293	0	0	0	0	1.14566284779051	0.16366612111293	0	0	3.27332242225859	0.16366612111293	0	0	0	0	0	2.12765957446809	0	31.9148936170213	0	0	0	0	0	1.47299509001637	0	0.327332242225859	1.80032733224223	0	4.74631751227496	0	0	0.327332242225859	0
344	352	"Cedar Bog"	45.41111	-93.19722	870	"AWI"	870	7471	8722	8177	1.78571428571429	0	4.16666666666667	0	0	14.8809523809524	0	3.57142857142857	0	0	0	0.595238095238095	0.595238095238095	0	0	0.595238095238095	17.8571428571429	0	0	0	0	0	0	0	0	0	1.19047619047619	0	0	5.95238095238095	9.52380952380952	0	0	0	0	0	1.78571428571429	0	25	0	0	0	0	0	0.595238095238095	0	0	2.38095238095238	0	9.52380952380952	0	0	0	0
344	352	"Cedar Bog"	45.41111	-93.19722	910	"AWI"	910	7984	8942	8485	1.69491525423729	0	1.69491525423729	0	0	11.0169491525424	0	5.93220338983051	0	0	0	3.38983050847458	0	0	0	1.69491525423729	19.4915254237288	0	0	0	0	0	0	0	0	1.69491525423729	1.69491525423729	0	0	1.69491525423729	5.08474576271187	0	0	0	0	0	0.847457627118644	0	33.0508474576271	0	0	1.69491525423729	0	0	1.69491525423729	0	0	0.847457627118644	0	6.77966101694915	0	0	0	0
344	352	"Cedar Bog"	45.41111	-93.19722	950	"AWI"	950	8450	9208	8786	0	0	2.18340611353712	0	0	14.410480349345	0	6.11353711790393	0	0	0	1.74672489082969	0	0	0	2.18340611353712	20.0873362445415	0	0	0	0	0	0	0	0	0	1.74672489082969	0	0	0.436681222707424	10.4803493449782	0	0	0	0	0	0.873362445414847	0	30.1310043668122	0	0	0	0	0	1.74672489082969	0	0	0.873362445414847	0	6.98689956331878	0	0	0	0
344	352	"Cedar Bog"	45.41111	-93.19722	990	"AWI"	990	8652	9689	9108	0	0	1.23456790123457	0	0	14.8148148148148	0	4.93827160493827	0	0	0	0	0	0	0	2.46913580246914	46.9135802469136	0	0	0	0	0	0	0	0	1.23456790123457	0	0	0	0	0	0	0	0	0	0	2.46913580246914	0	19.7530864197531	0	0	0	0	0	4.93827160493827	0	0	0	0	1.23456790123457	0	0	0	0
344	352	"Cedar Bog"	45.41111	-93.19722	1030	"AWI"	1030	8892	10132	9434	0.180505415162455	0	1.80505415162455	0	0	35.0180505415162	0	3.79061371841155	0	0	0	0	0	0	0	3.24909747292419	11.0108303249097	0	0	0	0	0	0	0	0	1.08303249097473	0.36101083032491	0	0	1.62454873646209	2.52707581227437	0	0.180505415162455	0	0	0	3.42960288808664	0	26.8953068592058	0	0	0	0	0	2.70758122743682	0	0.180505415162455	0	0	5.95667870036101	0	0	0	0
344	352	"Cedar Bog"	45.41111	-93.19722	1070	"AWI"	1070	9147	10535	9773	0.303030303030303	0	2.72727272727273	0	0	21.8181818181818	0	4.24242424242424	0	0	0	0.303030303030303	0	0	0	0.909090909090909	16.0606060606061	0	0	0	0	0	0	0	0	0.606060606060606	0.303030303030303	0	0	4.24242424242424	3.63636363636364	0	0	0	0	0	4.54545454545455	0	25.7575757575758	0	0	0	0	0	1.21212121212121	0	0	0	0	13.3333333333333	0	0	0	0
344	352	"Cedar Bog"	45.41111	-93.19722	1110	"AWI"	1110	9407	10894	10104	0.813008130081301	0	1.6260162601626	0	0	31.7073170731707	0	3.2520325203252	0	0	0	0.813008130081301	0	0	0	4.0650406504065	11.3821138211382	0	0	0	0	0	0	0	0	0	0	0	0	3.2520325203252	8.94308943089431	0	0	0	0	0	4.8780487804878	0	21.1382113821138	0	0	0	0	0	3.2520325203252	0	0.813008130081301	0	0	4.0650406504065	0	0	0	0
