"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Abies"	"Acer"	"Alnus"	"Amaranthaceae"	"Artemisia"	"Asteraceae"	"Betula"	"Carya"	"Castanea"	"Corylus"	"Cupressaceae"	"Cyperaceae"	"Ericales"	"Fagus"	"Fraxinus"	"Ilex"	"Indeterminable"	"Juglans"	"Larix"	"Liquidambar"	"Myrica"	"Ostrya.Carpinus"	"Picea"	"Pinus"	"Plantaginaceae"	"Platanus"	"Poaceae"	"Populus"	"Quercus"	"Rosaceae"	"Rumex"	"Salix"	"Taxus"	"Thalictrum"	"Tilia"	"Tsuga"	"Ulmus"
254	260	"Berry Pond"	42.5	-73.31667	366	"AWI"	366	3771	4993	4384	0	0	2	0	0	0	138	15	1	5	0	6	0	99	32	0	10	11	0	0	0	21	0	40	0	0	1	3	188	0	0	0	0	0	0	26	11
254	260	"Berry Pond"	42.5	-73.31667	380	"AWI"	380	3961	5151	4581	0	0	2	0	0	0	141	21	0	25	2	7	0	78	23	0	10	10	0	0	0	28	1	27	0	0	1	1	155	2	0	0	0	0	4	31	10
254	260	"Berry Pond"	42.5	-73.31667	405	"AWI"	405	4446	5422	4928	0	0	2	0	0	0	127	12	1	7	1	1	0	67	18	0	19	9	0	0	0	12	1	26	0	4	3	0	146	0	0	0	0	0	5	92	17
254	260	"Berry Pond"	42.5	-73.31667	422	"AWI"	422	4649	5640	5164	0	0	0	0	0	0	92	20	1	3	0	2	0	63	15	0	19	10	0	0	0	14	0	25	0	16	2	0	119	0	0	0	0	1	1	83	10
254	260	"Berry Pond"	42.5	-73.31667	440	"AWI"	440	4851	5876	5391	0	0	5	0	0	0	79	10	1	0	0	2	0	79	19	0	14	9	0	0	0	27	0	19	0	0	3	2	113	0	0	0	0	0	4	73	11
254	260	"Berry Pond"	42.5	-73.31667	454	"AWI"	454	4996	6067	5568	0	0	2	1	0	0	64	13	0	3	1	1	0	68	16	0	17	7	0	0	0	45	0	20	0	0	2	2	115	0	0	0	0	0	3	79	11
254	260	"Berry Pond"	42.5	-73.31667	470	"AWI"	470	5228	6198	5785	0	0	3	0	1	0	71	25	0	29	9	7	0	47	13	0	13	12	0	0	0	20	0	15	0	0	3	2	120	0	0	0	0	0	1	61	16
254	260	"Berry Pond"	42.5	-73.31667	482	"AWI"	482	5491	6307	5932	0	0	3	0	2	0	88	5	1	2	1	6	0	58	36	0	10	12	0	2	0	29	0	24	0	0	1	5	160	0	0	0	0	0	2	75	12
254	260	"Berry Pond"	42.5	-73.31667	502	"AWI"	502	5909	6648	6273	1	0	3	1	0	0	127	8	2	7	2	0	0	66	12	0	45	4	0	0	0	17	3	23	0	0	0	0	79	0	0	0	0	0	3	75	10
254	260	"Berry Pond"	42.5	-73.31667	520	"AWI"	520	6096	7925	6784	0	0	1	1	1	0	116	13	1	4	0	6	0	83	14	0	13	4	0	0	0	41	0	43	0	0	0	2	155	0	0	0	0	0	2	127	9
254	260	"Berry Pond"	42.5	-73.31667	535	"AWI"	535	6433	8288	7325	0	0	7	3	0	0	129	4	0	2	1	2	0	81	33	0	11	5	0	1	0	68	1	51	0	0	1	0	183	0	0	0	0	0	4	175	12
254	260	"Berry Pond"	42.5	-73.31667	550	"AWI"	550	6886	8758	7816	0	0	7	0	0	0	133	3	0	2	0	2	0	77	24	0	6	4	0	1	0	33	0	55	0	0	1	5	211	0	0	0	0	0	2	106	15
254	260	"Berry Pond"	42.5	-73.31667	570	"AWI"	570	7626	9235	8502	0	0	8	0	0	0	107	6	0	38	5	16	0	49	43	0	1	2	0	0	0	24	8	142	0	0	6	9	282	1	0	1	0	0	0	216	22
254	260	"Berry Pond"	42.5	-73.31667	576	"AWI"	576	8081	9331	8692	0	0	8	0	0	0	76	2	1	10	3	3	0	55	60	0	2	1	0	0	0	78	2	143	0	0	3	1	286	0	0	0	0	0	3	224	25
254	260	"Berry Pond"	42.5	-73.31667	604	"AWI"	604	8830	10392	9544	4	0	27	0	1	0	37	3	0	6	0	10	0	1	39	0	1	2	0	0	1	79	29	230	0	0	2	2	218	1	0	1	0	0	0	75	26
254	260	"Berry Pond"	42.5	-73.31667	612	"AWI"	612	8935	10820	9740	0	0	16	0	0	0	79	1	0	2	3	8	0	0	42	0	4	0	0	0	0	83	5	273	0	0	3	0	272	0	0	2	0	0	0	21	15
254	260	"Berry Pond"	42.5	-73.31667	622	"AWI"	622	9195	11034	10023	0	0	41	0	3	0	178	9	1	23	7	13	0	10	33	0	1	4	5	0	1	22	16	502	0	0	3	23	182	0	0	3	0	0	0	10	23
254	260	"Berry Pond"	42.5	-73.31667	630	"AWI"	630	9322	11347	10250	6	0	69	0	2	0	151	2	0	19	7	34	0	0	21	0	1	2	9	0	0	13	57	219	0	0	7	7	26	1	0	2	0	0	0	6	8
254	260	"Berry Pond"	42.5	-73.31667	640	"AWI"	640	10093	11777	10762	3	0	59	0	0	0	50	2	2	6	16	33	0	1	10	0	0	1	1	0	0	8	158	145	0	0	7	3	15	0	0	0	0	0	0	14	5
254	260	"Berry Pond"	42.5	-73.31667	645	"AWI"	645	10398	12145	11120	1	0	44	1	3	0	11	0	0	5	1	23	0	0	4	0	3	0	0	0	0	27	225	149	0	0	6	4	21	0	0	1	0	3	0	0	1
254	260	"Berry Pond"	42.5	-73.31667	651	"AWI"	651	10601	12702	11505	2	0	2	0	1	0	19	2	0	1	13	20	0	1	16	0	8	0	0	0	0	47	280	85	0	0	6	10	55	1	0	1	0	0	0	0	2
254	260	"Berry Pond"	42.5	-73.31667	660	"AWI"	660	11299	13542	12258	1	0	1	0	0	0	7	1	1	4	9	39	0	1	3	0	6	0	0	0	0	23	199	43	0	0	11	0	18	0	0	4	0	0	0	0	1
254	260	"Berry Pond"	42.5	-73.31667	666	"AWI"	666	12174	13883	12933	1	0	2	0	0	0	3	1	0	3	35	68	0	1	1	0	1	0	3	0	0	13	63	78	0	0	9	14	11	1	0	19	0	0	0	0	0
254	260	"Berry Pond"	42.5	-73.31667	672	"AWI"	672	12918	14339	13599	2	0	19	0	6	4	3	0	0	3	7	40	0	0	0	0	3	0	3	0	0	1	45	94	0	0	7	1	13	0	0	6	0	0	0	0	0
254	260	"Berry Pond"	42.5	-73.31667	679	"AWI"	679	13533	15234	14350	1	0	3	2	6	4	1	0	0	0	1	72	0	0	0	0	0	0	1	0	0	3	30	54	0	2	5	0	6	1	0	6	0	0	0	0	0
