"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Abies"	"Acer"	"Alnus"	"Amaranthaceae"	"Anacardiaceae"	"Apiaceae"	"Artemisia"	"Asteraceae"	"Betula"	"Brassicaceae"	"Campanulaceae"	"Caprifoliaceae"	"Carya"	"Caryophyllaceae"	"Castanea"	"Cornus"	"Corylus"	"Cupressaceae"	"Cyperaceae"	"Elaeagnaceae"	"Ericales"	"Fagus"	"Fraxinus"	"Ilex"	"Isoëtes"	"Juglans"	"Lamiaceae"	"Larix"	"Liquidambar"	"Myrica"	"Nyssa"	"Onagraceae"	"Ostrya.Carpinus"	"Picea"	"Pinus"	"Plantaginaceae"	"Platanus"	"Poaceae"	"Polygonaceae"	"Populus"	"Quercus"	"Ranunculaceae"	"Rhamnaceae"	"Rosaceae"	"Rubiaceae"	"Rumex"	"Salix"	"Thalictrum"	"Tilia"	"Tsuga"	"Ulmus"
510	523	"Crider's Pond"	39.96667	-77.55	90	"AWI"	90	3813	11872	8079	0	0	0	0	0	0.313479623824451	0	0	2.50783699059561	0	0	0	1.25391849529781	0	1.56739811912226	0	0.313479623824451	0	3.44827586206897	0	0	1.25391849529781	0.626959247648903	0	0	0	0	0	0	0	0.313479623824451	0	1.25391849529781	0	3.76175548589342	0	0	5.01567398119122	0	0	63.9498432601881	0	0.626959247648903	0	10.3448275862069	0	0	0	0	3.13479623824451	0.313479623824451
510	523	"Crider's Pond"	39.96667	-77.55	95	"AWI"	95	4126	12087	8765	0.319488817891374	0.958466453674121	0	0	0	0	0	0	0.638977635782748	0	0	0	1.59744408945687	0	1.59744408945687	0	0	0.319488817891374	5.11182108626198	0	0	0.958466453674121	0	0	0	0	0	0	0	0	1.91693290734824	0	0.319488817891374	0	5.11182108626198	0	0	4.79233226837061	0	0	66.4536741214058	0	0.319488817891374	0	7.66773162939297	0	0	0	0	1.59744408945687	0.319488817891374
510	523	"Crider's Pond"	39.96667	-77.55	100	"AWI"	100	4377	12508	9331	0.808625336927224	0	0.269541778975741	0	0	0.269541778975741	0	0	0.539083557951483	0	0	0	0.808625336927224	0	0.539083557951483	0	0	0	5.12129380053908	0	0	0.269541778975741	1.07816711590297	0	0	0	0	0	0	0	0.808625336927224	0	0.808625336927224	0	8.62533692722372	0	0	1.88679245283019	0	0	61.1859838274933	0	0	0	13.2075471698113	0	0	0	0	3.23450134770889	0.539083557951483
510	523	"Crider's Pond"	39.96667	-77.55	105	"AWI"	105	4631	13029	9865	1.19402985074627	0	1.7910447761194	0	0	0	0	0	0.597014925373134	0	0	0	0	0	0.298507462686567	0	0.597014925373134	0	7.76119402985075	0	0	0.597014925373134	0.597014925373134	0	0	0	0	0	0	0	0.298507462686567	0	1.49253731343284	0	13.7313432835821	0	0.298507462686567	2.38805970149254	0	0	48.955223880597	0	0.597014925373134	0	14.6268656716418	0	0.298507462686567	0	0	2.08955223880597	1.7910447761194
510	523	"Crider's Pond"	39.96667	-77.55	110	"AWI"	110	5629	13090	10381	3.27272727272727	0	3.27272727272727	0	0	0	0	0	1.45454545454545	0	0	0.363636363636364	0.727272727272727	0	0	0	0	0	4	0	0	0.363636363636364	0	0	0	0	0	0	0	0	0.363636363636364	0	2.54545454545455	2.90909090909091	32.7272727272727	0	0	2.90909090909091	0	0	37.4545454545455	0	0	0	3.27272727272727	0	0.727272727272727	0	0	3.27272727272727	0.363636363636364
510	523	"Crider's Pond"	39.96667	-77.55	115	"AWI"	115	6367	13162	10927	2.89855072463768	0.72463768115942	1.81159420289855	0	0	0.36231884057971	0	0	2.89855072463768	0	0	0	0.36231884057971	0	0	0	0.72463768115942	0	9.42028985507246	0	0	0	0.36231884057971	0	0	0	0	0	0	0	0	0	2.53623188405797	1.81159420289855	41.6666666666667	0	0	1.81159420289855	0	0.36231884057971	28.6231884057971	0	0.36231884057971	0	0	0	0	0	0	2.53623188405797	0.72463768115942
510	523	"Crider's Pond"	39.96667	-77.55	120	"AWI"	120	6848	13238	11489	4.79041916167665	0	3.89221556886228	0	0	0.29940119760479	0	0	2.09580838323353	0	0	0.29940119760479	0.29940119760479	0	0	0	0.898203592814371	0	11.377245508982	0	0	0.598802395209581	0.29940119760479	0.598802395209581	0	0	0	0	0	0	0	0	6.58682634730539	2.9940119760479	38.3233532934132	0	0	1.79640718562874	0	0	20.3592814371257	0	0	0	0	0	2.09580838323353	0.29940119760479	0	1.79640718562874	0.29940119760479
510	523	"Crider's Pond"	39.96667	-77.55	125	"AWI"	125	7287	13315	12087	8.39160839160839	0	0.34965034965035	0	0	0	0	0	1.04895104895105	0	0	0	0	0	0	0	0.34965034965035	0	4.89510489510489	0	0	0	3.14685314685315	0.34965034965035	0	0	0	0	0	0	0	0	10.8391608391608	4.1958041958042	55.2447552447552	0	0	0	0	0.699300699300699	9.09090909090909	0	0	0	0	0	0.34965034965035	0	0	0.699300699300699	0.34965034965035
510	523	"Crider's Pond"	39.96667	-77.55	130	"AWI"	130	7646	13424	12709	7.04697986577181	0	0	0	0	0	0	0	1.34228187919463	0	0	0	0	0	0	0	0.335570469798658	0.335570469798658	5.36912751677852	0	0	0	1.00671140939597	0	0	0	0	0	0	0	0	0	6.04026845637584	4.36241610738255	64.0939597315436	0	0	1.00671140939597	0	0.671140939597315	3.35570469798658	0.335570469798658	0	0	0	0	4.69798657718121	0	0	0	0
510	523	"Crider's Pond"	39.96667	-77.55	140	"AWI"	140	8099	13726	13370	5.67375886524823	0	4.25531914893617	0	0.354609929078014	0	0	0	0.354609929078014	0	0	0	0.709219858156028	0	0	0	0	0	11.3475177304965	0	0	0	3.54609929078014	0	0	0	0.354609929078014	0	0	0	0	0	6.38297872340426	11.3475177304965	40.0709219858156	0	0	2.83687943262411	0	1.41843971631206	8.86524822695035	0	0	0	0.354609929078014	0	1.77304964539007	0	0	0	0.354609929078014
