"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Abies"	"Acer"	"Alnus"	"Amaranthaceae"	"Artemisia"	"Asteraceae"	"Betula"	"Carya"	"Caryophyllaceae"	"Cephalanthus"	"Cornus"	"Corylus"	"Cyperaceae"	"Ericales"	"Fabaceae"	"Fagus"	"Fraxinus"	"Indeterminable"	"Juglans"	"Lamiaceae"	"Larix"	"Myrica"	"Ostrya.Carpinus"	"Picea"	"Pinus"	"Platanus"	"Poaceae"	"Polygonaceae"	"Populus"	"Quercus"	"Rhamnaceae"	"Rosaceae"	"Rubiaceae"	"Salix"	"Sarcobataceae"	"Saxifragaceae"	"Thalictrum"	"Tilia"	"Tsuga"	"Ulmus"	"Urticaceae"
518	532	"Cub Lake"	44.7	-84.95833	243	"AWI"	243	2711	3760	3186	0	28	4	1	2	0	17	0	0	0	0	6	0	0	0	17	4	3	0	0	1	1	3	2	311	0	0	0	0	25	0	0	0	0	0	0	0	6	25	11	0
518	532	"Cub Lake"	44.7	-84.95833	253	"AWI"	253	2807	3983	3353	2	14	3	0	1	2	12	2	0	0	0	1	0	0	0	14	4	2	0	0	0	0	4	0	347	0	1	0	0	26	0	0	0	0	0	0	0	0	20	10	0
518	532	"Cub Lake"	44.7	-84.95833	263	"AWI"	263	2980	4104	3533	0	10	1	1	1	4	5	0	0	0	0	4	0	0	0	8	0	2	0	0	0	2	5	1	220	0	0	0	1	16	0	0	0	0	0	0	0	0	11	7	0
518	532	"Cub Lake"	44.7	-84.95833	274	"AWI"	274	3161	4280	3727	0	8	5	2	0	0	10	1	0	0	0	2	0	0	0	21	1	3	2	0	0	0	1	0	317	0	1	0	1	20	0	0	0	0	0	0	0	1	23	5	0
518	532	"Cub Lake"	44.7	-84.95833	284	"AWI"	284	3315	4473	3909	0	7	0	0	4	0	13	1	1	0	0	8	2	0	0	29	3	3	0	0	1	0	6	1	403	0	0	0	1	54	0	0	0	0	0	0	0	2	25	11	0
518	532	"Cub Lake"	44.7	-84.95833	294	"AWI"	294	3501	4576	4077	0	0	1	0	5	0	14	2	0	0	1	1	0	0	0	28	3	2	0	0	2	0	4	0	453	0	2	0	0	40	0	1	0	0	0	0	0	0	15	10	1
518	532	"Cub Lake"	44.7	-84.95833	304	"AWI"	304	3746	4686	4248	0	11	0	0	2	0	6	1	0	0	0	1	0	0	0	17	2	2	1	0	2	0	3	0	412	0	1	0	0	26	0	0	0	0	0	0	0	1	13	9	0
518	532	"Cub Lake"	44.7	-84.95833	314	"AWI"	314	3965	4820	4423	0	5	2	0	3	3	6	2	0	0	1	2	0	0	0	18	4	2	0	0	2	0	5	2	298	0	3	0	1	33	0	0	0	0	0	0	0	2	18	12	0
518	532	"Cub Lake"	44.7	-84.95833	324	"AWI"	324	4300	4959	4601	0	31	4	1	0	0	16	2	0	0	1	4	1	0	0	42	2	1	0	0	1	0	5	0	454	0	0	0	0	42	0	0	0	0	0	0	0	4	44	14	0
518	532	"Cub Lake"	44.7	-84.95833	329	"AWI"	329	4409	5118	4739	0	6	1	1	1	3	3	0	0	0	0	1	0	0	0	65	2	1	1	0	0	0	2	0	297	0	0	0	0	25	0	0	0	0	0	0	0	1	13	15	0
518	532	"Cub Lake"	44.7	-84.95833	334	"AWI"	334	4527	5596	4956	1	20	5	2	7	3	15	4	0	0	2	3	0	0	0	61	3	4	0	0	2	0	6	2	421	0	0	0	1	40	0	0	0	1	0	0	0	2	24	20	0
518	532	"Cub Lake"	44.7	-84.95833	339	"AWI"	339	4583	6190	5152	0	12	2	1	2	0	7	3	0	0	0	3	0	0	0	44	1	0	2	0	2	0	2	0	341	0	0	0	2	42	0	0	0	0	0	0	0	2	24	16	0
518	532	"Cub Lake"	44.7	-84.95833	344	"AWI"	344	4683	6692	5367	1	5	2	0	5	0	10	1	0	0	0	5	0	0	0	21	1	1	0	0	1	0	2	1	475	0	0	0	1	25	0	0	0	0	0	0	0	0	81	5	0
518	532	"Cub Lake"	44.7	-84.95833	349	"AWI"	349	4853	6878	5634	0	4	3	0	4	0	1	0	0	0	0	0	1	0	0	13	1	1	0	0	1	0	1	1	420	0	1	0	1	24	0	0	0	0	0	0	0	1	40	9	0
518	532	"Cub Lake"	44.7	-84.95833	354	"AWI"	354	4961	7203	5884	2	0	4	0	1	8	6	0	0	0	1	1	1	0	0	7	0	4	0	0	3	0	8	0	507	0	1	0	0	45	0	0	0	0	0	0	0	3	31	12	0
518	532	"Cub Lake"	44.7	-84.95833	359	"AWI"	359	5097	7513	6123	0	5	2	1	2	8	7	8	0	0	0	6	0	0	0	10	5	4	0	0	2	0	3	0	580	0	0	0	0	64	0	0	0	1	0	0	0	1	36	22	0
518	532	"Cub Lake"	44.7	-84.95833	367	"AWI"	367	5379	7812	6527	0	4	4	0	5	4	1	1	0	0	1	4	0	0	0	5	3	1	1	0	1	0	7	1	559	0	1	0	2	59	0	0	0	0	0	0	0	1	8	19	0
518	532	"Cub Lake"	44.7	-84.95833	372	"AWI"	372	5496	8140	6783	0	7	0	1	4	7	7	7	0	0	0	6	0	0	0	6	10	4	2	0	0	0	4	0	485	0	4	0	2	89	0	0	0	2	0	0	0	1	13	20	0
518	532	"Cub Lake"	44.7	-84.95833	382	"AWI"	382	6043	8433	7288	0	7	0	0	5	0	5	7	0	0	0	1	0	0	0	5	2	0	0	0	0	0	4	1	423	0	0	0	0	49	0	0	0	0	0	0	0	0	4	17	0
518	532	"Cub Lake"	44.7	-84.95833	387	"AWI"	387	6190	8660	7534	0	5	1	2	1	0	10	3	0	0	0	6	0	0	0	1	10	3	1	0	1	0	15	8	541	0	1	0	0	61	0	0	1	1	0	0	0	1	0	10	0
518	532	"Cub Lake"	44.7	-84.95833	392	"AWI"	392	6568	8767	7789	1	0	0	2	2	6	7	2	0	0	0	2	0	0	0	0	6	0	0	0	0	0	5	1	367	0	2	0	1	33	0	0	0	0	0	0	0	0	0	15	0
518	532	"Cub Lake"	44.7	-84.95833	397	"AWI"	397	6863	8875	8054	0	1	1	3	4	5	5	1	0	0	0	0	2	0	0	0	1	1	0	0	0	0	4	0	399	0	0	0	2	42	0	0	0	0	0	0	0	1	0	7	0
518	532	"Cub Lake"	44.7	-84.95833	402	"AWI"	402	7042	9062	8317	0	3	0	1	3	11	10	2	0	0	0	2	0	0	0	0	5	3	0	0	2	0	8	2	516	0	0	0	0	21	0	0	0	0	0	0	0	0	0	13	0
518	532	"Cub Lake"	44.7	-84.95833	412	"AWI"	412	8109	9212	8743	2	1	0	1	6	6	11	4	0	0	0	1	0	0	0	0	5	2	0	0	1	0	10	2	505	0	3	0	0	28	0	0	0	1	0	0	1	0	0	10	0
518	532	"Cub Lake"	44.7	-84.95833	422	"AWI"	422	8595	9449	9115	1	0	0	0	6	3	6	10	0	0	0	1	0	0	0	1	0	5	1	0	5	0	6	2	369	0	0	0	1	21	0	0	0	1	0	0	0	0	0	13	0
518	532	"Cub Lake"	44.7	-84.95833	427	"AWI"	427	8674	9673	9228	3	1	2	4	8	0	7	3	0	0	0	2	1	0	0	0	3	0	0	0	2	0	5	6	661	0	0	0	0	46	0	0	0	0	0	0	0	0	0	12	0
518	532	"Cub Lake"	44.7	-84.95833	432	"AWI"	432	8719	10013	9325	0	2	0	0	8	0	10	2	0	0	0	2	0	0	0	0	6	2	2	0	2	0	7	10	548	0	2	0	0	41	0	0	0	0	0	0	0	1	1	10	0
518	532	"Cub Lake"	44.7	-84.95833	437	"AWI"	437	8810	10154	9433	3	2	0	0	12	5	7	6	0	0	0	0	0	0	0	0	5	6	5	0	4	0	6	108	184	0	0	0	0	22	0	1	0	4	0	0	0	0	0	13	0
518	532	"Cub Lake"	44.7	-84.95833	442	"AWI"	442	8874	10352	9530	0	0	0	2	24	0	5	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	2	166	25	0	1	0	0	9	0	0	0	0	0	0	0	0	0	0	0
518	532	"Cub Lake"	44.7	-84.95833	447	"AWI"	447	8929	10601	9623	0	0	0	0	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	36	3	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0
